,Date,High,Low,Open,Close,Volume,Adj Close
0,25/10/2022,5500,4800,5200,5000,334722,5000
1,26/10/2022,5100,4600,4800,4800,61530,4800
2,27/10/2022,5200,4500,4500,5200,269341,5200
3,28/10/2022,5600,5100,5200,5100,144040,5100
4,31/10/2022,5300,4700,5100,5000,76560,5000
5,01/11/2022,5100,4800,4800,4900,66303,4900
6,02/11/2022,5000,4800,4900,4900,61419,4900
7,03/11/2022,5000,4600,4900,4800,87784,4800
8,04/11/2022,4800,4400,4600,4800,203585,4800
9,07/11/2022,4800,4400,4800,4400,111370,4400
10,08/11/2022,4300,4000,4200,4000,252116,4000
11,09/11/2022,4200,3800,3800,4000,89820,4000
12,10/11/2022,4000,3600,4000,3600,89085,3600
13,11/11/2022,3700,3300,3600,3400,260339,3400
14,14/11/2022,3500,3100,3400,3100,273402,3100
15,15/11/2022,3000,2800,3000,2800,229730,2800
16,16/11/2022,3000,2600,2600,3000,342577,3000
17,17/11/2022,3300,3000,3000,3300,207229,3300
18,18/11/2022,3600,3300,3300,3600,325457,3600
19,21/11/2022,3900,3700,3800,3900,353620,3900
20,22/11/2022,4200,3800,3900,3900,491669,3900
21,23/11/2022,3900,3600,3900,3600,262769,3600
22,24/11/2022,3700,3300,3400,3600,131699,3600
23,25/11/2022,3900,3600,3600,3900,257150,3900
24,28/11/2022,4200,3900,3900,4200,79615,4200
25,29/11/2022,4600,4100,4600,4600,391356,4600
26,30/11/2022,5000,4600,4700,5000,511272,5000
27,01/12/2022,5500,5200,5400,5500,599163,5500
28,02/12/2022,5900,5100,5500,5800,461519,5800
29,05/12/2022,6200,5800,5800,6100,298858,6100
30,06/12/2022,6100,5500,6100,5500,510891,5500
31,07/12/2022,5300,5000,5000,5000,332843,5000
32,08/12/2022,5500,4600,4600,5500,302140,5500
33,09/12/2022,5500,5100,5500,5300,154308,5300
34,12/12/2022,5700,5000,5300,5000,499678,5000
35,13/12/2022,5200,4600,5000,5000,290617,5000
36,14/12/2022,5500,5000,5000,5300,311879,5300
37,15/12/2022,5600,5200,5200,5400,139077,5400
38,16/12/2022,5600,5200,5300,5400,109765,5400
39,19/12/2022,5500,5200,5400,5200,270890,5200
40,20/12/2022,5500,4800,5200,5000,314037,5000
41,21/12/2022,5100,4500,4700,4900,322217,4900
42,22/12/2022,5100,4600,4900,4800,80848,4800
43,23/12/2022,4800,4500,4800,4500,65338,4500
44,26/12/2022,4500,4100,4500,4100,131004,4100
45,27/12/2022,4500,3700,4100,4500,183603,4500
46,28/12/2022,4800,4300,4400,4300,68872,4300
47,29/12/2022,4500,4200,4300,4300,36665,4300
48,30/12/2022,4400,4200,4300,4300,94483,4300
49,03/01/2023,4700,4200,4200,4700,212774,4700
50,04/01/2023,5000,4600,4700,4800,235534,4800
51,05/01/2023,4900,4600,4700,4700,89657,4700
52,06/01/2023,4800,4300,4600,4300,312065,4300
53,09/01/2023,4700,4300,4300,4500,37763,4500
54,10/01/2023,4500,4300,4300,4500,103581,4500
55,11/01/2023,4700,4300,4400,4400,202166,4400
56,12/01/2023,4600,4300,4600,4400,125995,4400
57,13/01/2023,4600,4400,4500,4400,78490,4400
58,16/01/2023,4500,4300,4400,4300,127729,4300
59,17/01/2023,4500,4300,4400,4500,175990,4500
60,18/01/2023,4800,4400,4400,4700,280574,4700
61,19/01/2023,4800,4600,4800,4800,178447,4800
62,27/01/2023,5100,4700,4800,4700,221798,4700
63,30/01/2023,5000,4600,4700,4900,369889,4900
64,31/01/2023,5000,4700,4900,4900,442162,4900
65,01/02/2023,5300,4800,4800,5300,1373988,5300
66,02/02/2023,5500,4800,5300,4900,377087,4900
67,03/02/2023,5100,4800,4900,4900,486521,4900
68,06/02/2023,5000,4700,4800,5000,287634,5000
69,07/02/2023,5000,4700,4900,4700,384518,4700
70,08/02/2023,4900,4400,4800,4700,828761,4700
71,09/02/2023,4700,4500,4600,4500,314797,4500
72,10/02/2023,4600,4400,4600,4400,390095,4400
73,13/02/2023,4400,4100,4400,4200,463752,4200
74,14/02/2023,4300,4100,4300,4300,195713,4300
75,15/02/2023,4400,4100,4400,4300,289833,4300
76,16/02/2023,4400,4200,4400,4200,367655,4200
77,17/02/2023,4500,4200,4200,4300,259142,4300
78,20/02/2023,4500,4300,4300,4500,617296,4500
79,21/02/2023,4600,4400,4600,4500,309595,4500
80,22/02/2023,4500,4300,4500,4300,370239,4300
