,Date,High,Low,Open,Close,Volume,Adj Close
0,04/05/2021,3800,3500,3600,3500,3646622,3500
1,05/05/2021,3700,3300,3500,3700,1820550,3700
2,06/05/2021,3700,3400,3700,3500,2250557,3500
3,07/05/2021,3400,3200,3400,3200,3015468,3200
4,10/05/2021,3500,2900,3200,3500,2430834,3500
5,11/05/2021,3600,3300,3500,3400,962151,3400
6,12/05/2021,3400,3200,3400,3400,1238183,3400
7,13/05/2021,3400,3200,3300,3400,1793287,3400
8,14/05/2021,3400,3200,3400,3300,1535150,3300
9,17/05/2021,3500,3200,3300,3400,1643139,3400
10,18/05/2021,3700,3300,3500,3600,4028370,3600
11,19/05/2021,3700,3400,3600,3400,638698,3400
12,20/05/2021,3500,3200,3400,3300,1379086,3300
13,21/05/2021,3500,3200,3300,3300,1503617,3300
14,24/05/2021,3400,3200,3300,3300,1019211,3300
15,25/05/2021,3400,3200,3200,3200,1301779,3200
16,26/05/2021,3300,3100,3300,3100,1181494,3100
17,27/05/2021,3200,2900,3200,3100,2030709,3100
18,28/05/2021,3400,3000,3100,3300,2168753,3300
19,31/05/2021,3400,3100,3300,3200,1149856,3200
20,01/06/2021,3300,3100,3200,3200,1150141,3200
21,02/06/2021,3300,3100,3200,3200,1100560,3200
22,03/06/2021,3500,3100,3200,3500,3967325,3500
23,04/06/2021,3800,3400,3600,3600,3591960,3600
24,07/06/2021,3700,3300,3600,3300,1764040,3300
25,08/06/2021,3600,3200,3300,3300,2865310,3300
26,09/06/2021,3400,3200,3400,3400,982177,3400
27,10/06/2021,3600,3400,3500,3500,2709737,3500
28,11/06/2021,3600,3300,3500,3400,1542659,3400
29,14/06/2021,3500,3300,3500,3400,1202485,3400
30,15/06/2021,3400,3200,3400,3300,1683605,3300
31,16/06/2021,3400,3200,3300,3300,1490773,3300
32,17/06/2021,3500,3300,3300,3400,1860695,3400
33,18/06/2021,3500,3300,3400,3400,2167849,3400
34,21/06/2021,3600,3400,3400,3600,3326721,3600
35,22/06/2021,3600,3400,3600,3400,2061366,3400
36,23/06/2021,3500,3300,3500,3400,1599040,3400
37,24/06/2021,3400,3300,3400,3400,710105,3400
38,25/06/2021,3500,3300,3400,3400,1672811,3400
39,28/06/2021,3500,3300,3400,3300,1074000,3300
40,29/06/2021,3400,3200,3400,3300,1925734,3300
41,30/06/2021,3400,3200,3300,3200,1134100,3200
42,01/07/2021,3300,3100,3200,3300,1233389,3300
43,02/07/2021,3300,3100,3300,3100,1713836,3100
44,05/07/2021,3200,3000,3100,3100,1814190,3100
45,06/07/2021,3100,2800,3100,2900,3247400,2900
46,07/07/2021,2900,2700,2900,2700,2676060,2700
47,08/07/2021,2900,2600,2700,2900,2242306,2900
48,09/07/2021,3100,2800,3000,2800,1932060,2800
49,12/07/2021,2900,2600,2800,2600,1563511,2600
50,13/07/2021,2800,2400,2600,2800,1681300,2800
51,14/07/2021,2900,2600,2800,2700,982301,2700
52,15/07/2021,2700,2500,2700,2600,619732,2600
53,16/07/2021,2600,2500,2600,2500,621800,2500
54,19/07/2021,2500,2300,2500,2300,1970277,2300
55,20/07/2021,2300,2100,2300,2300,1286036,2300
56,21/07/2021,2500,2200,2200,2400,898229,2400
57,22/07/2021,2600,2300,2400,2600,1010840,2600
58,23/07/2021,2600,2400,2600,2400,1064561,2400
59,26/07/2021,2400,2200,2400,2300,791155,2300
60,27/07/2021,2500,2300,2300,2300,1052811,2300
61,28/07/2021,2400,2300,2400,2300,547436,2300
62,29/07/2021,2400,2300,2400,2300,269261,2300
63,30/07/2021,2400,2300,2300,2400,592463,2400
64,02/08/2021,2400,2300,2400,2300,465077,2300
65,03/08/2021,2400,2300,2300,2400,461955,2400
66,04/08/2021,2500,2300,2400,2400,1222412,2400
67,05/08/2021,2600,2400,2400,2600,2443438,2600
68,06/08/2021,2800,2600,2700,2800,1636026,2800
69,09/08/2021,2900,2700,2900,2800,1379736,2800
70,10/08/2021,2800,2600,2800,2700,1672002,2700
71,11/08/2021,2800,2600,2700,2800,926074,2800
72,12/08/2021,2800,2600,2700,2700,676405,2700
73,13/08/2021,2700,2500,2700,2600,2383838,2600
74,16/08/2021,2700,2500,2500,2600,1232915,2600
75,17/08/2021,2700,2600,2600,2600,860533,2600
76,18/08/2021,2700,2500,2600,2600,884897,2600
77,19/08/2021,2700,2500,2600,2600,1072571,2600
78,20/08/2021,2800,2600,2700,2700,3458366,2700
79,23/08/2021,2800,2600,2700,2700,1451010,2700
80,24/08/2021,2800,2600,2700,2700,1821854,2700
81,25/08/2021,2800,2600,2700,2800,1212011,2800
82,26/08/2021,2800,2600,2800,2700,1151846,2700
83,27/08/2021,2700,2600,2600,2700,1066224,2700
84,30/08/2021,2800,2600,2600,2800,1383513,2800
85,31/08/2021,2900,2700,2800,2900,2163926,2900
86,01/09/2021,3100,2900,2900,3100,4541015,3100
87,06/09/2021,3400,3100,3100,3400,3157962,3400
88,07/09/2021,3700,3200,3500,3200,6620464,3200
89,08/09/2021,3500,3000,3200,3300,3272566,3300
90,09/09/2021,3600,3200,3200,3600,3522816,3600
91,10/09/2021,3700,3400,3600,3500,2832179,3500
92,13/09/2021,3700,3400,3500,3600,3119275,3600
93,14/09/2021,3900,3600,3600,3900,5325162,3900
94,15/09/2021,4200,3700,3700,4200,7372114,4200
95,16/09/2021,4400,3900,4300,3900,4723044,3900
96,17/09/2021,3900,3600,3700,3600,5278860,3600
97,20/09/2021,3900,3600,3600,3900,2814138,3900
98,21/09/2021,4100,3800,3900,4000,4611453,4000
