,Date,High,Low,Open,Close,Volume,Adj Close
0,25/07/2023,17000,17000,17000,17000,300,15800
1,26/07/2023,17000,17000,17000,17000,-,15800
2,27/07/2023,17000,17000,17000,17000,200,15800
3,28/07/2023,17000,17000,17000,17000,-,15800
4,31/07/2023,17200,17200,17200,17200,110,16000
5,01/08/2023,17600,17100,17100,17600,600,16300
6,02/08/2023,18000,17600,17600,18000,400,16700
7,03/08/2023,18000,18000,18000,18000,-,16700
8,04/08/2023,17600,17600,17600,17600,1002,16300
9,07/08/2023,17600,17600,17600,17600,1,16300
10,08/08/2023,17600,17600,17600,17600,1000,16300
11,09/08/2023,17600,17600,17600,17600,2,16300
12,10/08/2023,17600,17600,17600,17600,-,16300
13,11/08/2023,17600,17600,17600,17600,700,16300
14,14/08/2023,17400,17400,17400,17400,200,16200
15,15/08/2023,17400,17400,17400,17400,-,16200
16,16/08/2023,17500,17400,17500,17400,400,16200
17,17/08/2023,17400,17400,17400,17400,1,16200
18,18/08/2023,17400,17400,17400,17400,4700,16200
19,21/08/2023,17400,17200,17400,17300,1700,16100
20,22/08/2023,17300,17200,17200,17300,1300,16100
21,23/08/2023,17300,17300,17300,17300,1000,16100
22,24/08/2023,17300,17300,17300,17300,-,16100
23,25/08/2023,17300,17300,17300,17300,-,16100
24,28/08/2023,19000,19000,19000,19000,105,17600
25,29/08/2023,18000,18000,18000,18000,140,16700
26,30/08/2023,19600,19600,19600,19600,102,18200
27,31/08/2023,19600,19600,19600,19600,4,18200
28,05/09/2023,19600,19600,19600,19600,-,18200
29,06/09/2023,19500,19000,19000,19500,900,18100
30,07/09/2023,19500,19500,19500,19500,-,18100
31,08/09/2023,19000,19000,19000,19000,800,17600
32,11/09/2023,19000,19000,19000,19000,-,17600
33,12/09/2023,19000,19000,19000,19000,204,17600
34,13/09/2023,19000,19000,19000,19000,-,17600
35,14/09/2023,19000,17500,19000,19000,400,17600
36,15/09/2023,18200,18200,18200,18200,100,16900
37,18/09/2023,18200,18200,18200,18200,-,16900
38,19/09/2023,18200,18200,18200,18200,-,16900
39,20/09/2023,18200,18200,18200,18200,-,16900
40,21/09/2023,18200,18200,18200,18200,4,16900
41,22/09/2023,18200,18200,18200,18200,-,16900
42,25/09/2023,18200,18200,18200,18200,-,16900
43,26/09/2023,18200,18200,18200,18200,5,16900
44,27/09/2023,17500,17500,17500,17500,902,16200
45,28/09/2023,17100,17100,17100,17100,200,15900
46,29/09/2023,17100,17100,17100,17100,-,15900
47,02/10/2023,17100,17100,17100,17100,-,15900
48,03/10/2023,17100,17100,17100,17100,-,15900
49,04/10/2023,17100,17100,17100,17100,-,15900
50,05/10/2023,17100,17100,17100,17100,-,15900
51,06/10/2023,17500,17500,17500,17500,100,16200
52,09/10/2023,18000,18000,18000,18000,110,16700
