,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2022,26300,26300,26300,26300,5,25500
1,24/06/2022,26300,26300,26300,26300,1,25500
2,27/06/2022,26300,26300,26300,26300,3,25500
3,28/06/2022,23700,23700,23700,23700,406,22900
4,29/06/2022,21600,21600,21600,21600,100,20900
5,30/06/2022,19700,19700,19700,19700,200,19100
6,01/07/2022,18300,18300,18300,18300,100,17700
7,04/07/2022,18300,18300,18300,18300,-,17700
8,05/07/2022,19000,19000,19000,19000,100,18400
9,06/07/2022,20900,18900,20900,18900,400,18300
10,07/07/2022,20700,20700,20700,20700,100,20000
11,08/07/2022,20700,20700,20700,20700,-,20000
12,11/07/2022,20700,20700,20700,20700,-,20000
13,12/07/2022,20700,20700,20700,20700,-,20000
14,13/07/2022,20700,20700,20700,20700,-,20000
15,14/07/2022,22600,20300,20700,22600,353,21900
16,15/07/2022,22600,22600,22600,22600,1,21900
17,18/07/2022,24800,24800,24800,24800,2300,24000
18,19/07/2022,24800,24800,24800,24800,-,24000
19,20/07/2022,24800,24800,24800,24800,-,24000
20,21/07/2022,24800,24800,24800,24800,-,24000
21,22/07/2022,24800,24800,24800,24800,-,24000
22,25/07/2022,24800,24800,24800,24800,3,24000
23,26/07/2022,24800,24800,24800,24800,-,24000
24,27/07/2022,24800,24800,24800,24800,-,24000
25,28/07/2022,22400,22400,22400,22400,3000,21700
26,29/07/2022,22400,22400,22400,22400,50,21700
27,01/08/2022,22400,22400,22400,22400,-,21700
28,02/08/2022,22400,22400,22400,22400,-,21700
29,03/08/2022,24600,21500,23600,24600,1301,23800
30,04/08/2022,27000,22300,22300,27000,200,26100
31,05/08/2022,24300,24300,24300,24300,100,23500
32,08/08/2022,24300,24300,24300,24300,-,23500
33,09/08/2022,24300,24300,24300,24300,-,23500
34,10/08/2022,25900,22000,22000,25900,200,25100
35,11/08/2022,25900,25900,25900,25900,-,25100
36,12/08/2022,25900,25900,25900,25900,-,25100
37,15/08/2022,23400,23400,23400,23400,500,22700
38,16/08/2022,23400,23400,23400,23400,400,22700
39,17/08/2022,23400,23400,23400,23400,1,22700
40,18/08/2022,21200,21200,21200,21200,2095,20500
41,19/08/2022,23200,19400,19400,23200,605,22500
42,22/08/2022,24200,21000,21100,24200,5900,23400
43,23/08/2022,24200,24200,24200,24200,-,23400
44,24/08/2022,24100,21800,21800,24100,3500,23300
45,25/08/2022,24100,24100,24100,24100,-,23300
46,26/08/2022,21700,21700,21700,21700,3301,21000
47,29/08/2022,23700,20800,21000,23700,1800,22900
48,30/08/2022,23700,23700,23700,23700,-,22900
49,31/08/2022,23000,21400,21400,23000,3300,22300
50,05/09/2022,20800,20700,20800,20700,900,20000
51,06/09/2022,22200,19600,19600,22200,300,21500
52,07/09/2022,20000,20000,20000,20000,3501,19400
53,08/09/2022,19500,19500,19500,19500,300,18900
54,09/09/2022,20700,20400,20400,20700,316,20000
55,12/09/2022,22300,19100,20600,22100,2500,21400
56,13/09/2022,22000,20100,20100,22000,249,21300
57,14/09/2022,22000,22000,22000,22000,83,21300
58,15/09/2022,20100,20100,20100,20100,600,19500
59,16/09/2022,21400,20100,20200,21400,2422,20700
60,19/09/2022,22000,21200,21200,22000,1500,21300
61,20/09/2022,21800,20100,21300,21800,8658,21800
62,21/09/2022,20200,20200,20200,20200,385,20200
63,22/09/2022,20200,20200,20200,20200,-,20200
64,23/09/2022,20300,20300,20300,20300,100,20300
65,26/09/2022,19200,19200,19200,19200,400,19200
66,27/09/2022,19200,19200,19200,19200,-,19200
67,28/09/2022,19200,19200,19200,19200,833,19200
68,29/09/2022,19200,19200,19200,19200,-,19200
69,30/09/2022,19200,19200,19200,19200,-,19200
70,03/10/2022,20100,17400,17400,20100,401,20100
71,04/10/2022,20100,20100,20100,20100,-,20100
72,05/10/2022,20100,20100,20100,20100,-,20100
73,06/10/2022,18200,18200,18200,18200,102,18200
74,07/10/2022,19500,19500,19500,19500,200,19500
75,10/10/2022,19500,19300,19500,19300,34100,19300
76,11/10/2022,18000,18000,18000,18000,269,18000
