,Date,High,Low,Open,Close,Volume,Adj Close
0,23/03/2022,25500,25500,25500,25500,800,23500
1,24/03/2022,25500,25500,25500,25500,1000,23500
2,25/03/2022,26000,25500,25500,26000,400,24000
3,28/03/2022,26000,26000,26000,26000,-,24000
4,29/03/2022,26000,26000,26000,26000,-,24000
5,30/03/2022,25200,25200,25200,25200,100,23300
6,31/03/2022,25200,25200,25200,25200,-,23300
7,01/04/2022,25500,25000,25500,25000,2400,23100
8,04/04/2022,25500,25500,25500,25500,100,23500
9,05/04/2022,25500,25500,25500,25500,-,23500
10,06/04/2022,25500,24800,24800,25500,800,23500
11,07/04/2022,25600,25600,25600,25600,210,23600
12,08/04/2022,25600,25600,25600,25600,-,23600
13,12/04/2022,25600,25600,25600,25600,-,23600
14,13/04/2022,25600,25600,25600,25600,-,23600
15,14/04/2022,26000,25600,25600,26000,1100,24000
16,15/04/2022,26000,26000,26000,26000,-,24000
17,18/04/2022,26000,26000,26000,26000,-,24000
18,19/04/2022,26000,26000,26000,26000,-,24000
19,20/04/2022,26000,26000,26000,26000,-,24000
20,21/04/2022,26000,26000,26000,26000,10,24000
21,22/04/2022,26000,26000,26000,26000,-,24000
22,25/04/2022,25900,23900,25900,24000,1700,22200
23,26/04/2022,24000,24000,24000,24000,100,22200
24,27/04/2022,24000,22100,24000,22100,10800,20400
25,28/04/2022,24300,24300,24300,24300,100,22400
26,29/04/2022,26000,21900,21900,26000,200,24000
27,04/05/2022,25600,25500,25500,25600,300,23600
28,05/05/2022,26000,25900,25900,26000,5500,24000
29,06/05/2022,23400,23400,23400,23400,100,21600
30,09/05/2022,21600,21100,21100,21600,300,19900
31,10/05/2022,21600,21600,21600,21600,-,19900
32,11/05/2022,21600,21600,21600,21600,-,19900
33,12/05/2022,23700,23700,23700,23700,700,21900
34,13/05/2022,24000,24000,24000,24000,200,22200
35,16/05/2022,21600,21600,21600,21600,100,19900
36,17/05/2022,21600,21600,21600,21600,-,19900
37,18/05/2022,22100,22100,22100,22100,300,20400
38,19/05/2022,22100,22100,22100,22100,-,20400
39,20/05/2022,22100,22100,22100,22100,-,20400
40,23/05/2022,22100,22100,22100,22100,-,20400
41,24/05/2022,22100,22100,22100,22100,-,20400
42,25/05/2022,22100,22100,22100,22100,-,20400
43,26/05/2022,22100,22100,22100,22100,-,20400
44,27/05/2022,22100,22100,22100,22100,-,20400
45,30/05/2022,22100,22100,22100,22100,-,20400
46,31/05/2022,22100,22100,22100,22100,-,20400
47,01/06/2022,24200,24200,24200,24200,100,22300
48,02/06/2022,24200,24200,24200,24200,2100,22300
49,03/06/2022,24200,24200,24200,24200,-,22300
50,06/06/2022,26000,26000,26000,26000,200,24000
51,07/06/2022,26000,26000,26000,26000,-,24000
52,08/06/2022,26000,26000,26000,26000,-,24000
53,09/06/2022,26400,26400,26400,26400,100,26400
54,10/06/2022,26400,26400,26400,26400,-,26400
55,13/06/2022,26400,26400,26400,26400,-,26400
56,14/06/2022,26400,26400,26400,26400,-,26400
57,15/06/2022,26400,26400,26400,26400,-,26400
58,16/06/2022,26400,26400,26400,26400,-,26400
59,17/06/2022,26400,26400,26400,26400,-,26400
60,20/06/2022,26400,26400,26400,26400,-,26400
61,21/06/2022,26400,26400,26400,26400,-,26400
62,22/06/2022,26400,26400,26400,26400,-,26400
63,23/06/2022,26400,26400,26400,26400,-,26400
64,24/06/2022,26400,26400,26400,26400,-,26400
65,27/06/2022,26400,26400,26400,26400,-,26400
66,28/06/2022,26400,26400,26400,26400,-,26400
67,29/06/2022,26400,26400,26400,26400,-,26400
68,30/06/2022,26400,26400,26400,26400,-,26400
69,01/07/2022,24000,24000,24000,24000,500,24000
70,04/07/2022,24000,24000,24000,24000,-,24000
71,05/07/2022,24000,24000,24000,24000,-,24000
72,06/07/2022,24000,24000,24000,24000,-,24000
73,07/07/2022,24000,24000,24000,24000,-,24000
74,08/07/2022,24000,24000,24000,24000,-,24000
75,11/07/2022,24000,24000,24000,24000,-,24000
76,12/07/2022,24000,24000,24000,24000,-,24000
77,13/07/2022,24000,24000,24000,24000,-,24000
78,14/07/2022,24000,24000,24000,24000,-,24000
79,15/07/2022,24000,24000,24000,24000,-,24000
80,18/07/2022,24000,24000,24000,24000,-,24000
81,19/07/2022,24000,24000,24000,24000,-,24000
82,20/07/2022,24000,24000,24000,24000,-,24000
83,21/07/2022,24000,24000,24000,24000,-,24000
84,22/07/2022,24000,24000,24000,24000,-,24000
85,25/07/2022,24000,24000,24000,24000,-,24000
86,26/07/2022,24000,24000,24000,24000,-,24000
87,27/07/2022,24000,24000,24000,24000,-,24000
