,Date,High,Low,Open,Close,Volume,Adj Close
0,07/11/2022,10900,10900,10900,10900,1502,10900
1,08/11/2022,10700,10700,10700,10700,2500,10700
2,09/11/2022,10900,10800,10800,10900,4000,10900
3,10/11/2022,10900,10900,10900,10900,4504,10900
4,11/11/2022,10700,9900,9900,10700,1100,10700
5,14/11/2022,10900,10900,10900,10900,4004,10900
6,15/11/2022,10700,10600,10700,10600,2100,10600
7,16/11/2022,10900,10700,10900,10700,4000,10700
8,17/11/2022,10700,10700,10700,10700,4300,10700
9,18/11/2022,10700,10600,10600,10700,3600,10700
10,21/11/2022,10700,10600,10600,10700,5100,10700
11,22/11/2022,10700,10600,10600,10700,2900,10700
12,23/11/2022,10800,10800,10800,10800,3400,10800
13,24/11/2022,10800,10700,10800,10800,4401,10800
14,25/11/2022,10800,10800,10800,10800,3300,10800
15,28/11/2022,10700,10600,10600,10700,4300,10700
16,29/11/2022,10700,10600,10700,10700,4100,10700
17,30/11/2022,10800,10500,10700,10700,4416,10700
18,01/12/2022,11000,10000,10000,11000,9000,11000
19,02/12/2022,11000,10000,11000,10900,700,10900
20,05/12/2022,10900,10700,10700,10700,5300,10700
21,06/12/2022,10700,9700,10000,10700,9046,10700
22,07/12/2022,10600,10600,10600,10600,3500,10600
23,08/12/2022,10700,9600,10400,10700,5600,10700
24,09/12/2022,10700,10400,10600,10600,6500,10600
25,12/12/2022,10600,10200,10500,10600,6400,10600
26,13/12/2022,10600,10600,10600,10600,3100,10600
27,14/12/2022,10600,10600,10600,10600,3700,10600
28,15/12/2022,10600,10500,10500,10600,3400,10600
29,16/12/2022,10600,10600,10600,10600,3600,10600
30,19/12/2022,10600,10500,10600,10600,4200,10600
31,20/12/2022,10700,10200,10600,10700,5900,10700
32,21/12/2022,10800,10400,10700,10800,5200,10800
33,22/12/2022,10900,10800,10800,10900,3500,10900
34,23/12/2022,10900,10900,10900,10900,4300,10900
35,26/12/2022,11000,10400,10900,10900,6500,10900
36,27/12/2022,10900,10300,10600,10900,3600,10900
37,28/12/2022,10900,10400,10900,10800,3900,10800
38,29/12/2022,10900,10900,10900,10900,3510,10900
39,30/12/2022,10900,10800,10800,10900,2502,10900
40,03/01/2023,10900,10800,10900,10900,4500,10900
41,04/01/2023,10900,10400,10800,10400,5000,10400
42,05/01/2023,10500,10400,10400,10500,4816,10500
43,06/01/2023,10700,10300,10500,10600,5300,10600
44,09/01/2023,10700,10600,10600,10700,4300,10700
45,10/01/2023,10700,10600,10600,10700,4600,10700
46,11/01/2023,10700,10600,10600,10700,4300,10700
47,12/01/2023,10700,10600,10600,10700,2400,10700
48,13/01/2023,10700,10400,10700,10700,3200,10700
49,16/01/2023,10700,10700,10700,10700,3219,10700
50,17/01/2023,10600,10500,10500,10600,4200,10600
51,18/01/2023,10700,10600,10600,10700,3400,10700
52,19/01/2023,10700,10600,10600,10700,6500,10700
53,27/01/2023,10700,10700,10700,10700,-,10700
54,30/01/2023,10800,10700,10700,10800,5200,10800
