,Date,High,Low,Open,Close,Volume,Adj Close
0,08/09/2022,7700,7300,7600,7400,2085418,7400
1,09/09/2022,7500,7200,7400,7400,2048446,7400
2,12/09/2022,7600,7400,7500,7500,976108,7500
3,13/09/2022,7500,7300,7500,7400,731640,7400
4,14/09/2022,7300,7100,7300,7200,1627783,7200
5,15/09/2022,7300,7100,7300,7200,1335574,7200
6,16/09/2022,7200,6900,7200,6900,2030374,6900
7,19/09/2022,7000,6300,6900,6300,2297387,6300
8,20/09/2022,6500,6300,6400,6500,1259956,6500
9,21/09/2022,6600,6400,6400,6500,684087,6500
10,22/09/2022,6600,6300,6500,6600,1187003,6600
11,23/09/2022,7200,6500,6600,7200,3222630,7200
12,26/09/2022,7300,6800,7200,6900,1836138,6900
13,27/09/2022,7000,6800,6900,6800,699570,6800
14,28/09/2022,6800,6600,6800,6700,1094105,6700
15,29/09/2022,6900,6500,6700,6500,818932,6500
16,30/09/2022,6500,6100,6500,6400,1601164,6400
17,03/10/2022,6500,5900,6400,5900,1170710,5900
18,04/10/2022,6300,5800,6000,6100,1474158,6100
19,05/10/2022,6400,6000,6000,6300,1052972,6300
20,06/10/2022,6300,5900,6300,5900,951899,5900
21,07/10/2022,6000,5400,6000,5400,2189761,5400
22,10/10/2022,5500,5000,5400,5400,1039448,5400
23,11/10/2022,5400,4900,5400,4900,1594628,4900
24,12/10/2022,5200,4800,4900,5100,739568,5100
25,13/10/2022,5200,5000,5100,5100,526104,5100
26,14/10/2022,5300,4600,4600,5100,984208,5100
27,17/10/2022,5200,4900,5100,5100,857081,5100
28,18/10/2022,5300,5100,5100,5200,618135,5200
29,19/10/2022,5300,5000,5300,5000,538820,5000
30,20/10/2022,5100,4900,5000,5000,471980,5000
31,21/10/2022,5100,4500,5000,4500,1407676,4500
32,24/10/2022,4700,4100,4500,4100,1541450,4100
33,25/10/2022,4300,3700,4200,4100,1350985,4100
34,26/10/2022,4200,3800,3800,4000,608427,4000
35,27/10/2022,4300,4000,4000,4300,829952,4300
36,28/10/2022,4400,4100,4300,4100,999058,4100
37,31/10/2022,4300,4000,4100,4200,1202684,4200
38,01/11/2022,4300,4100,4100,4200,587650,4200
39,02/11/2022,4200,3800,3800,4100,568354,4100
40,03/11/2022,4100,4000,4100,4100,282560,4100
41,04/11/2022,4100,3800,4100,3900,943054,3900
42,07/11/2022,4000,3600,3800,3600,1084799,3600
43,08/11/2022,3700,3300,3500,3500,753331,3500
44,09/11/2022,3700,3400,3400,3600,427005,3600
45,10/11/2022,3600,3300,3600,3300,979501,3300
46,11/11/2022,3400,3000,3000,3200,693608,3200
47,14/11/2022,3200,2900,2900,3000,1042641,3000
48,15/11/2022,3000,2700,2700,2700,1625738,2700
49,16/11/2022,2900,2500,2600,2900,2272101,2900
50,17/11/2022,3100,2700,3000,3100,1396993,3100
51,18/11/2022,3200,2900,3100,3200,1715569,3200
52,21/11/2022,3500,2900,2900,3500,2065459,3500
53,22/11/2022,3800,3400,3600,3600,2123203,3600
54,23/11/2022,3700,3400,3600,3400,1058429,3400
55,24/11/2022,3400,3200,3300,3400,672200,3400
56,25/11/2022,3600,3400,3400,3500,819245,3500
57,28/11/2022,3800,3500,3600,3800,1905924,3800
58,29/11/2022,4100,3700,3800,3900,1763592,3900
59,30/11/2022,4000,3800,4000,3900,1959942,3900
60,01/12/2022,4200,3900,4000,4100,2673087,4100
61,02/12/2022,4200,3900,4000,4200,1468487,4200
62,05/12/2022,4500,4200,4200,4400,2358439,4400
63,06/12/2022,4500,4000,4500,4000,4055600,4000
64,07/12/2022,4000,3600,4000,3800,1816821,3800
65,08/12/2022,4000,3800,3800,4000,1270345,4000
66,09/12/2022,4000,3700,4000,3800,1129280,3800
67,12/12/2022,4000,3700,3800,3800,1183793,3800
68,13/12/2022,3800,3600,3800,3800,788914,3800
69,14/12/2022,3900,3700,3800,3800,817198,3800
70,15/12/2022,3900,3700,3700,3800,692849,3800
71,16/12/2022,3900,3700,3800,3800,478236,3800
72,19/12/2022,4100,3800,3800,4100,2939672,4100
73,20/12/2022,4200,3800,3900,3900,1416621,3900
74,21/12/2022,4000,3600,3900,3700,1483062,3700
75,22/12/2022,3800,3500,3700,3700,919410,3700
76,23/12/2022,3700,3500,3700,3500,749604,3500
77,26/12/2022,3600,3200,3500,3200,1178099,3200
78,27/12/2022,3400,3100,3200,3400,642077,3400
79,28/12/2022,3500,3300,3400,3400,582240,3400
80,29/12/2022,3500,3300,3300,3300,260964,3300
81,30/12/2022,3400,3300,3400,3300,651355,3300
82,03/01/2023,3600,3300,3300,3500,674035,3500
83,04/01/2023,3600,3400,3600,3500,756750,3500
84,05/01/2023,3600,3400,3500,3500,630546,3500
85,06/01/2023,3600,3400,3500,3400,622361,3400
86,09/01/2023,3600,3400,3500,3500,635929,3500
87,10/01/2023,3500,3400,3500,3400,266000,3400
88,11/01/2023,3600,3400,3400,3500,606724,3500
89,12/01/2023,3600,3400,3500,3400,549480,3400
90,13/01/2023,3600,3400,3500,3500,464500,3500
91,16/01/2023,3500,3400,3500,3400,459800,3400
92,17/01/2023,3500,3400,3400,3500,552700,3500
93,18/01/2023,3600,3400,3500,3600,1040981,3600
94,19/01/2023,3600,3500,3600,3600,841448,3600
95,27/01/2023,3700,3600,3600,3600,684044,3600
96,30/01/2023,3900,3600,3600,3900,3046337,3900
97,31/01/2023,4100,3900,3900,4000,2715410,4000
98,01/02/2023,4100,3700,4000,3800,1865843,3800
99,02/02/2023,3900,3700,3800,3800,820017,3800
100,03/02/2023,3900,3700,3900,3700,502611,3700
101,06/02/2023,3800,3600,3700,3700,544690,3700
102,07/02/2023,3900,3700,3700,3800,1355895,3800
103,08/02/2023,3800,3600,3800,3700,651595,3700
104,09/02/2023,3800,3600,3700,3700,480789,3700
105,10/02/2023,3800,3600,3600,3600,443124,3600
106,13/02/2023,3700,3400,3700,3500,1820466,3500
107,14/02/2023,3600,3400,3500,3600,353860,3600
108,15/02/2023,3700,3500,3600,3500,623838,3500
109,16/02/2023,3600,3500,3600,3600,435027,3600
110,17/02/2023,3700,3500,3600,3600,456289,3600
111,20/02/2023,3800,3600,3600,3800,1145728,3800
112,21/02/2023,4000,3700,3800,3800,2617321,3800
113,22/02/2023,4100,3700,3800,4000,5823884,4000
114,23/02/2023,4000,3700,3900,3900,2457777,3900
115,24/02/2023,4200,3800,3900,4200,6310919,4200
116,27/02/2023,4600,4100,4200,4600,7102393,4600
117,28/02/2023,4800,4200,4700,4200,5388361,4200
118,01/03/2023,4400,3900,4000,4100,4371529,4100
119,02/03/2023,4500,4100,4200,4100,2377284,4100
120,03/03/2023,4300,3900,4100,3900,2974090,3900
121,06/03/2023,4100,3900,4000,4000,1997402,4000
122,07/03/2023,4100,3900,4000,4000,1233076,4000
123,08/03/2023,4100,3900,4000,4000,1405331,4000
124,09/03/2023,4100,4000,4000,4100,1335893,4100
125,10/03/2023,4100,3900,4100,4000,1583929,4000
126,13/03/2023,4000,3800,4000,3900,2083990,3900
127,14/03/2023,3900,3700,3900,3700,2632465,3700
128,15/03/2023,3900,3700,3800,3800,1283075,3800
129,16/03/2023,3900,3700,3900,3700,741447,3700
130,17/03/2023,3900,3700,3700,3700,851059,3700
131,20/03/2023,3900,3700,3700,3700,1072089,3700
132,21/03/2023,3800,3700,3700,3800,935696,3800
133,22/03/2023,3800,3700,3800,3700,283174,3700
134,23/03/2023,3800,3600,3700,3800,764802,3800
135,24/03/2023,3900,3700,3800,3700,1132602,3700
136,27/03/2023,3800,3700,3800,3800,679137,3800
137,28/03/2023,3900,3800,3800,3800,1634473,3800
138,29/03/2023,3800,3600,3800,3700,1849597,3700
139,30/03/2023,3800,3700,3800,3700,732891,3700
140,31/03/2023,3800,3600,3700,3700,1043134,3700
141,03/04/2023,3800,3700,3700,3800,1131065,3800
142,04/04/2023,3900,3700,3800,3900,1792578,3900
143,05/04/2023,4100,3800,3900,4000,3541350,4000
144,06/04/2023,4300,4000,4000,4000,3088014,4000
145,07/04/2023,4100,3800,4000,3900,1729054,3900
146,10/04/2023,4100,3900,3900,3900,2000091,3900
147,11/04/2023,4000,3800,3900,4000,967761,4000
148,12/04/2023,4100,3900,4000,4000,1136650,4000
149,13/04/2023,4400,4000,4000,4400,6126238,4400
150,14/04/2023,4700,4300,4500,4300,4853926,4300
151,17/04/2023,4300,4000,4200,4100,2484616,4100
