,Date,High,Low,Open,Close,Volume,Adj Close
0,29/05/2023,15100,14500,14600,14700,1314182,14700
1,30/05/2023,15200,14400,14900,14700,1600839,14700
2,31/05/2023,15500,14500,14800,15100,2316855,15100
3,01/06/2023,15400,14800,15200,15000,1453475,15000
4,02/06/2023,15500,14900,15100,14900,1979694,14900
5,05/06/2023,16000,15000,15500,15700,3003217,15700
6,06/06/2023,15900,15300,15700,15900,1958560,15900
7,07/06/2023,16300,15600,15900,15800,3128707,15800
8,08/06/2023,16000,14800,16000,14800,3288919,14800
9,09/06/2023,15100,14200,15000,14600,1406498,14600
10,12/06/2023,15000,14200,14700,14700,663987,14700
11,13/06/2023,15000,14600,14800,14800,714511,14800
12,14/06/2023,15200,14600,15100,14600,763777,14600
13,15/06/2023,14800,14200,14700,14200,912320,14200
14,16/06/2023,15000,14300,14600,14300,1178049,14300
15,19/06/2023,14000,12900,14000,12900,5046394,12900
16,20/06/2023,12800,11700,12000,12100,2769840,12100
17,21/06/2023,13000,11800,11800,12600,1523424,12600
18,22/06/2023,12600,12000,12600,12200,3120968,12200
19,23/06/2023,12800,11800,12200,12600,2472084,12600
20,26/06/2023,11400,11400,11400,11400,168912,11400
21,27/06/2023,10300,10300,10300,10300,244329,10300
22,28/06/2023,9300,9300,9300,9300,280065,9300
23,29/06/2023,8400,8400,8400,8400,86642,8400
24,30/06/2023,7600,7600,7600,7600,420257,7600
25,03/07/2023,7500,6900,6900,6900,11545469,6900
26,04/07/2023,7500,6800,6800,7500,2884568,7500
27,05/07/2023,8200,6800,8000,6900,5766516,6900
28,06/07/2023,7100,6700,7000,7000,2893491,7000
29,07/07/2023,7700,6900,7000,7100,2152444,7100
30,10/07/2023,7200,6400,7200,6400,3430746,6400
31,11/07/2023,6200,5800,5900,5800,5214738,5800
32,12/07/2023,6300,5700,5800,6300,1943622,6300
33,13/07/2023,6700,6100,6600,6300,2276119,6300
34,14/07/2023,6300,5900,6300,6100,1950371,6100
35,17/07/2023,6300,6000,6100,6200,1425500,6200
36,18/07/2023,6500,6200,6300,6300,1483521,6300
37,19/07/2023,6500,6100,6500,6100,1045772,6100
38,20/07/2023,6200,5900,6100,6100,1170864,6100
39,21/07/2023,6200,6000,6200,6100,857302,6100
40,24/07/2023,6300,6000,6100,6200,1413294,6200
41,25/07/2023,6200,6000,6200,6100,857897,6100
42,26/07/2023,6100,5900,6100,6000,808281,6000
43,27/07/2023,6100,5800,6100,6000,939439,6000
44,28/07/2023,6100,5900,6000,6000,831473,6000
45,31/07/2023,6600,6000,6000,6600,3677388,6600
46,01/08/2023,7200,6800,6900,7100,3279787,7100
47,02/08/2023,7200,6400,7100,6600,2879500,6600
48,03/08/2023,6800,6400,6800,6500,1315867,6500
49,04/08/2023,6800,6500,6600,6800,1676501,6800
50,07/08/2023,7300,6800,6900,7100,2211373,7100
51,08/08/2023,7300,6900,7200,7000,1705219,7000
52,09/08/2023,7100,6800,7000,7000,1169404,7000
53,10/08/2023,7200,6900,7000,7100,1481005,7100
54,11/08/2023,7200,6700,7100,6900,1246836,6900
55,14/08/2023,7100,6900,7000,7000,1358490,7000
56,15/08/2023,7700,7100,7100,7700,3815793,7700
57,16/08/2023,8000,7500,7700,7600,1656155,7600
58,17/08/2023,8300,7600,7600,7900,2689822,7900
59,18/08/2023,8100,7200,8000,7200,2738284,7200
60,21/08/2023,7500,6800,7200,7400,2410257,7400
61,22/08/2023,7600,6900,7400,7500,1889985,7500
62,23/08/2023,7800,7300,7600,7400,1153210,7400
63,24/08/2023,7500,7000,7400,7500,1409622,7500
64,25/08/2023,7600,7200,7500,7300,1087862,7300
65,28/08/2023,7500,6700,7500,7100,2984893,7100
66,29/08/2023,7300,6900,7100,7200,1193699,7200
67,30/08/2023,7300,7000,7200,7200,1392433,7200
68,31/08/2023,7400,7200,7200,7300,1365394,7300
69,05/09/2023,7800,7300,7300,7600,2355625,7600
70,06/09/2023,7800,7400,7600,7600,1585946,7600
71,07/09/2023,7900,7400,7600,7700,2186279,7700
72,08/09/2023,7800,7500,7600,7500,1348634,7500
73,11/09/2023,7600,7200,7500,7200,1653379,7200
74,12/09/2023,7400,7200,7200,7400,907348,7400
75,13/09/2023,7500,7200,7400,7300,1000179,7300
76,14/09/2023,7300,7000,7300,7100,819225,7100
77,15/09/2023,7200,7000,7000,7100,625192,7100
78,18/09/2023,7100,6900,7100,7000,543663,7000
79,19/09/2023,7100,6800,7000,7000,390473,7000
80,20/09/2023,7100,6900,7000,7100,772819,7100
81,21/09/2023,7100,6900,7100,7100,588532,7100
82,22/09/2023,7100,6600,7100,6700,1043752,6700
83,25/09/2023,6700,6100,6700,6100,1733970,6100
84,26/09/2023,6100,5800,6100,5900,650665,5900
85,27/09/2023,6000,5700,5800,6000,566244,6000
86,28/09/2023,6100,5900,6000,6000,467988,6000
87,29/09/2023,6200,6000,6100,6000,366096,6000
88,02/10/2023,6100,5900,6000,6100,244650,6100
89,03/10/2023,6000,5600,6000,5700,560314,5700
90,04/10/2023,5800,5500,5500,5700,322106,5700
91,05/10/2023,5800,5600,5800,5600,187385,5600
92,06/10/2023,5700,5500,5600,5600,203948,5600
93,09/10/2023,5900,5600,5700,5800,301128,5800
94,10/10/2023,6200,5800,5900,6000,397679,6000
95,11/10/2023,6100,5900,6000,6000,222767,6000
96,12/10/2023,6100,6000,6000,6000,301225,6000
97,13/10/2023,6100,5900,6000,6000,266798,6000
98,16/10/2023,6100,5900,6000,5900,163701,5900
99,17/10/2023,6000,5800,5900,6000,270775,6000
100,18/10/2023,6000,5400,6000,5600,458600,5600
101,19/10/2023,5700,5400,5700,5600,423081,5600
102,20/10/2023,5700,5400,5500,5700,319667,5700
103,23/10/2023,5800,5600,5700,5700,147601,5700
