,Date,High,Low,Open,Close,Volume,Adj Close
0,22/05/2023,15000,14500,14800,15000,2178142,15000
1,23/05/2023,15500,15000,15200,15200,3140410,15200
2,24/05/2023,15800,15200,15400,15300,2738737,15300
3,25/05/2023,15300,14700,15300,14800,2087426,14800
4,26/05/2023,15300,14700,14800,15300,1451545,15300
5,29/05/2023,15800,15200,15400,15800,2685701,15800
6,30/05/2023,15900,15400,15800,15800,1775699,15800
7,31/05/2023,16300,15600,15800,15900,2292638,15900
8,01/06/2023,16100,15500,15900,15800,2446577,15800
9,02/06/2023,16200,15700,15800,15700,2009556,15700
10,05/06/2023,16000,15500,15900,15600,2550195,15600
11,06/06/2023,15900,15200,15600,15700,3235379,15700
12,07/06/2023,16000,15600,15700,15800,1752671,15800
13,08/06/2023,15900,14800,15900,14800,3257275,14800
14,09/06/2023,15100,14200,14800,14800,3700360,14800
15,12/06/2023,15200,14300,15000,14800,1744665,14800
16,13/06/2023,15100,14700,14900,14700,2008173,14700
17,14/06/2023,15000,14600,14700,14700,1599691,14700
18,15/06/2023,14800,14500,14600,14600,1444034,14600
19,16/06/2023,15900,14700,14700,15200,5575616,15200
20,19/06/2023,15200,13700,14600,13700,11265964,13700
21,20/06/2023,14400,13200,13800,13700,2931506,13700
22,21/06/2023,14400,13400,13700,14000,2690318,14000
23,22/06/2023,14100,13700,14000,13900,2994878,13900
24,23/06/2023,14400,13700,13900,14300,3627753,14300
25,26/06/2023,12900,12900,12900,12900,619100,12900
26,27/06/2023,11700,11700,11700,11700,245091,11700
27,28/06/2023,10600,10600,10600,10600,314172,10600
28,29/06/2023,9600,9600,9600,9600,196395,9600
29,30/06/2023,8700,8700,8700,8700,120621,8700
30,03/07/2023,8100,7900,7900,7900,7252038,7900
31,04/07/2023,8500,7200,7200,8400,11992135,8400
32,05/07/2023,8800,7600,8400,7600,6217129,7600
33,06/07/2023,7600,6900,7600,6900,9164702,6900
34,07/07/2023,7400,6500,6900,7000,2087712,7000
35,10/07/2023,7200,6300,7000,6300,3862572,6300
36,11/07/2023,6000,5700,6000,5700,7047639,5700
37,12/07/2023,6200,5400,5700,6200,2796133,6200
38,13/07/2023,6700,6200,6300,6400,2967312,6400
39,14/07/2023,6500,6200,6500,6400,2687702,6400
40,17/07/2023,6600,6300,6400,6500,2317350,6500
41,18/07/2023,6800,6500,6600,6500,2445772,6500
42,19/07/2023,6700,6400,6500,6400,1341929,6400
43,20/07/2023,6600,6200,6400,6400,2016359,6400
44,21/07/2023,6700,6300,6400,6500,1364500,6500
45,24/07/2023,6700,6400,6500,6600,2716173,6600
46,25/07/2023,6600,6400,6600,6400,1329832,6400
47,26/07/2023,6500,6300,6500,6400,1643154,6400
48,27/07/2023,6500,6200,6300,6400,1448152,6400
49,28/07/2023,6500,6300,6400,6400,1803061,6400
50,31/07/2023,7000,6200,6400,7000,4993363,7000
51,01/08/2023,7700,7200,7200,7700,2638998,7700
52,02/08/2023,8100,7100,8000,7400,4711560,7400
53,03/08/2023,7500,7100,7400,7300,2053725,7300
54,04/08/2023,7500,7200,7300,7500,2310822,7500
55,07/08/2023,8100,7500,7500,8000,3765377,8000
56,08/08/2023,8200,7800,8200,7900,2371114,7900
57,09/08/2023,8200,7700,8200,8000,1773872,8000
58,10/08/2023,8200,7900,8000,8000,2151620,8000
59,11/08/2023,8200,7600,8100,7900,1738447,7900
60,14/08/2023,8200,7900,8000,8000,2387357,8000
61,15/08/2023,8800,8000,8000,8700,3578084,8700
62,16/08/2023,8900,8400,8800,8500,2294804,8500
63,17/08/2023,9300,8500,8500,9000,4925575,9000
64,18/08/2023,9500,8400,9000,8400,6546550,8400
65,21/08/2023,9200,8200,8400,9200,3537867,9200
66,22/08/2023,9600,8500,9500,9500,5146833,9500
67,23/08/2023,9900,9400,9600,9700,2486405,9700
68,24/08/2023,9800,9400,9700,9600,3024021,9600
69,25/08/2023,9800,9400,9600,9500,2928736,9500
70,28/08/2023,9600,8600,9400,9000,5401131,9000
71,29/08/2023,9300,8800,8900,9100,1979879,9100
72,30/08/2023,9500,8900,9200,9300,2960925,9300
73,31/08/2023,9600,9200,9400,9300,2627093,9300
74,05/09/2023,9700,9300,9300,9500,2580707,9500
75,06/09/2023,10100,9200,9500,9800,4499187,9800
76,07/09/2023,10000,9700,9800,9700,2776434,9700
77,08/09/2023,9700,9400,9600,9500,3961324,9500
78,11/09/2023,9600,9000,9500,9100,3524880,9100
79,12/09/2023,9400,9000,9100,9400,1920595,9400
80,13/09/2023,9600,9100,9500,9200,2243295,9200
81,14/09/2023,9300,8900,9200,9000,1932385,9000
82,15/09/2023,9200,8900,9000,8900,996884,8900
83,18/09/2023,8900,8500,8900,8600,1631734,8600
84,19/09/2023,8800,8400,8600,8700,1477799,8700
85,20/09/2023,8900,8600,8700,8900,1356139,8900
86,21/09/2023,9000,8700,8900,8800,1108218,8800
87,22/09/2023,8800,8000,8800,8300,2376980,8300
88,25/09/2023,8300,7500,8300,7500,1027234,7500
89,26/09/2023,7500,6800,6800,6900,4639471,6900
90,27/09/2023,7200,6800,6800,7200,951476,7200
91,28/09/2023,7300,6900,7200,7000,741008,7000
92,29/09/2023,7300,7000,7000,7000,811119,7000
93,02/10/2023,7000,6800,7000,7000,1237098,7000
94,03/10/2023,7100,6300,7000,6300,1412000,6300
95,04/10/2023,6500,5800,6500,6400,1051439,6400
96,05/10/2023,6700,6400,6400,6500,858021,6500
97,06/10/2023,6700,6400,6600,6500,690864,6500
98,09/10/2023,6700,6500,6500,6700,368426,6700
99,10/10/2023,7300,6700,6700,7200,1183071,7200
100,11/10/2023,7300,7000,7300,7200,706253,7200
101,12/10/2023,7300,7000,7200,7100,827475,7100
102,13/10/2023,7100,6800,7000,7000,804109,7000
103,16/10/2023,7100,6800,7000,6800,455985,6800
104,17/10/2023,7000,6800,6800,6800,468362,6800
105,18/10/2023,6800,6300,6800,6500,1582836,6500
106,19/10/2023,6600,6300,6500,6400,597906,6400
107,20/10/2023,6700,6300,6400,6700,793015,6700
108,23/10/2023,6800,6500,6700,6600,445725,6600
109,24/10/2023,6700,6500,6500,6600,328001,6600
110,25/10/2023,7000,6700,6700,6800,821477,6800
111,26/10/2023,6800,6200,6800,6200,941790,6200
112,27/10/2023,6400,5900,6300,6100,751772,6100
113,30/10/2023,6400,6100,6100,6100,666122,6100
114,31/10/2023,6300,6000,6200,6100,558234,6100
115,01/11/2023,6300,6000,6100,6300,568407,6300
116,02/11/2023,6900,6300,6300,6800,993653,6800
117,03/11/2023,7000,6600,6800,6600,707510,6600
118,06/11/2023,6800,6500,6600,6700,593822,6700
119,07/11/2023,6700,6500,6700,6600,467679,6600
120,08/11/2023,7100,6500,6600,7100,1309386,7100
121,09/11/2023,7700,7000,7200,7500,2867166,7500
122,10/11/2023,7600,7200,7500,7200,1158873,7200
123,13/11/2023,7400,6900,7200,7100,824233,7100
124,14/11/2023,7300,7000,7200,7100,613453,7100
125,15/11/2023,7500,7100,7300,7200,711622,7200
126,16/11/2023,7200,7000,7200,7200,1045889,7200
127,17/11/2023,7300,7000,7200,7000,1649684,7000
128,20/11/2023,7200,6800,7100,7100,911594,7100
129,21/11/2023,7300,7100,7100,7200,1182834,7200
130,22/11/2023,7300,7100,7200,7200,743163,7200
131,23/11/2023,7400,7100,7200,7100,1288890,7100
132,24/11/2023,7100,6700,7000,7000,1153611,7000
133,27/11/2023,7100,6800,7000,6800,488710,6800
134,28/11/2023,6900,6600,6800,6800,795582,6800
135,29/11/2023,7000,6700,6800,6900,609774,6900
136,30/11/2023,7000,6800,7000,6800,329944,6800
137,01/12/2023,6900,6700,6900,6800,493052,6800
138,04/12/2023,7100,6800,6800,7000,1255593,7000
139,05/12/2023,7100,6900,7000,6900,676628,6900
140,06/12/2023,7100,6900,7000,7000,691884,7000
141,07/12/2023,7200,6800,7100,6900,933709,6900
142,08/12/2023,7000,6800,7000,6800,435357,6800
143,11/12/2023,6900,6800,6900,6900,299076,6900
144,12/12/2023,7300,6900,6900,7100,1651033,7100
145,13/12/2023,7200,6900,7200,7000,465809,7000
146,14/12/2023,7200,6800,7000,6800,671465,6800
147,15/12/2023,6900,6800,6800,6800,543428,6800
148,18/12/2023,6900,6700,6800,6700,347468,6700
149,19/12/2023,6800,6600,6700,6800,796133,6800
150,20/12/2023,6900,6700,6800,6800,212215,6800
151,21/12/2023,6800,6700,6800,6800,190913,6800
152,22/12/2023,6800,6700,6700,6800,304579,6800
153,25/12/2023,6900,6700,6800,6800,508925,6800
154,26/12/2023,6900,6700,6800,6800,215832,6800
155,27/12/2023,6900,6700,6800,6800,386135,6800
156,28/12/2023,6800,6700,6800,6800,504188,6800
157,29/12/2023,6900,6700,6800,6700,298314,6700
158,02/01/2024,6800,6600,6800,6700,474037,6700
159,03/01/2024,6800,6600,6700,6700,510701,6700
160,04/01/2024,6800,6700,6800,6800,471187,6800
161,05/01/2024,6800,6600,6800,6700,603412,6700
162,08/01/2024,6800,6600,6700,6700,427010,6700
163,09/01/2024,6700,6600,6700,6600,373468,6600
164,10/01/2024,6700,6500,6600,6500,579014,6500
165,11/01/2024,6700,6500,6500,6600,382020,6600
166,12/01/2024,6600,6400,6600,6400,570218,6400
167,15/01/2024,6500,6300,6500,6300,364333,6300
168,16/01/2024,6500,6300,6300,6500,259492,6500
169,17/01/2024,6800,6400,6500,6600,1147801,6600
170,18/01/2024,6700,6500,6600,6500,182525,6500
171,19/01/2024,6700,6400,6700,6500,386267,6500
172,22/01/2024,6600,6400,6600,6400,249214,6400
173,23/01/2024,6500,6400,6400,6500,258702,6500
174,24/01/2024,6600,6400,6500,6500,372299,6500
175,25/01/2024,6500,6400,6500,6400,222419,6400
176,26/01/2024,6500,6400,6500,6400,258836,6400
177,29/01/2024,6500,6300,6400,6400,219992,6400
178,30/01/2024,6400,6300,6400,6400,176502,6400
179,31/01/2024,6500,6300,6400,6300,448661,6300
180,01/02/2024,6400,6200,6400,6300,450982,6300
181,02/02/2024,6400,6100,6400,6200,522989,6200
182,05/02/2024,6200,6000,6200,6100,385694,6100
183,06/02/2024,6300,6100,6100,6300,395464,6300
184,07/02/2024,6400,6200,6400,6200,330599,6200
185,15/02/2024,6300,6000,6200,6200,170561,6200
186,16/02/2024,6400,6200,6300,6300,348469,6300
187,19/02/2024,6400,6200,6300,6400,604314,6400
188,20/02/2024,6500,6300,6400,6400,664750,6400
189,21/02/2024,6500,6300,6400,6300,410614,6300
190,22/02/2024,6400,6300,6400,6400,244966,6400
191,23/02/2024,6400,6200,6400,6200,525757,6200
192,26/02/2024,6300,6100,6200,6200,465482,6200
193,27/02/2024,6300,6100,6200,6200,424234,6200
194,28/02/2024,6300,6200,6200,6300,314323,6300
195,29/02/2024,6300,6100,6300,6200,294573,6200
196,01/03/2024,6300,6100,6200,6200,708420,6200
197,04/03/2024,6400,6200,6200,6300,714925,6300
198,05/03/2024,6300,6200,6300,6200,397936,6200
199,06/03/2024,6300,6100,6200,6200,437672,6200
200,07/03/2024,6800,6100,6200,6800,3549696,6800
201,08/03/2024,7400,6800,6800,7000,2797699,7000
202,11/03/2024,7300,6600,7000,6700,1546088,6700
203,12/03/2024,6700,6500,6600,6600,1003199,6600
204,13/03/2024,6900,6400,6600,6800,1016343,6800
205,14/03/2024,7100,6800,6900,6800,1434561,6800
206,15/03/2024,6900,6600,6800,6700,552407,6700
207,18/03/2024,6800,6300,6700,6600,1684604,6600
208,19/03/2024,7200,6400,6600,6900,1687822,6900
209,20/03/2024,7000,6700,6900,6900,363612,6900
210,21/03/2024,7000,6700,6900,7000,1318377,7000
211,22/03/2024,7000,6800,7000,6900,609592,6900
212,25/03/2024,6900,6600,6900,6800,963140,6800
213,26/03/2024,6800,6600,6800,6800,535507,6800
214,27/03/2024,6800,6600,6800,6700,519736,6700
215,28/03/2024,6900,6600,6600,6800,684473,6800
216,29/03/2024,6800,6600,6800,6700,471398,6700
217,01/04/2024,6700,6600,6700,6700,364918,6700
218,02/04/2024,6700,6600,6700,6700,539620,6700
219,03/04/2024,6800,6600,6700,6600,543931,6600
220,04/04/2024,6600,6400,6600,6500,370574,6500
221,05/04/2024,6500,6200,6500,6400,357219,6400
222,08/04/2024,6500,6200,6400,6200,421967,6200
223,09/04/2024,6400,6200,6200,6300,336427,6300
224,10/04/2024,6400,6200,6400,6300,174612,6300
225,11/04/2024,6300,6200,6300,6200,287913,6200
226,12/04/2024,6300,6200,6200,6200,462628,6200
227,15/04/2024,6300,5600,6200,5600,2519752,5600
228,16/04/2024,5700,5200,5600,5500,928108,5500
229,17/04/2024,5700,5300,5600,5400,376405,5400
230,19/04/2024,5400,5200,5400,5300,446801,5300
231,22/04/2024,5700,5400,5500,5700,569943,5700
232,23/04/2024,5700,5400,5700,5400,240987,5400
233,24/04/2024,5600,5400,5500,5600,510245,5600
234,25/04/2024,5600,5400,5500,5600,212770,5600
235,26/04/2024,5600,5300,5600,5400,472623,5400
236,02/05/2024,5400,5300,5300,5300,359424,5300
237,03/05/2024,5400,5200,5400,5300,216780,5300
238,06/05/2024,5500,5200,5300,5400,348901,5400
239,07/05/2024,5500,5400,5500,5500,192375,5500
240,08/05/2024,5500,5300,5400,5500,353440,5500
241,09/05/2024,6000,5500,5500,6000,1688196,6000
242,10/05/2024,6100,5700,6000,5700,550530,5700
243,13/05/2024,6200,5800,5800,6200,708134,6200
244,14/05/2024,6800,6700,6800,6800,3643362,6800
245,15/05/2024,7400,6600,7300,6600,2755997,6600
246,16/05/2024,6700,6200,6600,6300,1767260,6300
247,17/05/2024,6900,6400,6400,6900,2129333,6900
248,20/05/2024,7500,7000,7200,7200,3105942,7200
249,21/05/2024,7400,7000,7200,7300,1799773,7300
250,22/05/2024,7900,7300,7300,7800,3674525,7800
