,Date,High,Low,Open,Close,Volume,Adj Close
0,02/02/2023,45000,45000,45000,45000,-,44100
1,03/02/2023,45000,45000,45000,45000,-,44100
2,06/02/2023,45000,45000,45000,45000,-,44100
3,07/02/2023,45000,45000,45000,45000,-,44100
4,08/02/2023,45000,45000,45000,45000,-,44100
5,09/02/2023,45000,45000,45000,45000,-,44100
6,10/02/2023,45000,45000,45000,45000,-,44100
7,13/02/2023,45000,45000,45000,45000,-,44100
8,14/02/2023,45000,45000,45000,45000,-,44100
9,15/02/2023,45000,45000,45000,45000,-,44100
10,16/02/2023,45000,45000,45000,45000,-,44100
11,17/02/2023,45000,45000,45000,45000,-,44100
12,20/02/2023,45000,45000,45000,45000,-,44100
13,21/02/2023,45000,45000,45000,45000,-,44100
14,22/02/2023,45000,45000,45000,45000,-,44100
15,23/02/2023,45000,45000,45000,45000,-,44100
16,24/02/2023,45000,45000,45000,45000,-,44100
17,27/02/2023,45000,45000,45000,45000,-,44100
18,28/02/2023,45000,45000,45000,45000,-,44100
19,01/03/2023,45000,45000,45000,45000,-,44100
20,02/03/2023,45000,45000,45000,45000,-,44100
21,03/03/2023,45000,45000,45000,45000,-,44100
22,06/03/2023,45000,45000,45000,45000,-,44100
23,07/03/2023,45000,45000,45000,45000,-,44100
24,08/03/2023,45000,45000,45000,45000,-,44100
25,09/03/2023,45000,45000,45000,45000,-,44100
26,10/03/2023,45000,45000,45000,45000,-,44100
27,13/03/2023,45000,45000,45000,45000,-,44100
28,14/03/2023,45000,45000,45000,45000,-,44100
29,15/03/2023,45000,45000,45000,45000,-,44100
30,16/03/2023,45000,45000,45000,45000,-,44100
31,17/03/2023,45000,45000,45000,45000,-,44100
32,20/03/2023,45000,45000,45000,45000,-,44100
33,21/03/2023,45000,45000,45000,45000,-,44100
34,22/03/2023,45000,45000,45000,45000,-,44100
35,23/03/2023,45000,45000,45000,45000,-,44100
36,24/03/2023,45000,45000,45000,45000,-,44100
37,27/03/2023,45000,45000,45000,45000,-,44100
38,28/03/2023,45000,45000,45000,45000,-,44100
39,29/03/2023,45000,45000,45000,45000,-,44100
40,30/03/2023,45000,45000,45000,45000,-,44100
41,31/03/2023,45000,45000,45000,45000,-,44100
42,03/04/2023,45000,45000,45000,45000,-,44100
43,04/04/2023,45000,45000,45000,45000,3600,44100
44,05/04/2023,45000,45000,45000,45000,12,44100
45,06/04/2023,45000,45000,45000,45000,-,44100
46,07/04/2023,45000,45000,45000,45000,-,44100
47,10/04/2023,45000,45000,45000,45000,-,44100
48,11/04/2023,45000,45000,45000,45000,-,44100
49,12/04/2023,45000,45000,45000,45000,-,44100
50,13/04/2023,45000,45000,45000,45000,-,44100
51,14/04/2023,45000,45000,45000,45000,-,44100
52,17/04/2023,45000,45000,45000,45000,-,44100
53,18/04/2023,45000,45000,45000,45000,-,44100
54,19/04/2023,45000,45000,45000,45000,-,44100
55,20/04/2023,45000,45000,45000,45000,-,44100
56,21/04/2023,45000,45000,45000,45000,-,44100
57,24/04/2023,45000,45000,45000,45000,-,44100
58,25/04/2023,45000,45000,45000,45000,-,44100
59,26/04/2023,45000,45000,45000,45000,-,44100
60,27/04/2023,45000,45000,45000,45000,-,44100
61,28/04/2023,45000,45000,45000,45000,-,44100
62,04/05/2023,45000,45000,45000,45000,-,44100
63,05/05/2023,45000,45000,45000,45000,-,44100
64,08/05/2023,45000,45000,45000,45000,-,44100
65,09/05/2023,45000,45000,45000,45000,-,44100
66,10/05/2023,45000,45000,45000,45000,-,44100
67,11/05/2023,45000,45000,45000,45000,-,44100
68,12/05/2023,45000,45000,45000,45000,-,44100
69,15/05/2023,45000,45000,45000,45000,53,44100
70,16/05/2023,40500,40500,40500,40500,106,39700
71,17/05/2023,40500,40500,40500,40500,-,39700
72,18/05/2023,40500,40500,40500,40500,-,39700
73,19/05/2023,40500,40500,40500,40500,-,39700
74,22/05/2023,40500,40500,40500,40500,-,39700
75,23/05/2023,40500,40500,40500,40500,-,39700
76,24/05/2023,36500,36500,36500,36500,100,35800
77,25/05/2023,36500,36500,36500,36500,-,35800
78,26/05/2023,36500,36500,36500,36500,-,35800
79,29/05/2023,36500,36500,36500,36500,-,35800
80,30/05/2023,36500,36500,36500,36500,-,35800
81,31/05/2023,36500,36500,36500,36500,-,35800
82,01/06/2023,36500,36500,36500,36500,-,35800
83,02/06/2023,36500,36500,36500,36500,-,35800
84,05/06/2023,36500,36500,36500,36500,-,35800
85,06/06/2023,36500,36500,36500,36500,-,35800
86,07/06/2023,36500,36500,36500,36500,-,35800
87,08/06/2023,36500,36500,36500,36500,-,35800
88,09/06/2023,36500,36500,36500,36500,-,35800
89,12/06/2023,33000,33000,33000,33000,100,32300
90,13/06/2023,30000,30000,30000,30000,135,29400
91,14/06/2023,30000,30000,30000,30000,-,29400
92,15/06/2023,30000,30000,30000,30000,-,29400
93,16/06/2023,29400,29400,29400,29400,-,29400
94,19/06/2023,29400,29400,29400,29400,-,29400
95,20/06/2023,29400,29400,29400,29400,-,29400
96,21/06/2023,29400,29400,29400,29400,-,29400
97,22/06/2023,29400,29400,29400,29400,-,29400
98,23/06/2023,29400,29400,29400,29400,-,29400
99,26/06/2023,29400,29400,29400,29400,-,29400
100,27/06/2023,29400,29400,29400,29400,-,29400
101,28/06/2023,29400,29400,29400,29400,-,29400
102,29/06/2023,29400,29400,29400,29400,-,29400
103,30/06/2023,29400,29400,29400,29400,-,29400
104,03/07/2023,29400,29400,29400,29400,-,29400
105,04/07/2023,29400,29400,29400,29400,-,29400
106,05/07/2023,29400,29400,29400,29400,-,29400
107,06/07/2023,29400,29400,29400,29400,-,29400
108,07/07/2023,29400,29400,29400,29400,-,29400
109,10/07/2023,29400,29400,29400,29400,-,29400
110,11/07/2023,29400,29400,29400,29400,-,29400
111,12/07/2023,29400,29400,29400,29400,-,29400
112,13/07/2023,29400,29400,29400,29400,400,29400
113,14/07/2023,29400,29400,29400,29400,-,29400
114,17/07/2023,29400,29400,29400,29400,-,29400
115,18/07/2023,29400,29400,29400,29400,-,29400
116,19/07/2023,29400,29400,29400,29400,-,29400
117,20/07/2023,29400,29400,29400,29400,-,29400
118,21/07/2023,29400,29400,29400,29400,-,29400
119,24/07/2023,29400,29400,29400,29400,-,29400
120,25/07/2023,29400,29400,29400,29400,-,29400
121,26/07/2023,29400,29400,29400,29400,-,29400
122,27/07/2023,29400,29400,29400,29400,-,29400
123,28/07/2023,29400,29400,29400,29400,-,29400
124,31/07/2023,29400,29400,29400,29400,-,29400
125,01/08/2023,26500,26500,26500,26500,700,26500
126,02/08/2023,26500,24000,26500,24000,400,24000
127,03/08/2023,24000,24000,24000,24000,-,24000
128,04/08/2023,24000,24000,24000,24000,-,24000
129,07/08/2023,24000,24000,24000,24000,100,24000
130,08/08/2023,24000,24000,24000,24000,-,24000
131,09/08/2023,26400,26400,26400,26400,500,26400
132,10/08/2023,26400,26400,26400,26400,-,26400
133,11/08/2023,27000,27000,27000,27000,100,27000
134,14/08/2023,27000,27000,27000,27000,200,27000
135,15/08/2023,27000,27000,27000,27000,-,27000
136,16/08/2023,27000,27000,27000,27000,-,27000
137,17/08/2023,27000,27000,27000,27000,-,27000
138,18/08/2023,27000,27000,27000,27000,-,27000
139,21/08/2023,27000,27000,27000,27000,-,27000
140,22/08/2023,27000,27000,27000,27000,-,27000
141,23/08/2023,27000,27000,27000,27000,100,27000
142,24/08/2023,27000,27000,27000,27000,-,27000
143,25/08/2023,27000,27000,27000,27000,100,27000
144,28/08/2023,25000,25000,25000,25000,100,25000
145,29/08/2023,25000,22500,25000,22500,1800,22500
146,30/08/2023,22500,22500,22500,22500,-,22500
147,31/08/2023,22500,22500,22500,22500,100,22500
148,05/09/2023,22500,22500,22500,22500,-,22500
149,06/09/2023,22500,22500,22500,22500,-,22500
150,07/09/2023,22500,21500,21500,22500,300,22500
151,08/09/2023,22500,22500,22500,22500,6,22500
152,11/09/2023,24700,24700,24700,24700,42200,24700
153,12/09/2023,24700,24700,24700,24700,100,24700
154,13/09/2023,24700,24700,24700,24700,-,24700
155,14/09/2023,24700,24700,24700,24700,-,24700
156,15/09/2023,24500,24500,24500,24500,200,24500
157,18/09/2023,24500,24500,24500,24500,-,24500
158,19/09/2023,24500,24500,24500,24500,-,24500
159,20/09/2023,24500,24500,24500,24500,-,24500
160,21/09/2023,22100,22100,22100,22100,200,22100
161,22/09/2023,22100,22100,22100,22100,-,22100
162,25/09/2023,22100,22100,22100,22100,2,22100
163,26/09/2023,22100,22100,22100,22100,-,22100
164,27/09/2023,22100,22100,22100,22100,4,22100
165,28/09/2023,19900,19900,19900,19900,100,19900
166,29/09/2023,21800,21800,21800,21800,100,21800
167,02/10/2023,23900,23900,23900,23900,200,23900
168,03/10/2023,23900,23900,23900,23900,-,23900
169,04/10/2023,26200,26200,26200,26200,320,26200
170,05/10/2023,26200,26200,26200,26200,-,26200
171,06/10/2023,26100,26100,26100,26100,100,26100
172,09/10/2023,26100,26100,26100,26100,201,26100
173,10/10/2023,26100,26100,26100,26100,-,26100
174,11/10/2023,26100,26100,26100,26100,-,26100
175,12/10/2023,26100,26100,26100,26100,-,26100
176,13/10/2023,26100,26100,26100,26100,-,26100
177,16/10/2023,26100,26100,26100,26100,-,26100
178,17/10/2023,26100,26100,26100,26100,-,26100
179,18/10/2023,26100,26100,26100,26100,-,26100
180,19/10/2023,26100,26100,26100,26100,-,26100
181,20/10/2023,26100,26100,26100,26100,-,26100
182,23/10/2023,26100,26100,26100,26100,-,26100
183,24/10/2023,26100,26100,26100,26100,1,26100
184,25/10/2023,26100,26100,26100,26100,-,26100
185,26/10/2023,26100,26100,26100,26100,-,26100
186,27/10/2023,26100,26100,26100,26100,-,26100
187,30/10/2023,26100,26100,26100,26100,-,26100
188,31/10/2023,26100,26100,26100,26100,-,26100
189,01/11/2023,26100,26100,26100,26100,-,26100
190,02/11/2023,26100,26100,26100,26100,-,26100
191,03/11/2023,26100,26100,26100,26100,3,26100
192,06/11/2023,26100,26100,26100,26100,1,26100
193,07/11/2023,26100,26100,26100,26100,-,26100
194,08/11/2023,26100,26100,26100,26100,-,26100
195,09/11/2023,26100,26100,26100,26100,-,26100
196,10/11/2023,26100,26100,26100,26100,-,26100
197,13/11/2023,26100,26100,26100,26100,-,26100
198,14/11/2023,26100,26100,26100,26100,-,26100
199,15/11/2023,26100,26100,26100,26100,-,26100
200,16/11/2023,26100,26100,26100,26100,-,26100
201,17/11/2023,26100,26100,26100,26100,19,26100
202,20/11/2023,26100,26100,26100,26100,-,26100
203,21/11/2023,26100,26100,26100,26100,-,26100
204,22/11/2023,26100,26100,26100,26100,-,26100
205,23/11/2023,26100,26100,26100,26100,3,26100
206,24/11/2023,26000,26000,26000,26000,100,26000
207,27/11/2023,26000,26000,26000,26000,-,26000
208,28/11/2023,27000,27000,27000,27000,100,27000
209,29/11/2023,27000,26000,26000,27000,200,27000
210,30/11/2023,27000,27000,27000,27000,-,27000
211,01/12/2023,27000,27000,27000,27000,-,27000
212,04/12/2023,27000,27000,27000,27000,400,27000
213,05/12/2023,27000,27000,27000,27000,-,27000
214,06/12/2023,29200,29200,29200,29200,101,29200
215,07/12/2023,29200,29200,29200,29200,-,29200
216,08/12/2023,30900,30900,30900,30900,100,30900
217,11/12/2023,30900,30900,30900,30900,-,30900
218,12/12/2023,33900,33900,33900,33900,700,33900
219,13/12/2023,33900,33900,33900,33900,-,33900
220,14/12/2023,37200,37200,37200,37200,100,37200
221,15/12/2023,37200,37200,37200,37200,-,37200
