,Date,High,Low,Open,Close,Volume,Adj Close
0,17/05/2021,10600,10000,10200,10200,6690764,10200
1,18/05/2021,10300,9900,10200,10000,2609600,10000
2,19/05/2021,10300,9900,10000,10000,3524254,10000
3,20/05/2021,10500,9800,10000,10200,6960071,10200
4,21/05/2021,10300,9800,10300,10000,4269651,10000
5,24/05/2021,10200,9800,10200,10000,4675889,10000
6,25/05/2021,10100,9600,10000,10000,6507521,10000
7,26/05/2021,10000,9100,10000,9200,8094462,9200
8,27/05/2021,9400,8700,9200,8900,5822357,8900
9,28/05/2021,9700,8500,8900,9700,6689893,9700
10,31/05/2021,10600,9800,10000,10600,13115951,10600
11,01/06/2021,11600,10600,10800,11600,15372795,11600
12,02/06/2021,12400,11000,11700,11700,8171192,11700
13,03/06/2021,12800,11200,11800,12700,17041831,12700
14,04/06/2021,13000,11500,12800,12000,18499251,12000
15,07/06/2021,12000,10800,12000,10800,8198279,10800
16,08/06/2021,11300,10000,10800,10000,6389993,10000
17,09/06/2021,11000,9800,10000,10500,7113253,10500
18,10/06/2021,10800,10000,10500,10000,9729446,10000
19,11/06/2021,10600,10000,10100,10300,2786107,10300
20,14/06/2021,10800,10000,10400,10400,5962721,10400
21,15/06/2021,10600,10200,10400,10300,3144377,10300
22,16/06/2021,10300,10100,10300,10100,3554710,10100
23,17/06/2021,10700,10000,10300,10500,4705322,10500
24,18/06/2021,10600,10300,10500,10400,3971079,10400
25,21/06/2021,10500,10100,10500,10300,3245476,10300
26,22/06/2021,10400,10100,10300,10200,2999344,10200
27,23/06/2021,10600,10200,10200,10200,4365364,10200
28,24/06/2021,10300,10100,10200,10100,1980460,10100
29,25/06/2021,10500,10100,10200,10500,5183779,10500
30,28/06/2021,10700,10200,10500,10400,2938480,10400
31,29/06/2021,10500,10200,10300,10200,2534165,10200
32,30/06/2021,10400,10100,10200,10200,2405176,10200
33,01/07/2021,10700,10000,10200,10400,7743709,10400
34,02/07/2021,10600,10300,10500,10400,5450729,10400
35,05/07/2021,10500,10000,10500,10100,3860243,10100
36,06/07/2021,10300,9100,10100,9100,4909445,9100
37,07/07/2021,9500,8800,9200,9000,6133909,9000
38,08/07/2021,9300,8900,9200,9000,2904913,9000
39,09/07/2021,9000,8400,9000,8700,6943322,8700
40,12/07/2021,8700,7900,8700,7900,3633529,7900
41,13/07/2021,8600,7500,7500,8600,5247827,8600
42,14/07/2021,9400,8400,8900,9300,6085510,9300
43,15/07/2021,9400,8900,9100,9000,1503719,9000
44,16/07/2021,9100,8700,9000,8700,2192605,8700
45,19/07/2021,8600,7900,8600,7900,4155100,7900
46,20/07/2021,8600,7700,7900,8600,2239926,8600
47,21/07/2021,9300,8400,8600,8500,2460668,8500
