,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,30600,30600,30600,30600,-,30600
1,04/06/2021,30600,30600,30600,30600,-,30600
2,07/06/2021,30600,30600,30600,30600,-,30600
3,08/06/2021,30600,30600,30600,30600,-,30600
4,09/06/2021,30600,30600,30600,30600,-,30600
5,10/06/2021,30600,30600,30600,30600,-,30600
6,11/06/2021,30600,30600,30600,30600,-,30600
7,14/06/2021,30600,30600,30600,30600,-,30600
8,15/06/2021,30600,30600,30600,30600,-,30600
9,16/06/2021,30600,30600,30600,30600,-,30600
10,17/06/2021,30600,30600,30600,30600,-,30600
11,18/06/2021,30600,30600,30600,30600,-,30600
12,21/06/2021,30600,30600,30600,30600,-,30600
13,22/06/2021,33600,33600,33600,33600,100,33600
14,23/06/2021,33600,33600,33600,33600,-,33600
15,24/06/2021,33600,33600,33600,33600,-,33600
16,25/06/2021,33600,33600,33600,33600,-,33600
17,28/06/2021,33600,33600,33600,33600,-,33600
18,29/06/2021,33600,33600,33600,33600,-,33600
19,30/06/2021,33600,33600,33600,33600,-,33600
20,01/07/2021,33600,33600,33600,33600,-,33600
21,02/07/2021,33600,33600,33600,33600,-,33600
22,05/07/2021,33600,33600,33600,33600,-,33600
23,06/07/2021,33600,33600,33600,33600,-,33600
24,07/07/2021,33600,33600,33600,33600,-,33600
25,08/07/2021,33600,33600,33600,33600,-,33600
26,09/07/2021,33600,33600,33600,33600,-,33600
27,12/07/2021,33600,33600,33600,33600,-,33600
28,13/07/2021,33600,33600,33600,33600,-,33600
29,14/07/2021,33600,33600,33600,33600,-,33600
30,15/07/2021,33600,33600,33600,33600,-,33600
31,16/07/2021,33600,33600,33600,33600,-,33600
32,19/07/2021,33600,33600,33600,33600,-,33600
33,20/07/2021,33600,33600,33600,33600,-,33600
34,21/07/2021,33600,33600,33600,33600,-,33600
35,22/07/2021,33600,33600,33600,33600,-,33600
36,23/07/2021,33600,33600,33600,33600,-,33600
37,26/07/2021,33600,33600,33600,33600,-,33600
38,27/07/2021,33600,33600,33600,33600,-,33600
39,28/07/2021,33600,33600,33600,33600,-,33600
40,29/07/2021,33600,33600,33600,33600,-,33600
41,30/07/2021,33600,33600,33600,33600,-,33600
42,02/08/2021,33600,33600,33600,33600,-,33600
43,03/08/2021,33600,33600,33600,33600,-,33600
44,04/08/2021,33600,33600,33600,33600,-,33600
45,05/08/2021,33600,33600,33600,33600,-,33600
46,06/08/2021,33600,33600,33600,33600,-,33600
47,09/08/2021,33600,33600,33600,33600,-,33600
48,10/08/2021,33600,33600,33600,33600,-,33600
49,11/08/2021,33600,33600,33600,33600,-,33600
50,12/08/2021,33600,33600,33600,33600,-,33600
51,13/08/2021,33600,33600,33600,33600,-,33600
52,16/08/2021,33600,33600,33600,33600,-,33600
53,17/08/2021,33600,33600,33600,33600,-,33600
54,18/08/2021,33600,33600,33600,33600,-,33600
55,19/08/2021,33600,33600,33600,33600,-,33600
56,20/08/2021,33600,33600,33600,33600,-,33600
57,23/08/2021,33600,33600,33600,33600,-,33600
58,24/08/2021,33600,33600,33600,33600,-,33600
59,25/08/2021,33600,33600,33600,33600,-,33600
60,26/08/2021,33600,33600,33600,33600,-,33600
61,27/08/2021,33600,33600,33600,33600,-,33600
62,30/08/2021,33600,33600,33600,33600,-,33600
63,31/08/2021,33600,33600,33600,33600,-,33600
64,01/09/2021,33600,33600,33600,33600,-,33600
65,06/09/2021,33600,33600,33600,33600,-,33600
66,07/09/2021,33600,33600,33600,33600,-,33600
67,08/09/2021,33600,33600,33600,33600,-,33600
68,09/09/2021,33600,33600,33600,33600,-,33600
69,10/09/2021,33600,33600,33600,33600,300,33600
70,13/09/2021,33600,33600,33600,33600,-,33600
71,14/09/2021,33600,33600,33600,33600,-,33600
72,15/09/2021,33600,33600,33600,33600,-,33600
73,16/09/2021,33600,33600,33600,33600,-,33600
74,17/09/2021,33600,33600,33600,33600,-,33600
75,20/09/2021,33600,33600,33600,33600,-,33600
76,21/09/2021,33600,33600,33600,33600,-,33600
77,22/09/2021,33600,33600,33600,33600,-,33600
78,23/09/2021,33600,33600,33600,33600,-,33600
79,24/09/2021,33600,33600,33600,33600,-,33600
80,27/09/2021,33600,33600,33600,33600,-,33600
81,28/09/2021,33600,33600,33600,33600,-,33600
82,29/09/2021,33600,33600,33600,33600,-,33600
83,30/09/2021,33600,33600,33600,33600,-,33600
84,01/10/2021,33600,33600,33600,33600,-,33600
85,04/10/2021,33600,33600,33600,33600,-,33600
86,05/10/2021,33600,33600,33600,33600,-,33600
87,06/10/2021,33600,33600,33600,33600,-,33600
88,07/10/2021,33600,33600,33600,33600,-,33600
89,08/10/2021,33600,33600,33600,33600,-,33600
90,11/10/2021,33600,33600,33600,33600,-,33600
91,12/10/2021,33600,33600,33600,33600,-,33600
92,13/10/2021,33600,33600,33600,33600,-,33600
93,14/10/2021,33600,33600,33600,33600,-,33600
94,15/10/2021,33600,33600,33600,33600,-,33600
95,18/10/2021,33600,33600,33600,33600,-,33600
96,19/10/2021,33600,33600,33600,33600,-,33600
97,20/10/2021,33600,33600,33600,33600,-,33600
98,21/10/2021,33600,33600,33600,33600,-,33600
99,22/10/2021,33600,33600,33600,33600,-,33600
100,25/10/2021,33600,33600,33600,33600,-,33600
101,26/10/2021,33600,33600,33600,33600,-,33600
102,27/10/2021,33600,33600,33600,33600,-,33600
103,28/10/2021,33600,33600,33600,33600,-,33600
104,29/10/2021,33600,33600,33600,33600,-,33600
105,01/11/2021,33600,33600,33600,33600,-,33600
106,02/11/2021,33600,33600,33600,33600,-,33600
107,03/11/2021,33600,33600,33600,33600,-,33600
108,04/11/2021,33600,33600,33600,33600,-,33600
109,05/11/2021,33600,33600,33600,33600,-,33600
110,08/11/2021,33600,33600,33600,33600,-,33600
111,09/11/2021,33600,33600,33600,33600,-,33600
112,10/11/2021,33600,33600,33600,33600,-,33600
113,11/11/2021,33600,33600,33600,33600,-,33600
114,12/11/2021,33600,33600,33600,33600,-,33600
115,15/11/2021,33600,33600,33600,33600,-,33600
116,16/11/2021,33600,33600,33600,33600,-,33600
117,17/11/2021,33600,33600,33600,33600,-,33600
118,18/11/2021,33600,33600,33600,33600,-,33600
119,19/11/2021,33600,33600,33600,33600,-,33600
120,22/11/2021,33600,33600,33600,33600,-,33600
121,23/11/2021,33600,33600,33600,33600,1100,33600
122,24/11/2021,33600,33600,33600,33600,-,33600
123,25/11/2021,33600,33600,33600,33600,-,33600
124,26/11/2021,33600,33600,33600,33600,-,33600
125,29/11/2021,33600,33600,33600,33600,-,33600
126,30/11/2021,33600,33600,33600,33600,-,33600
127,01/12/2021,33600,33600,33600,33600,-,33600
128,02/12/2021,33600,33600,33600,33600,-,33600
129,03/12/2021,33600,33600,33600,33600,-,33600
130,06/12/2021,33600,33600,33600,33600,-,33600
131,07/12/2021,33600,33600,33600,33600,-,33600
132,08/12/2021,33600,33600,33600,33600,-,33600
133,09/12/2021,33600,33600,33600,33600,-,33600
134,10/12/2021,33600,33600,33600,33600,-,33600
135,13/12/2021,33600,33600,33600,33600,-,33600
136,14/12/2021,33600,33600,33600,33600,-,33600
137,15/12/2021,33600,33600,33600,33600,-,33600
138,16/12/2021,33600,33600,33600,33600,-,33600
139,17/12/2021,33600,33600,33600,33600,-,33600
140,20/12/2021,33600,33600,33600,33600,-,33600
141,21/12/2021,33600,33600,33600,33600,-,33600
142,22/12/2021,33600,33600,33600,33600,-,33600
143,23/12/2021,33600,33600,33600,33600,1308100,33600
144,24/12/2021,33600,33600,33600,33600,646600,33600
145,27/12/2021,33600,33600,33600,33600,-,33600
146,28/12/2021,30300,30300,30300,30300,70900,30300
147,29/12/2021,30300,27300,27300,30300,575900,30300
148,30/12/2021,30300,30300,30300,30300,30000,30300
149,31/12/2021,30300,30300,30300,30300,-,30300
150,04/01/2022,30300,29500,29500,30300,5500,30300
151,05/01/2022,30300,30300,30300,30300,-,30300
152,06/01/2022,33300,30100,30100,33300,400,33300
153,07/01/2022,36600,30100,36600,30100,7300,30100
154,10/01/2022,33000,30100,30100,33000,2400,33000
155,11/01/2022,32900,32900,32900,32900,100,32900
156,12/01/2022,32900,32900,32900,32900,-,32900
157,13/01/2022,32900,32900,32900,32900,-,32900
158,14/01/2022,32900,32900,32900,32900,-,32900
159,17/01/2022,32900,32900,32900,32900,-,32900
160,18/01/2022,32900,32900,32900,32900,-,32900
161,19/01/2022,34900,34900,34900,34900,100,34900
162,20/01/2022,31500,31500,31500,31500,100,31500
163,21/01/2022,31500,31500,31500,31500,-,31500
164,24/01/2022,31500,31500,31500,31500,120250,31500
165,25/01/2022,31500,31500,31500,31500,329300,31500
166,26/01/2022,31500,31500,31500,31500,200,31500
167,27/01/2022,31500,31500,31500,31500,-,31500
168,28/01/2022,31500,31500,31500,31500,88300,31500
169,07/02/2022,31500,31500,31500,31500,-,31500
170,08/02/2022,31500,31500,31500,31500,-,31500
171,09/02/2022,31500,31500,31500,31500,469750,31500
172,10/02/2022,31500,31500,31500,31500,-,31500
173,11/02/2022,31500,31500,31500,31500,-,31500
174,14/02/2022,28400,28400,28400,28400,300,28400
175,15/02/2022,28400,28400,28400,28400,900,28400
176,16/02/2022,28400,28400,28400,28400,-,28400
177,17/02/2022,28400,28400,28400,28400,-,28400
178,18/02/2022,28400,28400,28400,28400,-,28400
179,21/02/2022,25600,25600,25600,25600,200,25600
180,22/02/2022,25700,25600,25700,25600,900,25600
181,23/02/2022,25600,25600,25600,25600,-,25600
182,24/02/2022,25600,25600,25600,25600,-,25600
183,25/02/2022,24000,24000,24000,24000,100,24000
184,28/02/2022,26000,24000,24000,26000,1200,26000
185,01/03/2022,27900,26000,26000,27900,600,27900
186,02/03/2022,27900,27900,27900,27900,-,27900
187,03/03/2022,27900,27900,27900,27900,-,27900
188,04/03/2022,27900,27900,27900,27900,-,27900
189,07/03/2022,27900,27900,27900,27900,-,27900
190,08/03/2022,27600,25200,25200,25200,3900,25200
191,09/03/2022,27600,27000,27600,27600,1000,27600
192,10/03/2022,29000,24900,24900,29000,500,29000
193,11/03/2022,26100,26100,26100,26100,2300,26100
194,14/03/2022,26100,23600,26100,23600,400,23600
195,15/03/2022,25500,21600,21600,25500,800,25500
196,16/03/2022,25500,25500,25500,25500,-,25500
197,17/03/2022,24000,23100,24000,23100,1100,23100
198,18/03/2022,23100,23100,23100,23100,300,23100
199,21/03/2022,23100,23100,23100,23100,-,23100
200,22/03/2022,23100,23100,23100,23100,700,23100
201,23/03/2022,23100,23000,23100,23000,300,23000
202,24/03/2022,23000,23000,23000,23000,300,23000
203,25/03/2022,23000,23000,23000,23000,-,23000
204,28/03/2022,23000,23000,23000,23000,-,23000
205,29/03/2022,23000,23000,23000,23000,-,23000
206,30/03/2022,23000,23000,23000,23000,-,23000
207,31/03/2022,23500,23100,23500,23100,1100,23100
208,01/04/2022,23100,23100,23100,23100,-,23100
209,04/04/2022,23100,23100,23100,23100,100,23100
210,05/04/2022,23100,23100,23100,23100,100,23100
211,06/04/2022,23100,23100,23100,23100,-,23100
212,07/04/2022,23100,23100,23100,23100,-,23100
213,08/04/2022,23100,23100,23100,23100,-,23100
214,12/04/2022,23100,23100,23100,23100,-,23100
215,13/04/2022,23100,23100,23100,23100,-,23100
216,14/04/2022,23100,23100,23100,23100,-,23100
217,15/04/2022,23100,23100,23100,23100,-,23100
218,18/04/2022,23100,23100,23100,23100,-,23100
219,19/04/2022,23100,23100,23100,23100,-,23100
220,20/04/2022,23100,23100,23100,23100,-,23100
221,21/04/2022,23100,23100,23100,23100,-,23100
222,22/04/2022,23100,23100,23100,23100,-,23100
223,25/04/2022,23100,23100,23100,23100,-,23100
224,26/04/2022,20800,20800,20800,20800,100,20800
225,27/04/2022,18800,18800,18800,18800,1500,18800
226,28/04/2022,17000,17000,17000,17000,700,17000
227,29/04/2022,17000,17000,17000,17000,-,17000
228,04/05/2022,17000,17000,17000,17000,-,17000
229,05/05/2022,17000,17000,17000,17000,-,17000
230,06/05/2022,17000,17000,17000,17000,-,17000
231,09/05/2022,17000,17000,17000,17000,-,17000
232,10/05/2022,17000,17000,17000,17000,-,17000
233,11/05/2022,17000,17000,17000,17000,-,17000
234,12/05/2022,17000,17000,17000,17000,-,17000
235,13/05/2022,17000,17000,17000,17000,-,17000
