,Date,High,Low,Open,Close,Volume,Adj Close
0,06/06/2023,14500,14200,14400,14500,17557,13500
1,07/06/2023,14500,14200,14500,14500,20640,13500
2,08/06/2023,14500,14000,14500,14200,27681,13200
3,09/06/2023,14200,13900,14200,14100,11818,13100
4,12/06/2023,14200,14000,14100,14100,17800,13100
5,13/06/2023,14300,14100,14100,14200,14433,13200
6,14/06/2023,14400,14200,14200,14200,20117,13200
7,15/06/2023,14200,14200,14200,14200,3067,13200
8,16/06/2023,14400,14100,14200,14100,9939,13100
9,19/06/2023,14100,14100,14100,14100,5550,13100
10,20/06/2023,14100,14000,14100,14100,2963,13100
11,21/06/2023,14200,14000,14100,14200,4901,13200
12,22/06/2023,14200,14100,14100,14200,5301,13200
13,23/06/2023,14200,14200,14200,14200,4771,13200
14,26/06/2023,14200,14100,14100,14200,1288,13200
15,27/06/2023,14200,14000,14200,14100,1619,13100
16,28/06/2023,14100,14000,14100,14100,6026,13100
17,29/06/2023,14100,14000,14100,14000,6815,13100
18,30/06/2023,14000,14000,14000,14000,1642,13100
19,03/07/2023,14100,14000,14000,14100,2050,13100
20,04/07/2023,14100,14000,14100,14100,2953,13100
21,05/07/2023,14200,14100,14100,14100,4990,13100
22,06/07/2023,14100,13900,14100,14000,4112,13100
23,07/07/2023,14000,13900,14000,13900,1523,13000
24,10/07/2023,14000,13800,13900,14000,7640,13100
25,11/07/2023,14100,13800,13800,14100,5940,13100
26,12/07/2023,14200,14000,14100,14000,8833,13100
27,13/07/2023,14100,13700,14000,14000,11819,13100
28,14/07/2023,14000,13800,14000,13800,4105,12900
29,17/07/2023,13900,13600,13800,13900,3194,13000
30,18/07/2023,14100,13800,13900,14100,25270,13100
31,19/07/2023,14300,13900,14100,14300,16974,13300
32,20/07/2023,14400,13700,14100,14200,12937,13200
33,21/07/2023,14300,14000,14200,14300,6772,13300
34,24/07/2023,14500,14200,14300,14200,11697,13200
35,25/07/2023,14200,14000,14200,14100,13913,13100
36,26/07/2023,14100,13700,14100,14000,12671,13100
37,27/07/2023,14100,13900,14000,13900,5201,13000
38,28/07/2023,14000,13800,13900,14000,18423,13100
39,31/07/2023,14100,14000,14000,14000,20566,13100
40,01/08/2023,14200,13900,14000,14100,38263,13100
41,02/08/2023,14300,14100,14100,14200,19531,13200
42,03/08/2023,14600,14200,14200,14400,30770,13400
43,04/08/2023,14300,14200,14300,14300,9052,13300
44,07/08/2023,14600,14200,14200,14500,36757,13500
45,08/08/2023,14700,14500,14500,14500,32077,13500
46,09/08/2023,14600,14200,14500,14400,19212,13400
47,10/08/2023,14400,14200,14400,14300,20861,13300
48,11/08/2023,14400,14200,14300,14300,17184,13300
49,14/08/2023,14300,14200,14200,14200,12788,13200
50,15/08/2023,14400,14100,14100,14300,14138,13300
51,16/08/2023,14400,14300,14300,14400,5056,13400
52,17/08/2023,14500,14200,14400,14300,12534,13300
53,18/08/2023,14400,13800,14400,14100,18220,13100
54,21/08/2023,14100,13600,14100,13900,11231,13000
55,22/08/2023,14000,13700,13900,13900,11805,13000
56,23/08/2023,14000,13800,13900,13900,3185,13000
57,24/08/2023,14000,13800,13900,14000,6154,13100
58,25/08/2023,14000,13800,14000,13900,4072,13000
59,28/08/2023,14100,12600,13900,14000,37464,13100
60,29/08/2023,14200,13900,13900,14000,9343,13100
61,30/08/2023,14200,13900,14000,13900,6671,13000
62,31/08/2023,14100,13800,13800,13900,14189,13000
63,05/09/2023,14100,13900,13900,14100,11629,13100
64,06/09/2023,14400,13800,14100,14200,38407,13200
65,07/09/2023,14300,14000,14100,14200,20131,13200
66,08/09/2023,14300,14000,14300,14000,14176,13100
67,11/09/2023,14400,13900,14400,14000,6973,13100
68,12/09/2023,14100,13800,14000,13800,11664,12900
69,13/09/2023,14100,13700,13900,14000,26802,13100
70,14/09/2023,14200,14000,14000,14000,12349,13100
71,15/09/2023,14000,13700,13900,14000,10475,13100
72,18/09/2023,14000,13800,14000,13900,6804,13000
73,19/09/2023,13900,13600,13900,13900,6630,13000
74,20/09/2023,14000,13800,13900,14000,3581,13100
75,21/09/2023,14000,13700,14000,13900,11308,13000
76,22/09/2023,13900,13700,13900,13800,3584,12900
77,25/09/2023,13800,13700,13800,13700,3905,12800
78,26/09/2023,13700,13600,13600,13700,9256,12800
79,27/09/2023,13700,13600,13600,13700,4974,12800
80,28/09/2023,13700,13600,13700,13700,2175,12800
81,29/09/2023,13800,13700,13700,13700,3551,12800
82,02/10/2023,13800,13600,13800,13700,3620,12800
83,03/10/2023,13700,13500,13600,13500,8152,12600
84,04/10/2023,13600,13400,13500,13500,3288,12600
85,05/10/2023,13600,13500,13500,13500,1850,12600
86,06/10/2023,13600,13300,13600,13600,7619,12700
87,09/10/2023,13700,13600,13600,13600,1584,12700
88,10/10/2023,13600,13100,13200,13500,2026,12600
89,11/10/2023,13600,13500,13500,13500,2666,12600
90,12/10/2023,13600,13500,13500,13500,4047,12600
91,13/10/2023,13500,13200,13500,13400,10615,12500
92,16/10/2023,13400,13200,13300,13300,4610,12400
93,17/10/2023,13300,13200,13300,13200,3502,12300
94,18/10/2023,13200,13000,13200,13000,3173,12100
95,19/10/2023,13100,13000,13000,13100,8059,12200
96,20/10/2023,13100,13000,13100,13100,5820,12200
97,23/10/2023,13100,12900,13100,13000,5900,12100
98,24/10/2023,13100,12800,13000,13100,7873,12200
99,25/10/2023,13100,13000,13000,13000,1407,12100
100,26/10/2023,13000,12500,13000,12700,6300,11800
101,27/10/2023,12700,12500,12700,12700,2356,11800
102,30/10/2023,12800,12400,12800,12700,2470,11800
103,31/10/2023,12700,12600,12700,12600,1376,11700
104,01/11/2023,12500,12400,12400,12500,3660,11700
105,02/11/2023,12600,12500,12500,12600,12703,11700
106,03/11/2023,12800,12700,12700,12800,3793,11900
107,06/11/2023,12900,12800,12800,12800,3214,11900
108,07/11/2023,12900,12700,12800,12700,2481,11800
109,08/11/2023,12800,12600,12600,12800,8701,11900
110,09/11/2023,13200,12800,12800,12900,7728,12000
111,10/11/2023,12900,12600,12900,12900,7968,12000
112,13/11/2023,13000,12900,12900,12900,1512,12000
113,14/11/2023,13200,12800,12900,13200,18987,12300
114,15/11/2023,13300,13100,13200,13100,11160,12200
115,16/11/2023,13300,12800,12900,12900,4912,12000
116,17/11/2023,13100,12900,12900,12900,5934,12000
117,20/11/2023,13000,12700,13000,12800,3320,11900
118,21/11/2023,12900,12700,12800,12800,7437,11900
119,22/11/2023,13100,12300,12700,12800,21136,11900
120,23/11/2023,12900,12600,12700,12800,12233,11900
121,24/11/2023,12800,12500,12800,12800,7095,11900
122,27/11/2023,13000,12700,12800,12700,3821,11800
123,28/11/2023,12700,12600,12700,12700,4120,11800
124,29/11/2023,12800,12700,12700,12700,1462,11800
125,30/11/2023,13600,12700,13000,12700,2706,11800
126,01/12/2023,12700,12500,12700,12700,2348,11800
127,04/12/2023,13000,12700,12700,12900,8245,12000
128,05/12/2023,13000,12800,12900,12800,4812,11900
129,06/12/2023,12800,12600,12800,12800,1955,11900
130,07/12/2023,12900,12700,12800,12800,5523,11900
131,08/12/2023,13000,12800,12800,12900,7910,12000
132,11/12/2023,13100,12800,12900,12900,8391,12000
133,12/12/2023,13000,12900,12900,12900,3373,12000
134,13/12/2023,12900,12800,12900,12800,1200,11900
135,14/12/2023,12800,12600,12800,12800,3319,11900
136,15/12/2023,12800,12500,12800,12700,5828,11800
137,18/12/2023,12800,12600,12600,12700,1921,11800
138,19/12/2023,12700,12600,12700,12600,4345,11700
139,20/12/2023,12800,12600,12600,12700,1840,11800
140,21/12/2023,12800,12600,12600,12700,1530,11800
141,22/12/2023,12700,12600,12700,12600,2196,11700
142,25/12/2023,12800,12500,12600,12700,3079,11800
143,26/12/2023,12700,12700,12700,12700,1650,11800
144,27/12/2023,12700,12600,12700,12600,3667,11700
145,28/12/2023,12700,12600,12600,12700,6239,11800
146,29/12/2023,12700,12600,12600,12700,2017,11800
147,02/01/2024,12800,12700,12700,12700,6105,11800
148,03/01/2024,12900,12700,12800,12800,5449,11900
149,04/01/2024,13100,12800,12800,13100,21356,12200
150,05/01/2024,13300,13100,13100,13300,38428,12400
151,08/01/2024,13700,13300,13300,13600,24125,12700
152,09/01/2024,13600,13500,13500,13500,19973,12600
153,10/01/2024,13700,13200,13500,13300,29999,12400
154,11/01/2024,13000,12300,13000,12500,54003,12500
155,12/01/2024,12600,12400,12400,12500,12700,12500
156,15/01/2024,12600,12200,12600,12300,15798,12300
157,16/01/2024,12500,12300,12300,12400,5039,12400
158,17/01/2024,12600,12400,12400,12500,8012,12500
159,18/01/2024,12600,12400,12500,12500,6951,12500
160,19/01/2024,12500,12300,12500,12500,11610,12500
161,22/01/2024,12500,12300,12500,12400,10819,12400
162,23/01/2024,12400,12300,12400,12300,7630,12300
163,24/01/2024,12400,12200,12300,12300,8740,12300
164,25/01/2024,12500,12300,12300,12300,7310,12300
165,26/01/2024,12400,12300,12300,12400,5127,12400
166,29/01/2024,12400,12300,12400,12400,4241,12400
167,30/01/2024,12500,12400,12400,12500,2340,12500
168,31/01/2024,12600,12400,12400,12500,16255,12500
169,01/02/2024,12600,12400,12500,12500,6750,12500
170,02/02/2024,12500,12400,12500,12400,4936,12400
171,05/02/2024,12500,12400,12400,12500,5919,12500
172,06/02/2024,12600,12400,12500,12500,3346,12500
173,07/02/2024,12600,12500,12600,12600,1939,12600
174,15/02/2024,12800,12600,12600,12700,17919,12700
175,16/02/2024,12800,12700,12800,12700,13871,12700
176,19/02/2024,12800,12700,12700,12700,7769,12700
177,20/02/2024,12700,12600,12700,12700,2867,12700
178,21/02/2024,12800,12600,12700,12700,2956,12700
179,22/02/2024,12700,12500,12500,12700,1902,12700
180,23/02/2024,12700,12400,12700,12600,14743,12600
181,26/02/2024,12700,12500,12600,12600,3760,12600
182,27/02/2024,12700,12500,12600,12700,1714,12700
183,28/02/2024,12800,12600,12600,12600,6608,12600
184,29/02/2024,12700,12100,12600,12600,9669,12600
185,01/03/2024,12600,12500,12600,12500,7507,12500
186,04/03/2024,12600,12500,12600,12600,3264,12600
187,05/03/2024,12600,12500,12600,12600,5854,12600
188,06/03/2024,12800,12500,12600,12600,9547,12600
189,07/03/2024,12700,12500,12600,12500,10680,12500
190,08/03/2024,12600,12400,12500,12400,5864,12400
191,11/03/2024,12500,12300,12500,12300,4692,12300
192,12/03/2024,12400,12400,12400,12400,2241,12400
193,13/03/2024,12600,11500,12400,12500,20724,12500
194,14/03/2024,12600,12500,12600,12500,7271,12500
195,15/03/2024,12600,12300,12500,12400,5505,12400
196,18/03/2024,12600,12300,12400,12400,6423,12400
