,Date,High,Low,Open,Close,Volume,Adj Close
0,14/12/2022,73500,73500,73500,73500,200,68600
1,15/12/2022,73500,73500,73500,73500,-,68600
2,16/12/2022,73500,73500,73500,73500,100,68600
3,19/12/2022,70000,70000,70000,70000,200,65300
4,20/12/2022,70000,70000,70000,70000,-,65300
5,21/12/2022,70000,70000,70000,70000,-,65300
6,22/12/2022,70000,70000,70000,70000,-,65300
7,23/12/2022,75000,70100,70100,75000,500,70000
8,26/12/2022,75000,75000,75000,75000,-,70000
9,27/12/2022,75000,75000,75000,75000,30000,70000
10,28/12/2022,75000,75000,75000,75000,-,70000
11,29/12/2022,75000,75000,75000,75000,-,70000
12,30/12/2022,75000,75000,75000,75000,-,70000
13,03/01/2023,75000,75000,75000,75000,7,70000
14,04/01/2023,75800,70100,70100,75800,2100,70700
15,05/01/2023,75800,75800,75800,75800,-,70700
16,06/01/2023,70100,70100,70100,70100,200,65400
17,09/01/2023,70100,70100,70100,70100,-,65400
18,10/01/2023,70500,70100,70500,70100,1500,65400
19,11/01/2023,70100,70100,70100,70100,-,65400
20,12/01/2023,70100,70100,70100,70100,-,65400
21,13/01/2023,70100,70100,70100,70100,-,65400
22,16/01/2023,70100,70100,70100,70100,100,65400
23,17/01/2023,70100,70100,70100,70100,300,65400
24,18/01/2023,70100,70100,70100,70100,-,65400
25,19/01/2023,70400,70100,70400,70100,1909,65400
26,27/01/2023,70100,70100,70100,70100,200,65400
27,30/01/2023,70200,70200,70200,70200,300,65500
28,31/01/2023,70200,70100,70200,70100,300,65400
29,01/02/2023,70100,70100,70100,70100,-,65400
30,02/02/2023,70100,70100,70100,70100,2000,65400
31,03/02/2023,70600,70600,70600,70600,1900,65900
32,06/02/2023,70200,70000,70200,70000,3900,65300
33,07/02/2023,70000,70000,70000,70000,-,65300
34,08/02/2023,70000,70000,70000,70000,-,65300
35,09/02/2023,70000,70000,70000,70000,-,65300
36,10/02/2023,70000,70000,70000,70000,-,65300
37,13/02/2023,70000,70000,70000,70000,-,65300
38,14/02/2023,70000,70000,70000,70000,-,65300
39,15/02/2023,70000,70000,70000,70000,-,65300
40,16/02/2023,70000,70000,70000,70000,-,65300
41,17/02/2023,70100,70100,70100,70100,100,65400
42,20/02/2023,70100,70100,70100,70100,-,65400
43,21/02/2023,70900,63100,63100,70900,200,66200
44,22/02/2023,64100,64100,64100,64100,100,59800
45,23/02/2023,64100,64100,64100,64100,-,59800
46,24/02/2023,70500,70500,70500,70500,200,65800
47,27/02/2023,70000,63600,63600,70000,200,65300
48,28/02/2023,70000,70000,70000,70000,-,65300
49,01/03/2023,69900,65100,65100,69900,200,65200
50,02/03/2023,69900,63500,63500,69900,200,65200
51,03/03/2023,63600,63600,63600,63600,100,59400
52,06/03/2023,65100,65100,65100,65100,100,60800
53,07/03/2023,65100,65100,65100,65100,-,60800
54,08/03/2023,65100,65100,65100,65100,-,60800
55,09/03/2023,65100,65100,65100,65100,-,60800
56,10/03/2023,65100,65100,65100,65100,-,60800
57,13/03/2023,65100,65100,65100,65100,-,60800
58,14/03/2023,65100,65100,65100,65100,-,60800
59,15/03/2023,65100,65100,65100,65100,-,60800
60,16/03/2023,65100,65100,65100,65100,-,60800
61,17/03/2023,64100,64100,64100,64100,31000,59800
62,20/03/2023,64100,64100,64100,64100,400,59800
63,21/03/2023,64100,64100,64100,64100,-,59800
64,22/03/2023,66000,66000,66000,66000,100,61600
65,23/03/2023,66000,66000,66000,66000,-,61600
66,24/03/2023,59500,59500,59500,59500,500,55500
67,27/03/2023,59500,59500,59500,59500,-,55500
68,28/03/2023,65100,65100,65100,65100,105,60800
69,29/03/2023,65200,59000,59000,65200,200,60900
70,30/03/2023,60000,60000,60000,60000,100,56000
71,31/03/2023,60000,60000,60000,60000,-,56000
72,03/04/2023,65500,56500,56500,65500,200,61100
73,04/04/2023,65500,65500,65500,65500,-,61100
74,05/04/2023,59500,59500,59500,59500,100,55500
75,06/04/2023,59500,59500,59500,59500,-,55500
76,07/04/2023,59500,59500,59500,59500,-,55500
77,10/04/2023,59500,59500,59500,59500,-,55500
78,11/04/2023,59600,54500,54500,59600,219,55600
79,12/04/2023,59600,59600,59600,59600,-,55600
80,13/04/2023,59600,54500,54500,59600,200,55600
81,14/04/2023,61900,55000,55000,61900,200,57800
82,17/04/2023,56000,56000,56000,56000,100,52300
83,18/04/2023,59500,59500,59500,59500,102,55500
84,19/04/2023,54500,54500,54500,54500,100,50900
85,20/04/2023,54500,54500,54500,54500,-,50900
86,21/04/2023,57000,57000,57000,57000,100,53200
87,24/04/2023,57100,57100,57100,57100,100,53300
88,25/04/2023,62800,60000,60000,62800,200,58600
89,26/04/2023,64000,64000,64000,64000,111,59700
90,27/04/2023,62000,57600,57600,62000,200,57900
91,28/04/2023,62000,62000,62000,62000,-,57900
92,04/05/2023,62000,62000,62000,62000,200,57900
93,05/05/2023,62000,62000,62000,62000,-,57900
94,08/05/2023,68200,60000,60000,68200,830,63700
95,09/05/2023,75000,74500,75000,74500,205,69500
96,10/05/2023,80000,74000,74500,75000,13725,70000
97,11/05/2023,70000,70000,70000,75000,2,70000
98,12/05/2023,70000,70000,70000,70000,-,70000
99,15/05/2023,70000,70000,70000,75000,1,70000
100,16/05/2023,70000,70000,70000,70000,-,70000
101,17/05/2023,70000,70000,70000,70000,-,70000
102,18/05/2023,64800,64800,64800,64800,110,64800
103,19/05/2023,59500,59500,59500,59500,607,59500
104,22/05/2023,53700,53700,53700,53700,3006,53700
105,23/05/2023,53700,53700,53700,53700,105,53700
106,24/05/2023,58900,58900,58900,58900,102,58900
107,25/05/2023,58900,58900,58900,58900,-,58900
108,26/05/2023,58900,58900,58900,58900,2,58900
109,29/05/2023,54500,54500,54500,54500,100,54500
110,30/05/2023,52000,50000,51500,50000,1500,50000
111,31/05/2023,54800,54000,54000,54800,200,54800
112,01/06/2023,54800,54800,54800,54800,-,54800
113,02/06/2023,56500,54800,54800,56500,200,56500
114,05/06/2023,57900,57800,57800,57900,200,57900
