,Date,High,Low,Open,Close,Volume,Adj Close
0,24/05/2021,11500,11500,11500,11500,800,10900
1,25/05/2021,11500,11500,11500,11500,1000,10900
2,26/05/2021,11500,11500,11500,11500,400,10900
3,27/05/2021,11500,11500,11500,11500,-,10900
4,28/05/2021,11500,11500,11500,11500,2000,10900
5,31/05/2021,12600,12500,12500,12600,2102,11900
6,01/06/2021,12600,12600,12600,12600,-,11900
7,02/06/2021,11400,11400,11400,11400,900,10800
8,03/06/2021,11400,11400,11400,11400,3300,10800
9,04/06/2021,11400,11400,11400,11400,-,10800
10,07/06/2021,11400,11400,11400,11400,-,10800
11,08/06/2021,11400,11400,11400,11400,-,10800
12,09/06/2021,11400,11400,11400,11400,-,10800
13,10/06/2021,11400,11400,11400,11400,-,10800
14,11/06/2021,11400,11400,11400,11400,-,10800
15,14/06/2021,11400,11400,11400,11400,-,10800
16,15/06/2021,11400,11400,11400,11400,3700,10800
17,16/06/2021,12000,12000,12000,12000,100,11300
18,17/06/2021,12000,12000,12000,12000,100,11300
19,18/06/2021,12000,12000,12000,12000,-,11300
20,21/06/2021,12000,12000,12000,12000,100,11300
21,22/06/2021,12000,12000,12000,12000,700,11300
22,23/06/2021,11500,11500,11500,11500,1000,10900
23,24/06/2021,11500,11500,11500,11500,-,10900
24,25/06/2021,11000,11000,11000,11000,1000,10400
25,28/06/2021,10500,10300,10300,10500,1500,9900
26,29/06/2021,11000,10500,10500,11000,1000,10400
27,30/06/2021,11000,11000,11000,11000,-,10400
28,01/07/2021,11000,11000,11000,11000,-,10400
29,02/07/2021,11500,11000,11000,11500,800,10900
30,05/07/2021,11300,11300,11300,11300,1500,10700
31,06/07/2021,11300,11300,11300,11300,-,10700
32,07/07/2021,11300,11300,11300,11300,-,10700
33,08/07/2021,10600,10600,10600,10600,400,10000
34,09/07/2021,10600,10600,10600,10600,200,10000
35,12/07/2021,10600,10600,10600,10600,-,10000
36,13/07/2021,10600,10600,10600,10600,300,10000
37,14/07/2021,10600,10600,10600,10600,-,10000
38,15/07/2021,10600,10600,10600,10600,-,10000
39,16/07/2021,10600,10600,10600,10600,-,10000
40,19/07/2021,10600,10600,10600,10600,-,10000
41,20/07/2021,10600,10600,10600,10600,-,10000
42,21/07/2021,10600,10600,10600,10600,-,10000
43,22/07/2021,10600,10600,10600,10600,100,10000
44,23/07/2021,10600,10600,10600,10600,-,10000
45,26/07/2021,10600,10600,10600,10600,-,10000
46,27/07/2021,10600,10600,10600,10600,-,10000
47,28/07/2021,10600,10600,10600,10600,-,10000
48,29/07/2021,10600,10600,10600,10600,-,10000
49,30/07/2021,10600,10600,10600,10600,-,10000
50,02/08/2021,10600,10600,10600,10600,-,10000
51,03/08/2021,10600,10600,10600,10600,-,10000
52,04/08/2021,10100,9700,9700,10100,800,9500
53,05/08/2021,10100,10100,10100,10100,-,9500
54,06/08/2021,10100,10100,10100,10100,-,9500
55,09/08/2021,10100,10100,10100,10100,600,9500
56,10/08/2021,10100,10100,10100,10100,600,9500
57,11/08/2021,10300,10200,10300,10200,3100,9600
58,12/08/2021,10200,10200,10200,10200,200,9600
59,13/08/2021,10400,10200,10400,10200,1700,9600
60,16/08/2021,10200,10200,10200,10200,1,9600
61,17/08/2021,10300,10300,10300,10300,100,9700
62,18/08/2021,10300,10300,10300,10300,-,9700
63,19/08/2021,11300,10400,10400,11300,6301,10700
64,20/08/2021,11500,11100,11500,11100,1400,10500
65,23/08/2021,11100,11100,11100,11100,-,10500
66,24/08/2021,11100,11100,11100,11100,-,10500
67,25/08/2021,11100,11100,11100,11100,-,10500
68,26/08/2021,10100,10100,10100,10100,200,9500
69,27/08/2021,10100,10100,10100,10100,-,9500
70,30/08/2021,10900,10900,10900,10900,700,10300
71,31/08/2021,10900,10900,10900,10900,-,10300
72,01/09/2021,10600,10000,10000,10600,1510,10000
73,06/09/2021,10500,10300,10500,10300,2000,9700
74,07/09/2021,10400,10400,10400,10400,3300,9800
75,08/09/2021,10600,10600,10600,10600,100,10000
76,09/09/2021,10600,10600,10600,10600,1700,10000
77,10/09/2021,10600,10600,10600,10600,600,10000
78,13/09/2021,10500,10500,10500,10500,4000,9900
79,14/09/2021,10600,10600,10600,10600,1700,10000
80,15/09/2021,10600,10600,10600,10600,2200,10000
81,16/09/2021,10600,10600,10600,10600,600,10000
82,17/09/2021,11000,10700,10700,11000,2910,10400
83,20/09/2021,12100,11500,11500,11500,2800,10900
84,21/09/2021,11500,11100,11100,11500,1700,10900
85,22/09/2021,11400,11000,11400,11200,6100,10600
86,23/09/2021,11400,11200,11200,11400,6200,10800
87,24/09/2021,11400,11100,11400,11100,2200,10500
88,27/09/2021,12000,11000,11200,11000,2700,10400
89,28/09/2021,11000,11000,11000,11000,-,10400
90,29/09/2021,11000,11000,11000,11000,-,10400
91,30/09/2021,11200,11100,11100,11200,300,10600
92,01/10/2021,11200,11000,11200,11000,1100,10400
93,04/10/2021,11000,10900,10900,10900,600,10300
94,05/10/2021,11900,11400,11400,11800,7635,11100
95,06/10/2021,11800,11500,11800,11500,738,10900
96,07/10/2021,11500,11500,11500,11500,-,10900
97,08/10/2021,11000,10800,10800,10900,900,10300
98,11/10/2021,11400,11000,11000,11200,1600,10600
99,12/10/2021,11000,10900,10900,11000,300,10400
100,13/10/2021,11600,11100,11100,11300,3225,10700
101,14/10/2021,11600,11400,11500,11600,8455,11000
102,15/10/2021,11600,11600,11600,11600,508,11000
103,18/10/2021,11900,11900,11900,11900,2010,11200
104,19/10/2021,12000,11700,12000,11700,925,11000
105,20/10/2021,12500,12300,12400,12400,7500,11700
106,21/10/2021,12500,11800,12400,12000,2900,11300
107,22/10/2021,12500,12300,12500,12400,7900,11700
108,25/10/2021,12500,12300,12300,12500,1600,11800
109,26/10/2021,12000,11800,12000,11800,1847,11800
110,27/10/2021,11800,11700,11700,11800,1200,11800
111,28/10/2021,12000,10900,10900,11900,6700,11900
112,29/10/2021,12000,10800,10900,12000,700,12000
113,01/11/2021,12100,12000,12100,12000,4500,12000
114,02/11/2021,12000,12000,12000,12000,200,12000
115,03/11/2021,12000,11800,11800,12000,6535,12000
116,04/11/2021,12000,12000,12000,12000,47,12000
117,05/11/2021,12000,12000,12000,12000,1000,12000
118,08/11/2021,12600,12000,12500,12000,6900,12000
119,09/11/2021,12700,12000,12700,12400,2700,12400
120,10/11/2021,12700,12400,12400,12600,7540,12600
121,11/11/2021,12900,12900,12900,12900,200,12900
122,12/11/2021,13100,12100,13100,13000,2400,13000
123,15/11/2021,13200,12700,12700,12700,7351,12700
124,16/11/2021,12700,12700,12700,12700,-,12700
125,17/11/2021,13800,13200,13800,13300,3500,13300
126,18/11/2021,13500,13200,13300,13300,4083,13300
127,19/11/2021,13300,13200,13300,13300,4601,13300
128,22/11/2021,13300,13200,13300,13300,1400,13300
129,23/11/2021,13400,13200,13300,13300,3300,13300
130,24/11/2021,13300,13300,13300,13300,800,13300
131,25/11/2021,13400,13200,13200,13400,905,13400
132,26/11/2021,14500,14000,14000,14500,631,14500
133,29/11/2021,14000,14000,14000,14000,3800,14000
134,30/11/2021,14000,14000,14000,14000,2200,14000
135,01/12/2021,14000,14000,14000,14000,-,14000
136,02/12/2021,12800,12800,12800,12800,121,12800
137,03/12/2021,12800,12800,12800,12800,310,12800
138,06/12/2021,12100,12100,12100,12100,120,12100
139,07/12/2021,12500,12500,12500,12500,200,12500
140,08/12/2021,13000,13000,13000,13000,1200,13000
141,09/12/2021,14000,14000,14000,14000,2200,14000
142,10/12/2021,14000,13500,13900,13500,800,13500
143,13/12/2021,13500,13500,13500,13500,510,13500
144,14/12/2021,13500,13500,13500,13500,11,13500
145,15/12/2021,13000,12900,13000,12900,1113,12900
146,16/12/2021,12900,12900,12900,12900,133,12900
147,17/12/2021,12300,12300,12300,12300,300,12300
148,20/12/2021,12300,12300,12300,12300,-,12300
149,21/12/2021,12200,12000,12200,12200,2200,12200
150,22/12/2021,13400,13400,13400,13400,633,13400
151,23/12/2021,13400,13400,13400,13400,-,13400
152,24/12/2021,13500,13500,13500,13500,1200,13500
153,27/12/2021,13500,13500,13500,13500,-,13500
154,28/12/2021,13000,13000,13000,13000,410,13000
155,29/12/2021,13000,13000,13000,13000,-,13000
156,30/12/2021,13000,13000,13000,13000,-,13000
157,31/12/2021,13000,13000,13000,13000,-,13000
158,04/01/2022,13000,13000,13000,13000,-,13000
159,05/01/2022,14300,12100,12900,14300,7000,14300
160,06/01/2022,14300,14300,14300,14300,577,14300
161,07/01/2022,14300,13300,13300,14300,328,14300
162,10/01/2022,14200,14100,14200,14100,2600,14100
163,11/01/2022,13900,13900,13900,13900,500,13900
164,12/01/2022,12900,12900,12900,12900,100,12900
165,13/01/2022,12900,12900,12900,12900,-,12900
166,14/01/2022,12900,12900,12900,12900,200,12900
167,17/01/2022,12900,12900,12900,12900,-,12900
168,18/01/2022,12900,12900,12900,12900,-,12900
169,19/01/2022,11900,11700,11700,11900,200,11900
170,20/01/2022,13000,12000,12000,13000,500,13000
171,21/01/2022,13100,13000,13000,13100,338,13100
172,24/01/2022,13200,13200,13200,13200,300,13200
173,25/01/2022,13200,13200,13200,13200,1,13200
174,26/01/2022,13200,13200,13200,13200,-,13200
175,27/01/2022,13200,13200,13200,13200,-,13200
176,28/01/2022,12000,12000,12000,12000,100,12000
177,07/02/2022,12000,12000,12000,12000,-,12000
178,08/02/2022,12000,12000,12000,12000,-,12000
179,09/02/2022,12000,12000,12000,12000,69,12000
180,10/02/2022,13200,12500,13200,12500,416,12500
181,11/02/2022,12500,12500,12500,12500,1,12500
182,14/02/2022,12500,12500,12500,12500,36,12500
183,15/02/2022,12500,12500,12500,12500,-,12500
184,16/02/2022,12500,12500,12500,12500,17,12500
185,17/02/2022,12500,12500,12500,12500,6900,12500
186,18/02/2022,12500,12500,12500,12500,-,12500
187,21/02/2022,13000,13000,13000,13000,100,13000
188,22/02/2022,13000,13000,13000,13000,100,13000
189,23/02/2022,13000,13000,13000,13000,-,13000
190,24/02/2022,13000,13000,13000,13000,-,13000
191,25/02/2022,12800,12800,12800,12800,100,12800
192,28/02/2022,12800,12800,12800,12800,1,12800
193,01/03/2022,12800,12800,12800,12800,-,12800
194,02/03/2022,12800,12800,12800,12800,-,12800
195,03/03/2022,12800,12800,12800,12800,1001,12800
196,04/03/2022,12500,12500,12500,12500,500,12500
197,07/03/2022,12500,12500,12500,12500,100,12500
198,08/03/2022,12500,12500,12500,12500,-,12500
199,09/03/2022,12500,12500,12500,12500,-,12500
200,10/03/2022,12500,12500,12500,12500,10,12500
201,11/03/2022,12500,12500,12500,12500,-,12500
202,14/03/2022,12100,12100,12100,12100,100,12100
203,15/03/2022,12100,12100,12100,12100,-,12100
204,16/03/2022,13300,11000,11500,13300,5600,13300
205,17/03/2022,14000,13900,14000,13900,705,13900
206,18/03/2022,13900,13900,13900,13900,-,13900
207,21/03/2022,13900,13300,13900,13300,2600,13300
208,22/03/2022,13300,13000,13000,13300,200,13300
209,23/03/2022,13300,13300,13300,13300,1200,13300
210,24/03/2022,13500,13500,13500,13500,745,13500
211,25/03/2022,13500,13300,13400,13300,3000,13300
212,28/03/2022,13000,12800,13000,12800,600,12800
213,29/03/2022,12800,12800,12800,12800,-,12800
214,30/03/2022,14000,13600,13600,13600,2900,13600
215,31/03/2022,12400,12300,12400,12300,300,12300
216,01/04/2022,12300,12300,12300,12300,22,12300
217,04/04/2022,13500,12500,12500,13500,1110,13500
218,05/04/2022,13300,13300,13300,13300,1302,13300
