,Date,High,Low,Open,Close,Volume,Adj Close
0,30/05/2022,16500,16000,16300,16300,498432,15800
1,31/05/2022,16500,15800,16200,16200,602815,15700
2,01/06/2022,16700,15700,16000,16500,512466,16000
3,02/06/2022,17500,16100,16600,16800,1259901,16300
4,03/06/2022,17200,16600,16800,16800,503749,16300
5,06/06/2022,17000,16400,16800,16700,560731,16200
6,07/06/2022,17200,15800,16700,17200,1024789,16700
7,08/06/2022,18200,16900,17300,17600,1152242,17000
8,09/06/2022,17700,17300,17400,17500,566221,16900
9,10/06/2022,18700,17100,17400,17800,1814856,17200
10,13/06/2022,17700,16100,17700,16100,1115976,15600
11,14/06/2022,16500,14500,14500,15900,493804,15400
12,15/06/2022,16000,14400,15700,14500,1232087,14000
13,16/06/2022,15700,14700,14700,15100,475902,14600
14,17/06/2022,15800,14100,15800,14400,569750,13900
15,20/06/2022,15000,13200,14400,13200,656495,12800
16,21/06/2022,13900,11900,13000,13800,600023,13400
17,22/06/2022,14600,12500,14200,14600,509300,14100
18,23/06/2022,14600,13900,14600,14600,375800,14100
19,24/06/2022,14800,14200,14600,14200,422140,13800
20,27/06/2022,14700,14100,14200,14500,604811,14000
21,28/06/2022,15200,14500,14600,14900,550210,14400
22,29/06/2022,14900,14400,14700,14700,349804,14200
23,30/06/2022,14900,14000,14700,14000,366933,13600
24,01/07/2022,14500,13200,13900,14000,503250,13600
25,04/07/2022,14500,14000,14400,14200,265505,13800
26,05/07/2022,14300,13700,14300,13700,371900,13300
27,06/07/2022,13800,13100,13500,13100,285011,12700
28,07/07/2022,13500,12900,13100,13100,226604,12700
29,08/07/2022,13800,13300,13400,13500,233005,13100
30,11/07/2022,14400,13400,13500,14200,563559,13800
31,12/07/2022,14700,14000,14000,14500,502265,14000
32,13/07/2022,14900,14500,14500,14700,493100,14200
33,14/07/2022,14900,14400,14500,14600,406297,14100
34,15/07/2022,15000,14500,14600,14500,648750,14000
35,18/07/2022,15400,14500,14500,14700,594110,14200
36,19/07/2022,14900,14500,14700,14500,285746,14000
37,20/07/2022,15000,14400,14500,14800,531324,14300
38,21/07/2022,15600,14700,14700,15600,1452332,15100
39,22/07/2022,15600,15300,15600,15400,478645,14900
40,25/07/2022,15400,15000,15200,15000,513000,14500
41,26/07/2022,15300,15000,15000,15000,559444,14500
42,27/07/2022,15200,14600,15000,15200,357300,14700
43,28/07/2022,15900,15300,15300,15400,1040121,14900
44,29/07/2022,15500,15100,15400,15300,660755,14800
45,01/08/2022,15900,15000,15100,15800,1129108,15300
46,02/08/2022,16200,15600,15800,15800,860845,15300
47,03/08/2022,16200,15600,15800,16100,773162,15600
48,04/08/2022,16500,15800,16100,15800,926428,15300
49,05/08/2022,16000,15700,15800,15900,459610,15400
50,08/08/2022,16400,15900,15900,16200,617400,15700
51,09/08/2022,16200,15900,16200,16000,542902,15500
52,10/08/2022,16400,15900,16000,16100,737928,15600
53,11/08/2022,16500,15600,16200,15900,781865,15400
54,12/08/2022,16000,15700,15800,16000,550500,15500
55,15/08/2022,16300,15900,16100,16000,496555,15500
56,16/08/2022,17000,16100,16100,16700,1783832,16200
57,17/08/2022,16800,16300,16700,16400,672355,15900
58,18/08/2022,16400,16100,16300,16100,425584,15600
59,19/08/2022,16200,15800,16100,15900,645311,15400
60,22/08/2022,15900,15300,15900,15400,819719,14900
61,23/08/2022,15900,15200,15400,15900,650810,15400
62,24/08/2022,15900,15300,15800,15400,327705,15400
63,25/08/2022,15900,15300,15400,15600,325802,15600
64,26/08/2022,15800,15300,15700,15500,623112,15500
65,29/08/2022,15200,14400,15200,15000,861599,15000
66,30/08/2022,15200,14600,15000,14600,574913,14600
67,31/08/2022,15000,14400,14600,14800,455315,14800
68,05/09/2022,15000,14700,14800,15000,282627,15000
69,06/09/2022,15200,14700,15100,14800,648614,14800
70,07/09/2022,14900,14500,14700,14500,499100,14500
71,08/09/2022,14500,13900,14500,13900,592600,13900
72,09/09/2022,14000,13400,13900,13700,522284,13700
73,12/09/2022,14100,13800,13900,13800,504113,13800
74,13/09/2022,13900,13600,13800,13800,253486,13800
75,14/09/2022,14000,13300,13800,14000,443440,14000
76,15/09/2022,14100,13900,14100,13900,182548,13900
77,16/09/2022,14000,13400,13900,13600,299503,13600
78,19/09/2022,13600,13100,13600,13200,363730,13200
79,20/09/2022,13500,12900,13300,13100,390330,13100
80,21/09/2022,13500,13000,13100,13400,220315,13400
81,22/09/2022,13800,13300,13400,13800,375204,13800
82,23/09/2022,14300,13600,13900,14000,337938,14000
83,26/09/2022,13800,13000,13800,13300,478842,13300
84,27/09/2022,14200,13400,13400,14000,1266227,14000
85,28/09/2022,14400,13500,14000,13600,746154,13600
86,29/09/2022,14000,12700,13700,12700,836984,12700
