,Date,High,Low,Open,Close,Volume,Adj Close
0,18/08/2022,36100,36100,36100,36100,-,29700
1,19/08/2022,36500,36500,36500,36500,1000,30000
2,22/08/2022,36600,36500,36500,36600,5000,30100
3,23/08/2022,37000,37000,37000,37000,100,30400
4,24/08/2022,37900,37900,37900,37900,100,31100
5,25/08/2022,36900,36000,36900,36000,2900,29600
6,26/08/2022,36500,36200,36200,36300,710,29800
7,29/08/2022,37000,36500,37000,36500,800,30000
8,30/08/2022,36500,36500,36500,36500,-,30000
9,31/08/2022,36500,36500,36500,36500,-,30000
10,05/09/2022,36500,36500,36500,36500,-,30000
11,06/09/2022,37500,37500,37500,37500,100,30800
12,07/09/2022,36700,36700,36700,36700,2200,30200
13,08/09/2022,36700,36700,36700,36700,200,30200
14,09/09/2022,36700,36700,36700,36700,-,30200
15,12/09/2022,37000,36000,37000,36800,6202,30200
16,13/09/2022,37000,36100,36100,37000,2300,30400
17,14/09/2022,37000,37000,37000,37000,52,30400
18,15/09/2022,37000,37000,37000,37000,52,30400
19,16/09/2022,37000,37000,37000,37000,240,30400
20,19/09/2022,37000,36500,37000,36500,2000,30000
21,20/09/2022,37000,37000,37000,37000,200,30400
22,21/09/2022,36400,36300,36300,36400,1300,29900
23,22/09/2022,36400,36100,36400,36100,2000,29700
24,23/09/2022,36100,36100,36100,36100,-,29700
25,26/09/2022,36400,36200,36400,36400,2435,29900
26,27/09/2022,37000,36500,36500,37000,700,30400
27,28/09/2022,36300,36200,36300,36200,1000,29700
28,29/09/2022,37000,36300,37000,37000,230900,30400
29,30/09/2022,40700,36300,36300,40700,7165,33400
30,03/10/2022,39800,39700,39700,39800,500,32700
31,04/10/2022,36500,36100,36500,36100,14344,29700
32,05/10/2022,36100,36100,36100,36100,-,29700
33,06/10/2022,36000,36000,36000,36000,1000,29600
34,07/10/2022,36100,36100,36100,36100,105,29700
35,10/10/2022,36100,36000,36100,36000,800,29600
36,11/10/2022,36100,36000,36000,36100,300,29700
37,12/10/2022,36100,36100,36100,36100,2000,29700
38,13/10/2022,36100,36100,36100,36100,-,29700
39,14/10/2022,37000,36500,36500,37000,4200,30400
40,17/10/2022,39500,36900,36900,38000,1556,31200
41,18/10/2022,36300,36200,36200,36300,300,29800
42,19/10/2022,38000,36200,36500,36200,4532,29700
43,20/10/2022,37000,36300,36300,37000,36355,30400
44,21/10/2022,38000,37000,37900,37000,5100,30400
45,24/10/2022,37000,37000,37000,37000,5806,30400
46,25/10/2022,37000,36200,36200,37000,5200,30400
47,26/10/2022,37000,36300,36300,37000,3200,30400
48,27/10/2022,38000,38000,38000,38000,7805,31200
49,28/10/2022,38000,38000,38000,38000,1100,31200
50,31/10/2022,38000,36500,38000,36500,600,30000
51,01/11/2022,37000,37000,37000,37000,2470,30400
52,02/11/2022,37000,37000,37000,37000,10,30400
53,03/11/2022,37000,37000,37000,37000,-,30400
54,04/11/2022,37000,36700,36800,36700,1000,30200
55,07/11/2022,37000,36700,36700,37000,200,30400
56,08/11/2022,37000,36400,36500,36400,2500,29900
57,09/11/2022,36400,36400,36400,36400,22,29900
58,10/11/2022,36500,36400,36400,36400,1800,29900
59,11/11/2022,36400,36400,36400,36400,-,29900
60,14/11/2022,36200,35900,36200,36100,3585,29700
61,15/11/2022,36100,35900,35900,36100,4114,29700
62,16/11/2022,36100,36100,36100,36100,-,29700
63,17/11/2022,36100,36100,36100,36100,-,29700
64,18/11/2022,36000,35600,36000,36000,10900,29600
65,21/11/2022,36000,36000,36000,36000,-,29600
66,22/11/2022,36000,36000,36000,36000,10,29600
67,23/11/2022,36100,36100,36100,36100,1040,29700
68,24/11/2022,36100,36100,36100,36100,300,29700
69,25/11/2022,36100,36100,36100,36100,-,29700
70,28/11/2022,36100,36100,36100,36100,-,29700
71,29/11/2022,36300,36200,36300,36200,900,29700
72,30/11/2022,36200,36200,36200,36200,19,29700
73,01/12/2022,36200,36200,36200,36200,-,29700
74,02/12/2022,36200,36200,36200,36200,-,29700
75,05/12/2022,36700,36000,36000,36700,600,30200
76,06/12/2022,36100,36100,36100,36100,100,29700
77,07/12/2022,37000,35800,36000,37000,500,30400
78,08/12/2022,37000,37000,37000,37000,145,30400
79,09/12/2022,37000,37000,37000,37000,10,30400
80,12/12/2022,38000,38000,38000,38000,350,31200
81,13/12/2022,38000,38000,38000,38000,-,31200
82,14/12/2022,38500,37800,37800,38200,1800,31400
83,15/12/2022,38500,38500,38500,38500,700,31600
84,16/12/2022,38500,38500,38500,38500,1,31600
85,19/12/2022,38500,38500,38500,38500,-,31600
86,20/12/2022,38500,38500,38500,38500,-,31600
87,21/12/2022,38500,38500,38500,38500,109,31600
88,22/12/2022,38500,38500,38500,38500,221,31600
89,23/12/2022,37500,37500,37500,37500,102,31800
90,26/12/2022,37500,37500,37500,37500,-,31800
91,27/12/2022,36500,36500,36500,36500,300,31000
92,28/12/2022,36500,36500,36500,36500,302,31000
93,29/12/2022,36500,36500,36500,36500,-,31000
