,Date,High,Low,Open,Close,Volume,Adj Close
0,16/06/2022,11500,11500,11500,11500,-,10600
1,17/06/2022,11500,11500,11500,11500,-,10600
2,20/06/2022,11500,11500,11500,11500,-,10600
3,21/06/2022,10500,10500,10500,10500,100,9700
4,22/06/2022,10500,10500,10500,10500,-,9700
5,23/06/2022,10500,10500,10500,10500,-,9700
6,24/06/2022,10500,10500,10500,10500,-,9700
7,27/06/2022,10500,10500,10500,10500,-,9700
8,28/06/2022,11500,11500,11500,11500,200,10600
9,29/06/2022,11500,11500,11500,11500,-,10600
10,30/06/2022,11500,11500,11500,11500,-,10600
11,01/07/2022,11500,11500,11500,11500,-,10600
12,04/07/2022,12600,12600,12600,12600,200,11700
13,05/07/2022,12600,12600,12600,12600,-,11700
14,06/07/2022,12600,12600,12600,12600,-,11700
15,07/07/2022,11500,11500,11500,11500,400,10600
16,08/07/2022,11500,11500,11500,11500,-,10600
17,11/07/2022,11500,11500,11500,11500,-,10600
18,12/07/2022,11600,11500,11500,11600,500,10700
19,13/07/2022,11700,11700,11700,11700,100,10800
20,14/07/2022,11700,11700,11700,11700,-,10800
21,15/07/2022,11700,11700,11700,11700,-,10800
22,18/07/2022,11700,11700,11700,11700,-,10800
23,19/07/2022,11700,11700,11700,11700,-,10800
24,20/07/2022,11700,11700,11700,11700,-,10800
25,21/07/2022,11700,11700,11700,11700,-,10800
26,22/07/2022,11700,11700,11700,11700,-,10800
27,25/07/2022,11700,11700,11700,11700,-,10800
28,26/07/2022,11700,11700,11700,11700,-,10800
29,27/07/2022,11700,11700,11700,11700,-,10800
30,28/07/2022,12800,12800,12800,12800,1100,11900
31,29/07/2022,12800,12800,12800,12800,-,11900
32,01/08/2022,12800,12800,12800,12800,-,11900
33,02/08/2022,12800,12800,12800,12800,-,11900
34,03/08/2022,12800,12800,12800,12800,-,11900
35,04/08/2022,11700,11700,11700,11700,100,10800
36,05/08/2022,11700,11700,11700,11700,-,10800
37,08/08/2022,12800,12800,12800,12800,100,11900
38,09/08/2022,14000,14000,14000,14000,200,13000
39,10/08/2022,12800,12800,12800,12800,100,11900
40,11/08/2022,11800,11800,11800,11800,100,10900
41,12/08/2022,11800,11800,11800,11800,-,10900
42,15/08/2022,11800,11800,11800,11800,-,10900
43,16/08/2022,10700,10700,10700,10700,100,9900
44,17/08/2022,10700,10700,10700,10700,-,9900
45,18/08/2022,10700,10700,10700,10700,-,9900
46,19/08/2022,10700,10700,10700,10700,-,9900
47,22/08/2022,10700,10700,10700,10700,-,9900
48,23/08/2022,10700,10700,10700,10700,-,9900
49,24/08/2022,10700,10700,10700,10700,-,9900
50,25/08/2022,10700,10700,10700,10700,-,9900
51,26/08/2022,10700,10700,10700,10700,-,9900
52,29/08/2022,10600,10600,10600,10600,100,9800
53,30/08/2022,10600,10600,10600,10600,-,9800
54,31/08/2022,10600,10600,10600,10600,-,9800
55,05/09/2022,10600,10600,10600,10600,-,9800
56,06/09/2022,10600,10600,10600,10600,-,9800
57,07/09/2022,10600,10600,10600,10600,-,9800
58,08/09/2022,10600,10600,10600,10600,-,9800
59,09/09/2022,10600,10600,10600,10600,-,9800
60,12/09/2022,10600,10600,10600,10600,-,9800
61,13/09/2022,10600,10600,10600,10600,-,9800
62,14/09/2022,9600,9600,9600,9600,100,8900
63,15/09/2022,9600,9600,9600,9600,-,8900
64,16/09/2022,9600,9600,9600,9600,-,8900
65,19/09/2022,9600,9600,9600,9600,-,8900
66,20/09/2022,9600,9600,9600,9600,-,8900
67,21/09/2022,9600,9600,9600,9600,-,8900
68,22/09/2022,8800,8800,8800,8800,100,8100
69,23/09/2022,8300,8300,8300,8300,100,7700
70,26/09/2022,8300,8300,8300,8300,-,7700
71,27/09/2022,7800,7800,7800,7800,100,7200
72,28/09/2022,7800,7800,7800,7800,-,7200
73,29/09/2022,7800,7800,7800,7800,-,7200
74,30/09/2022,7800,7800,7800,7800,-,7200
75,03/10/2022,7800,7800,7800,7800,-,7200
76,04/10/2022,7200,7200,7200,7200,100,6700
77,05/10/2022,7200,7200,7200,7200,-,6700
78,06/10/2022,7200,7200,7200,7200,-,6700
79,07/10/2022,7200,7200,7200,7200,-,6700
80,10/10/2022,7200,7200,7200,7200,-,6700
81,11/10/2022,7200,7200,7200,7200,-,6700
82,12/10/2022,7200,7200,7200,7200,-,6700
83,13/10/2022,7200,7200,7200,7200,-,6700
84,14/10/2022,7200,7200,7200,7200,-,6700
85,17/10/2022,7200,7200,7200,7200,-,6700
86,18/10/2022,7200,7200,7200,7200,-,6700
87,19/10/2022,7200,7200,7200,7200,-,6700
88,20/10/2022,7200,7200,7200,7200,-,6700
89,21/10/2022,6500,6500,6500,6500,100,6000
90,24/10/2022,6500,6500,6500,6500,-,6000
91,25/10/2022,6500,6500,6500,6500,-,6000
92,26/10/2022,6500,6500,6500,6500,-,6000
93,27/10/2022,6500,6500,6500,6500,-,6000
94,28/10/2022,6500,6500,6500,6500,-,6000
95,31/10/2022,6900,6600,6600,6900,200,6400
96,01/11/2022,6900,6900,6900,6900,-,6400
97,02/11/2022,6900,6900,6900,6900,-,6400
98,03/11/2022,6900,6900,6900,6900,-,6400
99,04/11/2022,6900,6900,6900,6900,-,6400
100,07/11/2022,6900,6900,6900,6900,-,6400
101,08/11/2022,6900,6900,6900,6900,-,6400
102,09/11/2022,7500,7500,7500,7500,100,6900
103,10/11/2022,7500,7500,7500,7500,-,6900
104,11/11/2022,7500,7500,7500,7500,-,6900
105,14/11/2022,8200,8200,8200,8200,100,7600
106,15/11/2022,8200,8200,8200,8200,-,7600
107,16/11/2022,9000,9000,9000,9000,100,8300
108,17/11/2022,9000,9000,9000,9000,-,8300
109,18/11/2022,9900,9900,9900,9900,100,9200
110,21/11/2022,9900,9900,9900,9900,-,9200
111,22/11/2022,10800,10800,10800,10800,100,10000
112,23/11/2022,10800,10800,10800,10800,-,10000
113,24/11/2022,10800,10800,10800,10800,-,10000
114,25/11/2022,10800,10800,10800,10800,-,10000
115,28/11/2022,11800,9900,11800,9900,200,9200
116,29/11/2022,9900,9900,9900,9900,-,9200
117,30/11/2022,9900,9900,9900,9900,-,9200
118,01/12/2022,9900,9900,9900,9900,-,9200
119,02/12/2022,9900,9900,9900,9900,-,9200
120,05/12/2022,9900,9900,9900,9900,-,9200
121,06/12/2022,9900,9900,9900,9900,-,9200
122,07/12/2022,9900,9900,9900,9900,-,9200
123,08/12/2022,9900,9900,9900,9900,-,9200
124,09/12/2022,9900,9900,9900,9900,-,9200
125,12/12/2022,9900,9900,9900,9900,-,9200
126,13/12/2022,9900,9900,9900,9900,-,9200
127,14/12/2022,9900,9900,9900,9900,-,9200
128,15/12/2022,9900,9900,9900,9900,-,9200
129,16/12/2022,9900,9900,9900,9900,-,9200
130,19/12/2022,9900,9900,9900,9900,-,9200
131,20/12/2022,9900,9900,9900,9900,-,9200
132,21/12/2022,9900,9900,9900,9900,-,9200
133,22/12/2022,9900,9900,9900,9900,-,9200
134,23/12/2022,9900,9900,9900,9900,-,9200
135,26/12/2022,9900,9900,9900,9900,-,9200
136,27/12/2022,9900,9900,9900,9900,-,9200
137,28/12/2022,10800,10800,10800,10800,100,10000
