,Date,High,Low,Open,Close,Volume,Adj Close
0,19/07/2022,39700,39700,39700,39700,-,38400
1,20/07/2022,39700,39700,39700,39700,-,38400
2,21/07/2022,39700,39700,39700,39700,-,38400
3,22/07/2022,39700,39700,39700,39700,-,38400
4,25/07/2022,39700,39700,39700,39700,-,38400
5,26/07/2022,39700,39700,39700,39700,-,38400
6,27/07/2022,39700,39700,39700,39700,-,38400
7,28/07/2022,39700,39700,39700,39700,-,38400
8,29/07/2022,39700,39700,39700,39700,-,38400
9,01/08/2022,39700,39700,39700,39700,-,38400
10,02/08/2022,39700,39700,39700,39700,-,38400
11,03/08/2022,39700,39700,39700,39700,-,38400
12,04/08/2022,39700,39700,39700,39700,-,38400
13,05/08/2022,39700,39700,39700,39700,-,38400
14,08/08/2022,39700,39700,39700,39700,-,38400
15,09/08/2022,39700,39700,39700,39700,-,38400
16,10/08/2022,39700,39700,39700,39700,-,38400
17,11/08/2022,39700,39700,39700,39700,-,38400
18,12/08/2022,39700,39700,39700,39700,-,38400
19,15/08/2022,39700,39700,39700,39700,-,38400
20,16/08/2022,39700,39700,39700,39700,-,38400
21,17/08/2022,39700,39700,39700,39700,-,38400
22,18/08/2022,39700,39700,39700,39700,-,38400
23,19/08/2022,39700,39700,39700,39700,-,38400
24,22/08/2022,39700,39700,39700,39700,-,38400
25,23/08/2022,39700,39700,39700,39700,-,38400
26,24/08/2022,39700,39700,39700,39700,-,38400
27,25/08/2022,39700,39700,39700,39700,-,38400
28,26/08/2022,39700,39700,39700,39700,-,38400
29,29/08/2022,39700,39700,39700,39700,-,38400
30,30/08/2022,39700,39700,39700,39700,-,38400
31,31/08/2022,39700,39700,39700,39700,-,38400
32,05/09/2022,39700,39700,39700,39700,-,38400
33,06/09/2022,39700,39700,39700,39700,-,38400
34,07/09/2022,39700,39700,39700,39700,-,38400
35,08/09/2022,39700,39700,39700,39700,-,38400
36,09/09/2022,39700,39700,39700,39700,-,38400
37,12/09/2022,39700,39700,39700,39700,-,38400
38,13/09/2022,39700,39700,39700,39700,-,38400
39,14/09/2022,39700,39700,39700,39700,-,38400
40,15/09/2022,39700,39700,39700,39700,-,38400
41,16/09/2022,39700,39700,39700,39700,-,38400
42,19/09/2022,39700,39700,39700,39700,-,38400
43,20/09/2022,39700,39700,39700,39700,-,38400
44,21/09/2022,39700,39700,39700,39700,-,38400
45,22/09/2022,39700,39700,39700,39700,-,38400
46,23/09/2022,39700,39700,39700,39700,-,38400
47,26/09/2022,39700,39700,39700,39700,-,38400
48,27/09/2022,39700,39700,39700,39700,-,38400
49,28/09/2022,39700,39700,39700,39700,-,38400
50,29/09/2022,39700,39700,39700,39700,-,38400
51,30/09/2022,39700,39700,39700,39700,-,38400
52,03/10/2022,39700,39700,39700,41500,1,38400
53,04/10/2022,39700,39700,39700,39700,-,38400
54,05/10/2022,39700,39700,39700,39700,-,38400
55,06/10/2022,39700,39700,39700,39700,-,38400
56,07/10/2022,39700,39700,39700,39700,-,38400
57,10/10/2022,39700,39700,39700,39700,-,38400
58,11/10/2022,39700,39700,39700,39700,-,38400
59,12/10/2022,39700,39700,39700,39700,-,38400
60,13/10/2022,39700,39700,39700,39700,-,38400
61,14/10/2022,39700,39700,39700,39700,-,38400
62,17/10/2022,39700,39700,39700,39700,-,38400
63,18/10/2022,39700,39700,39700,39700,-,38400
64,19/10/2022,39700,39700,39700,39700,-,38400
65,20/10/2022,39700,39700,39700,39700,-,38400
66,21/10/2022,39700,39700,39700,39700,-,38400
67,24/10/2022,39700,39700,39700,39700,-,38400
68,25/10/2022,39700,39700,39700,39700,-,38400
69,26/10/2022,39700,39700,39700,39700,-,38400
70,27/10/2022,39700,39700,39700,39700,-,38400
71,28/10/2022,39700,39700,39700,39700,-,38400
72,31/10/2022,39700,39700,39700,39700,-,38400
73,01/11/2022,39700,39700,39700,39700,-,38400
74,02/11/2022,39700,39700,39700,39700,-,38400
75,03/11/2022,39700,39700,39700,39700,-,38400
76,04/11/2022,39700,39700,39700,39700,-,38400
77,07/11/2022,39700,39700,39700,39700,-,38400
78,08/11/2022,39700,39700,39700,39700,-,38400
79,09/11/2022,39700,39700,39700,39700,-,38400
80,10/11/2022,39700,39700,39700,39700,-,38400
81,11/11/2022,39700,39700,39700,39700,-,38400
82,14/11/2022,39700,39700,39700,39700,-,38400
83,15/11/2022,39700,39700,39700,39700,-,38400
84,16/11/2022,39700,39700,39700,39700,-,38400
85,17/11/2022,39700,39700,39700,39700,-,38400
86,18/11/2022,39900,39900,39900,39900,100,38600
87,21/11/2022,39900,39900,39900,39900,-,38600
88,22/11/2022,39900,39900,39900,39900,-,38600
89,23/11/2022,39900,39900,39900,39900,-,38600
90,24/11/2022,39900,39900,39900,39900,-,38600
91,25/11/2022,39900,39900,39900,39900,-,38600
92,28/11/2022,39900,39900,39900,39900,-,38600
93,29/11/2022,39900,39900,39900,39900,-,38600
94,30/11/2022,39900,39900,39900,39900,-,38600
95,01/12/2022,39900,39900,39900,39900,-,38600
96,02/12/2022,39900,39900,39900,39900,-,38600
97,05/12/2022,39900,39900,39900,39900,-,38600
98,06/12/2022,39900,39900,39900,39900,-,38600
99,07/12/2022,39900,39900,39900,39900,-,38600
100,08/12/2022,39900,39900,39900,39900,-,38600
101,09/12/2022,39900,39900,39900,39900,-,38600
102,12/12/2022,39900,39900,39900,39900,-,38600
103,13/12/2022,39900,39900,39900,39900,-,38600
104,14/12/2022,39900,39900,39900,39900,-,38600
105,15/12/2022,39900,39900,39900,39900,-,38600
106,16/12/2022,39900,39900,39900,39900,-,38600
107,19/12/2022,39900,39900,39900,39900,-,38600
108,20/12/2022,39900,39900,39900,39900,-,38600
109,21/12/2022,39900,39900,39900,39900,-,38600
110,22/12/2022,39900,39900,39900,39900,-,38600
111,23/12/2022,39900,39900,39900,39900,-,38600
112,26/12/2022,39900,39900,39900,39900,-,38600
113,27/12/2022,39900,39900,39900,39900,-,38600
114,28/12/2022,39900,39900,39900,39900,-,38600
115,29/12/2022,39900,39900,39900,39900,-,38600
116,30/12/2022,39900,39900,39900,39900,-,38600
117,03/01/2023,39900,39900,39900,39900,-,38600
118,04/01/2023,39900,39900,39900,39900,-,38600
119,05/01/2023,39900,39900,39900,39900,-,38600
120,06/01/2023,39900,39900,39900,39900,-,38600
121,09/01/2023,39900,39900,39900,39900,-,38600
122,10/01/2023,39900,39900,39900,39900,-,38600
123,11/01/2023,39900,39900,39900,39900,-,38600
124,12/01/2023,39900,39900,39900,39900,-,38600
125,13/01/2023,39900,39900,39900,39900,-,38600
126,16/01/2023,39900,39900,39900,39900,-,38600
127,17/01/2023,39900,39900,39900,39900,-,38600
128,18/01/2023,39900,39900,39900,39900,-,38600
129,19/01/2023,39900,39900,39900,39900,-,38600
130,27/01/2023,39900,39900,39900,39900,-,38600
131,30/01/2023,39900,39900,39900,39900,-,38600
132,31/01/2023,39900,39900,39900,39900,-,38600
