,Date,High,Low,Open,Close,Volume,Adj Close
0,17/11/2021,15700,14200,14400,15000,3529066,15000
1,18/11/2021,15500,15000,15000,15300,2734512,15300
2,19/11/2021,16400,15100,15300,15900,5197887,15900
3,22/11/2021,16400,14600,15900,14800,2818861,14800
4,23/11/2021,15200,14500,14800,15000,1419167,15000
5,24/11/2021,15900,15000,15000,15300,1793040,15300
6,25/11/2021,15800,15000,15300,15200,2400271,15200
7,26/11/2021,15500,14900,15200,15100,2030805,15100
8,29/11/2021,15200,14000,15100,15000,2799344,15000
9,30/11/2021,15400,14800,15000,14800,2283189,14800
10,01/12/2021,15200,14500,14800,14900,1282790,14900
11,02/12/2021,15000,14600,15000,14600,1784553,14600
12,03/12/2021,14800,14000,14600,14100,2505378,14100
13,06/12/2021,15200,13500,14100,14200,3995710,14200
14,07/12/2021,14800,14200,14200,14600,1051317,14600
15,08/12/2021,14600,14200,14600,14200,724189,14200
16,09/12/2021,14400,14000,14200,14200,1168479,14200
17,10/12/2021,14300,14000,14200,14000,1190872,14000
18,13/12/2021,14100,13600,14000,13900,1412598,13900
19,14/12/2021,14700,13800,13800,14000,1374248,14000
20,15/12/2021,14200,13900,14000,14000,886298,14000
21,16/12/2021,14100,13700,14000,13900,1609193,13900
22,17/12/2021,14000,13600,14000,13800,2170324,13800
23,20/12/2021,13900,13200,13800,13300,1905837,13300
24,21/12/2021,13500,12700,13300,12800,2682070,12800
25,22/12/2021,14000,12800,12800,14000,1743417,14000
26,23/12/2021,15400,14000,15000,14600,3108729,14600
27,24/12/2021,14600,13700,14600,13900,1409472,13900
28,27/12/2021,13900,13300,13900,13500,1403323,13500
29,28/12/2021,13700,13100,13300,13500,1561803,13500
30,29/12/2021,14200,13400,13500,13800,1871338,13800
31,30/12/2021,14600,13800,14000,13900,1442107,13900
32,31/12/2021,14000,13500,13900,13500,1154550,13500
33,04/01/2022,14000,13400,13500,13500,1572605,13500
34,05/01/2022,14000,13400,14000,13600,1315197,13600
35,06/01/2022,13800,13400,13400,13400,1619230,13400
36,07/01/2022,13600,13200,13400,13400,1674283,13400
37,10/01/2022,13500,13100,13400,13200,1970090,13200
38,11/01/2022,13400,12900,13000,13000,1144600,13000
39,12/01/2022,13000,12000,13000,12500,1465859,12500
40,13/01/2022,12600,11300,12500,11300,2601752,11300
41,14/01/2022,11000,10200,11000,10500,2411764,10500
42,17/01/2022,11000,9500,10400,9500,1898181,9500
43,18/01/2022,9500,8600,9500,8600,1257810,8600
44,19/01/2022,8600,7800,8600,7900,3259000,7900
45,20/01/2022,8600,7800,7900,8600,486164,8600
46,21/01/2022,9400,9400,9400,9400,220611,9400
47,24/01/2022,10300,9800,10300,10300,3961280,10300
48,25/01/2022,11200,9500,10900,10300,2106676,10300
49,26/01/2022,10500,9400,10300,9400,850564,9400
50,27/01/2022,9400,8600,9400,9000,1598100,9000
51,28/01/2022,9600,8700,9000,9500,788141,9500
52,07/02/2022,10400,9600,9600,10400,1079338,10400
53,08/02/2022,10800,10100,10500,10100,1522910,10100
54,09/02/2022,10200,9800,10100,10100,928464,10100
