,Date,High,Low,Open,Close,Volume,Adj Close
0,17/07/2023,8800,8100,8100,8200,3900,8200
1,18/07/2023,8200,8000,8200,8000,501,8000
2,19/07/2023,8000,8000,8000,8000,1500,8000
3,20/07/2023,8500,7400,7400,8500,207,8500
4,21/07/2023,8100,8100,8100,8100,1000,8100
5,24/07/2023,8100,8100,8100,8100,610,8100
6,25/07/2023,8000,8000,8000,8000,600,8000
7,26/07/2023,8000,7500,8000,7500,800,7500
8,27/07/2023,8000,8000,8000,8000,200,8000
9,28/07/2023,8100,8100,8100,8100,500,8100
10,31/07/2023,8200,8100,8200,8100,8600,8100
11,01/08/2023,8100,8100,8100,8100,40,8100
12,02/08/2023,8800,7600,7600,8800,3726,8800
13,03/08/2023,8800,8800,8800,8800,3,8800
14,04/08/2023,9600,8000,9600,8100,2491,8100
15,07/08/2023,8000,8000,8000,8000,156,8000
16,08/08/2023,8800,7300,8800,8000,3000,8000
17,09/08/2023,8100,8100,8100,8100,100,8100
18,10/08/2023,7400,7400,7400,7400,100,7400
19,11/08/2023,8000,7400,7400,8000,200,8000
20,14/08/2023,7400,7200,7400,7300,400,7300
21,15/08/2023,8000,7400,7700,8000,1059,8000
22,16/08/2023,8000,8000,8000,8000,200,8000
23,17/08/2023,7400,7400,7400,7400,101,7400
24,18/08/2023,7800,7800,7800,7800,100,7800
25,21/08/2023,7800,7800,7800,7800,147,7800
26,22/08/2023,7400,7100,7200,7400,6921,7400
27,23/08/2023,8000,8000,8000,8000,105,8000
28,24/08/2023,8700,7200,8000,7800,1812,7800
29,25/08/2023,8400,7800,8400,7800,412,7800
30,28/08/2023,8400,7800,7800,7800,1301,7800
31,29/08/2023,8100,8100,8100,8100,104,8100
32,30/08/2023,8000,7300,7800,7900,1800,7900
33,31/08/2023,8300,8000,8300,8000,912,8000
34,05/09/2023,8400,8400,8400,8400,124,8400
35,06/09/2023,7600,7600,7600,7600,5511,7600
36,07/09/2023,7600,6900,7000,7600,2200,7600
37,08/09/2023,7500,7100,7500,7500,700,7500
38,11/09/2023,7500,7000,7000,7500,1200,7500
39,12/09/2023,7700,7700,7700,7700,100,7700
40,13/09/2023,7200,7100,7100,7200,602,7200
41,14/09/2023,7200,7200,7200,7200,-,7200
