,Date,High,Low,Open,Close,Volume,Adj Close
0,14/09/2021,3100,3100,3100,3100,-,3100
1,15/09/2021,3100,3100,3100,3100,-,3100
2,16/09/2021,3100,3100,3100,3100,-,3100
3,17/09/2021,3400,2800,2900,3400,172810,3400
4,20/09/2021,3400,3400,3400,3400,-,3400
5,21/09/2021,3400,3400,3400,3400,-,3400
6,22/09/2021,3400,3400,3400,3400,-,3400
7,23/09/2021,3400,3400,3400,3400,-,3400
8,24/09/2021,3500,3200,3400,3300,96400,3300
9,27/09/2021,3300,3300,3300,3300,-,3300
10,28/09/2021,3300,3300,3300,3300,-,3300
11,29/09/2021,3300,3300,3300,3300,-,3300
12,30/09/2021,3300,3300,3300,3300,-,3300
13,01/10/2021,3200,3100,3200,3200,48600,3200
14,04/10/2021,3200,3200,3200,3200,-,3200
15,05/10/2021,3200,3200,3200,3200,-,3200
16,06/10/2021,3200,3200,3200,3200,-,3200
17,07/10/2021,3200,3200,3200,3200,-,3200
18,08/10/2021,3500,3200,3200,3500,149570,3500
19,11/10/2021,3500,3500,3500,3500,-,3500
20,12/10/2021,3500,3500,3500,3500,-,3500
21,13/10/2021,3500,3500,3500,3500,-,3500
22,14/10/2021,3500,3500,3500,3500,-,3500
23,15/10/2021,3700,3300,3500,3600,91240,3600
24,18/10/2021,3600,3600,3600,3600,-,3600
25,19/10/2021,3600,3600,3600,3600,-,3600
26,20/10/2021,3600,3600,3600,3600,-,3600
27,21/10/2021,3600,3600,3600,3600,-,3600
28,22/10/2021,3900,3400,3600,3900,255651,3900
29,25/10/2021,3900,3900,3900,3900,-,3900
30,26/10/2021,3900,3900,3900,3900,-,3900
31,27/10/2021,3900,3900,3900,3900,-,3900
32,28/10/2021,3900,3900,3900,3900,-,3900
33,29/10/2021,4200,4000,4000,4200,367203,4200
34,01/11/2021,4200,4200,4200,4200,-,4200
35,02/11/2021,4200,4200,4200,4200,-,4200
36,03/11/2021,4200,4200,4200,4200,-,4200
37,04/11/2021,4200,4200,4200,4200,-,4200
38,05/11/2021,4600,4100,4600,4300,131131,4300
39,08/11/2021,4300,4300,4300,4300,-,4300
40,09/11/2021,4300,4300,4300,4300,-,4300
41,10/11/2021,4300,4300,4300,4300,-,4300
42,11/11/2021,4300,4300,4300,4300,-,4300
43,12/11/2021,4300,3900,4300,4100,188832,4100
44,15/11/2021,4100,4100,4100,4100,-,4100
45,16/11/2021,4100,4100,4100,4100,-,4100
46,17/11/2021,4100,4100,4100,4100,-,4100
47,18/11/2021,4100,4100,4100,4100,-,4100
48,19/11/2021,4500,4100,4100,4500,293461,4500
49,22/11/2021,4500,4500,4500,4500,-,4500
50,23/11/2021,4500,4500,4500,4500,-,4500
51,24/11/2021,4500,4500,4500,4500,-,4500
52,25/11/2021,4500,4500,4500,4500,-,4500
53,26/11/2021,4900,4500,4900,4900,201865,4900
54,29/11/2021,4900,4900,4900,4900,-,4900
55,30/11/2021,4900,4900,4900,4900,-,4900
56,01/12/2021,4900,4900,4900,4900,-,4900
57,02/12/2021,4900,4900,4900,4900,-,4900
58,03/12/2021,5300,4900,5300,5300,238316,5300
59,06/12/2021,5300,5300,5300,5300,-,5300
60,07/12/2021,5300,5300,5300,5300,-,5300
61,08/12/2021,5300,5300,5300,5300,-,5300
62,09/12/2021,5300,5300,5300,5300,-,5300
63,10/12/2021,5800,5500,5500,5800,82747,5800
64,13/12/2021,5800,5800,5800,5800,-,5800
65,14/12/2021,5800,5800,5800,5800,-,5800
66,15/12/2021,5800,5800,5800,5800,-,5800
67,16/12/2021,5800,5800,5800,5800,-,5800
68,17/12/2021,6300,6000,6300,6300,91633,6300
69,20/12/2021,6300,6300,6300,6300,-,6300
70,21/12/2021,6300,6300,6300,6300,-,6300
71,22/12/2021,6300,6300,6300,6300,-,6300
72,23/12/2021,6300,6300,6300,6300,-,6300
73,24/12/2021,6900,6700,6900,6900,221665,6900
74,27/12/2021,6900,6900,6900,6900,-,6900
75,28/12/2021,6900,6900,6900,6900,-,6900
76,29/12/2021,6900,6900,6900,6900,-,6900
77,30/12/2021,6900,6900,6900,6900,-,6900
78,31/12/2021,7500,7000,7000,7500,112881,7500
79,04/01/2022,7500,7500,7500,7500,-,7500
80,05/01/2022,7500,7500,7500,7500,-,7500
81,06/01/2022,7500,7500,7500,7500,-,7500
82,07/01/2022,8200,7000,8200,8000,225844,8000
83,10/01/2022,8000,8000,8000,8000,-,8000
84,11/01/2022,8000,8000,8000,8000,-,8000
85,12/01/2022,8000,8000,8000,8000,-,8000
86,13/01/2022,8000,8000,8000,8000,-,8000
87,14/01/2022,8100,7200,8000,7200,25350,7200
88,17/01/2022,7200,7200,7200,7200,-,7200
89,18/01/2022,7200,7200,7200,7200,-,7200
90,19/01/2022,7200,7200,7200,7200,-,7200
91,20/01/2022,7200,7200,7200,7200,-,7200
92,21/01/2022,6500,6500,6500,6500,8765,6500
93,24/01/2022,6500,6500,6500,6500,-,6500
94,25/01/2022,6500,6500,6500,6500,-,6500
95,26/01/2022,6500,6500,6500,6500,-,6500
96,27/01/2022,6500,6500,6500,6500,-,6500
97,28/01/2022,5900,5900,5900,5900,5500,5900
98,07/02/2022,5900,5900,5900,5900,-,5900
99,08/02/2022,5900,5900,5900,5900,-,5900
100,09/02/2022,5900,5900,5900,5900,-,5900
101,10/02/2022,5900,5900,5900,5900,-,5900
102,11/02/2022,5500,5400,5400,5400,63575,5400
103,14/02/2022,5400,5400,5400,5400,-,5400
104,15/02/2022,5400,5400,5400,5400,-,5400
105,16/02/2022,5400,5400,5400,5400,-,5400
106,17/02/2022,5400,5400,5400,5400,-,5400
107,18/02/2022,5800,4900,5000,5100,152470,5100
108,21/02/2022,5100,5100,5100,5100,-,5100
109,22/02/2022,5100,5100,5100,5100,-,5100
110,23/02/2022,5100,5100,5100,5100,-,5100
111,24/02/2022,5100,5100,5100,5100,-,5100
112,25/02/2022,5100,4800,5100,5000,60500,5000
113,28/02/2022,5000,5000,5000,5000,-,5000
114,01/03/2022,5000,5000,5000,5000,-,5000
115,02/03/2022,5000,5000,5000,5000,-,5000
116,03/03/2022,5000,5000,5000,5000,-,5000
117,04/03/2022,5400,5000,5000,5200,82256,5200
118,07/03/2022,5200,5200,5200,5200,-,5200
119,08/03/2022,5200,5200,5200,5200,-,5200
120,09/03/2022,5200,5200,5200,5200,-,5200
121,10/03/2022,5200,5200,5200,5200,-,5200
122,11/03/2022,5400,5100,5100,5300,77571,5300
123,14/03/2022,5300,5300,5300,5300,-,5300
124,15/03/2022,5300,5300,5300,5300,-,5300
125,16/03/2022,5300,5300,5300,5300,-,5300
126,17/03/2022,5300,5300,5300,5300,-,5300
127,18/03/2022,5400,5200,5300,5200,59000,5200
128,21/03/2022,5200,5200,5200,5200,-,5200
129,22/03/2022,5200,5200,5200,5200,-,5200
130,23/03/2022,5200,5200,5200,5200,-,5200
131,24/03/2022,5200,5200,5200,5200,-,5200
132,25/03/2022,5300,5000,5000,5100,97388,5100
133,28/03/2022,5100,5100,5100,5100,-,5100
134,29/03/2022,5100,5100,5100,5100,-,5100
135,30/03/2022,5100,5100,5100,5100,-,5100
136,31/03/2022,5100,5100,5100,5100,-,5100
137,01/04/2022,5200,5000,5100,5100,60363,5100
138,04/04/2022,5100,5100,5100,5100,-,5100
139,05/04/2022,5100,5100,5100,5100,-,5100
140,06/04/2022,5100,5100,5100,5100,-,5100
141,07/04/2022,5100,5100,5100,5100,-,5100
142,08/04/2022,5200,4600,4600,5000,16405,5000
143,12/04/2022,5000,5000,5000,5000,-,5000
144,13/04/2022,5000,5000,5000,5000,-,5000
145,14/04/2022,5000,5000,5000,5000,-,5000
146,15/04/2022,5000,4600,5000,4900,29200,4900
147,18/04/2022,4900,4900,4900,4900,-,4900
148,19/04/2022,4900,4900,4900,4900,-,4900
149,20/04/2022,4900,4900,4900,4900,-,4900
150,21/04/2022,4900,4900,4900,4900,-,4900
151,22/04/2022,4500,4500,4500,4500,65315,4500
152,25/04/2022,4500,4500,4500,4500,-,4500
153,26/04/2022,4500,4500,4500,4500,-,4500
154,27/04/2022,4500,4500,4500,4500,-,4500
155,28/04/2022,4500,4500,4500,4500,-,4500
156,29/04/2022,4900,4500,4500,4500,18900,4500
157,04/05/2022,4500,4500,4500,4500,-,4500
158,05/05/2022,4500,4500,4500,4500,-,4500
159,06/05/2022,4500,4100,4500,4300,17000,4300
160,09/05/2022,4300,4300,4300,4300,-,4300
161,10/05/2022,4300,4300,4300,4300,-,4300
162,11/05/2022,4300,4300,4300,4300,-,4300
163,12/05/2022,4300,4300,4300,4300,-,4300
164,13/05/2022,4100,3900,4100,3900,21700,3900
165,16/05/2022,3900,3900,3900,3900,-,3900
166,17/05/2022,3900,3900,3900,3900,-,3900
167,18/05/2022,3900,3900,3900,3900,-,3900
168,19/05/2022,3900,3900,3900,3900,-,3900
169,20/05/2022,4000,3900,3900,4000,22150,4000
170,23/05/2022,4000,4000,4000,4000,-,4000
171,24/05/2022,4000,4000,4000,4000,-,4000
172,25/05/2022,4000,4000,4000,4000,-,4000
173,26/05/2022,4000,4000,4000,4000,-,4000
174,27/05/2022,4000,3800,3800,4000,6600,4000
175,30/05/2022,4000,4000,4000,4000,-,4000
176,31/05/2022,4000,4000,4000,4000,-,4000
177,01/06/2022,4000,4000,4000,4000,-,4000
178,02/06/2022,4000,4000,4000,4000,-,4000
179,03/06/2022,4000,3900,4000,3900,4000,3900
180,06/06/2022,3900,3900,3900,3900,-,3900
181,07/06/2022,3900,3900,3900,3900,-,3900
182,08/06/2022,3900,3900,3900,3900,-,3900
183,09/06/2022,3900,3900,3900,3900,-,3900
184,10/06/2022,3900,3600,3700,3700,6400,3700
185,13/06/2022,3700,3700,3700,3700,-,3700
186,14/06/2022,3700,3700,3700,3700,-,3700
187,15/06/2022,3700,3700,3700,3700,-,3700
188,16/06/2022,3700,3700,3700,3700,-,3700
189,17/06/2022,3500,3400,3500,3500,14200,3500
190,20/06/2022,3500,3500,3500,3500,-,3500
191,21/06/2022,3500,3500,3500,3500,-,3500
192,22/06/2022,3500,3500,3500,3500,-,3500
193,23/06/2022,3500,3500,3500,3500,-,3500
194,24/06/2022,3600,3500,3500,3600,3800,3600
195,27/06/2022,3600,3600,3600,3600,-,3600
196,28/06/2022,3600,3600,3600,3600,-,3600
197,29/06/2022,3600,3600,3600,3600,-,3600
198,30/06/2022,3600,3600,3600,3600,-,3600
199,01/07/2022,3500,3300,3500,3300,6000,3300
200,04/07/2022,3300,3300,3300,3300,-,3300
201,05/07/2022,3300,3300,3300,3300,-,3300
202,06/07/2022,3300,3300,3300,3300,-,3300
203,07/07/2022,3300,3300,3300,3300,-,3300
204,08/07/2022,3300,3000,3300,3200,6100,3200
205,11/07/2022,3200,3200,3200,3200,-,3200
206,12/07/2022,3200,3200,3200,3200,-,3200
207,13/07/2022,3200,3200,3200,3200,-,3200
208,14/07/2022,3200,3200,3200,3200,-,3200
209,15/07/2022,3500,3400,3500,3400,5100,3400
210,18/07/2022,3400,3400,3400,3400,-,3400
211,19/07/2022,3400,3400,3400,3400,-,3400
212,20/07/2022,3400,3400,3400,3400,-,3400
213,21/07/2022,3400,3400,3400,3400,-,3400
214,22/07/2022,3600,3100,3300,3500,32500,3500
215,25/07/2022,3500,3500,3500,3500,-,3500
216,26/07/2022,3500,3500,3500,3500,-,3500
217,27/07/2022,3500,3500,3500,3500,-,3500
218,28/07/2022,3500,3500,3500,3500,-,3500
219,29/07/2022,3500,3200,3500,3300,6500,3300
220,01/08/2022,3300,3300,3300,3300,-,3300
221,02/08/2022,3300,3300,3300,3300,-,3300
222,03/08/2022,3300,3300,3300,3300,-,3300
223,04/08/2022,3300,3300,3300,3300,-,3300
224,05/08/2022,3300,3300,3300,3300,6300,3300
225,08/08/2022,3300,3300,3300,3300,-,3300
226,09/08/2022,3300,3300,3300,3300,-,3300
227,10/08/2022,3300,3300,3300,3300,-,3300
228,11/08/2022,3300,3300,3300,3300,-,3300
229,12/08/2022,3400,3100,3200,3100,45800,3100
230,15/08/2022,3100,3100,3100,3100,-,3100
231,16/08/2022,3100,3100,3100,3100,-,3100
232,17/08/2022,3100,3100,3100,3100,-,3100
233,18/08/2022,3100,3100,3100,3100,-,3100
234,19/08/2022,3300,3000,3300,3100,6600,3100
235,22/08/2022,3100,3100,3100,3100,-,3100
236,23/08/2022,3100,3100,3100,3100,-,3100
237,24/08/2022,3100,3100,3100,3100,-,3100
238,25/08/2022,3100,3100,3100,3100,-,3100
239,26/08/2022,3300,3000,3000,3300,21000,3300
240,29/08/2022,3300,3300,3300,3300,-,3300
241,30/08/2022,3300,3300,3300,3300,-,3300
242,31/08/2022,3300,3300,3300,3300,-,3300
243,05/09/2022,3300,3300,3300,3300,-,3300
244,06/09/2022,3300,3300,3300,3300,-,3300
245,07/09/2022,3300,3300,3300,3300,-,3300
246,08/09/2022,3300,3300,3300,3300,-,3300
247,09/09/2022,3200,3000,3000,3200,12400,3200
248,12/09/2022,3200,3200,3200,3200,-,3200
249,13/09/2022,3200,3200,3200,3200,-,3200
250,14/09/2022,3200,3200,3200,3200,-,3200
