,Date,High,Low,Open,Close,Volume,Adj Close
0,01/07/2021,59500,57900,58300,59300,157500,30700
1,02/07/2021,60000,58000,58800,59900,246300,31100
2,05/07/2021,60500,58300,59900,59400,200523,30800
3,06/07/2021,59400,58300,59400,59400,82400,30800
4,07/07/2021,58900,56900,58900,58600,195200,30400
5,08/07/2021,58800,57400,58700,58600,128100,30400
6,09/07/2021,58600,57400,58500,58500,144800,30300
7,12/07/2021,58600,54900,57800,56500,76800,29300
8,13/07/2021,57000,54900,56400,56500,130700,29300
9,14/07/2021,57500,54900,56800,56700,127500,29400
10,15/07/2021,57000,55500,56700,56700,108100,29400
11,16/07/2021,56800,55000,56700,56300,150700,29200
12,19/07/2021,55600,54000,55600,55300,137900,28700
13,20/07/2021,55200,53500,55000,55000,136600,28500
14,21/07/2021,55500,54000,55000,54100,173500,28000
15,22/07/2021,54900,52000,54100,54500,584716,28300
16,23/07/2021,54700,54000,54500,54500,87300,28300
17,26/07/2021,54500,53000,53000,54400,166000,28200
18,27/07/2021,54500,53400,54400,54200,224200,28100
19,28/07/2021,54500,53300,54200,54200,104610,28100
20,29/07/2021,54400,53400,54200,54400,199900,28200
21,30/07/2021,54800,54000,54400,54700,139900,28400
22,02/08/2021,55200,54000,54700,54700,153110,28400
23,03/08/2021,54800,54000,54700,54400,168400,28200
24,04/08/2021,56500,52000,54300,55600,575200,28800
25,05/08/2021,57000,55000,55000,56200,151700,29100
26,06/08/2021,56600,55400,56500,56000,115500,29000
27,09/08/2021,56600,54400,55900,56600,275300,29300
28,10/08/2021,57000,55400,56600,55600,133800,28800
29,11/08/2021,59000,54000,54600,58900,451300,30500
30,12/08/2021,60000,59000,59800,59500,129401,30800
31,13/08/2021,65300,58500,59500,62000,337315,32100
32,16/08/2021,65000,61800,63000,62000,276800,32100
33,17/08/2021,62900,60800,62500,62800,295900,32600
34,18/08/2021,63500,61400,62800,62100,121000,32200
35,19/08/2021,63000,61000,62500,62000,127901,32100
36,20/08/2021,64200,60000,62000,63900,-,33100
37,23/08/2021,65000,63600,64000,63600,128160,33000
38,24/08/2021,65000,62500,64000,64800,159700,33600
39,25/08/2021,65000,63300,64800,64500,139000,33400
40,26/08/2021,68900,63800,64600,66800,228400,34600
41,27/08/2021,67900,66000,67500,66000,214749,34200
42,30/08/2021,66600,65500,66600,65500,107701,34000
43,31/08/2021,65500,64500,65300,64700,87200,33500
44,01/09/2021,65400,64200,64500,65000,168201,33700
45,06/09/2021,70000,64500,65000,68500,714500,35500
46,07/09/2021,69000,67900,69000,69000,104900,35800
47,08/09/2021,70000,67800,69000,68800,135700,35700
48,09/09/2021,69500,67500,69000,68600,131000,35600
49,10/09/2021,73000,67000,68600,70200,599600,36400
50,13/09/2021,71900,68200,70400,68800,247700,35700
51,14/09/2021,69900,67000,68300,68000,213601,35300
52,15/09/2021,68100,67200,67600,67500,128900,35000
53,16/09/2021,68000,67000,67000,67000,95200,34700
54,17/09/2021,67900,66900,67500,67100,111800,34800
55,20/09/2021,67100,64400,67100,64400,289610,33400
56,21/09/2021,64000,61700,64000,63000,315701,32700
57,22/09/2021,63300,62000,62000,63100,85700,32700
58,23/09/2021,63700,62200,62500,62200,161200,32200
59,24/09/2021,62300,60600,62200,61500,181500,31900
60,27/09/2021,64400,61000,61500,63500,314600,32900
61,28/09/2021,63700,61000,63500,63000,59701,32700
62,29/09/2021,64000,61000,62000,63500,164500,32900
63,30/09/2021,66000,63000,64200,65200,162300,33800
64,01/10/2021,67000,64300,65200,66900,161900,34700
65,04/10/2021,67900,66000,67000,67300,135300,34900
66,05/10/2021,68000,66000,67700,66900,182700,34700
67,06/10/2021,67900,65800,66000,67900,344300,35200
68,07/10/2021,38700,38700,38700,38700,96100,38700
69,08/10/2021,42500,41500,42500,42200,313150,42200
70,11/10/2021,42300,41000,42200,41900,134950,41900
71,12/10/2021,42600,41300,41900,42100,103500,42100
72,13/10/2021,45800,41600,42100,45300,255900,45300
73,14/10/2021,49000,44400,45800,45900,272500,45900
74,15/10/2021,46500,44900,46000,45300,122400,45300
75,18/10/2021,45700,43900,45300,44900,264400,44900
76,19/10/2021,45300,43900,45000,44700,97840,44700
77,20/10/2021,46500,43000,44700,46100,521000,46100
78,21/10/2021,46500,44500,46100,45400,171900,45400
79,22/10/2021,45400,43900,45000,44500,168900,44500
80,25/10/2021,44800,43200,44500,43200,304600,43200
81,26/10/2021,43500,42000,43300,42700,129800,42700
82,27/10/2021,43700,41900,42000,43000,150210,43000
83,28/10/2021,43700,42500,43500,42500,116300,42500
84,29/10/2021,43600,42000,42100,42600,242600,42600
85,01/11/2021,43500,42000,42500,42700,146725,42700
86,02/11/2021,43500,42600,42700,42800,120601,42800
87,03/11/2021,42800,42000,42800,42100,225800,42100
88,04/11/2021,44300,40000,42000,43000,468450,43000
89,05/11/2021,44000,43000,43000,43300,99830,43300
90,08/11/2021,47600,43200,43300,47300,334856,47300
91,09/11/2021,48000,46000,46900,47200,192120,47200
92,10/11/2021,47200,46400,47200,47000,114429,47000
93,11/11/2021,49100,45900,47000,48000,481930,48000
94,12/11/2021,48300,47000,48000,47900,181000,47900
95,15/11/2021,48200,46900,48100,47100,124000,47100
96,16/11/2021,47500,45900,47100,46500,198600,46500
97,17/11/2021,47400,45800,46400,46000,116700,46000
98,18/11/2021,46000,45000,46000,45000,161885,45000
99,19/11/2021,45000,43400,44500,43600,273313,43600
100,22/11/2021,44200,41000,43500,43600,376488,43600
101,23/11/2021,46000,42500,43700,46000,242612,46000
102,24/11/2021,46100,45000,46100,45700,153843,45700
103,25/11/2021,45700,44900,45700,45600,229188,45600
104,26/11/2021,47500,45000,45900,47500,392100,47500
105,29/11/2021,47200,45000,47000,46900,150708,46900
106,30/11/2021,46900,45300,46800,46000,122600,46000
107,01/12/2021,46900,45000,46000,46200,312285,46200
108,02/12/2021,46300,45000,46200,45800,208850,45800
109,03/12/2021,46300,44500,45800,45400,219763,45400
110,06/12/2021,45000,43500,44500,44600,186270,44600
111,07/12/2021,45400,43400,44600,44600,192350,44600
112,08/12/2021,46000,43500,44300,45500,342401,45500
113,09/12/2021,45800,44500,45100,45300,165900,45300
114,10/12/2021,45700,44600,45700,45200,151440,45200
115,13/12/2021,45400,43900,45200,44700,226400,44700
116,14/12/2021,44900,43500,44600,44900,257920,44900
117,15/12/2021,46000,44000,45000,44800,248859,44800
118,16/12/2021,44900,43900,44800,44900,229250,44900
119,17/12/2021,44900,43600,44100,43600,188720,43600
120,20/12/2021,43900,42900,43900,43400,137950,43400
121,21/12/2021,43800,42400,43400,43000,292873,43000
122,22/12/2021,43500,42200,43400,43300,173654,43300
123,23/12/2021,43500,41000,43000,42900,200884,42900
124,24/12/2021,42900,41600,42900,42900,90590,42900
125,27/12/2021,43000,41500,42900,42500,136110,42500
126,28/12/2021,42800,40900,42500,41900,160005,41900
127,29/12/2021,42600,39800,41900,39800,445258,39800
128,30/12/2021,40500,38100,40200,40200,386520,40200
129,31/12/2021,41000,38900,40200,41000,84329,41000
130,04/01/2022,41000,39500,41000,40500,78610,40500
131,05/01/2022,40400,38100,40200,39900,325550,39900
132,06/01/2022,40400,38500,40000,39800,212100,39800
133,07/01/2022,40200,38400,39800,39600,315654,39600
134,10/01/2022,39900,38400,39500,39000,90600,39000
135,11/01/2022,39000,37000,38300,38000,215530,38000
136,12/01/2022,38400,35900,37500,38400,785905,38400
137,13/01/2022,38700,36900,38400,38500,551700,38500
138,14/01/2022,38600,37100,38400,38300,361412,38300
139,17/01/2022,41000,37300,38200,41000,928815,41000
140,18/01/2022,41600,39000,41100,41000,533005,41000
141,19/01/2022,42000,39000,40800,42000,688740,42000
142,20/01/2022,42200,40400,42000,41500,274609,41500
143,21/01/2022,42000,40500,41500,42000,332120,42000
144,24/01/2022,42200,40000,41800,40500,225664,40500
145,25/01/2022,40900,39400,40700,40800,386350,40800
146,26/01/2022,41500,40100,40800,41000,260320,41000
147,27/01/2022,42900,40000,41200,42800,923014,42800
148,28/01/2022,43000,41400,42600,42500,332102,42500
149,07/02/2022,42800,41400,42500,42000,115800,42000
150,08/02/2022,42000,40300,42000,40900,231801,40900
151,09/02/2022,41300,39500,40500,40900,734052,40900
152,10/02/2022,41500,40000,40900,41500,498810,41500
153,11/02/2022,41900,40500,41500,41900,245840,41900
154,14/02/2022,41400,40000,41300,41200,463060,41200
155,15/02/2022,41300,40000,41200,41200,355369,41200
156,16/02/2022,43100,40500,41200,43100,953955,43100
157,17/02/2022,43300,42000,43100,43200,415901,43200
158,18/02/2022,43100,42000,42800,43000,209629,43000
159,21/02/2022,43000,42200,43000,42700,239300,42700
160,22/02/2022,42500,41400,42200,42300,332090,42300
161,23/02/2022,43100,41500,42000,42800,1162922,42800
162,24/02/2022,42800,41600,42800,42500,297560,42500
163,25/02/2022,43000,42000,42500,42700,152480,42700
164,28/02/2022,42900,42000,42900,42600,247300,42600
165,01/03/2022,43000,41900,42100,42500,141900,42500
166,02/03/2022,42600,41900,42600,42200,237450,42200
167,03/03/2022,45000,41900,42200,44800,1466322,44800
168,04/03/2022,44900,43800,44800,44300,210050,44300
169,07/03/2022,44300,43200,44300,43800,284400,43800
170,08/03/2022,44000,42500,43600,43900,570288,43900
171,09/03/2022,44500,43400,43900,44200,512430,44200
172,10/03/2022,44900,43800,44000,44500,425308,44500
173,11/03/2022,44900,43900,44500,44200,257348,44200
174,14/03/2022,44400,43400,44200,44000,240327,44000
175,15/03/2022,44000,43500,43900,43900,102326,43900
176,16/03/2022,44000,43400,43900,43900,197800,43900
177,17/03/2022,44000,43500,44000,43900,156555,43900
178,18/03/2022,46000,43400,43900,46000,2197506,46000
179,21/03/2022,46600,45500,46000,46100,315903,46100
180,22/03/2022,46500,45500,46000,46000,193805,46000
181,23/03/2022,45800,45200,45800,45700,308093,45700
182,24/03/2022,45800,45000,45700,45700,341200,45700
183,25/03/2022,46500,45200,45700,46100,505204,46100
184,28/03/2022,46000,45000,46000,45800,270250,45800
185,29/03/2022,46000,45200,45700,46000,278115,46000
186,30/03/2022,45800,45200,45700,45500,248700,45500
