,Date,High,Low,Open,Close,Volume,Adj Close
0,22/02/2022,12000,12000,12000,12000,100,11700
1,23/02/2022,13200,13200,13200,13200,100,12800
2,24/02/2022,13100,13100,13100,13100,100,12700
3,25/02/2022,12000,12000,12000,12000,110,11700
4,28/02/2022,12100,12100,12100,12100,104,11800
5,01/03/2022,12600,12600,12600,12600,917,12200
6,02/03/2022,12600,12600,12600,12600,-,12200
7,03/03/2022,12600,12600,12600,12600,-,12200
8,04/03/2022,13200,12900,13100,13000,9609,12600
9,07/03/2022,13800,13000,13700,13000,3600,12600
10,08/03/2022,13800,13000,13500,13400,21364,13000
11,09/03/2022,13700,13100,13700,13100,604,12700
12,10/03/2022,13800,13000,13000,13800,6000,13400
13,11/03/2022,13700,12700,13000,13700,20819,13300
14,14/03/2022,13700,12700,13700,13700,16300,13300
15,15/03/2022,13500,12800,12800,13500,15200,13100
16,16/03/2022,13700,13000,13700,13700,3900,13300
17,17/03/2022,13700,13000,13000,13700,2600,13300
18,18/03/2022,13500,13400,13500,13400,800,13000
19,21/03/2022,13400,13400,13400,13400,-,13000
20,22/03/2022,13400,13400,13400,13400,-,13000
21,23/03/2022,13400,13300,13300,13400,15000,13000
22,24/03/2022,13400,13400,13400,13400,2610,13000
23,25/03/2022,12900,12900,12900,12900,100,12500
24,28/03/2022,12900,12900,12900,12900,21,12500
25,29/03/2022,12700,12000,12700,12000,380,11700
26,30/03/2022,13100,13000,13000,13000,5115,12600
27,31/03/2022,13000,13000,13000,13000,-,12600
28,01/04/2022,13000,13000,13000,13000,70,12600
29,04/04/2022,13000,13000,13000,13000,400,12600
30,05/04/2022,13000,13000,13000,13000,10,12600
31,06/04/2022,13000,13000,13000,13000,-,12600
32,07/04/2022,13000,13000,13000,13000,-,12600
33,08/04/2022,12400,12400,12400,12400,100,12100
34,12/04/2022,12000,12000,12000,12000,500,11700
35,13/04/2022,12000,12000,12000,12000,1000,11700
36,14/04/2022,12000,12000,12000,12000,-,11700
37,15/04/2022,12800,12000,12000,12800,501,12400
38,18/04/2022,13000,12700,13000,12800,700,12400
39,19/04/2022,12800,12800,12800,12800,-,12400
40,20/04/2022,12800,12800,12800,12800,-,12400
41,21/04/2022,12000,12000,12000,12000,100,11700
42,22/04/2022,12000,12000,12000,12000,-,11700
43,25/04/2022,12000,12000,12000,12000,100,11700
44,26/04/2022,12000,12000,12000,12000,-,11700
45,27/04/2022,12000,12000,12000,12000,-,11700
46,28/04/2022,11800,11800,11800,11800,100,11500
47,29/04/2022,11800,11800,11800,11800,-,11500
48,04/05/2022,11800,11800,11800,11800,-,11500
49,05/05/2022,11800,11800,11800,11800,-,11500
50,06/05/2022,11800,11800,11800,11800,-,11500
51,09/05/2022,11600,11400,11600,11400,300,11100
52,10/05/2022,11400,11400,11400,11400,-,11100
53,11/05/2022,11400,11400,11400,11400,-,11100
54,12/05/2022,11400,11400,11400,11400,-,11100
55,13/05/2022,11400,10600,10600,11400,200,11100
56,16/05/2022,11400,11400,11400,11400,-,11100
57,17/05/2022,10500,10500,10500,10500,100,10200
58,18/05/2022,11500,10800,10800,11500,1200,11200
59,19/05/2022,11500,11500,11500,11500,100,11200
60,20/05/2022,11500,11500,11500,11500,-,11200
61,23/05/2022,11500,11500,11500,11500,-,11200
62,24/05/2022,11500,11500,11500,11500,26,11200
63,25/05/2022,11500,11500,11500,11500,-,11200
64,26/05/2022,10600,10600,10600,10600,100,10300
65,27/05/2022,11600,11000,11600,11000,300,10700
66,30/05/2022,11500,11500,11500,11500,100,11200
67,31/05/2022,11500,11500,11500,11500,-,11200
68,01/06/2022,11500,11500,11500,11500,-,11200
69,02/06/2022,10600,10600,10600,10600,100,10300
70,03/06/2022,10600,10600,10600,10600,-,10300
71,06/06/2022,10600,10600,10600,10600,-,10300
72,07/06/2022,10600,10600,10600,10600,-,10300
73,08/06/2022,10600,10600,10600,10600,-,10300
74,09/06/2022,10900,10900,10900,10900,100,10600
75,10/06/2022,10900,10900,10900,10900,-,10600
76,13/06/2022,10900,10900,10900,10900,-,10600
77,14/06/2022,11000,11000,11000,11000,100,10700
78,15/06/2022,11000,11000,11000,11000,-,10700
79,16/06/2022,11000,11000,11000,11000,-,10700
80,17/06/2022,11000,11000,11000,11000,-,10700
81,20/06/2022,11000,11000,11000,11000,-,10700
82,21/06/2022,11000,11000,11000,11000,-,10700
83,22/06/2022,11000,11000,11000,11000,-,10700
84,23/06/2022,11000,11000,11000,11000,77,10700
85,24/06/2022,11000,11000,11000,11000,-,10700
86,27/06/2022,10000,10000,10000,10000,112,9700
87,28/06/2022,10000,10000,10000,10000,30,9700
88,29/06/2022,9900,9900,9900,9900,100,9600
89,30/06/2022,10100,9600,10100,10100,4910,9800
90,01/07/2022,10700,10700,10700,10700,100,10400
91,04/07/2022,10700,10700,10700,10700,-,10400
92,05/07/2022,10500,10500,10500,10500,2200,10200
93,06/07/2022,10500,10500,10500,10500,-,10200
94,07/07/2022,10100,10100,10100,10100,100,9800
95,08/07/2022,10100,10100,10100,10100,-,9800
96,11/07/2022,11100,10000,11000,10200,2500,9900
97,12/07/2022,11200,10400,11100,10400,500,10100
98,13/07/2022,11400,10800,11400,11400,1400,11100
99,14/07/2022,12500,12000,12000,12500,1000,12100
100,15/07/2022,11300,11300,11300,11300,100,11000
101,18/07/2022,11300,11300,11300,11300,-,11000
102,19/07/2022,11300,11300,11300,11300,300,11000
103,20/07/2022,11000,11000,11000,11000,3000,10700
104,21/07/2022,11100,11100,11100,11100,500,10800
105,22/07/2022,12100,11400,12100,11400,300,11100
106,25/07/2022,11400,11400,11400,11400,-,11100
107,26/07/2022,10900,10400,10900,10400,2200,10100
108,27/07/2022,11400,10400,10400,10800,5700,10500
109,28/07/2022,10600,10500,10500,10600,4000,10300
110,29/07/2022,11600,10500,11400,10700,5300,10400
111,01/08/2022,11000,10600,10600,10600,10800,10300
112,02/08/2022,11400,11000,11000,11400,6500,11100
113,03/08/2022,11400,10500,10500,11400,3500,11100
114,04/08/2022,11400,11000,11000,11400,38300,11100
115,05/08/2022,11400,11400,11400,11400,300,11100
116,08/08/2022,11400,11400,11400,11400,-,11100
117,09/08/2022,11000,11000,11000,11000,1300,10700
118,10/08/2022,11200,11000,11200,11000,2800,10700
119,11/08/2022,11000,11000,11000,11000,1300,10700
120,12/08/2022,10800,10800,10800,10800,1100,10500
121,15/08/2022,10800,10800,10800,10800,-,10500
122,16/08/2022,10900,10700,10800,10700,5700,10400
123,17/08/2022,10700,10700,10700,10700,-,10400
124,18/08/2022,10700,10700,10700,10700,-,10400
125,19/08/2022,10700,10700,10700,10700,-,10400
126,22/08/2022,10700,10700,10700,10700,-,10400
127,23/08/2022,10700,10700,10700,10700,1200,10700
128,24/08/2022,11600,11300,11300,11600,7601,11600
129,25/08/2022,11600,11600,11600,11600,-,11600
130,26/08/2022,11600,11600,11600,11600,-,11600
131,29/08/2022,11600,11600,11600,11600,-,11600
132,30/08/2022,11600,11600,11600,11600,-,11600
133,31/08/2022,11600,11600,11600,11600,-,11600
134,05/09/2022,11600,11600,11600,11600,-,11600
135,06/09/2022,11600,11600,11600,11600,-,11600
136,07/09/2022,11600,11600,11600,11600,-,11600
137,08/09/2022,11800,11600,11600,11800,2300,11800
138,09/09/2022,10800,10800,10800,10800,100,10800
139,12/09/2022,10800,10800,10800,10800,-,10800
140,13/09/2022,10800,10800,10800,10800,30,10800
141,14/09/2022,10800,10800,10800,10800,-,10800
142,15/09/2022,10800,10800,10800,10800,80,10800
143,16/09/2022,10800,10800,10800,10800,28,10800
144,19/09/2022,10800,10800,10800,10800,25,10800
145,20/09/2022,10800,10800,10800,10800,100,10800
146,21/09/2022,10800,10800,10800,10800,-,10800
147,22/09/2022,10800,10800,10800,10800,200,10800
148,23/09/2022,10800,10800,10800,10800,-,10800
149,26/09/2022,10800,10800,10800,10800,-,10800
150,27/09/2022,10800,10800,10800,10800,-,10800
151,28/09/2022,10800,10800,10800,10800,-,10800
152,29/09/2022,10800,10800,10800,10800,2,10800
153,30/09/2022,10800,10800,10800,10800,2,10800
154,03/10/2022,9800,9800,9800,9800,101,9800
155,04/10/2022,10000,10000,10000,10000,900,10000
156,05/10/2022,10700,10700,10700,10700,100,10700
157,06/10/2022,10700,10700,10700,10700,-,10700
158,07/10/2022,10700,10700,10700,10700,-,10700
159,10/10/2022,10700,10700,10700,10700,155,10700
160,11/10/2022,10000,9700,9700,10000,17100,10000
161,12/10/2022,10000,10000,10000,10000,-,10000
162,13/10/2022,9000,9000,9000,9000,400,9000
163,14/10/2022,8100,8100,8100,8100,100,8100
164,17/10/2022,8100,8100,8100,8100,-,8100
165,18/10/2022,8900,8900,8900,8900,100,8900
166,19/10/2022,8900,8900,8900,8900,70,8900
167,20/10/2022,8900,8900,8900,8900,-,8900
168,21/10/2022,8900,8900,8900,8900,-,8900
169,24/10/2022,8900,8900,8900,8900,-,8900
170,25/10/2022,8900,8900,8900,8900,-,8900
171,26/10/2022,8900,8900,8900,8900,-,8900
172,27/10/2022,8900,8900,8900,8900,100,8900
173,28/10/2022,8900,8900,8900,8900,-,8900
174,31/10/2022,8900,8900,8900,8900,-,8900
175,01/11/2022,8900,8900,8900,8900,-,8900
176,02/11/2022,8900,8900,8900,8900,-,8900
177,03/11/2022,8900,8900,8900,8900,-,8900
178,04/11/2022,8900,8900,8900,8900,-,8900
179,07/11/2022,8900,8900,8900,8900,-,8900
180,08/11/2022,8900,8900,8900,8900,-,8900
181,09/11/2022,8900,8900,8900,8900,-,8900
182,10/11/2022,8900,8900,8900,8900,-,8900
183,11/11/2022,8900,8900,8900,8900,-,8900
184,14/11/2022,9000,9000,9000,9000,21200,9000
185,15/11/2022,8100,8100,8100,8100,700,8100
186,16/11/2022,8000,7500,7500,8000,800,8000
