,Date,High,Low,Open,Close,Volume,Adj Close
0,06/07/2021,14400,14400,14400,14400,100,14000
1,07/07/2021,14400,14400,14400,14400,-,14000
2,08/07/2021,14400,14400,14400,14400,1200,14000
3,09/07/2021,14400,14400,14400,14400,-,14000
4,12/07/2021,14400,14400,14400,14400,-,14000
5,13/07/2021,14400,14400,14400,14400,-,14000
6,14/07/2021,14400,14400,14400,14400,-,14000
7,15/07/2021,14400,14400,14400,14400,-,14000
8,16/07/2021,14400,14400,14400,14400,-,14000
9,19/07/2021,14400,14400,14400,14400,-,14000
10,20/07/2021,14400,14400,14400,14400,-,14000
11,21/07/2021,14400,14400,14400,14400,-,14000
12,22/07/2021,14400,14400,14400,14400,-,14000
13,23/07/2021,14400,14400,14400,14400,-,14000
14,26/07/2021,14400,14400,14400,14400,-,14000
15,27/07/2021,14400,14400,14400,14400,-,14000
16,28/07/2021,15800,15800,15800,15800,100,15400
17,29/07/2021,15800,15800,15800,15800,-,15400
18,30/07/2021,15800,15800,15800,15800,-,15400
19,02/08/2021,15800,15800,15800,15800,-,15400
20,03/08/2021,15800,15800,15800,15800,-,15400
21,04/08/2021,15800,15800,15800,15800,-,15400
22,05/08/2021,15800,15800,15800,15800,-,15400
23,06/08/2021,15800,15800,15800,15800,-,15400
24,09/08/2021,15800,15800,15800,15800,-,15400
25,10/08/2021,15800,15800,15800,15800,-,15400
26,11/08/2021,15800,15800,15800,15800,-,15400
27,12/08/2021,15800,15800,15800,15800,-,15400
28,13/08/2021,15800,15800,15800,15800,-,15400
29,16/08/2021,15800,15800,15800,15800,-,15400
30,17/08/2021,15800,15800,15800,15800,-,15400
31,18/08/2021,17300,14300,14300,17300,300,16800
32,19/08/2021,17300,17300,17300,17300,-,16800
33,20/08/2021,17300,17300,17300,17300,-,16800
34,23/08/2021,17300,17300,17300,17300,-,16800
35,24/08/2021,17300,17300,17300,17300,-,16800
36,25/08/2021,17300,17300,17300,17300,-,16800
37,26/08/2021,17400,17400,17400,17400,202,16900
38,27/08/2021,17200,17200,17200,17200,203,16700
39,30/08/2021,17200,17200,17200,17200,-,16700
