,Date,High,Low,Open,Close,Volume,Adj Close
0,02/08/2021,14700,13700,14700,14700,900,14000
1,03/08/2021,13400,13400,13400,13400,100,12800
2,04/08/2021,14400,14300,14300,14400,600,13700
3,05/08/2021,15800,14400,14400,15800,900,15100
4,06/08/2021,14400,14400,14400,14400,400,13700
5,09/08/2021,14400,14400,14400,14400,500,13700
6,10/08/2021,14400,14400,14400,14400,-,13700
7,11/08/2021,14400,14400,14400,14400,-,13700
8,12/08/2021,14400,14400,14400,14400,-,13700
9,13/08/2021,14400,14400,14400,14400,300,13700
10,16/08/2021,14400,14400,14400,14400,-,13700
11,17/08/2021,15800,15800,15800,15800,1500,15100
12,18/08/2021,15800,15800,15800,15800,-,15100
13,19/08/2021,17100,17100,17100,17100,110,16300
14,20/08/2021,18500,17000,18500,18000,-,17200
15,23/08/2021,19800,19000,19800,19000,800,18100
16,24/08/2021,20300,17100,20300,19700,2400,18800
17,25/08/2021,17800,17800,17800,17800,1300,17000
18,26/08/2021,16100,16100,16100,16100,300,15400
19,27/08/2021,17700,14500,14600,17700,1400,16900
20,30/08/2021,17700,17700,17700,17700,140,16900
21,31/08/2021,18200,17700,17700,18200,900,17400
22,01/09/2021,16400,16400,16400,16400,700,15600
23,06/09/2021,15000,14800,15000,14800,2500,14100
24,07/09/2021,16200,15000,16100,15000,1900,14300
25,08/09/2021,15000,15000,15000,15000,100,14300
26,09/09/2021,14500,14500,14500,14500,100,13800
27,10/09/2021,14700,14600,14700,14600,800,13900
28,13/09/2021,14600,14600,14600,14600,700,13900
29,14/09/2021,14700,14600,14700,14600,400,13900
30,15/09/2021,15800,15800,15800,15800,400,15100
31,16/09/2021,15800,15800,15800,15800,-,15100
32,17/09/2021,15700,15700,15700,15700,700,15000
33,20/09/2021,15700,14800,15700,14800,400,14100
34,21/09/2021,14700,14700,14700,14700,1000,14000
35,22/09/2021,14700,14600,14700,14600,800,13900
36,23/09/2021,15000,14900,14900,15000,700,14300
37,24/09/2021,15000,15000,15000,15000,700,14300
38,27/09/2021,15000,15000,15000,15000,-,14300
39,28/09/2021,15900,13900,13900,15900,200,15200
40,29/09/2021,14600,14600,14600,14600,200,13900
41,30/09/2021,14600,14600,14600,14600,100,13900
42,01/10/2021,14600,14600,14600,14600,43,13900
43,04/10/2021,14600,14600,14600,14600,-,13900
44,05/10/2021,14600,14600,14600,14600,-,13900
45,06/10/2021,14600,14600,14600,14600,200,13900
46,07/10/2021,14600,14600,14600,14600,-,13900
47,08/10/2021,14300,13900,13900,14300,200,13600
48,11/10/2021,15300,15100,15300,15100,500,14400
49,12/10/2021,15300,15200,15300,15300,828,14600
50,13/10/2021,15500,14200,14300,15500,342,14800
51,14/10/2021,15500,15500,15500,15500,-,14800
52,15/10/2021,15500,15500,15500,15500,-,14800
53,18/10/2021,15500,15500,15500,15500,-,14800
54,19/10/2021,15500,15500,15500,15500,-,14800
55,20/10/2021,15500,15000,15000,15500,1642,14800
56,21/10/2021,15500,15500,15500,15500,-,14800
57,22/10/2021,15500,15500,15500,15500,100,14800
58,25/10/2021,15500,15500,15500,15500,3300,14800
59,26/10/2021,15500,15500,15500,15500,100,14800
60,27/10/2021,15500,15500,15500,15500,200,14800
61,28/10/2021,15500,15500,15500,15500,3000,14800
62,29/10/2021,17000,16800,17000,16800,628,16000
63,01/11/2021,16800,16800,16800,16800,-,16000
64,02/11/2021,16800,16800,16800,16800,6200,16000
