,Date,High,Low,Open,Close,Volume,Adj Close
0,22/11/2021,12900,11400,12900,11500,337763,11000
1,23/11/2021,12500,11100,11500,12400,136659,11800
2,24/11/2021,12600,12100,12500,12200,132357,11600
3,25/11/2021,12400,12000,12300,12100,241048,11500
4,26/11/2021,12600,11900,12200,12300,395406,11700
5,29/11/2021,12800,12000,12000,12700,191956,12100
6,30/11/2021,13400,12600,12900,12700,294319,12100
7,01/12/2021,12800,12200,12700,12600,58483,12000
8,02/12/2021,12800,12300,12600,12600,135753,12000
9,03/12/2021,12600,12100,12600,12100,188442,11500
10,06/12/2021,12500,11900,12100,11900,86081,11400
11,07/12/2021,12100,11700,12000,12100,67600,11500
12,08/12/2021,12400,11800,12400,12100,90001,11500
13,09/12/2021,12200,11800,12200,12100,97614,11500
14,10/12/2021,12500,12000,12000,12500,163310,11900
15,13/12/2021,12600,12200,12600,12400,107468,11800
16,14/12/2021,12500,12200,12500,12300,101688,11700
17,15/12/2021,12200,11900,12200,12100,130119,11500
18,16/12/2021,12300,11900,12100,12000,99881,11400
19,17/12/2021,12000,11800,12000,12000,112839,11400
20,20/12/2021,12100,11400,12100,11500,144818,11000
21,21/12/2021,11600,11300,11600,11600,146328,11100
22,22/12/2021,11600,11300,11600,11300,94820,10800
23,23/12/2021,11500,11000,11500,11100,206698,10600
24,24/12/2021,11100,10700,11100,11000,130441,10500
25,27/12/2021,11300,10900,11000,11200,35335,10700
26,28/12/2021,11600,10800,11300,11300,181034,10800
27,29/12/2021,11400,11100,11300,11300,27284,10800
28,30/12/2021,11400,10900,11200,11000,63933,10500
29,31/12/2021,11500,11000,11000,11500,116955,11000
30,04/01/2022,12000,11600,11600,12000,163669,11400
31,05/01/2022,12100,11700,12000,11700,122072,11200
32,06/01/2022,12000,11700,11700,12000,160419,11400
33,07/01/2022,12000,11700,11800,11700,79963,11200
34,10/01/2022,12400,11600,11800,12100,292197,11500
35,11/01/2022,12800,11900,12800,11900,52780,11400
36,12/01/2022,11900,11500,11900,11500,83943,11000
37,13/01/2022,11700,11000,11500,11000,158378,10500
38,14/01/2022,12000,11000,11000,11600,89307,11100
39,17/01/2022,11800,10900,11800,10900,48857,10400
40,18/01/2022,10900,10400,10500,10800,113329,10300
41,19/01/2022,11500,10800,10800,11000,80700,10500
42,20/01/2022,11300,11000,11000,11300,33200,10800
43,21/01/2022,11500,10900,11500,11000,39826,10500
44,24/01/2022,11300,10600,10900,10600,55456,10100
45,25/01/2022,11300,10500,10600,11300,90587,10800
46,26/01/2022,11700,11100,11100,11200,128600,10700
47,27/01/2022,11500,11100,11100,11500,87100,11000
48,28/01/2022,11600,11000,11300,11300,17923,10800
49,07/02/2022,12000,11100,11300,11800,77614,11300
50,08/02/2022,12100,11800,11900,12000,51095,11400
51,09/02/2022,12100,11600,11900,12000,127400,11400
52,10/02/2022,12100,11800,12000,12000,20350,11400
53,11/02/2022,12100,11900,12000,12100,124522,11500
54,14/02/2022,12200,11900,12100,12000,50962,11400
55,15/02/2022,12000,11800,12000,11800,7040,11300
56,16/02/2022,12000,11600,12000,11900,36610,11400
57,17/02/2022,12000,11900,11900,12000,72030,11400
58,18/02/2022,12000,11700,12000,11800,23643,11300
59,21/02/2022,12000,11600,11700,11900,81448,11400
60,22/02/2022,11900,11600,11900,11800,29710,11300
61,23/02/2022,12000,11800,11800,12000,106529,11400
62,24/02/2022,12500,11900,12000,12200,319946,11600
63,25/02/2022,12600,12200,12200,12400,158560,11800
64,28/02/2022,12600,12400,12400,12600,171779,12000
65,01/03/2022,13200,12600,12600,13100,341604,12500
66,02/03/2022,13500,12400,13300,12500,154931,11900
67,03/03/2022,13300,12300,13000,13000,235251,12400
68,04/03/2022,13500,13000,13000,13100,192536,12500
69,07/03/2022,13400,12800,13200,13400,316194,12800
70,08/03/2022,13500,13100,13400,13500,279317,12900
71,09/03/2022,13500,12800,13500,13000,152755,12400
72,10/03/2022,13500,13000,13000,13300,103089,12700
73,11/03/2022,14600,13300,13300,14600,1287736,13900
74,14/03/2022,16000,14900,14900,16000,887503,15300
75,15/03/2022,17000,14500,16600,15200,208376,14500
76,16/03/2022,16400,14700,15200,15800,669244,15100
77,17/03/2022,16400,15300,15800,15700,394666,15000
78,18/03/2022,16400,15500,15500,15700,284684,15000
79,21/03/2022,16400,15500,16400,15600,338970,14900
80,22/03/2022,15900,15100,15700,15300,505703,14600
81,23/03/2022,15800,15200,15500,15600,442194,14900
82,24/03/2022,17100,15600,15600,17100,918150,16300
83,25/03/2022,17400,16400,17100,16600,422568,15800
