,Date,High,Low,Open,Close,Volume,Adj Close
0,04/01/2023,26100,26100,26100,26100,100,24400
1,05/01/2023,26100,26100,26100,26100,-,24400
2,06/01/2023,28700,28700,28700,28700,100,26800
3,09/01/2023,25900,25900,25900,25900,103,24200
4,10/01/2023,25900,25900,25900,25900,2,24200
5,11/01/2023,25900,25900,25900,25900,-,24200
6,12/01/2023,25900,25900,25900,25900,-,24200
7,13/01/2023,28400,28400,28400,28400,100,26500
8,16/01/2023,26600,26600,26600,26600,110,24800
9,17/01/2023,26600,26600,26600,26600,-,24800
10,18/01/2023,27000,27000,27000,27000,2000,25200
11,19/01/2023,27000,27000,27000,27000,-,25200
12,27/01/2023,27000,27000,27000,27000,-,25200
13,30/01/2023,27000,27000,27000,27000,-,25200
14,31/01/2023,27000,27000,27000,27000,-,25200
15,01/02/2023,27000,27000,27000,27000,-,25200
16,02/02/2023,27000,27000,27000,27000,-,25200
17,03/02/2023,27000,27000,27000,27000,-,25200
18,06/02/2023,27000,27000,27000,27000,-,25200
19,07/02/2023,27000,27000,27000,27000,-,25200
20,08/02/2023,27000,27000,27000,27000,-,25200
21,09/02/2023,27000,27000,27000,27000,-,25200
22,10/02/2023,27000,27000,27000,27000,-,25200
23,13/02/2023,27000,27000,27000,27000,-,25200
24,14/02/2023,27000,27000,27000,27000,-,25200
25,15/02/2023,27000,27000,27000,27000,-,25200
26,16/02/2023,27000,27000,27000,27000,-,25200
27,17/02/2023,27000,27000,27000,27000,-,25200
28,20/02/2023,27000,27000,27000,27000,-,25200
29,21/02/2023,27000,27000,27000,27000,-,25200
30,22/02/2023,27100,27100,27100,27100,1800,25300
31,23/02/2023,27100,27100,27100,27100,500,25300
32,24/02/2023,27100,27100,27100,27100,-,25300
33,27/02/2023,27100,27100,27100,27100,-,25300
34,28/02/2023,29000,29000,29000,29000,100,27100
35,01/03/2023,29800,29800,29800,29800,2000,27800
36,02/03/2023,29800,29800,29800,29800,100,27800
37,03/03/2023,29800,29800,29800,29800,-,27800
38,06/03/2023,29800,29800,29800,29800,-,27800
39,07/03/2023,29800,29800,29800,29800,-,27800
40,08/03/2023,29800,29800,29800,29800,-,27800
41,09/03/2023,29800,29800,29800,29800,-,27800
42,10/03/2023,29800,29800,29800,29800,-,27800
43,13/03/2023,29800,29800,29800,29800,-,27800
44,14/03/2023,29800,29800,29800,29800,-,27800
45,15/03/2023,29800,29800,29800,29800,-,27800
46,16/03/2023,29800,29800,29800,29800,-,27800
47,17/03/2023,30000,30000,30000,30000,700,28000
48,20/03/2023,27000,27000,27000,27000,100,25200
49,21/03/2023,27000,27000,27000,27000,-,25200
50,22/03/2023,27000,27000,27000,27000,-,25200
51,23/03/2023,27000,27000,27000,27000,-,25200
52,24/03/2023,27000,27000,27000,27000,-,25200
53,27/03/2023,27000,27000,27000,27000,-,25200
54,28/03/2023,27000,27000,27000,27000,-,25200
55,29/03/2023,27000,27000,27000,27000,-,25200
56,30/03/2023,27000,27000,27000,27000,-,25200
57,31/03/2023,24300,24300,24300,24300,100,22700
58,03/04/2023,24300,24300,24300,24300,-,22700
59,04/04/2023,24300,24300,24300,24300,-,22700
60,05/04/2023,24300,24300,24300,24300,-,22700
61,06/04/2023,24300,24300,24300,24300,-,22700
62,07/04/2023,24300,24300,24300,24300,-,22700
63,10/04/2023,24300,24300,24300,24300,-,22700
64,11/04/2023,24300,24300,24300,24300,-,22700
65,12/04/2023,24300,24300,24300,24300,-,22700
66,13/04/2023,24300,24300,24300,24300,-,22700
67,14/04/2023,24300,24300,24300,24300,-,22700
68,17/04/2023,24300,24300,24300,24300,-,22700
69,18/04/2023,24300,24300,24300,24300,-,22700
70,19/04/2023,24300,24300,24300,24300,-,22700
71,20/04/2023,24300,24300,24300,24300,-,22700
72,21/04/2023,24300,24300,24300,24300,-,22700
73,24/04/2023,26700,26700,26700,26700,100,24900
74,25/04/2023,26700,26700,26700,26700,-,24900
75,26/04/2023,29300,29300,29300,29300,100,27400
76,27/04/2023,29300,29300,29300,29300,100,27400
77,28/04/2023,29300,29300,29300,29300,200,27400
78,04/05/2023,29600,29000,29000,29600,201,27700
79,05/05/2023,28600,28600,28600,28600,100,26700
80,08/05/2023,31400,31400,31400,31400,1160,29300
81,09/05/2023,28600,28600,28600,28600,100,26700
82,10/05/2023,29000,28100,29000,29000,600,27100
83,11/05/2023,31900,28100,31900,28100,400,26200
84,12/05/2023,28500,28100,28500,28100,200,26200
85,15/05/2023,30900,30900,30900,30900,200,28900
86,16/05/2023,28800,28800,28800,28800,100,26900
87,17/05/2023,28100,28100,28100,28100,100,26200
88,18/05/2023,29000,28400,29000,28400,200,26500
89,19/05/2023,28400,28400,28400,28400,3,26500
90,22/05/2023,28400,28400,28400,28400,-,26500
91,23/05/2023,28400,28400,28400,28400,-,26500
92,24/05/2023,27100,27100,27100,27100,-,26500
93,25/05/2023,27100,27100,27100,27100,-,26500
94,26/05/2023,29800,29800,29800,29800,100,29200
95,29/05/2023,29800,29800,29800,29800,3,29200
96,30/05/2023,32700,32700,32700,32700,156,32000
97,31/05/2023,32700,32700,32700,32700,-,32000
98,01/06/2023,35900,34900,35900,35000,2200,34300
99,02/06/2023,38500,38500,38500,38500,101,37700
100,05/06/2023,42300,42300,42300,42300,100,41400
101,06/06/2023,42300,42300,42300,42300,-,41400
102,07/06/2023,38200,38100,38100,38200,401,37400
103,08/06/2023,38200,38200,38200,38200,-,37400
104,09/06/2023,38200,38200,38200,38200,-,37400
105,12/06/2023,34400,34400,34400,34400,100,33700
106,13/06/2023,34400,34400,34400,34400,-,33700
107,14/06/2023,34400,34400,34400,34400,-,33700
108,15/06/2023,31100,31100,31100,31100,105,30400
109,16/06/2023,34200,34200,34200,34200,3001,33500
110,19/06/2023,37600,37600,37600,37600,100,36800
111,20/06/2023,41100,34200,34200,41100,200,40200
112,21/06/2023,41900,37000,37000,41900,2100,41000
113,22/06/2023,37900,37800,37800,37800,1800,37000
114,23/06/2023,40200,37000,37000,40200,400,39400
115,26/06/2023,40200,40200,40200,40200,-,39400
116,27/06/2023,37900,36500,36500,37900,2200,37100
117,28/06/2023,37900,37900,37900,37900,326800,37100
118,29/06/2023,40100,38000,40100,38000,1403,37200
119,30/06/2023,37900,37900,37900,37900,500,37100
120,03/07/2023,37900,37900,37900,37900,400,37100
121,04/07/2023,37900,37900,37900,37900,-,37100
122,05/07/2023,37900,37900,37900,37900,-,37100
123,06/07/2023,37900,37900,37900,37900,-,37100
124,07/07/2023,37900,37900,37900,37900,-,37100
125,10/07/2023,37900,37900,37900,37900,-,37100
126,11/07/2023,39100,39100,39100,39100,100,38300
127,12/07/2023,36100,36100,36100,36100,150,35300
128,13/07/2023,36100,36100,36100,36100,-,35300
129,14/07/2023,36100,36100,36100,36100,-,35300
130,17/07/2023,36100,36100,36100,36100,-,35300
131,18/07/2023,36100,36100,36100,36100,-,35300
132,19/07/2023,39000,39000,39000,39000,100,38200
133,20/07/2023,39000,39000,39000,39000,5,38200
134,21/07/2023,35100,35100,35100,35100,136,34400
135,24/07/2023,38000,38000,38000,38000,100,37200
136,25/07/2023,38000,38000,38000,38000,-,37200
137,26/07/2023,41800,41000,41000,41800,3605,40900
138,27/07/2023,38000,38000,38000,38000,101,37200
139,28/07/2023,38000,38000,38000,38000,-,37200
140,31/07/2023,38000,38000,38000,38000,13,37200
141,01/08/2023,38000,35200,38000,35200,1000,34500
142,02/08/2023,35200,35200,35200,35200,-,34500
143,03/08/2023,35200,35200,35200,35200,-,34500
144,04/08/2023,35200,35200,35200,35200,-,34500
145,07/08/2023,38700,38000,38000,38700,2600,37900
146,08/08/2023,38700,38700,38700,38700,1,37900
147,09/08/2023,38700,38700,38700,38700,-,37900
148,10/08/2023,38700,38700,38700,38700,16300,37900
149,11/08/2023,38700,38700,38700,38700,-,37900
150,14/08/2023,38000,38000,38000,38000,2400,37200
151,15/08/2023,38000,38000,38000,38000,8401,37200
152,16/08/2023,38000,38000,38000,38000,-,37200
153,17/08/2023,38000,38000,38000,38000,100,37200
154,18/08/2023,38000,38000,38000,38000,-,37200
155,21/08/2023,38000,38000,38000,38000,-,37200
156,22/08/2023,38000,38000,38000,38000,-,37200
157,23/08/2023,38000,38000,38000,38000,100,37200
158,24/08/2023,38000,38000,38000,38000,-,37200
159,25/08/2023,38000,38000,38000,38000,-,37200
160,28/08/2023,38000,38000,38000,38000,1,37200
161,29/08/2023,40000,40000,40000,40000,100,39200
162,30/08/2023,38000,38000,38000,38000,100,37200
163,31/08/2023,38000,38000,38000,38000,-,37200
164,05/09/2023,38000,38000,38000,38000,-,37200
165,06/09/2023,38000,38000,38000,38000,-,37200
166,07/09/2023,38000,38000,38000,38000,700,38000
167,08/09/2023,38000,38000,38000,38000,14,38000
168,11/09/2023,38000,38000,38000,38000,-,38000
169,12/09/2023,38000,38000,38000,38000,-,38000
170,13/09/2023,38000,38000,38000,38000,-,38000
171,14/09/2023,38000,38000,38000,38000,-,38000
172,15/09/2023,38000,38000,38000,38000,-,38000
173,18/09/2023,38000,38000,38000,38000,-,38000
174,19/09/2023,38000,38000,38000,38000,-,38000
175,20/09/2023,38000,38000,38000,38000,-,38000
176,21/09/2023,38000,38000,38000,38000,1000,38000
177,22/09/2023,34500,34500,34500,34500,100,34500
178,25/09/2023,34500,34500,34500,34500,-,34500
179,26/09/2023,34500,34500,34500,34500,-,34500
180,27/09/2023,34500,34500,34500,34500,-,34500
181,28/09/2023,34500,34500,34500,34500,-,34500
182,29/09/2023,34500,34500,34500,34500,-,34500
183,02/10/2023,34500,34500,34500,34500,600,34500
184,03/10/2023,34500,34500,34500,34500,-,34500
185,04/10/2023,37800,37800,37800,37800,100,37800
186,05/10/2023,38800,34500,34500,38800,200,38800
187,06/10/2023,41800,35000,35000,41800,200,41800
188,09/10/2023,41800,41800,41800,41800,-,41800
189,10/10/2023,41800,41800,41800,41800,-,41800
190,11/10/2023,41800,41800,41800,41800,-,41800
191,12/10/2023,41800,41800,41800,41800,-,41800
192,13/10/2023,41800,41800,41800,41800,-,41800
193,16/10/2023,37700,37700,37700,37700,300,37700
194,17/10/2023,37700,37700,37700,37700,-,37700
195,18/10/2023,37600,34100,34100,37600,200,37600
196,19/10/2023,41200,33900,33900,41200,200,41200
197,20/10/2023,41100,37100,37100,41100,200,41100
198,23/10/2023,37000,37000,37000,37000,200,37000
199,24/10/2023,37000,37000,37000,37000,-,37000
200,25/10/2023,33600,33600,33600,33600,100,33600
201,26/10/2023,33600,33600,33600,33600,-,33600
202,27/10/2023,36700,36700,36700,36700,100,36700
203,30/10/2023,33200,33200,33200,33200,100,33200
204,31/10/2023,30300,30300,30300,30300,100,30300
205,01/11/2023,30300,30300,30300,30300,-,30300
206,02/11/2023,27900,27900,27900,27900,100,27900
207,03/11/2023,30600,28000,30600,30600,400,30600
208,06/11/2023,30600,30600,30600,30600,-,30600
209,07/11/2023,30600,30600,30600,30600,-,30600
210,08/11/2023,30600,30600,30600,30600,-,30600
211,09/11/2023,33600,33600,33600,33600,100,33600
212,10/11/2023,33600,33600,33600,33600,300,33600
213,13/11/2023,33600,33600,33600,33600,-,33600
214,14/11/2023,36500,36500,36500,36500,100,36500
215,15/11/2023,36500,36500,36500,36500,-,36500
216,16/11/2023,39900,39900,39900,39900,101,39900
217,17/11/2023,39900,39900,39900,39900,-,39900
218,20/11/2023,36000,36000,36000,36000,700,36000
219,21/11/2023,36000,36000,36000,36000,100,36000
220,22/11/2023,36000,36000,36000,36000,-,36000
221,23/11/2023,32500,32500,32500,32500,100,32500
222,24/11/2023,32500,32500,32500,32500,-,32500
223,27/11/2023,32500,32500,32500,32500,-,32500
224,28/11/2023,35700,35700,35700,35700,100,35700
225,29/11/2023,39200,39200,39200,39200,100,39200
226,30/11/2023,39200,39200,39200,39200,100,39200
227,01/12/2023,35400,35400,35400,35400,100,35400
228,04/12/2023,35400,35400,35400,35400,-,35400
229,05/12/2023,35400,35400,35400,35400,-,35400
230,06/12/2023,35400,35400,35400,35400,-,35400
231,07/12/2023,35400,35400,35400,35400,-,35400
232,08/12/2023,35400,35400,35400,35400,-,35400
233,11/12/2023,35400,35400,35400,35400,-,35400
234,12/12/2023,35400,35400,35400,35400,-,35400
235,13/12/2023,35400,35400,35400,35400,-,35400
236,14/12/2023,35400,35400,35400,35400,-,35400
237,15/12/2023,35400,35400,35400,35400,-,35400
238,18/12/2023,35400,35400,35400,35400,-,35400
239,19/12/2023,35400,35400,35400,35400,-,35400
240,20/12/2023,35400,35400,35400,35400,-,35400
241,21/12/2023,35400,35400,35400,35400,-,35400
242,22/12/2023,35400,35400,35400,35400,-,35400
243,25/12/2023,35400,35400,35400,35400,-,35400
