,Date,High,Low,Open,Close,Volume,Adj Close
0,31/10/2022,16500,15400,16300,16500,201476,15900
1,01/11/2022,16800,16100,16300,16800,208442,16200
2,02/11/2022,16700,16000,16700,16700,105222,16100
3,03/11/2022,16400,16000,16200,16200,73251,15600
4,04/11/2022,15800,14800,15800,15100,525132,14500
5,07/11/2022,15100,14400,15100,14400,159206,13900
6,08/11/2022,15000,14100,14300,14500,115965,14000
7,09/11/2022,15200,14600,15000,14600,88211,14100
8,10/11/2022,15000,13800,15000,14400,514633,13900
9,11/11/2022,15000,14000,14400,14200,85800,13700
10,14/11/2022,14200,12800,14200,12800,183461,12300
11,15/11/2022,12800,11600,11800,11600,197515,11200
12,16/11/2022,12700,10600,11600,12700,175260,12200
13,17/11/2022,13700,12900,12900,13600,65751,13100
14,18/11/2022,14000,12300,12300,13900,87800,13400
15,21/11/2022,14200,13300,13400,14200,60706,13700
16,22/11/2022,15200,13800,13800,14500,142987,14000
17,23/11/2022,15000,14100,14900,14100,77628,13600
18,24/11/2022,14200,13900,14200,14200,57706,13700
19,25/11/2022,15600,14300,14300,15600,101304,15000
20,28/11/2022,16800,15400,15600,16800,219460,16200
21,29/11/2022,17400,16100,16900,17200,214077,16600
22,30/11/2022,17300,16700,17200,17000,109254,16400
23,01/12/2022,17700,17000,17000,17000,206430,16400
24,02/12/2022,18000,16500,16800,18000,168772,17300
25,05/12/2022,18600,18000,18000,18300,247426,17600
26,06/12/2022,18500,16600,18500,16600,246320,16000
27,07/12/2022,17100,15300,17000,15500,114722,14900
28,08/12/2022,17000,15500,15500,16800,119143,16200
29,09/12/2022,16800,16100,16800,16500,52601,15900
30,12/12/2022,17000,16100,16100,16100,204173,15500
31,13/12/2022,16800,14500,14500,16800,86412,16200
32,14/12/2022,17500,17000,17000,17100,114253,16500
33,15/12/2022,17400,16900,17300,17100,88001,16500
34,16/12/2022,18500,17000,17100,18500,404576,17800
35,19/12/2022,20300,18500,18500,19000,181199,18300
36,20/12/2022,19400,17200,18200,18100,178506,17400
37,21/12/2022,18300,16300,18000,18300,311930,17600
38,22/12/2022,20100,18300,20100,18600,159254,17900
39,23/12/2022,19000,18000,18600,18700,228042,18000
40,26/12/2022,18500,16900,18500,16900,123897,16300
41,27/12/2022,18000,15300,16000,17500,192876,16800
42,28/12/2022,18500,16500,17500,18500,139366,17800
43,29/12/2022,19000,17700,18200,19000,137040,18300
44,30/12/2022,20600,18000,19000,20600,127100,19800
45,03/01/2023,21000,19000,20500,21000,218700,20200
46,04/01/2023,21200,20000,21000,20500,131818,19700
47,05/01/2023,20500,19800,20000,20500,87062,19700
48,06/01/2023,20400,19500,20100,20400,124793,19600
49,09/01/2023,20000,19000,20000,19000,74864,18300
50,10/01/2023,19200,18200,19000,19200,75380,18500
51,11/01/2023,19900,18700,19000,19900,100380,19200
52,12/01/2023,20200,19200,19900,20200,77025,19400
53,13/01/2023,20500,19500,20000,20100,69865,19300
54,16/01/2023,20100,19600,19600,19600,48250,18900
55,17/01/2023,20200,19600,19600,20200,58053,19400
56,18/01/2023,20200,19700,20100,20200,93085,19400
57,19/01/2023,20900,19800,19900,20900,100578,20100
58,27/01/2023,21100,20300,20900,20300,57820,19500
59,30/01/2023,20500,20100,20300,20300,81045,19500
60,31/01/2023,20400,19900,20200,20400,39393,19600
61,01/02/2023,20700,18500,20600,18900,162622,18200
62,02/02/2023,19300,18600,18900,19000,120030,18300
63,03/02/2023,19200,18300,19200,19000,56001,18300
64,06/02/2023,19000,18500,19000,18500,29278,17800
65,07/02/2023,18900,18300,18900,18800,78103,18100
66,08/02/2023,18800,18300,18800,18300,32330,17600
67,09/02/2023,18600,18000,18500,18600,83750,17900
68,10/02/2023,18400,17700,18300,18200,108050,17500
69,13/02/2023,18000,16800,18000,17300,124952,16600
70,14/02/2023,17400,16900,17300,17400,75900,16700
71,15/02/2023,17800,17000,17400,17800,57361,17100
72,16/02/2023,17900,17400,17800,17800,90310,17100
73,17/02/2023,17900,17600,17900,17900,36600,17200
74,20/02/2023,19000,17900,18000,18900,113016,18200
75,21/02/2023,19100,18300,19000,18700,113705,18000
76,22/02/2023,18400,17200,18300,17200,147103,16600
77,23/02/2023,17500,16900,17200,17200,159559,16600
78,24/02/2023,17500,17000,17500,17500,46700,16800
79,27/02/2023,17100,16600,17000,17000,111900,16400
80,28/02/2023,17100,16700,17000,17100,107357,16500
81,01/03/2023,17600,16700,17100,17600,76411,16900
82,02/03/2023,17600,17200,17400,17200,23501,16600
83,03/03/2023,17300,16900,17300,16900,94971,16300
84,06/03/2023,17300,16900,16900,17300,43211,16600
85,07/03/2023,17400,16900,17300,16900,47910,16300
86,08/03/2023,17300,16800,16800,17300,120700,16600
87,09/03/2023,17500,17100,17200,17200,95348,16600
88,10/03/2023,17200,16900,17100,17000,89001,16400
89,13/03/2023,17000,16700,16800,16800,60400,16200
90,14/03/2023,16900,16500,16800,16500,183310,15900
91,15/03/2023,17800,16800,17000,17600,246187,16900
92,16/03/2023,17600,16900,17600,16900,196501,16300
93,17/03/2023,17300,16800,16800,16800,76300,16200
94,20/03/2023,17100,16400,16900,16400,153801,15800
95,21/03/2023,17400,16400,16400,16800,133700,16200
96,22/03/2023,17500,16800,17200,17000,63700,16400
97,23/03/2023,17100,16700,16800,17000,124600,16400
98,24/03/2023,17300,17000,17000,17000,151301,16400
99,27/03/2023,17700,17000,17000,17500,190806,16800
100,28/03/2023,17900,17500,17700,17500,202610,16800
101,29/03/2023,17700,17400,17600,17700,122950,17000
102,30/03/2023,18700,17800,17800,18700,346165,18000
103,31/03/2023,19500,18600,18700,19100,291218,18400
104,03/04/2023,20400,19400,19500,19700,277050,19000
105,04/04/2023,20200,19300,19700,20100,250910,19300
106,05/04/2023,20400,19600,20200,19900,181980,19200
107,06/04/2023,20000,19000,20000,19100,325705,18400
108,07/04/2023,19900,18600,19100,19900,262125,19200
109,10/04/2023,20900,20000,20200,20000,350953,19200
110,11/04/2023,20200,19100,20000,20200,186285,19400
111,12/04/2023,20400,19300,20300,19700,189147,19000
112,13/04/2023,19800,19200,19700,19300,112050,18600
113,14/04/2023,19700,18500,19700,18500,240220,17800
114,17/04/2023,19000,18500,19000,18700,95052,18000
115,18/04/2023,19400,18600,18800,19200,150076,18500
116,19/04/2023,19500,18900,19500,19100,128050,18400
117,20/04/2023,19100,18600,19100,18800,112100,18100
118,21/04/2023,19900,18900,19000,19400,216152,18700
119,24/04/2023,20200,19400,19700,19800,291334,19100
120,25/04/2023,20000,19100,20000,19400,206700,18700
121,26/04/2023,19500,19000,19400,19000,137519,18300
122,27/04/2023,19300,18900,19100,18900,146100,18200
123,28/04/2023,19300,18900,19000,19100,98832,18400
124,04/05/2023,19700,19100,19300,19400,122010,18700
125,05/05/2023,19700,19400,19500,19600,194121,18900
126,08/05/2023,21500,19700,19700,21500,567576,20700
127,09/05/2023,22500,21800,22100,22100,476234,21300
128,10/05/2023,22600,22100,22200,22600,531501,21800
129,11/05/2023,22900,22200,22600,22700,405454,21800
130,12/05/2023,22800,22300,22600,22800,405307,21900
131,15/05/2023,23000,21700,22800,21700,364646,20900
132,16/05/2023,22500,21600,21700,22200,401532,21400
133,17/05/2023,22400,21800,21800,22000,283746,21200
134,18/05/2023,23900,21800,22000,23300,1165242,22400
135,19/05/2023,24000,22900,23300,23800,441818,22900
136,22/05/2023,24000,23100,23300,23200,391491,22300
137,23/05/2023,23700,23100,23200,23200,431128,22300
138,24/05/2023,23800,23000,23300,23400,669376,22500
139,25/05/2023,23500,22900,23500,23100,414260,22200
140,26/05/2023,23100,22600,23100,22700,364304,21800
141,29/05/2023,23400,22700,23400,23400,447404,22500
142,30/05/2023,24100,23100,23400,23600,933520,22700
143,31/05/2023,24000,23400,24000,23500,376010,22600
144,01/06/2023,23800,23000,23500,23800,471213,22900
145,02/06/2023,25700,23800,23800,24900,880674,24000
146,05/06/2023,25200,24100,25200,24100,474691,23200
147,06/06/2023,24700,23000,24000,24500,802092,23600
148,07/06/2023,25000,24000,24700,24300,536363,23400
149,08/06/2023,24400,23100,24300,23100,859362,22200
150,09/06/2023,23500,22600,23100,23300,630703,22400
151,12/06/2023,23600,22600,23400,23400,532642,22500
152,13/06/2023,23600,23100,23400,23400,381479,22500
153,14/06/2023,23700,23000,23400,23000,446640,22100
154,15/06/2023,23300,22800,22800,23200,261973,22300
155,16/06/2023,24700,23300,23500,23400,1216349,22500
