,Date,High,Low,Open,Close,Volume,Adj Close
0,13/01/2022,17300,15600,15600,16300,699114,16300
1,14/01/2022,16200,15300,16000,15800,326199,15800
2,17/01/2022,16900,14700,16200,15800,355900,15800
3,18/01/2022,15800,14600,15700,15700,325700,15700
4,19/01/2022,16300,15100,15500,16300,186099,16300
5,20/01/2022,16900,16000,16300,16800,136634,16800
6,21/01/2022,17300,16400,16800,16500,96400,16500
7,24/01/2022,16300,15000,16300,15000,107100,15000
8,25/01/2022,16500,15000,15000,16200,136500,16200
9,26/01/2022,16000,15500,15700,15700,53900,15700
10,27/01/2022,15900,15100,15100,15300,75825,15300
11,28/01/2022,15400,15000,15300,15100,123307,15100
12,07/02/2022,15700,15400,15400,15600,77701,15600
13,08/02/2022,16700,15700,15700,16200,114326,16200
14,09/02/2022,16700,15600,16300,15700,273002,15700
15,10/02/2022,16000,15500,15700,15700,158800,15700
16,11/02/2022,16500,15300,15800,16500,313600,16500
17,14/02/2022,17200,16500,16500,16900,563446,16900
18,15/02/2022,17500,16900,17000,17200,510014,17200
19,16/02/2022,17200,16400,17200,16800,381301,16800
20,17/02/2022,16900,16500,16900,16800,274400,16800
21,18/02/2022,17200,16500,16800,17000,315632,17000
22,21/02/2022,17300,16800,17000,17100,367400,17100
23,22/02/2022,17000,16500,17000,16800,321800,16800
24,23/02/2022,16900,16600,16800,16900,302602,16900
25,24/02/2022,16900,15900,16900,16300,361290,16300
26,25/02/2022,16600,16000,16300,16500,321000,16500
27,28/02/2022,16500,15800,16500,16100,313802,16100
28,01/03/2022,16400,15900,16100,16000,320187,16000
29,02/03/2022,16300,15700,16000,16100,324512,16100
30,03/03/2022,16500,15800,16000,16100,334822,16100
31,04/03/2022,16500,16000,16100,16300,497600,16300
32,07/03/2022,16400,16000,16300,16300,402712,16300
33,08/03/2022,16300,15800,16200,15800,340900,15800
34,09/03/2022,16300,15300,15800,16000,346400,16000
35,10/03/2022,16500,15900,16000,16500,675712,16500
36,11/03/2022,16700,16100,16600,16100,458061,16100
37,14/03/2022,16500,15800,16100,16500,411000,16500
38,15/03/2022,17800,16400,16500,17500,1451621,17500
39,16/03/2022,18000,16900,17600,17200,596752,17200
40,17/03/2022,18200,17200,17200,17800,1299200,17800
41,18/03/2022,18000,17100,17800,17400,743039,17400
42,21/03/2022,17800,17000,17400,17400,567500,17400
43,22/03/2022,18200,17300,17500,18000,1422800,18000
44,23/03/2022,18200,17600,18000,17700,492200,17700
45,24/03/2022,17800,17400,17700,17600,1722428,17600
46,25/03/2022,17600,16700,17300,17300,527525,17300
47,28/03/2022,17300,16200,17200,16700,559700,16700
48,29/03/2022,17000,16700,16700,16900,413200,16900
49,30/03/2022,17000,16100,16800,16200,592912,16200
50,31/03/2022,16500,16000,16200,16400,254100,16400
51,01/04/2022,16600,15900,16300,16600,307900,16600
52,04/04/2022,16800,16300,16600,16500,315004,16500
53,05/04/2022,16900,16300,16500,16800,472700,16800
54,06/04/2022,16900,16100,16800,16400,382400,16400
55,07/04/2022,16700,16100,16400,16400,745700,16400
56,08/04/2022,16300,15800,16300,16000,358200,16000
57,12/04/2022,16200,15400,16000,15400,919712,15400
58,13/04/2022,16000,15200,15400,15800,163640,15800
59,14/04/2022,16100,15600,15900,15800,139200,15800
60,15/04/2022,15700,15400,15700,15400,162600,15400
61,18/04/2022,15500,14300,15500,14600,293800,14600
62,19/04/2022,14800,13900,14400,14400,258225,14400
63,20/04/2022,14600,13500,14400,14000,211219,14000
64,21/04/2022,14400,12600,14000,13000,228900,13000
65,22/04/2022,13400,12800,12900,13200,147600,13200
66,25/04/2022,13500,12000,13200,12500,159200,12500
67,26/04/2022,13100,11700,11900,13000,112300,13000
68,27/04/2022,13500,12900,13000,13500,121500,13500
69,28/04/2022,14200,13700,13800,14200,165105,14200
70,29/04/2022,14500,14000,14200,14500,123100,14500
71,04/05/2022,14500,14200,14500,14200,41900,14200
72,05/05/2022,14200,13800,14200,13900,107000,13900
73,06/05/2022,13900,13300,13700,13500,71800,13500
74,09/05/2022,13400,12500,13000,12800,119100,12800
75,10/05/2022,12700,12200,12700,12500,100400,12500
76,11/05/2022,13000,12600,12800,13000,61700,13000
