,Date,High,Low,Open,Close,Volume,Adj Close
0,12/07/2022,11500,11000,11000,11500,2600,11100
1,13/07/2022,11700,11100,11400,11400,12400,11000
2,14/07/2022,11700,11400,11700,11600,3300,11200
3,15/07/2022,12700,11600,11600,12300,10700,11800
4,18/07/2022,12300,11800,12300,11800,9500,11300
5,19/07/2022,11800,11800,11800,11800,2212,11300
6,20/07/2022,12500,11700,11800,11900,4600,11400
7,21/07/2022,12000,11700,12000,11700,16200,11200
8,22/07/2022,11700,11700,11700,11700,7000,11200
9,25/07/2022,12300,11600,11700,11600,16900,11200
10,26/07/2022,11700,11500,11600,11500,7800,11100
11,27/07/2022,11600,11500,11600,11500,1300,11100
12,28/07/2022,12100,11500,11500,12000,8800,11500
13,29/07/2022,12400,11500,12000,11500,22300,11100
14,01/08/2022,12300,11500,11500,11500,13400,11100
15,02/08/2022,12000,11500,11600,11900,2601,11400
16,03/08/2022,12500,11400,11900,12300,11800,11800
17,04/08/2022,12500,11600,11900,12200,13800,11700
18,05/08/2022,12200,11700,12200,12100,6700,11600
19,08/08/2022,12100,11500,12000,12000,16000,11500
20,09/08/2022,12000,11500,12000,11800,28400,11300
21,10/08/2022,11800,11600,11700,11600,6500,11200
22,11/08/2022,12000,11600,12000,11900,16200,11400
23,12/08/2022,11900,11700,11700,11700,2700,11200
24,15/08/2022,11900,11500,11900,11900,10000,11400
25,16/08/2022,11900,11500,11700,11500,7700,11100
26,17/08/2022,11700,11600,11600,11600,2500,11200
27,18/08/2022,11600,11300,11600,11600,4900,11200
28,19/08/2022,11600,11500,11600,11500,3700,11100
29,22/08/2022,11500,11300,11500,11300,3700,10900
30,23/08/2022,11400,11000,11200,11300,6400,10900
31,24/08/2022,11300,11100,11300,11100,22100,10700
32,25/08/2022,11200,11100,11100,11100,11600,10700
33,26/08/2022,11300,11100,11100,11300,5000,10900
34,29/08/2022,11300,11000,11300,11200,6100,10800
35,30/08/2022,11300,11200,11300,11200,10600,10800
36,31/08/2022,11500,11100,11200,11500,5500,11100
37,05/09/2022,11500,10400,11100,11500,30600,11100
38,06/09/2022,11400,11000,11100,11400,10400,11000
39,07/09/2022,11100,11000,11100,11000,13100,10600
40,08/09/2022,11200,10900,11000,11200,6300,10800
41,09/09/2022,11200,10900,11200,11100,6000,10700
42,12/09/2022,11100,11000,11000,11100,5500,10700
43,13/09/2022,11200,10800,11200,11100,16900,10700
44,14/09/2022,11000,10500,10800,11000,1400,10600
45,15/09/2022,10800,10600,10800,10800,11700,10400
46,16/09/2022,10700,10600,10700,10600,2400,10200
47,19/09/2022,10800,10500,10600,10600,3000,10200
48,20/09/2022,10600,10500,10500,10600,900,10200
49,21/09/2022,10600,10200,10300,10600,2200,10200
50,22/09/2022,10600,10600,10600,10600,-,10200
