,Date,High,Low,Open,Close,Volume,Adj Close
0,21/03/2024,49900,49900,49900,49900,-,48600
1,22/03/2024,49900,49900,49900,49900,-,48600
2,25/03/2024,49900,49900,49900,49900,-,48600
3,26/03/2024,49900,49900,49900,49900,-,48600
4,27/03/2024,49900,49900,49900,49900,-,48600
5,28/03/2024,49900,49900,49900,49900,-,48600
6,29/03/2024,49900,49900,49900,49900,2,48600
7,01/04/2024,49900,49900,49900,49900,-,48600
8,02/04/2024,49900,49900,49900,49900,-,48600
9,03/04/2024,46000,45000,46000,45000,401,43900
10,04/04/2024,45000,45000,45000,45000,-,43900
11,05/04/2024,45000,45000,45000,45000,-,43900
12,08/04/2024,45000,45000,45000,45000,-,43900
13,09/04/2024,45000,45000,45000,45000,-,43900
14,10/04/2024,45000,45000,45000,45000,-,43900
15,11/04/2024,45000,45000,45000,45000,20,43900
16,12/04/2024,40600,40600,40600,40600,148,39600
17,15/04/2024,40600,40600,40600,40600,-,39600
18,16/04/2024,44600,41600,44600,41600,7129,40600
19,17/04/2024,45700,45700,45700,45700,250,44500
20,19/04/2024,45700,45700,45700,45700,-,44500
21,22/04/2024,50100,41200,41400,50100,2101,48800
22,23/04/2024,50100,50100,50100,50100,-,48800
23,24/04/2024,50000,50000,50000,50000,100,48700
24,25/04/2024,54900,54900,54900,54900,100,53500
25,26/04/2024,54900,54900,54900,54900,-,53500
26,02/05/2024,54900,54900,54900,54900,2,53500
27,03/05/2024,54900,54900,54900,54900,-,53500
28,06/05/2024,54100,49500,49500,54100,601,52700
29,07/05/2024,48700,48700,48700,48700,402,47500
30,08/05/2024,52900,52900,52900,52900,100,51600
31,09/05/2024,47700,47700,47700,47700,506,46500
32,10/05/2024,47700,47700,47700,47700,1,46500
33,13/05/2024,47700,47600,47700,47600,300,46400
34,14/05/2024,46400,46400,46400,46400,100,46400
35,15/05/2024,46400,46400,46400,46400,2,46400
36,16/05/2024,46400,46400,46400,46400,102,46400
37,17/05/2024,41800,41800,41800,41800,10700,41800
38,20/05/2024,41800,41800,41800,41800,102,41800
39,21/05/2024,40000,37700,37700,40000,2278,40000
40,22/05/2024,40000,40000,40000,40000,5,40000
41,23/05/2024,40000,40000,40000,40000,2,40000
42,24/05/2024,38000,37000,38000,37000,264,37000
43,27/05/2024,37000,37000,37000,37000,100,37000
44,28/05/2024,37000,37000,37000,37000,3,37000
45,29/05/2024,37000,37000,37000,37000,-,37000
46,30/05/2024,40700,33500,33500,36000,600,36000
47,31/05/2024,39600,39600,39600,39600,150,39600
48,03/06/2024,39400,39400,39400,39400,163,39400
49,04/06/2024,39400,39400,39400,39400,100,39400
50,05/06/2024,39400,39400,39400,39400,100,39400
51,06/06/2024,43300,41500,41500,43300,3338,43300
52,07/06/2024,43300,43300,43300,43300,-,43300
53,10/06/2024,43300,43300,43300,43300,10,43300
54,11/06/2024,45000,45000,45000,45000,100,45000
55,12/06/2024,45000,45000,45000,45000,-,45000
56,13/06/2024,45000,45000,45000,45000,-,45000
57,14/06/2024,45000,45000,45000,45000,-,45000
58,17/06/2024,45000,45000,45000,45000,500,45000
59,18/06/2024,45000,45000,45000,45000,-,45000
60,19/06/2024,45000,45000,45000,45000,-,45000
61,20/06/2024,45000,45000,45000,45000,-,45000
62,21/06/2024,45000,45000,45000,45000,-,45000
63,24/06/2024,45000,45000,45000,45000,-,45000
64,25/06/2024,45000,45000,45000,45000,1,45000
65,26/06/2024,45000,45000,45000,45000,-,45000
66,27/06/2024,45000,44500,44500,45000,200,45000
67,28/06/2024,45000,45000,45000,45000,39,45000
68,01/07/2024,40500,40500,40500,40500,500,40500
69,02/07/2024,40500,40500,40500,40500,-,40500
70,03/07/2024,40500,40500,40500,40500,5,40500
71,04/07/2024,40500,40500,40500,40500,2,40500
72,05/07/2024,40500,40500,40500,40500,2,40500
73,08/07/2024,40500,40500,40500,40500,-,40500
74,09/07/2024,40500,40500,40500,40500,2,40500
75,10/07/2024,40500,40500,40500,40500,1,40500
76,11/07/2024,40500,40500,40500,40500,5,40500
77,12/07/2024,40500,40500,40500,40500,-,40500
78,15/07/2024,40500,40500,40500,40500,-,40500
79,16/07/2024,40500,40500,40500,40500,-,40500
80,17/07/2024,40500,40500,40500,40500,-,40500
81,18/07/2024,36600,36600,36600,36600,1100,36600
82,19/07/2024,36600,36600,36600,36600,-,36600
83,22/07/2024,40000,40000,40000,40000,100,40000
84,23/07/2024,43400,43400,43400,43400,102,43400
85,24/07/2024,43400,43400,43400,43400,2,43400
86,25/07/2024,42900,39100,39100,42900,201,42900
87,26/07/2024,38800,38800,38800,38800,1100,38800
88,29/07/2024,42000,35100,35100,42000,2500,42000
89,30/07/2024,42000,42000,42000,42000,-,42000
90,31/07/2024,42000,39900,39900,42000,2203,42000
91,01/08/2024,42000,42000,42000,42000,-,42000
92,02/08/2024,42000,37800,37800,42000,3200,42000
93,05/08/2024,42000,42000,42000,42000,-,42000
94,06/08/2024,42000,42000,42000,42000,300,42000
95,07/08/2024,42000,42000,42000,42000,50,42000
96,08/08/2024,42000,42000,42000,42000,-,42000
97,09/08/2024,42000,42000,42000,42000,-,42000
98,12/08/2024,42000,42000,42000,42000,-,42000
99,13/08/2024,42000,42000,42000,42000,-,42000
100,14/08/2024,42000,42000,42000,42000,-,42000
101,15/08/2024,42000,42000,42000,42000,-,42000
102,16/08/2024,42000,42000,42000,42000,-,42000
103,19/08/2024,42000,42000,42000,42000,5,42000
104,20/08/2024,42000,42000,42000,42000,-,42000
105,21/08/2024,42000,42000,42000,42000,-,42000
106,22/08/2024,42000,42000,42000,42000,-,42000
107,23/08/2024,42000,42000,42000,42000,-,42000
108,26/08/2024,42000,42000,42000,42000,3,42000
109,27/08/2024,42000,42000,42000,42000,-,42000
110,28/08/2024,37800,37800,37800,37800,200,37800
111,29/08/2024,37800,37800,37800,37800,50,37800
112,30/08/2024,37800,37800,37800,37800,100,37800
113,04/09/2024,37800,37800,37800,37800,22,37800
114,05/09/2024,37800,37800,37800,37800,2,37800
115,06/09/2024,37800,37800,37800,37800,1,37800
116,09/09/2024,37800,37800,37800,37800,-,37800
117,10/09/2024,37800,37800,37800,37800,17,37800
118,11/09/2024,37800,37800,37800,37800,3,37800
119,12/09/2024,37800,37800,37800,37800,-,37800
120,13/09/2024,37800,37800,37800,37800,-,37800
121,16/09/2024,37800,37800,37800,37800,3,37800
122,17/09/2024,37800,37800,37800,37800,-,37800
123,18/09/2024,37800,37800,37800,37800,2,37800
124,19/09/2024,37800,37800,37800,37800,-,37800
125,20/09/2024,41500,36000,36000,41500,2000,41500
126,23/09/2024,41500,41500,41500,41500,-,41500
127,24/09/2024,41500,41500,41500,41500,-,41500
128,25/09/2024,41500,41500,41500,41500,-,41500
129,26/09/2024,43000,42000,42000,43000,2300,43000
130,27/09/2024,43000,43000,43000,43000,80,43000
131,30/09/2024,43000,43000,43000,43000,26,43000
132,01/10/2024,43000,43000,43000,43000,5,43000
