,Date,High,Low,Open,Close,Volume,Adj Close
0,05/10/2022,83300,81500,83300,82900,3500,61800
1,06/10/2022,83900,82500,83300,83200,4702,62100
2,07/10/2022,83000,77800,83000,82900,7036,61800
3,10/10/2022,82800,78500,79700,82800,9801,61800
4,11/10/2022,82900,79000,80600,82900,14120,61800
5,12/10/2022,82900,80500,82800,82000,5807,61200
6,13/10/2022,82000,81000,81000,82000,3451,61200
7,14/10/2022,82000,79000,81200,82000,4900,61200
8,17/10/2022,82000,82000,82000,82000,801,61200
9,18/10/2022,82500,80300,82500,81800,3168,61000
10,19/10/2022,83000,81400,82000,82400,4995,61500
11,20/10/2022,85000,82300,82300,84500,41547,63000
12,21/10/2022,88100,84500,85000,86400,20903,64400
13,24/10/2022,88100,83000,88000,84900,21857,63300
14,25/10/2022,85000,83000,84500,84000,11895,62700
15,26/10/2022,83000,81000,83000,82000,18730,61200
16,27/10/2022,82400,81300,81500,82300,5100,61400
17,28/10/2022,83000,82000,82500,82900,5824,61800
18,31/10/2022,82500,82000,82000,82500,1400,61500
19,01/11/2022,82500,82000,82000,82500,5520,61500
20,02/11/2022,82200,81500,82200,82200,900,61300
21,03/11/2022,82100,81500,81600,82100,3430,61200
22,04/11/2022,83200,81500,82000,83000,9400,61900
23,07/11/2022,82400,80500,81300,82000,10311,61200
24,08/11/2022,81000,80000,81000,80900,6151,60300
25,09/11/2022,81300,80300,80400,81300,2800,60600
26,10/11/2022,80500,79000,80500,79900,5700,59600
27,11/11/2022,80100,78800,79900,80000,9250,59700
28,14/11/2022,79500,76100,79500,76100,1754,56800
29,15/11/2022,78400,68500,78400,71600,22649,53400
30,16/11/2022,74800,64700,65000,73100,8700,54500
31,17/11/2022,78000,74000,75000,74100,9328,55300
32,18/11/2022,74100,68500,73000,74100,13702,55300
33,21/11/2022,71000,70200,70500,71000,14160,53000
34,22/11/2022,70200,70000,70000,70000,6410,52200
35,23/11/2022,69000,68000,68700,68800,7100,51300
36,24/11/2022,67000,65200,65200,66200,9884,49400
37,25/11/2022,66200,65000,66100,66200,25900,49400
38,28/11/2022,69000,66200,66200,68500,11910,51100
39,29/11/2022,69700,68000,69700,69000,12500,51500
40,30/11/2022,69900,62100,65000,68200,3400,50900
41,01/12/2022,69300,68000,69300,68200,10110,50900
42,02/12/2022,68800,67100,67700,68400,7320,51000
43,05/12/2022,69100,67800,69100,67800,23208,50600
44,06/12/2022,67800,65500,67800,66000,14400,49200
45,07/12/2022,67000,66000,66600,66000,3483,49200
46,08/12/2022,68500,65100,65100,67000,9400,50000
47,09/12/2022,68500,66100,68500,67500,3600,50300
48,12/12/2022,68900,67000,67000,68800,2600,51300
49,13/12/2022,68600,67700,67700,68600,2500,51200
50,14/12/2022,71300,69000,69500,71300,6220,53200
51,15/12/2022,76500,71300,71300,75300,24331,56200
52,16/12/2022,76500,75000,76500,75600,3500,56400
53,19/12/2022,75500,74700,75500,74700,8900,55700
54,20/12/2022,74700,70000,74700,71000,5500,53000
55,21/12/2022,71800,69700,69700,71800,4800,53600
56,22/12/2022,73000,70700,72000,72900,2846,54400
57,23/12/2022,72900,72100,72800,72700,4000,54200
58,26/12/2022,74000,72000,73000,73900,4940,55100
59,27/12/2022,74900,72000,74800,74000,2969,55200
60,28/12/2022,74800,73000,74800,74500,366,55600
61,29/12/2022,74800,72800,74800,72800,3200,54300
62,30/12/2022,74300,70600,74000,72500,5400,54100
63,03/01/2023,73800,72500,73500,73200,1300,54600
64,04/01/2023,72700,72500,72500,72700,901,54200
65,05/01/2023,73400,71300,72500,72500,4735,54100
66,06/01/2023,72000,71300,71500,72000,4800,53700
67,09/01/2023,74000,72100,72900,72800,1800,54300
68,10/01/2023,72900,72800,72900,72800,1603,54300
69,11/01/2023,72000,70400,70400,72000,7455,53700
70,12/01/2023,72000,71100,72000,72000,1200,53700
71,13/01/2023,72900,72000,72000,72200,18600,53900
72,16/01/2023,72200,71700,72200,72000,11391,53700
73,17/01/2023,72000,70000,72000,71300,7900,53200
74,18/01/2023,71500,70100,70100,71000,8001,53000
75,19/01/2023,71000,70600,71000,71000,14200,53000
76,27/01/2023,74500,71400,74500,71400,5810,53300
77,30/01/2023,72500,71400,71400,72000,13010,53700
78,31/01/2023,72100,71700,72100,72000,10400,53700
79,01/02/2023,72100,71000,72100,71000,28304,53000
80,02/02/2023,71000,70100,71000,71000,3600,53000
81,03/02/2023,71400,70400,71000,71400,6602,53300
82,06/02/2023,72000,71400,71400,72000,9200,53700
83,07/02/2023,72900,71800,72600,72900,9200,54400
84,08/02/2023,73000,71700,72900,72500,4900,54100
85,09/02/2023,72900,72000,72900,72500,1501,54100
86,10/02/2023,72800,72700,72800,72700,2400,54200
87,13/02/2023,72700,71800,72200,72600,7000,54200
88,14/02/2023,72900,72600,72700,72600,3200,54200
89,15/02/2023,73500,72600,72600,73500,8466,54800
90,16/02/2023,79900,74100,79900,76300,8302,56900
91,17/02/2023,76500,75500,76500,76000,1900,56700
92,20/02/2023,76000,75500,76000,75800,11002,56500
93,21/02/2023,79900,75000,79900,75800,4400,56500
94,22/02/2023,76100,75000,76100,75500,6867,56300
95,23/02/2023,76000,73500,76000,74000,13514,55200
96,24/02/2023,75000,74200,74500,75000,3100,55900
97,27/02/2023,75000,75000,75000,75000,-,55900
98,28/02/2023,75800,74100,75800,75000,1900,55900
99,01/03/2023,75000,74300,74500,74900,6661,55900
100,02/03/2023,75000,74400,75000,74500,2426,55600
101,03/03/2023,74900,74300,74300,74500,2600,55600
102,06/03/2023,75800,74000,74500,75200,4511,56100
103,07/03/2023,76000,75400,76000,75400,1807,56200
104,08/03/2023,75500,74700,75500,75400,1900,56200
105,09/03/2023,76000,75000,75900,76000,6216,56700
106,10/03/2023,78700,76500,77000,78700,9400,58700
107,13/03/2023,79500,78500,78900,79100,6400,59000
108,14/03/2023,80000,79000,79000,79800,16500,59500
109,15/03/2023,82900,81000,82000,82000,4100,61200
110,16/03/2023,81300,78000,81100,81300,6500,60600
111,17/03/2023,81300,77000,79700,80500,3000,60000
112,20/03/2023,81200,79000,80400,79000,4430,58900
113,21/03/2023,80400,78900,78900,80000,1600,59700
114,22/03/2023,81400,79300,80000,80500,7000,60000
115,23/03/2023,81200,79000,81000,80000,7500,59700
116,24/03/2023,80000,79600,79800,80000,3400,59700
117,27/03/2023,80500,80000,80200,80500,5001,60000
118,28/03/2023,81500,80800,80900,81200,4300,60600
119,29/03/2023,82500,81000,81200,82500,5100,61500
120,30/03/2023,84000,82900,82900,83900,11000,62600
121,31/03/2023,84000,82000,84000,82600,15204,61600
122,03/04/2023,83000,82000,82600,82500,15316,61500
123,04/04/2023,82800,80500,81000,81000,17805,60400
124,05/04/2023,83000,81000,81000,81000,14501,60400
125,06/04/2023,81500,80400,81000,80600,3419,60100
126,07/04/2023,81000,79600,81000,79600,12600,59400
127,10/04/2023,79900,79000,79900,79300,12200,59200
128,11/04/2023,82000,78500,79000,81700,6703,60900
129,12/04/2023,82000,80600,81000,80800,1300,60300
130,13/04/2023,80700,80000,80700,80000,2200,59700
131,14/04/2023,80900,80000,80800,80800,2400,60300
132,17/04/2023,79800,79300,79800,79300,2004,59200
133,18/04/2023,81000,79500,79500,80400,25140,60000
134,19/04/2023,80400,80400,80400,80400,1600,60000
135,20/04/2023,88000,81500,81700,84500,76401,63000
136,21/04/2023,86900,84500,85000,85800,9406,64000
137,24/04/2023,90000,86100,86300,88000,32084,65600
138,25/04/2023,88400,86500,88000,86600,18004,64600
139,26/04/2023,87200,85000,86000,86000,20954,64100
140,27/04/2023,88000,87000,87000,87500,28306,65300
141,28/04/2023,95500,87100,87100,91500,40484,68300
142,04/05/2023,91600,90000,91500,91400,30679,68200
143,05/05/2023,92500,91200,91800,91700,27934,68400
144,08/05/2023,94000,90800,94000,91700,23104,68400
145,09/05/2023,71500,68600,69000,70300,60882,70300
146,10/05/2023,71700,71000,71000,71200,26905,71200
147,11/05/2023,71500,68600,71200,69000,16992,69000
148,12/05/2023,70500,69000,70000,69200,18759,69200
149,15/05/2023,69500,68500,69200,68500,19704,68500
150,16/05/2023,69000,67900,68900,68500,6090,68500
151,17/05/2023,69000,67400,69000,68500,12620,68500
