,Date,High,Low,Open,Close,Volume,Adj Close
0,24/05/2022,20500,19000,20400,19000,4300,17800
1,25/05/2022,20500,19100,19100,19800,11500,18500
2,26/05/2022,19800,19400,19800,19500,7200,18300
3,27/05/2022,20300,19300,19300,20300,13400,19000
4,30/05/2022,20200,19600,20200,19600,2500,18400
5,31/05/2022,20800,19600,19700,20800,2400,19500
6,01/06/2022,20800,20000,20000,20800,2001,19500
7,02/06/2022,20800,20500,20800,20500,1300,19200
8,03/06/2022,20500,20500,20500,20500,150,19200
9,06/06/2022,20500,19100,20500,20500,1524,19200
10,07/06/2022,19400,19100,19100,19400,1200,18200
11,08/06/2022,19400,19400,19400,19400,826,18200
12,09/06/2022,19600,19400,19400,19500,1700,18300
13,10/06/2022,19500,19500,19500,19500,1200,18300
14,13/06/2022,19500,19000,19000,19500,1300,18300
15,14/06/2022,19500,19000,19000,19500,200,18300
16,15/06/2022,19400,19400,19400,19400,100,18200
17,16/06/2022,19100,19000,19000,19100,7000,17900
18,17/06/2022,19400,19000,19200,19400,600,18200
19,20/06/2022,19400,18500,19400,18500,6010,17300
20,21/06/2022,18500,17500,18000,18300,2300,17100
21,22/06/2022,18300,18300,18300,18300,500,17100
22,23/06/2022,19500,19000,19500,19000,500,17800
23,24/06/2022,19000,19000,19000,19000,1200,17800
24,27/06/2022,19100,19000,19100,19000,5502,17800
25,28/06/2022,18900,18800,18900,18800,9900,17600
26,29/06/2022,19000,18800,19000,18900,12300,17700
27,30/06/2022,19000,17400,17700,17400,4900,17400
28,01/07/2022,18600,18500,18600,18500,400,18500
29,04/07/2022,18500,17200,18500,17200,900,17200
30,05/07/2022,17200,16800,17200,17200,2900,17200
31,06/07/2022,17200,16300,16300,17200,500,17200
32,07/07/2022,17200,16900,16900,17200,300,17200
33,08/07/2022,17200,16400,16400,17200,200,17200
34,11/07/2022,17100,17100,17100,17100,100,17100
35,12/07/2022,17100,17100,17100,17100,-,17100
36,13/07/2022,17000,16900,17000,17000,2300,17000
37,14/07/2022,17000,17000,17000,17000,-,17000
38,15/07/2022,16800,16600,16600,16700,4600,16700
