,Date,High,Low,Open,Close,Volume,Adj Close
0,09/02/2023,29700,29700,29700,29700,-,28100
1,10/02/2023,27300,27300,27300,27300,100,25800
2,13/02/2023,29000,27200,27200,29000,2950,27400
3,14/02/2023,27200,27200,27200,27200,100,25700
4,15/02/2023,27200,27200,27200,27200,100,25700
5,16/02/2023,28500,26900,28400,28400,9100,26800
6,17/02/2023,28400,28400,28400,28400,600,26800
7,20/02/2023,28400,27000,27200,28400,1250,26800
8,21/02/2023,27400,27300,27300,27400,1300,25900
9,22/02/2023,28400,28000,28400,28000,3510,26500
10,23/02/2023,28300,27900,27900,28300,200,26800
11,24/02/2023,28300,27500,28200,28200,9425,26700
12,27/02/2023,28500,27200,28500,28400,9300,26800
13,28/02/2023,28300,28100,28300,28300,8600,26800
14,01/03/2023,27300,27300,27300,27300,125,25800
15,02/03/2023,28300,28300,28300,28300,360,26800
16,03/03/2023,28300,28300,28300,28300,-,26800
17,06/03/2023,28300,28300,28300,28300,-,26800
18,07/03/2023,27400,27400,27400,27400,100,25900
19,08/03/2023,28400,27400,28000,28400,12200,26800
20,09/03/2023,28400,28400,28400,28400,-,26800
21,10/03/2023,28400,28400,28400,28400,75,26800
22,13/03/2023,28400,28400,28400,28400,-,26800
23,14/03/2023,28400,28400,28400,28400,-,26800
24,15/03/2023,28200,27200,27500,28200,1100,26700
25,16/03/2023,27400,27200,27400,27300,2200,25800
26,17/03/2023,28200,27700,27700,28200,3805,26700
27,20/03/2023,27900,27400,27900,27800,17411,26300
28,21/03/2023,28200,28200,28200,28200,100,26700
29,22/03/2023,27300,27300,27300,27300,1000,25800
30,23/03/2023,27200,27200,27200,27200,500,25700
31,24/03/2023,27200,27200,27200,27200,-,25700
32,27/03/2023,27100,27100,27100,27100,200,25600
33,28/03/2023,27200,27200,27200,27200,300,25700
34,29/03/2023,27200,27200,27200,27200,-,25700
35,30/03/2023,27200,27200,27200,27200,-,25700
36,31/03/2023,28400,27000,27200,27000,7200,25500
37,03/04/2023,27000,27000,27000,27000,20,25500
38,04/04/2023,27200,27100,27100,27200,6500,25700
39,05/04/2023,27000,26800,27000,26800,1900,25300
40,06/04/2023,28200,27100,28200,27100,30500,25600
41,07/04/2023,27500,27500,27500,27500,300,26000
42,10/04/2023,27500,27500,27500,27500,-,26000
43,11/04/2023,27000,27000,27000,27000,3021,25500
44,12/04/2023,27000,26300,27000,26500,12800,25000
45,13/04/2023,26500,26500,26500,26500,-,25000
46,14/04/2023,27200,27200,27200,27200,100,25700
47,17/04/2023,26600,26500,26600,26500,15200,25000
48,18/04/2023,26400,25000,25700,26400,2860,25000
49,19/04/2023,27100,26500,26500,27100,900,25600
50,20/04/2023,27000,27000,27000,27000,1200,25500
51,21/04/2023,27000,27000,27000,27000,-,25500
52,24/04/2023,26500,26200,26500,26200,8610,24800
53,25/04/2023,25800,25800,25800,25800,100,24400
54,26/04/2023,25800,25800,25800,25800,-,24400
55,27/04/2023,25800,25800,25800,25800,-,24400
56,28/04/2023,25800,25800,25800,25800,50,24400
57,04/05/2023,25800,25800,25800,25800,-,24400
58,05/05/2023,27100,25800,26000,27100,800,25600
59,08/05/2023,27100,26200,27100,26200,1600,24800
60,09/05/2023,26200,25800,26200,25800,200,24400
61,10/05/2023,27300,27300,27300,27300,200,25800
62,11/05/2023,27400,27400,27400,27400,500,25900
63,12/05/2023,26800,26800,26800,26800,100,25300
64,15/05/2023,26800,26800,26800,26800,203,25300
65,16/05/2023,26800,26800,26800,26800,22,25300
66,17/05/2023,26900,26900,26900,26900,600,25400
67,18/05/2023,27100,27000,27000,27100,401,25600
68,19/05/2023,27100,27100,27100,27100,5,25600
69,22/05/2023,27000,27000,27000,27000,1000,25500
70,23/05/2023,27000,27000,27000,27000,1006,25500
71,24/05/2023,26200,26000,26200,26000,1500,24600
72,25/05/2023,27000,26100,26900,27000,2403,25500
73,26/05/2023,27300,27000,27000,27300,500,25800
74,29/05/2023,27100,26500,26500,27100,6700,25600
75,30/05/2023,27600,26500,26500,26700,1550,25200
76,31/05/2023,27200,27000,27000,27200,1100,25700
77,01/06/2023,27200,27000,27200,27100,701,25600
78,02/06/2023,27100,27100,27100,27100,-,25600
79,05/06/2023,27800,27700,27700,27800,600,26300
80,06/06/2023,27900,27700,27900,27700,802,26200
81,07/06/2023,27700,27700,27700,27700,-,26200
82,08/06/2023,27700,27700,27700,27700,1100,26200
83,09/06/2023,27700,27700,27700,27700,-,26200
84,12/06/2023,28000,27900,28000,27900,604,26400
85,13/06/2023,27500,27400,27500,27400,900,25900
86,14/06/2023,27100,26700,26700,26700,2800,26700
87,15/06/2023,27000,26600,26700,26600,2400,26600
88,16/06/2023,26700,26700,26700,26700,600,26700
89,19/06/2023,26700,26700,26700,26700,2400,26700
90,20/06/2023,26700,25900,26100,26700,2450,26700
91,21/06/2023,26700,26700,26700,26700,-,26700
92,22/06/2023,27000,26200,26500,26200,4300,26200
93,23/06/2023,26200,26200,26200,26200,100,26200
94,26/06/2023,27000,26900,26900,27000,7900,27000
95,27/06/2023,27000,27000,27000,27000,300,27000
96,28/06/2023,27000,27000,27000,27000,1,27000
97,29/06/2023,27000,27000,27000,27000,242,27000
98,30/06/2023,25900,25800,25900,25800,1000,25800
99,03/07/2023,27000,24900,25800,25300,4400,25300
100,04/07/2023,25300,25300,25300,25300,-,25300
101,05/07/2023,25300,25300,25300,25300,-,25300
102,06/07/2023,26200,25500,25500,26200,400,26200
103,07/07/2023,26200,26200,26200,26200,-,26200
104,10/07/2023,26600,26200,26200,26600,500,26600
105,11/07/2023,27800,27800,27800,27800,100,27800
106,12/07/2023,25600,25600,25600,25600,2627,25600
107,13/07/2023,27100,26000,27000,26500,3900,26500
108,14/07/2023,26500,26500,26500,26500,6000,26500
109,17/07/2023,26900,26400,26400,26500,620,26500
110,18/07/2023,27000,26000,26500,26000,1900,26000
111,19/07/2023,26900,26200,26300,26400,10900,26400
112,20/07/2023,27000,26100,27000,26100,2750,26100
113,21/07/2023,26200,26100,26100,26200,600,26200
114,24/07/2023,26200,26200,26200,26200,10,26200
115,25/07/2023,26900,26200,26200,26400,16450,26400
116,26/07/2023,27000,26400,26800,26400,3400,26400
117,27/07/2023,27000,26100,26200,26600,23500,26600
118,28/07/2023,27000,26700,27000,26700,4500,26700
119,31/07/2023,27300,27300,27300,27300,101,27300
120,01/08/2023,27400,26700,27400,26700,1800,26700
121,02/08/2023,27300,26600,27300,26600,1100,26600
122,03/08/2023,27400,27400,27400,27400,132,27400
123,04/08/2023,27400,27200,27200,27400,1827,27400
124,07/08/2023,27400,27300,27400,27300,900,27300
125,08/08/2023,26600,26500,26500,26600,2150,26600
126,09/08/2023,27200,26400,26600,27200,5850,27200
127,10/08/2023,27200,26600,27000,26600,2300,26600
128,11/08/2023,26600,26600,26600,26600,1405,26600
129,14/08/2023,27000,26100,26900,26600,7713,26600
130,15/08/2023,26600,26600,26600,26600,-,26600
131,16/08/2023,27500,26500,26500,27000,1800,27000
132,17/08/2023,27000,27000,27000,27000,100,27000
133,18/08/2023,27000,26600,27000,26600,12400,26600
134,21/08/2023,26600,26600,26600,26600,1500,26600
135,22/08/2023,26200,26000,26200,26100,900,26100
136,23/08/2023,25800,25800,25800,25800,100,25800
137,24/08/2023,25800,25800,25800,25800,-,25800
138,25/08/2023,26500,26500,26500,26500,211,26500
139,28/08/2023,26500,26500,26500,26500,1,26500
140,29/08/2023,26500,26500,26500,26500,100,26500
141,30/08/2023,26100,25700,25700,26100,1700,26100
142,31/08/2023,25700,25700,25700,25700,130,25700
143,05/09/2023,26800,26100,26800,26800,7902,26800
144,06/09/2023,26800,26200,26800,26200,1300,26200
145,07/09/2023,27000,26200,26200,26500,4510,26500
146,08/09/2023,26200,26000,26200,26000,3908,26000
147,11/09/2023,26000,26000,26000,26000,1,26000
148,12/09/2023,26200,26200,26200,26200,100,26200
149,13/09/2023,27000,27000,27000,27000,105,27000
150,14/09/2023,27000,26200,27000,26200,1800,26200
151,15/09/2023,27000,26200,26200,26300,4613,26300
152,18/09/2023,26300,26300,26300,26300,1,26300
153,19/09/2023,26300,26300,26300,26300,3,26300
154,20/09/2023,26300,26300,26300,26300,-,26300
