,Date,High,Low,Open,Close,Volume,Adj Close
0,29/11/2023,22100,21600,21700,21900,10160652,20800
1,30/11/2023,22500,21600,21900,21600,12968147,20500
2,01/12/2023,22000,21300,21600,21600,9652051,20500
3,04/12/2023,23300,21300,21300,22900,21340997,21800
4,05/12/2023,23300,22700,22900,22800,15554506,21700
5,06/12/2023,23800,22700,22700,23600,20791558,22400
6,07/12/2023,24400,21300,21300,23400,28360957,22200
7,08/12/2023,24800,23100,24800,23400,16136322,22200
8,11/12/2023,24000,23100,23100,23900,15399352,22700
9,12/12/2023,24300,21600,21700,23800,12338828,22600
10,13/12/2023,24200,21600,23100,23000,16126308,21900
11,14/12/2023,23500,22500,23000,22600,14368276,21500
12,15/12/2023,23100,22000,22300,22800,15058563,21700
13,18/12/2023,23200,20800,22600,22300,6782798,21200
14,19/12/2023,22600,20100,21200,22600,10176411,21500
15,20/12/2023,22900,22200,22200,22500,4613358,21400
16,21/12/2023,22700,22200,22300,22600,5772479,21500
17,22/12/2023,23100,22500,22700,22700,9448885,21600
18,25/12/2023,23300,20500,21500,23000,8829755,21900
19,26/12/2023,23300,20700,20700,23000,6381009,21900
20,27/12/2023,23200,22800,23200,22800,8090760,21700
21,28/12/2023,23000,22600,23000,22600,7419177,21500
22,29/12/2023,22900,22600,22700,22700,6518709,21600
23,02/01/2024,23100,22500,22900,22500,6949166,21400
24,03/01/2024,22800,22400,22400,22700,4681307,21600
25,04/01/2024,23400,22700,22800,22800,17510437,21700
26,05/01/2024,23200,22800,22900,22900,8627853,21800
27,08/01/2024,23600,22900,23000,23300,15180351,22100
28,09/01/2024,23400,22900,23200,22900,9843985,21800
29,10/01/2024,23100,22300,22700,22400,13977672,21300
30,11/01/2024,22800,22200,22500,22600,7479203,21500
31,12/01/2024,22700,21800,22400,22000,16179428,20900
32,15/01/2024,22300,21500,21500,21500,7223186,20400
33,16/01/2024,21800,20600,20600,21800,5843595,20700
34,17/01/2024,22200,21800,22000,21800,5242101,20700
35,18/01/2024,22300,21800,21900,22000,6272216,20900
36,19/01/2024,22300,21700,22300,21800,5681085,20700
37,22/01/2024,22200,21500,21800,22200,7013691,21100
38,23/01/2024,22500,21800,22500,21800,4412253,20700
39,24/01/2024,22100,21700,22100,21700,4037889,20600
40,25/01/2024,21900,21600,21800,21600,3817719,20500
41,26/01/2024,22000,21600,21600,21700,4219559,20600
42,29/01/2024,21900,21300,21700,21600,4394421,20500
43,30/01/2024,21700,21500,21700,21600,3351141,20500
44,31/01/2024,21800,21300,21600,21400,7974038,20300
45,01/02/2024,21600,21400,21400,21400,3440645,20300
46,02/02/2024,22300,21500,21500,21600,8730317,20500
47,05/02/2024,22000,21500,21800,21500,4092217,20400
48,06/02/2024,21700,21400,21500,21400,5258695,20300
49,07/02/2024,21500,21100,21300,21100,10316894,20000
50,15/02/2024,21500,20900,20900,21300,7445165,20200
51,16/02/2024,22200,20100,20900,21700,10835527,20600
52,19/02/2024,21800,21400,21600,21700,7077587,20600
53,20/02/2024,22200,21500,21500,21900,16036963,20800
54,21/02/2024,22100,21700,21900,21800,6221578,20700
55,22/02/2024,21900,21500,21900,21500,6278453,20400
56,23/02/2024,21700,21000,21500,21200,10830509,20100
57,26/02/2024,21400,21000,21200,21400,5469479,20300
58,27/02/2024,22500,21300,21300,22300,23002798,21200
59,28/02/2024,22500,21800,22400,22000,7428209,20900
60,29/02/2024,22800,21900,22200,22200,15436421,21100
61,01/03/2024,22900,22200,22300,22600,18660388,21500
62,04/03/2024,23300,22500,22900,22600,16533403,21500
63,05/03/2024,22700,22200,22600,22500,11990493,21400
64,06/03/2024,22600,21700,22400,22000,16091020,20900
65,07/03/2024,22300,21700,21800,22300,10001219,21200
66,08/03/2024,22500,21700,22300,21700,10704761,20600
67,11/03/2024,21800,21100,21700,21300,7935150,20200
68,12/03/2024,21600,21200,21300,21300,6579942,20200
69,13/03/2024,21700,20100,20100,21700,9901411,20600
70,14/03/2024,22200,21600,21700,22000,13709078,20900
71,15/03/2024,22800,21800,22000,22100,17736529,21000
72,18/03/2024,23800,22000,22100,22900,35310322,21800
73,19/03/2024,23700,22400,23000,22700,12600075,21600
74,20/03/2024,22900,22400,22700,22600,12165699,21500
75,21/03/2024,23700,22600,22900,23400,32623065,22200
76,22/03/2024,24300,23400,23500,23600,24281470,22400
77,25/03/2024,24300,23200,23700,23400,20331389,22200
78,26/03/2024,23700,21100,21100,23600,11675113,22400
79,27/03/2024,23800,23200,23700,23600,13486089,22400
80,28/03/2024,24000,23300,23600,23400,10165909,22200
81,29/03/2024,23500,22900,23400,22900,11618713,21800
82,01/04/2024,23500,22700,22800,23100,11328411,21900
83,02/04/2024,23800,22100,22100,23700,18008355,22500
84,03/04/2024,24500,23600,23800,23700,25672746,22500
85,04/04/2024,23900,23100,23800,23400,16015868,22200
86,05/04/2024,23600,22900,23400,22900,18091771,21800
87,08/04/2024,23100,22500,22500,22600,10758579,21500
88,09/04/2024,22900,22400,22700,22900,5912136,21800
89,10/04/2024,23100,22500,22900,22500,6774444,21400
90,11/04/2024,22600,21800,21800,22300,9879686,21200
91,12/04/2024,22700,22100,22200,22500,6308644,21400
92,15/04/2024,22600,20300,22500,20300,20951640,19300
93,16/04/2024,20300,18700,20300,19800,19075261,18800
94,17/04/2024,20100,19000,19800,19000,8027177,18100
95,19/04/2024,19000,17100,17100,17700,14570926,16800
96,22/04/2024,18500,17600,17600,18300,8734589,17400
97,23/04/2024,18400,17200,18400,17400,7925660,16500
98,24/04/2024,19000,17500,17500,18700,11694057,17800
99,25/04/2024,18800,18100,18700,18300,4761267,17400
100,26/04/2024,18500,17900,18200,18100,6955607,17200
101,02/05/2024,18100,17700,18000,17900,4704068,17000
102,03/05/2024,18500,17900,18000,18200,5657420,17300
103,06/05/2024,18800,18300,18300,18800,8436429,17900
104,07/05/2024,18900,18400,18800,18500,4846402,17600
105,08/05/2024,18500,18100,18500,18500,8590725,17600
106,09/05/2024,18800,18300,18600,18300,5998780,17400
107,10/05/2024,18600,18200,18400,18400,5352768,17500
108,13/05/2024,18700,18300,18400,18500,4421489,17600
109,14/05/2024,18700,18400,18500,18400,3627845,17500
110,15/05/2024,19200,18400,18400,18900,11112722,18000
111,16/05/2024,19600,19100,19100,19200,8896445,18200
112,17/05/2024,19500,19000,19200,19300,6223687,18300
113,20/05/2024,19800,19200,19400,19200,7387088,18200
