,Date,High,Low,Open,Close,Volume,Adj Close
0,11/01/2023,3300,3300,3300,3300,1200,3300
1,12/01/2023,3500,3300,3300,3300,2700,3300
2,13/01/2023,3400,3300,3300,3300,2900,3300
3,16/01/2023,3300,3300,3300,3300,700,3300
4,17/01/2023,3500,3200,3500,3200,4200,3200
5,18/01/2023,3300,3200,3300,3200,700,3200
6,19/01/2023,3200,3200,3200,3200,-,3200
7,27/01/2023,3200,3200,3200,3200,-,3200
8,30/01/2023,3200,3200,3200,3200,-,3200
9,31/01/2023,3300,3200,3200,3300,800,3300
10,01/02/2023,3500,3200,3500,3200,4500,3200
11,02/02/2023,3400,3400,3400,3400,370,3400
12,03/02/2023,3500,3500,3500,3500,300,3500
13,06/02/2023,3500,3500,3500,3500,-,3500
14,07/02/2023,3500,3500,3500,3500,-,3500
15,08/02/2023,3500,3500,3500,3500,-,3500
16,09/02/2023,3400,3400,3400,3400,100,3400
17,10/02/2023,3300,3200,3300,3300,1400,3300
18,13/02/2023,3300,3200,3200,3200,2261,3200
19,14/02/2023,3200,3000,3200,3000,760,3000
20,15/02/2023,3300,3000,3000,3000,43200,3000
21,16/02/2023,3300,3300,3300,3300,30202,3300
22,17/02/2023,3600,3300,3600,3300,6900,3300
23,20/02/2023,3300,3300,3300,3300,8500,3300
24,21/02/2023,3400,3300,3400,3300,10400,3300
25,22/02/2023,3300,3300,3300,3300,13600,3300
26,23/02/2023,3400,3300,3400,3300,3300,3300
27,24/02/2023,3300,3300,3300,3300,1000,3300
28,27/02/2023,3300,3300,3300,3300,600,3300
29,28/02/2023,3400,3300,3300,3300,6900,3300
30,01/03/2023,3300,3300,3300,3300,500,3300
31,02/03/2023,3400,3100,3100,3400,3200,3400
32,03/03/2023,3400,3400,3400,3400,-,3400
33,06/03/2023,3400,3400,3400,3400,1000,3400
34,07/03/2023,3400,3400,3400,3400,100,3400
35,08/03/2023,3300,3300,3300,3300,800,3300
36,09/03/2023,3400,3300,3400,3300,3400,3300
37,10/03/2023,3300,3300,3300,3300,2566,3300
38,13/03/2023,3300,3300,3300,3300,-,3300
39,14/03/2023,3400,3300,3400,3400,4200,3400
40,15/03/2023,3600,3300,3300,3400,34400,3400
41,16/03/2023,3700,3400,3600,3700,18812,3700
42,17/03/2023,4000,3800,4000,4000,15900,4000
43,20/03/2023,4400,3800,3800,4100,8260,4100
44,21/03/2023,4500,3700,4500,4300,8712,4300
45,22/03/2023,4400,4200,4300,4400,4400,4400
46,23/03/2023,4500,4100,4500,4200,6345,4200
47,24/03/2023,4300,4000,4200,4300,2800,4300
48,27/03/2023,4400,4200,4200,4400,7600,4400
49,28/03/2023,4600,4200,4600,4200,810,4200
50,29/03/2023,4500,4500,4500,4500,100,4500
51,30/03/2023,4800,4300,4800,4600,6504,4600
52,31/03/2023,4600,4300,4300,4600,4800,4600
53,03/04/2023,4600,4300,4600,4300,6600,4300
54,04/04/2023,4000,4000,4000,4000,265,4000
55,05/04/2023,4300,3900,4000,4300,1700,4300
56,06/04/2023,4300,4300,4300,4300,700,4300
57,07/04/2023,4600,3900,4600,4600,18900,4600
58,10/04/2023,4400,4300,4400,4300,2634,4300
59,11/04/2023,4300,4300,4300,4300,3100,4300
60,12/04/2023,4400,4400,4400,4400,1000,4400
61,13/04/2023,4400,4000,4400,4300,3200,4300
62,14/04/2023,4300,4300,4300,4300,220,4300
63,17/04/2023,4300,4300,4300,4300,-,4300
64,18/04/2023,4300,4300,4300,4300,-,4300
65,19/04/2023,4300,4300,4300,4300,3600,4300
66,20/04/2023,4500,4500,4500,4500,800,4500
67,21/04/2023,4500,4200,4300,4500,1200,4500
68,24/04/2023,4500,4500,4500,4500,20,4500
69,25/04/2023,4500,4500,4500,4500,77,4500
70,26/04/2023,4100,4100,4100,4100,646,4100
71,27/04/2023,4300,4300,4300,4300,100,4300
72,28/04/2023,4300,4300,4300,4300,-,4300
73,04/05/2023,4300,4300,4300,4300,-,4300
74,05/05/2023,4100,4100,4100,4100,200,4100
75,08/05/2023,4200,4200,4200,4200,1000,4200
76,09/05/2023,4200,4200,4200,4200,-,4200
77,10/05/2023,4200,4000,4200,4000,300,4000
78,11/05/2023,4000,3900,4000,3900,1000,3900
79,12/05/2023,4200,4000,4000,4200,1750,4200
80,15/05/2023,4200,4100,4200,4100,200,4100
81,16/05/2023,4000,3800,3800,4000,3300,4000
82,17/05/2023,4100,4100,4100,4100,339,4100
83,18/05/2023,4000,4000,4000,4000,697100,4000
84,19/05/2023,4100,3700,3700,4100,903,4100
85,22/05/2023,4100,4100,4100,4100,2600,4100
86,23/05/2023,4100,4100,4100,4100,100,4100
87,24/05/2023,4100,4100,4100,4100,-,4100
88,25/05/2023,4100,4100,4100,4100,-,4100
89,26/05/2023,4100,3800,4100,4000,2120,4000
90,29/05/2023,4000,3600,3600,4000,3031,4000
91,30/05/2023,4100,4000,4000,4000,8324,4000
92,31/05/2023,4100,4000,4000,4100,2902,4100
93,01/06/2023,4500,4200,4200,4500,1330722,4500
94,02/06/2023,4900,4500,4500,4900,1048937,4900
95,05/06/2023,5300,5000,5200,5300,23902,5300
96,06/06/2023,5800,5400,5400,5800,40009,5800
97,07/06/2023,6300,6000,6300,6300,20905,6300
98,08/06/2023,6900,6900,6900,6900,38293,6900
99,09/06/2023,7500,7500,7500,7500,20000,7500
100,12/06/2023,8200,8200,8200,8200,94610,8200
101,13/06/2023,9000,8800,9000,9000,228901,9000
102,14/06/2023,9900,8400,9900,8600,140964,8600
103,15/06/2023,8700,7800,8300,7800,99220,7800
104,16/06/2023,8500,7600,7800,7900,57744,7900
105,19/06/2023,8400,7800,8000,8400,29501,8400
106,20/06/2023,8600,7700,8400,8300,66605,8300
107,21/06/2023,9100,8500,8500,9100,117442,9100
108,22/06/2023,10000,9400,10000,10000,333123,10000
109,23/06/2023,10900,10000,10000,10600,84195,10600
110,26/06/2023,10600,9600,10600,10300,77401,10300
111,27/06/2023,9800,9300,9800,9300,54120,9300
112,28/06/2023,9200,8400,8900,8600,1394249,8600
113,29/06/2023,9300,8100,8600,8600,38900,8600
114,30/06/2023,9100,8600,9100,8600,13200,8600
115,03/07/2023,9100,8400,9000,8500,15400,8500
116,04/07/2023,8600,8200,8500,8200,22900,8200
117,05/07/2023,9000,8400,8400,8700,13456,8700
118,06/07/2023,9000,8300,8700,8400,37411,8400
119,07/07/2023,8600,7700,8600,8200,14500,8200
120,10/07/2023,8100,7400,8100,7600,21390,7600
121,11/07/2023,8300,7900,7900,8300,37411,8300
122,12/07/2023,8400,7800,8400,7800,49425,7800
123,13/07/2023,8200,7800,7800,8100,31700,8100
124,14/07/2023,8200,8000,8200,8200,14012,8200
125,17/07/2023,8300,8000,8300,8300,13394,8300
126,18/07/2023,8300,8000,8300,8200,15500,8200
127,19/07/2023,8500,8000,8100,8200,29824,8200
128,20/07/2023,8300,8000,8000,8100,30210,8100
129,21/07/2023,8900,8200,8300,8700,70373,8700
130,24/07/2023,8700,8200,8700,8200,45700,8200
131,25/07/2023,8800,8200,8200,8200,53133,8200
132,26/07/2023,8400,8200,8300,8400,7104,8400
133,27/07/2023,8400,8000,8100,8400,20100,8400
134,28/07/2023,8400,8000,8100,8400,17502,8400
135,31/07/2023,8500,8200,8500,8400,13209,8400
136,01/08/2023,8300,8000,8300,8000,20800,8000
137,02/08/2023,8400,8100,8400,8300,30600,8300
138,03/08/2023,8600,8300,8600,8300,56802,8300
139,04/08/2023,8500,8000,8200,8300,27000,8300
140,07/08/2023,8300,8200,8300,8300,14700,8300
141,08/08/2023,8500,8100,8300,8400,33153,8400
142,09/08/2023,8500,8100,8500,8300,37000,8300
143,10/08/2023,8300,8000,8300,8000,22500,8000
144,11/08/2023,8100,8000,8100,8000,11241,8000
145,14/08/2023,8100,8100,8100,8100,4500,8100
146,15/08/2023,8300,8000,8100,8100,7000,8100
147,16/08/2023,8200,8000,8000,8100,8600,8100
148,17/08/2023,8100,8000,8100,8000,6338,8000
149,18/08/2023,8000,7400,7900,7400,3800,7400
150,21/08/2023,8000,7400,7400,7700,15427,7700
151,22/08/2023,7700,7400,7500,7700,5300,7700
152,23/08/2023,7600,7000,7500,7500,11100,7500
153,24/08/2023,7500,7500,7500,7500,-,7500
154,25/08/2023,7500,7200,7200,7500,11300,7500
155,28/08/2023,7500,7400,7400,7500,9501,7500
156,29/08/2023,7500,7500,7500,7500,3400,7500
157,30/08/2023,8200,7500,7500,8200,41829,8200
158,31/08/2023,9000,9000,9000,9000,51149,9000
159,05/09/2023,9900,9000,9900,9900,36821,9900
160,06/09/2023,10800,9000,10800,9700,180232,9700
161,07/09/2023,9600,9200,9300,9600,32024,9600
162,08/09/2023,9600,8800,9600,9100,31402,9100
163,11/09/2023,9100,8300,8500,9000,50634,9000
164,12/09/2023,9200,8300,8400,9200,41001,9200
165,13/09/2023,9300,8500,8700,8500,13000,8500
166,14/09/2023,8500,7900,8500,8100,17100,8100
167,15/09/2023,8900,7800,7800,8800,26900,8800
168,18/09/2023,9500,8200,9500,8600,7110,8600
169,19/09/2023,8800,8300,8800,8800,3500,8800
170,20/09/2023,8700,8300,8300,8700,1000,8700
171,21/09/2023,8600,8600,8600,8600,1200,8600
172,22/09/2023,8500,8100,8100,8400,2000,8400
173,25/09/2023,9200,7800,7900,9000,159045,9000
174,26/09/2023,9100,9000,9100,9000,600,9000
175,27/09/2023,8700,8100,8300,8700,22649,8700
176,28/09/2023,8400,7900,8000,8400,6500,8400
177,29/09/2023,8300,7700,8200,7700,6400,7700
178,02/10/2023,8400,7700,7700,8400,20301,8400
179,03/10/2023,8400,8400,8400,8400,-,8400
180,04/10/2023,8300,7800,7800,8200,800,8200
181,05/10/2023,8100,7400,7800,7400,12600,7400
182,06/10/2023,8100,7400,7400,7800,13600,7800
183,09/10/2023,8100,7700,7800,8100,10200,8100
184,10/10/2023,8900,8000,8100,8900,46000,8900
185,11/10/2023,8900,8900,8900,8900,860,8900
186,12/10/2023,8900,8100,8800,8100,36000,8100
187,13/10/2023,8800,8800,8800,8800,100,8800
188,16/10/2023,8200,8000,8200,8000,944,8000
189,17/10/2023,8200,8100,8200,8100,10200,8100
190,18/10/2023,8100,8100,8100,8100,9500,8100
191,19/10/2023,7600,7400,7600,7600,12600,7600
192,20/10/2023,7900,7800,7900,7800,300,7800
193,23/10/2023,8500,7800,8500,7800,200,7800
194,24/10/2023,7800,7800,7800,7800,3701,7800
195,25/10/2023,7900,7800,7900,7800,2400,7800
196,26/10/2023,7400,7100,7400,7100,76800,7100
197,27/10/2023,7400,7400,7400,7400,2000,7400
198,30/10/2023,7400,7400,7400,7400,800,7400
199,31/10/2023,7500,7400,7400,7500,900,7500
200,01/11/2023,7500,7500,7500,7500,-,7500
201,02/11/2023,7900,7500,7500,7700,7705,7700
202,03/11/2023,7800,7700,7800,7700,4600,7700
203,06/11/2023,7700,7700,7700,7700,2000,7700
