,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2022,11500,11100,11300,11200,22905,11200
1,23/06/2022,11700,11500,11500,11700,700,11700
2,24/06/2022,11700,11500,11700,11700,24200,11700
3,27/06/2022,12600,11200,11200,12600,12200,12600
4,28/06/2022,12500,12500,12500,12500,3206,12500
5,29/06/2022,12500,12000,12200,12500,4400,12500
6,30/06/2022,12200,12000,12000,12200,1500,12200
7,01/07/2022,11800,11400,11500,11800,5701,11800
8,04/07/2022,12200,11500,11700,12200,26400,12200
9,05/07/2022,12500,11800,11900,12500,13100,12500
10,06/07/2022,12200,12000,12200,12000,19800,12000
11,07/07/2022,12000,11500,11500,12000,300,12000
12,08/07/2022,12400,12000,12000,12000,7300,12000
13,11/07/2022,12000,11800,11900,11900,5807,11900
14,12/07/2022,12000,11700,11900,12000,7860,12000
15,13/07/2022,12100,11600,12000,12000,3200,12000
16,14/07/2022,12000,11600,11600,12000,5320,12000
17,15/07/2022,12000,11800,12000,12000,2600,12000
18,18/07/2022,13200,12000,12000,12400,1600,12400
19,19/07/2022,12500,12000,12500,12300,4300,12300
20,20/07/2022,13300,12300,12500,13100,8309,13100
21,21/07/2022,14000,13100,13100,13500,3300,13500
22,22/07/2022,13900,12900,13500,12900,5471,12900
23,25/07/2022,13300,12900,13000,13300,3116,13300
24,26/07/2022,13500,12700,13500,13200,800,13200
25,27/07/2022,13400,13000,13200,13100,9030,13100
26,28/07/2022,14300,13000,14300,13500,11406,13500
27,29/07/2022,13500,12800,13500,13400,6200,13400
28,01/08/2022,13000,12600,13000,12900,30400,12900
29,02/08/2022,13000,11700,12900,12800,10000,12800
30,03/08/2022,12800,12400,12800,12800,19800,12800
31,04/08/2022,13000,12800,12800,13000,11500,13000
32,05/08/2022,14200,12800,12900,13400,17491,13400
33,08/08/2022,13400,12200,12300,13300,3800,13300
34,09/08/2022,13400,12800,12800,13400,11000,13400
35,10/08/2022,13300,12800,13300,12800,8608,12800
36,11/08/2022,13200,12700,12700,12800,6300,12800
37,12/08/2022,13100,13100,13100,13100,340,13100
38,15/08/2022,13300,12800,12900,13100,4600,13100
39,16/08/2022,13000,12800,12800,12900,2900,12900
40,17/08/2022,12900,12700,12900,12700,500,12700
41,18/08/2022,12800,12600,12700,12700,1600,12700
42,19/08/2022,12900,12700,12900,12700,1200,12700
43,22/08/2022,12700,12400,12700,12700,4200,12700
44,23/08/2022,12600,12600,12600,12600,8766,12600
45,24/08/2022,12600,12500,12600,12500,3600,12500
46,25/08/2022,12900,12100,12500,12600,18930,12600
47,26/08/2022,13000,12500,12500,13000,24270,13000
48,29/08/2022,13000,12000,13000,12700,11600,12700
49,30/08/2022,12800,12000,12700,12700,2500,12700
50,31/08/2022,12500,12500,12500,12500,650,12500
51,05/09/2022,12900,12400,12900,12500,1200,12500
52,06/09/2022,12500,12000,12500,12400,4900,12400
53,07/09/2022,12400,11300,12200,12200,6800,12200
54,08/09/2022,12300,12000,12200,12300,2023,12300
55,09/09/2022,12200,12000,12100,12200,13300,12200
56,12/09/2022,12100,12100,12100,12100,24357,12100
57,13/09/2022,12100,12100,12100,12100,262,12100
58,14/09/2022,12800,11300,11300,12100,6018,12100
59,15/09/2022,12100,11700,12100,12100,4924,12100
60,16/09/2022,12000,11600,11700,12000,5384,12000
61,19/09/2022,12100,11600,12000,12100,4200,12100
62,20/09/2022,12000,11600,11600,12000,520,12000
63,21/09/2022,12000,12000,12000,12000,42,12000
64,22/09/2022,13000,13000,13000,13000,300,13000
65,23/09/2022,12400,11800,11800,12400,10295,12400
66,26/09/2022,12000,11500,11700,12000,1300,12000
67,27/09/2022,11800,11300,11700,11500,23400,11500
68,28/09/2022,11500,11100,11500,11200,1601,11200
69,29/09/2022,11300,11000,11000,11300,5600,11300
70,30/09/2022,11300,11000,11000,11300,23400,11300
71,03/10/2022,11300,10700,11300,10700,2417,10700
72,04/10/2022,10700,10000,10700,10200,50200,10200
73,05/10/2022,10400,10000,10200,10300,12205,10300
74,06/10/2022,11200,10100,10800,10100,8700,10100
75,07/10/2022,10500,9100,10000,10300,22500,10300
76,10/10/2022,10700,9400,9400,10600,11706,10600
77,11/10/2022,10600,9700,10100,9700,8000,9700
78,12/10/2022,10500,9800,10100,10200,9300,10200
79,13/10/2022,10400,9800,9800,10000,12100,10000
80,14/10/2022,10500,9800,9800,10300,5800,10300
81,17/10/2022,10200,10100,10200,10200,901,10200
82,18/10/2022,10500,9900,10500,10300,14200,10300
83,19/10/2022,10400,9800,10400,10100,17155,10100
84,20/10/2022,10100,9800,9800,10100,2200,10100
85,21/10/2022,10400,9100,10400,10000,8600,10000
86,24/10/2022,10100,9200,10000,9200,49511,9200
87,25/10/2022,9500,8600,8600,9500,20100,9500
88,26/10/2022,9500,8800,9000,9500,11600,9500
89,27/10/2022,10000,9400,9500,10000,7900,10000
90,28/10/2022,10000,9700,10000,9700,10100,9700
91,31/10/2022,9700,9700,9700,9700,50,9700
92,01/11/2022,9700,9500,9500,9700,1241,9700
93,02/11/2022,9700,9700,9700,9700,2050,9700
94,03/11/2022,9600,9100,9100,9600,1955,9600
95,04/11/2022,9600,9000,9100,9600,6000,9600
96,07/11/2022,9500,9100,9500,9100,1507,9100
97,08/11/2022,9600,9000,9000,9600,11600,9600
98,09/11/2022,9500,9000,9500,9500,6757,9500
99,10/11/2022,9000,8600,9000,9000,6400,9000
100,11/11/2022,9500,9000,9100,9500,17700,9500
101,14/11/2022,9900,9100,9900,9100,24867,9100
102,15/11/2022,9500,8900,9000,9100,47103,9100
103,16/11/2022,9300,8700,9000,9200,54505,9200
104,17/11/2022,9500,9100,9500,9200,7200,9200
105,18/11/2022,9500,9200,9500,9500,13013,9500
106,21/11/2022,9900,9200,9800,9600,27000,9600
107,22/11/2022,9800,9500,9600,9700,7303,9700
108,23/11/2022,9700,9300,9300,9700,1000,9700
109,24/11/2022,9700,9300,9400,9700,3100,9700
110,25/11/2022,9800,9400,9400,9700,11155,9700
111,28/11/2022,9700,9500,9600,9700,2700,9700
112,29/11/2022,9800,9400,9500,9700,13500,9700
113,30/11/2022,10100,10000,10100,10000,3600,10000
114,01/12/2022,10000,9700,9700,10000,5200,10000
115,02/12/2022,10000,9500,9500,10000,3131,10000
116,05/12/2022,10000,9500,10000,10000,33300,10000
117,06/12/2022,9900,9700,9700,9900,19301,9900
118,07/12/2022,9900,9800,9900,9800,279,9800
119,08/12/2022,9900,9900,9900,9900,1100,9900
120,09/12/2022,10700,9900,9900,10500,10638,10500
121,12/12/2022,10800,10400,10500,10800,35400,10800
122,13/12/2022,11000,10000,11000,10500,8200,10500
123,14/12/2022,10500,10000,10100,10500,1437,10500
124,15/12/2022,10600,10000,10000,10500,3130,10500
125,16/12/2022,10400,10100,10100,10400,3400,10400
126,19/12/2022,10500,10100,10100,10500,700,10500
127,20/12/2022,10100,9900,10100,10000,11600,10000
128,21/12/2022,10000,9400,9800,10000,10400,10000
129,22/12/2022,10400,10200,10200,10300,2643,10300
130,23/12/2022,10300,10300,10300,10300,2700,10300
131,26/12/2022,10300,9600,9900,10300,1800,10300
132,27/12/2022,10200,9600,9600,10200,600,10200
133,28/12/2022,10200,10200,10200,10200,2208,10200
134,29/12/2022,10200,9900,9900,10200,200,10200
135,30/12/2022,10200,10000,10000,10200,2900,10200
136,03/01/2023,10400,10000,10000,10400,3900,10400
137,04/01/2023,10400,10100,10200,10400,3908,10400
138,05/01/2023,10400,10200,10400,10400,4242,10400
139,06/01/2023,10500,10400,10400,10400,31210,10400
140,09/01/2023,10500,10100,10400,10100,12000,10100
141,10/01/2023,10500,10400,10400,10400,900,10400
142,11/01/2023,10400,10300,10300,10400,4400,10400
143,12/01/2023,10400,10300,10400,10300,1400,10300
144,13/01/2023,10300,10300,10300,10300,18000,10300
145,16/01/2023,10500,10300,10500,10300,6500,10300
146,17/01/2023,10500,10300,10300,10500,7600,10500
147,18/01/2023,10700,10300,10300,10700,4500,10700
148,19/01/2023,10700,10500,10700,10500,900,10500
149,27/01/2023,11000,10500,10500,10800,8900,10800
150,30/01/2023,11000,10600,11000,10800,11101,10800
151,31/01/2023,11800,11000,11000,11800,69784,11800
152,01/02/2023,12800,12000,12400,12500,45291,12500
153,02/02/2023,12800,12000,12700,12300,58300,12300
154,03/02/2023,12300,12100,12100,12200,10100,12200
155,06/02/2023,12400,12200,12200,12200,6300,12200
156,07/02/2023,12100,12000,12100,12000,18900,12000
157,08/02/2023,11900,11500,11900,11900,600,11900
158,09/02/2023,12300,11700,11700,12200,20001,12200
159,10/02/2023,12300,12000,12200,12000,9100,12000
160,13/02/2023,11700,11600,11600,11600,16900,11600
161,14/02/2023,11600,11600,11600,11600,800,11600
162,15/02/2023,11900,11600,11900,11600,247,11600
163,16/02/2023,11900,11900,11900,11900,100,11900
164,17/02/2023,11700,11100,11400,11700,3700,11700
165,20/02/2023,12000,11700,11800,12000,2600,12000
166,21/02/2023,12200,12000,12100,12200,6100,12200
167,22/02/2023,12400,12200,12200,12400,2810,12400
168,23/02/2023,12300,11700,12100,11700,4601,11700
