,Date,High,Low,Open,Close,Volume,Adj Close
0,19/01/2023,30000,30000,30000,30000,-,30000
1,27/01/2023,30000,30000,30000,30000,1,30000
2,30/01/2023,30000,30000,30000,30000,-,30000
3,31/01/2023,30000,30000,30000,30000,-,30000
4,01/02/2023,30000,30000,30000,30000,-,30000
5,02/02/2023,30000,30000,30000,30000,-,30000
6,03/02/2023,30000,30000,30000,30000,-,30000
7,06/02/2023,30000,30000,30000,30000,-,30000
8,07/02/2023,30000,30000,30000,30000,-,30000
9,08/02/2023,30000,30000,30000,30000,-,30000
10,09/02/2023,30000,30000,30000,30000,-,30000
11,10/02/2023,30000,30000,30000,30000,-,30000
12,13/02/2023,30000,30000,30000,30000,-,30000
13,14/02/2023,30000,30000,30000,30000,-,30000
14,15/02/2023,30000,30000,30000,30000,-,30000
15,16/02/2023,30000,30000,30000,30000,-,30000
16,17/02/2023,30000,30000,30000,30000,-,30000
17,20/02/2023,30000,30000,30000,30000,-,30000
18,21/02/2023,30000,30000,30000,30000,-,30000
19,22/02/2023,30000,30000,30000,30000,-,30000
20,23/02/2023,30000,30000,30000,30000,-,30000
21,24/02/2023,30000,30000,30000,30000,-,30000
22,27/02/2023,30000,30000,30000,30000,-,30000
23,28/02/2023,30000,30000,30000,30000,-,30000
24,01/03/2023,30000,30000,30000,30000,-,30000
25,02/03/2023,30000,30000,30000,30000,-,30000
26,03/03/2023,30000,30000,30000,30000,-,30000
27,06/03/2023,30000,30000,30000,30000,-,30000
28,07/03/2023,30000,30000,30000,30000,-,30000
29,08/03/2023,30000,30000,30000,30000,-,30000
30,09/03/2023,30000,30000,30000,30000,-,30000
31,10/03/2023,30000,30000,30000,30000,-,30000
32,13/03/2023,30000,30000,30000,30000,-,30000
33,14/03/2023,30000,30000,30000,30000,-,30000
34,15/03/2023,30000,30000,30000,30000,-,30000
35,16/03/2023,30000,30000,30000,30000,-,30000
36,17/03/2023,30000,30000,30000,30000,-,30000
37,20/03/2023,30000,30000,30000,30000,-,30000
38,21/03/2023,30000,30000,30000,30000,-,30000
39,22/03/2023,30000,30000,30000,30000,-,30000
40,23/03/2023,30000,30000,30000,30000,-,30000
41,24/03/2023,30000,30000,30000,30000,-,30000
