,Date,High,Low,Open,Close,Volume,Adj Close
0,14/02/2022,21200,21200,21200,21200,-,20100
1,15/02/2022,21200,19300,21200,19300,1600,18300
2,16/02/2022,21200,21200,21200,21200,6500,20100
3,17/02/2022,21200,21200,21200,21200,-,20100
4,18/02/2022,21200,21200,21200,21200,-,20100
5,21/02/2022,21200,19500,19500,21200,8000,20100
6,22/02/2022,19200,19200,19200,19200,15700,18200
7,23/02/2022,19200,19200,19200,19200,1000,18200
8,24/02/2022,19200,19200,19200,19200,5000,18200
9,25/02/2022,19200,19200,19200,19200,5000,18200
10,28/02/2022,19200,19200,19200,19200,-,18200
11,01/03/2022,19200,19200,19200,19200,-,18200
12,02/03/2022,19300,19300,19300,19300,2000,18300
13,03/03/2022,21200,21000,21000,21200,12600,20100
14,04/03/2022,19300,19300,19300,19300,100,18300
15,07/03/2022,21200,19400,21200,19400,10200,18400
16,08/03/2022,19400,19400,19400,19400,-,18400
17,09/03/2022,19400,19400,19400,19400,-,18400
18,10/03/2022,21300,21300,21300,21300,4000,20200
19,11/03/2022,21300,21300,21300,21300,-,20200
20,14/03/2022,19600,19600,19600,19600,100,18600
21,15/03/2022,21500,19700,19700,20100,14000,19100
22,16/03/2022,20100,20100,20100,20100,-,19100
23,17/03/2022,20100,20100,20100,20100,-,19100
24,18/03/2022,20100,20100,20100,20100,-,19100
25,21/03/2022,22100,20600,22100,20600,6200,19500
26,22/03/2022,22600,22600,22600,22600,2000,21400
27,23/03/2022,24800,21100,24800,24800,5200,23500
28,24/03/2022,22400,22400,22400,22400,100,21200
29,25/03/2022,20200,20200,20200,20200,100,19100
30,28/03/2022,22200,22200,22200,22200,29400,21000
31,29/03/2022,22200,22200,22200,22200,-,21000
32,30/03/2022,24400,22200,23000,24400,2100,23100
33,31/03/2022,22100,22100,22100,22100,100,20900
34,01/04/2022,23000,22000,23000,22000,1100,20900
35,04/04/2022,20300,20300,20300,20300,103,19200
36,05/04/2022,22300,20400,22300,22300,8400,21100
37,06/04/2022,22300,22300,22300,22300,-,21100
38,07/04/2022,22300,22300,22300,22300,1000,21100
39,08/04/2022,22300,22300,22300,22300,-,21100
40,12/04/2022,22800,22300,22300,22800,2806,21600
41,13/04/2022,23100,23100,23100,23100,3400,21900
42,14/04/2022,23100,23100,23100,23100,-,21900
43,15/04/2022,23100,23100,23100,23100,-,21900
44,18/04/2022,23000,23000,23000,23000,2000,21800
45,19/04/2022,23100,23100,23100,23100,2100,21900
46,20/04/2022,23100,23100,23100,23100,-,21900
47,21/04/2022,23100,23100,23100,23100,-,21900
48,22/04/2022,23100,23100,23100,23100,-,21900
49,25/04/2022,23100,23100,23100,23100,-,21900
50,26/04/2022,23100,23100,23100,23100,-,21900
51,27/04/2022,23100,23100,23100,23100,-,21900
52,28/04/2022,23100,23100,23100,23100,-,21900
53,29/04/2022,23100,23100,23100,23100,-,21900
54,04/05/2022,23100,23100,23100,23100,-,21900
55,05/05/2022,21000,20800,20800,21000,6000,19900
56,06/05/2022,21100,21100,21100,21100,2531,20000
57,09/05/2022,21100,21100,21100,21100,-,20000
58,10/05/2022,21100,21100,21100,21100,-,20000
59,11/05/2022,21100,21100,21100,21100,-,20000
60,12/05/2022,21100,21100,21100,21100,-,20000
61,13/05/2022,21100,21100,21100,21100,-,20000
62,16/05/2022,21100,21100,21100,21100,-,20000
63,17/05/2022,21100,21100,21100,21100,-,20000
64,18/05/2022,21100,21100,21100,21100,-,20000
65,19/05/2022,21100,21100,21100,21100,-,20000
66,20/05/2022,21100,21100,21100,21100,-,20000
67,23/05/2022,21100,21100,21100,21100,-,20000
68,24/05/2022,21100,21100,21100,21100,-,20000
69,25/05/2022,21100,21100,21100,21100,-,20000
70,26/05/2022,21100,21100,21100,21100,-,20000
71,27/05/2022,21100,21100,21100,21100,-,20000
72,30/05/2022,21100,21100,21100,21100,-,20000
73,31/05/2022,21100,21100,21100,21100,-,20000
74,01/06/2022,21100,21100,21100,21100,-,20000
75,02/06/2022,21100,21100,21100,21100,-,20000
76,03/06/2022,21100,21100,21100,21100,-,20000
77,06/06/2022,21100,21100,21100,21100,-,20000
78,07/06/2022,21100,21100,21100,21100,-,20000
79,08/06/2022,21100,21100,21100,21100,-,20000
80,09/06/2022,21100,21100,21100,21100,-,20000
81,10/06/2022,21100,21100,21100,21100,-,20000
82,13/06/2022,21100,21100,21100,21100,-,20000
83,14/06/2022,21100,21100,21100,21100,13,20000
84,15/06/2022,21100,21100,21100,21100,-,20000
85,16/06/2022,21100,21100,21100,21100,-,20000
86,17/06/2022,20000,20000,20000,20000,-,20000
87,20/06/2022,20000,20000,20000,20000,-,20000
88,21/06/2022,20000,20000,20000,20000,-,20000
89,22/06/2022,20000,20000,20000,20000,-,20000
90,23/06/2022,20000,20000,20000,20000,-,20000
91,24/06/2022,20000,20000,20000,20000,-,20000
92,27/06/2022,20000,20000,20000,20000,-,20000
93,28/06/2022,20000,20000,20000,20000,-,20000
94,29/06/2022,20000,20000,20000,20000,-,20000
95,30/06/2022,20000,20000,20000,20000,-,20000
96,01/07/2022,21000,21000,21000,21000,500,21000
97,04/07/2022,23000,23000,23000,23000,100,23000
98,05/07/2022,25000,23000,23000,25000,1100,25000
99,06/07/2022,25000,25000,25000,25000,-,25000
100,07/07/2022,25000,25000,25000,25000,-,25000
101,08/07/2022,25000,25000,25000,25000,-,25000
102,11/07/2022,25000,25000,25000,25000,-,25000
103,12/07/2022,25000,25000,25000,25000,-,25000
104,13/07/2022,25000,25000,25000,25000,-,25000
105,14/07/2022,25000,25000,25000,25000,-,25000
106,15/07/2022,25000,25000,25000,25000,-,25000
107,18/07/2022,25000,25000,25000,25000,-,25000
108,19/07/2022,25000,25000,25000,25000,-,25000
109,20/07/2022,25000,25000,25000,25000,-,25000
110,21/07/2022,25000,25000,25000,25000,-,25000
111,22/07/2022,25000,25000,25000,25000,-,25000
112,25/07/2022,25000,25000,25000,25000,-,25000
113,26/07/2022,24400,22500,22500,24400,3100,24400
114,27/07/2022,24400,24400,24400,24400,-,24400
115,28/07/2022,24400,24400,24400,24400,-,24400
116,29/07/2022,22000,22000,22000,22000,4000,22000
117,01/08/2022,23900,23900,23900,23900,100,23900
118,02/08/2022,24900,24900,24900,24900,100,24900
119,03/08/2022,26400,22500,22500,26400,200,26400
120,04/08/2022,26400,26400,26400,26400,-,26400
121,05/08/2022,26400,26400,26400,26400,-,26400
122,08/08/2022,26400,26400,26400,26400,-,26400
123,09/08/2022,26400,26400,26400,26400,-,26400
124,10/08/2022,23800,23800,23800,23800,100,23800
125,11/08/2022,21500,21500,21500,21500,3342,21500
126,12/08/2022,21500,21500,21500,21500,-,21500
127,15/08/2022,21500,21500,21500,21500,-,21500
128,16/08/2022,22000,22000,22000,22000,33500,22000
129,17/08/2022,22000,22000,22000,22000,-,22000
130,18/08/2022,22000,22000,22000,22000,-,22000
131,19/08/2022,21000,21000,21000,21000,300,21000
132,22/08/2022,21000,21000,21000,21000,-,21000
133,23/08/2022,22000,22000,22000,22000,3000,22000
134,24/08/2022,21000,21000,21000,21000,100,21000
135,25/08/2022,21000,21000,21000,21000,-,21000
136,26/08/2022,20000,20000,20000,20000,1000,20000
137,29/08/2022,19100,19000,19100,19000,2600,19000
138,30/08/2022,19000,19000,19000,19000,1000,19000
139,31/08/2022,20700,20700,20700,20700,100,20700
140,05/09/2022,20700,20700,20700,20700,1500,20700
141,06/09/2022,20700,20700,20700,20700,-,20700
142,07/09/2022,20600,19500,19500,20600,1100,20600
143,08/09/2022,20600,20600,20600,20600,-,20600
144,09/09/2022,20600,20600,20600,20600,300,20600
145,12/09/2022,20600,20600,20600,20600,-,20600
146,13/09/2022,20600,20600,20600,20600,-,20600
147,14/09/2022,20600,20600,20600,20600,-,20600
148,15/09/2022,20600,20600,20600,20600,-,20600
149,16/09/2022,18700,18600,18700,18600,2300,18600
150,19/09/2022,18600,18600,18600,18600,-,18600
151,20/09/2022,18600,18600,18600,18600,-,18600
152,21/09/2022,18600,18600,18600,18600,-,18600
153,22/09/2022,18600,18600,18600,18600,-,18600
154,23/09/2022,18600,18600,18600,18600,-,18600
155,26/09/2022,18600,18600,18600,18600,-,18600
156,27/09/2022,18600,18600,18600,18600,-,18600
157,28/09/2022,18600,18600,18600,18600,-,18600
158,29/09/2022,18600,18600,18600,18600,-,18600
159,30/09/2022,18600,18600,18600,18600,-,18600
160,03/10/2022,18600,18600,18600,18600,1,18600
161,04/10/2022,18600,18600,18600,18600,-,18600
162,05/10/2022,18600,18600,18600,18600,-,18600
163,06/10/2022,18600,18600,18600,18600,-,18600
164,07/10/2022,18600,18600,18600,18600,-,18600
165,10/10/2022,18600,18600,18600,18600,-,18600
166,11/10/2022,18600,18600,18600,18600,-,18600
167,12/10/2022,18600,18600,18600,18600,-,18600
168,13/10/2022,18600,18600,18600,18600,-,18600
169,14/10/2022,18600,18600,18600,18600,-,18600
170,17/10/2022,18600,18600,18600,18600,-,18600
171,18/10/2022,20000,16800,16800,20000,1300,20000
172,19/10/2022,20000,20000,20000,20000,-,20000
173,20/10/2022,20000,20000,20000,20000,-,20000
174,21/10/2022,20000,20000,20000,20000,-,20000
175,24/10/2022,20000,20000,20000,20000,-,20000
176,25/10/2022,20000,20000,20000,20000,-,20000
177,26/10/2022,20000,20000,20000,20000,-,20000
178,27/10/2022,20000,20000,20000,20000,-,20000
179,28/10/2022,20000,20000,20000,20000,-,20000
180,31/10/2022,20000,20000,20000,20000,-,20000
181,01/11/2022,20000,20000,20000,20000,-,20000
182,02/11/2022,20000,20000,20000,20000,-,20000
183,03/11/2022,20000,20000,20000,20000,-,20000
184,04/11/2022,20000,20000,20000,20000,-,20000
185,07/11/2022,20000,20000,20000,20000,-,20000
186,08/11/2022,20000,20000,20000,20000,-,20000
187,09/11/2022,20000,20000,20000,20000,-,20000
188,10/11/2022,20000,20000,20000,20000,-,20000
189,11/11/2022,20000,20000,20000,20000,-,20000
190,14/11/2022,20000,20000,20000,20000,-,20000
191,15/11/2022,20000,20000,20000,20000,-,20000
192,16/11/2022,20000,20000,20000,20000,-,20000
193,17/11/2022,20000,20000,20000,20000,-,20000
194,18/11/2022,20000,20000,20000,20000,-,20000
195,21/11/2022,21500,21500,21500,21500,1000,21500
196,22/11/2022,21500,21500,21500,21500,-,21500
197,23/11/2022,21500,21500,21500,21500,-,21500
198,24/11/2022,21500,21500,21500,21500,1,21500
199,25/11/2022,21500,21500,21500,21500,-,21500
200,28/11/2022,21500,21500,21500,21500,-,21500
201,29/11/2022,21500,21500,21500,21500,1,21500
202,30/11/2022,21500,21500,21500,21500,-,21500
203,01/12/2022,21500,21500,21500,21500,-,21500
204,02/12/2022,21500,21500,21500,21500,-,21500
205,05/12/2022,21500,21500,21500,21500,-,21500
206,06/12/2022,21500,21500,21500,21500,-,21500
207,07/12/2022,21500,21500,21500,21500,-,21500
208,08/12/2022,21500,21500,21500,21500,-,21500
209,09/12/2022,21500,21500,21500,21500,-,21500
210,12/12/2022,21500,21500,21500,21500,-,21500
211,13/12/2022,21500,21500,21500,21500,-,21500
212,14/12/2022,21500,21500,21500,21500,-,21500
213,15/12/2022,21500,21500,21500,21500,-,21500
214,16/12/2022,21500,21500,21500,21500,-,21500
215,19/12/2022,21500,21500,21500,21500,-,21500
216,20/12/2022,19400,19400,19400,19400,100,19400
217,21/12/2022,19400,19400,19400,19400,-,19400
218,22/12/2022,19400,19400,19400,19400,-,19400
219,23/12/2022,19400,19400,19400,19400,-,19400
220,26/12/2022,19400,19400,19400,19400,-,19400
221,27/12/2022,19400,19400,19400,19400,-,19400
222,28/12/2022,19400,19400,19400,19400,-,19400
223,29/12/2022,19400,19400,19400,19400,-,19400
224,30/12/2022,19400,19400,19400,19400,-,19400
225,03/01/2023,19400,19400,19400,19400,-,19400
226,04/01/2023,19400,19400,19400,19400,-,19400
227,05/01/2023,19400,19400,19400,19400,-,19400
228,06/01/2023,19400,19400,19400,19400,-,19400
229,09/01/2023,19400,19400,19400,19400,-,19400
230,10/01/2023,19400,19400,19400,19400,-,19400
231,11/01/2023,19400,19400,19400,19400,-,19400
232,12/01/2023,19400,19400,19400,19400,-,19400
233,13/01/2023,19400,19400,19400,19400,-,19400
234,16/01/2023,19400,19400,19400,19400,-,19400
235,17/01/2023,19400,19400,19400,19400,-,19400
236,18/01/2023,19400,19400,19400,19400,-,19400
237,19/01/2023,17500,17500,17500,17500,300,17500
238,27/01/2023,17500,15800,17500,15800,700,15800
239,30/01/2023,15800,15400,15800,15400,3100,15400
240,31/01/2023,16800,15000,15000,16800,400,16800
241,01/02/2023,15200,15200,15200,15200,7500,15200
242,02/02/2023,15200,15200,15200,15200,-,15200
243,03/02/2023,16700,15000,16700,15000,200,15000
244,06/02/2023,15000,15000,15000,15000,3000,15000
245,07/02/2023,15500,14900,15500,14900,213,14900
246,08/02/2023,14900,14900,14900,14900,-,14900
247,09/02/2023,14900,14900,14900,14900,212000,14900
248,10/02/2023,14900,14900,14900,14900,-,14900
249,13/02/2023,14900,14900,14900,14900,1000,14900
