,Date,High,Low,Open,Close,Volume,Adj Close
0,13/11/2023,24700,24700,24700,24700,-,22100
1,14/11/2023,24800,24700,24800,24700,85520,22100
2,15/11/2023,24800,24500,24500,24700,4100,22100
3,16/11/2023,24800,24700,24800,24700,1000,22100
4,17/11/2023,24800,24400,24500,24800,87100,22200
5,20/11/2023,24800,24700,24700,24800,1120,22200
6,21/11/2023,24300,24300,24300,24300,300,21800
7,22/11/2023,24400,24300,24300,24300,88300,21800
8,23/11/2023,24800,24200,24300,24800,900,22200
9,24/11/2023,24600,23600,23600,24600,10373,22000
10,27/11/2023,24500,24200,24500,24200,900,21700
11,28/11/2023,24200,24200,24200,24200,1200,21700
12,29/11/2023,24200,24200,24200,24200,-,21700
13,30/11/2023,24500,23900,24100,24500,1400,22000
14,01/12/2023,24500,24200,24300,24500,3602,22000
15,04/12/2023,24600,24500,24500,24600,1200,22000
16,05/12/2023,24900,24700,24800,24800,1736,22200
17,06/12/2023,25100,24900,24900,25100,2300,22500
18,07/12/2023,25100,25100,25100,25100,1600,22500
19,08/12/2023,25400,24800,25100,25400,2209,22800
20,11/12/2023,25500,25100,25100,25400,4532,22800
21,12/12/2023,25500,25200,25400,25500,7100,22800
22,13/12/2023,25500,25300,25500,25300,1311,22700
23,14/12/2023,25500,25100,25200,25500,1303,22800
24,15/12/2023,24800,24000,24500,24800,2901,23100
25,18/12/2023,24800,23900,24000,24600,8300,22900
26,19/12/2023,24700,24000,24000,24700,2900,23000
27,20/12/2023,25000,24700,24700,25000,4300,23300
28,21/12/2023,25600,25200,25200,25400,300,23700
29,22/12/2023,25300,24900,25300,24900,708,23200
30,25/12/2023,25500,24900,25500,25300,10400,23600
31,26/12/2023,25400,25300,25300,25300,2400,23600
32,27/12/2023,25300,25300,25300,25300,-,23600
33,28/12/2023,25300,25100,25300,25200,10400,23500
34,29/12/2023,25300,25200,25200,25300,300,23600
35,02/01/2024,26600,25500,25500,25800,3000,24100
36,03/01/2024,25800,25300,25800,25700,1800,24000
37,04/01/2024,25100,25100,25100,25100,1300,23400
38,05/01/2024,25400,25100,25100,25100,7100,23400
