,Date,High,Low,Open,Close,Volume,Adj Close
0,20/07/2022,46500,46000,46500,46000,2100,43700
1,21/07/2022,50600,50500,50500,50600,2100,48100
2,22/07/2022,55600,55500,55500,55600,200,52900
3,25/07/2022,61100,61100,61100,61100,3900,58100
4,26/07/2022,67200,67200,67200,67200,450,63900
5,27/07/2022,73900,73900,73900,73900,4201,70300
6,28/07/2022,81200,81200,81200,81200,1800,77200
7,29/07/2022,89300,89300,89300,89300,8362,84900
8,01/08/2022,98200,98200,98200,98200,4839,93400
9,02/08/2022,107000,88400,107000,88400,7537,84100
10,03/08/2022,80000,79600,80000,79600,3820,75700
11,04/08/2022,75600,71700,71700,75600,3500,71900
12,05/08/2022,80000,74000,74000,80000,1700,76100
13,08/08/2022,80000,72100,80000,80000,1100,76100
14,09/08/2022,80000,75000,75000,80000,5055,76100
15,10/08/2022,76600,76500,76500,76600,200,72800
16,11/08/2022,76600,76600,76600,76600,-,72800
17,12/08/2022,76600,71000,71000,76600,800,72800
18,15/08/2022,76600,76600,76600,76600,-,72800
19,16/08/2022,76600,76600,76600,76600,100,72800
20,17/08/2022,80000,76600,76600,78000,1300,74200
21,18/08/2022,79500,75000,75000,79500,1400,75600
22,19/08/2022,83000,72000,83000,80000,4900,76100
23,22/08/2022,80000,72000,72500,80000,12010,76100
24,23/08/2022,82000,72000,82000,80700,3702,76700
25,24/08/2022,81500,80000,80400,81500,1600,77500
26,25/08/2022,81000,80000,81000,80000,900,76100
27,26/08/2022,80800,78000,80000,80000,4031,76100
28,29/08/2022,79800,79500,79800,79500,600,75600
29,30/08/2022,80000,78500,80000,79300,3031,75400
30,31/08/2022,79900,79900,79900,79900,200,76000
31,05/09/2022,81000,79900,81000,79900,1200,76000
32,06/09/2022,80800,79900,79900,80500,2031,76500
33,07/09/2022,80000,75000,76100,80000,1000,76100
34,08/09/2022,82000,79000,79000,80000,10100,76100
35,09/09/2022,80000,80000,80000,80000,1800,76100
36,12/09/2022,80000,80000,80000,80000,100,76100
37,13/09/2022,85000,80200,83400,80200,2200,76300
38,14/09/2022,80500,80200,80200,80500,2700,76500
39,15/09/2022,87000,81500,81500,87000,3200,82700
40,16/09/2022,87000,87000,87000,87000,-,82700
41,19/09/2022,83000,83000,83000,83000,5400,78900
42,20/09/2022,85000,83000,83000,85000,3900,80800
43,21/09/2022,85000,84000,84000,85000,2500,80800
44,22/09/2022,86000,83000,83000,86000,9000,81800
45,23/09/2022,84000,84000,84000,84000,1000,79900
46,26/09/2022,87000,84000,84000,87000,7700,82700
47,27/09/2022,90100,86500,87000,90100,17818,85700
48,28/09/2022,86100,86000,86000,86100,1600,81900
49,29/09/2022,85000,83000,85000,83000,300,78900
50,30/09/2022,90000,83800,83800,90000,8300,85600
51,03/10/2022,90000,90000,90000,90000,1,85600
52,04/10/2022,89900,89800,89900,89800,200,85400
53,05/10/2022,89800,89800,89800,89800,-,85400
54,06/10/2022,92000,89900,89900,92000,5000,87500
55,07/10/2022,91900,87000,91900,90000,4800,85600
56,10/10/2022,90000,90000,90000,90000,1500,85600
57,11/10/2022,90000,85000,85000,90000,4100,85600
58,12/10/2022,90000,90000,90000,90000,-,85600
59,13/10/2022,90000,90000,90000,90000,6,85600
60,14/10/2022,90000,90000,90000,90000,-,85600
61,17/10/2022,85000,85000,85000,85000,2000,80800
62,18/10/2022,90000,85000,85000,90000,8000,85600
63,19/10/2022,90000,90000,90000,90000,-,85600
