,Date,High,Low,Open,Close,Volume,Adj Close
0,24/01/2022,11500,11000,11400,11500,5800,11500
1,25/01/2022,11500,11000,11000,11500,200,11500
2,26/01/2022,11500,11000,11000,11500,4300,11500
3,27/01/2022,12400,10500,11400,12400,7200,12400
4,28/01/2022,12200,11200,11200,12200,1300,12200
5,07/02/2022,12100,11100,11200,11100,2300,11100
6,08/02/2022,12000,11100,11100,12000,4412,12000
7,09/02/2022,12000,12000,12000,12000,1353,12000
8,10/02/2022,11400,11200,11200,11400,941,11400
9,11/02/2022,11900,10500,11400,11900,10200,11900
10,14/02/2022,11900,11800,11800,11800,11100,11800
11,15/02/2022,12400,11800,12000,12400,2205,12400
12,16/02/2022,12900,12400,12500,12400,2129,12400
13,17/02/2022,12400,11500,11600,12400,900,12400
14,18/02/2022,12300,12200,12300,12200,2200,12200
15,21/02/2022,11900,11400,11400,11900,1951,11900
16,22/02/2022,12000,11900,11900,11900,1400,11900
17,23/02/2022,11900,11900,11900,11900,1450,11900
18,24/02/2022,11900,11700,11900,11700,2610,11700
19,25/02/2022,11900,11800,11800,11800,4600,11800
20,28/02/2022,11800,11800,11800,11800,1700,11800
21,01/03/2022,12000,12000,12000,12000,311,12000
22,02/03/2022,12400,11800,11800,11800,4800,11800
23,03/03/2022,11800,11800,11800,11800,1400,11800
24,04/03/2022,12000,11600,11600,12000,6108,12000
25,07/03/2022,13100,12000,12000,13000,14201,13000
26,08/03/2022,13200,12900,13000,13100,15705,13100
27,09/03/2022,13200,13100,13100,13100,6880,13100
28,10/03/2022,13300,13000,13100,13300,8711,13300
29,11/03/2022,14000,13100,13100,13600,24600,13600
30,14/03/2022,13700,13100,13600,13100,5867,13100
31,15/03/2022,14400,13100,13300,13800,18356,13800
32,16/03/2022,15000,13500,14200,13900,4637,13900
33,17/03/2022,14000,13200,13900,13800,10500,13800
34,18/03/2022,14000,13200,13400,13700,9062,13700
35,21/03/2022,14500,13500,13600,13900,43901,13900
36,22/03/2022,14100,13500,14000,13600,23800,13600
37,23/03/2022,14800,13600,14800,13700,10900,13700
38,24/03/2022,13900,13200,13500,13800,16930,13800
39,25/03/2022,13700,13300,13500,13700,5604,13700
40,28/03/2022,13500,12700,13100,13000,19001,13000
41,29/03/2022,13900,13000,13000,13000,9900,13000
42,30/03/2022,13500,11800,11800,12600,3100,12600
43,31/03/2022,13100,12400,12700,12600,33605,12600
44,01/04/2022,13100,12600,12600,12600,5028,12600
45,04/04/2022,12700,12600,12600,12700,5305,12700
46,05/04/2022,12700,11500,12700,12600,7000,12600
47,06/04/2022,12600,12400,12600,12400,1500,12400
48,07/04/2022,12600,12000,12600,12400,4300,12400
49,08/04/2022,12400,12000,12000,12100,7201,12100
50,12/04/2022,13300,12700,13300,13000,65443,13000
51,13/04/2022,13100,12600,13100,13000,14514,13000
52,14/04/2022,13100,12900,13100,12900,23300,12900
53,15/04/2022,12800,11800,12800,12700,79050,12700
54,18/04/2022,13500,12000,12700,12400,35120,12400
55,19/04/2022,12400,11300,12400,11300,21900,11300
56,20/04/2022,11400,11000,11300,11000,4600,11000
57,21/04/2022,11000,9900,11000,9900,27047,9900
58,22/04/2022,10000,9500,10000,9600,36511,9600
59,25/04/2022,10400,9200,9600,9200,19900,9200
60,26/04/2022,10000,8800,9000,10000,14400,10000
61,27/04/2022,10000,10000,10000,10000,516,10000
62,28/04/2022,10300,9800,9800,10300,5803,10300
63,29/04/2022,10700,10600,10700,10600,311,10600
64,04/05/2022,10600,10600,10600,10600,-,10600
65,05/05/2022,10600,10600,10600,10600,10,10600
66,06/05/2022,10600,9900,9900,10600,1200,10600
67,09/05/2022,9800,9600,9800,9600,3400,9600
68,10/05/2022,9600,9600,9600,9600,4800,9600
69,11/05/2022,9600,9600,9600,9600,5000,9600
70,12/05/2022,9700,9600,9600,9600,5404,9600
71,13/05/2022,9600,9200,9600,9300,3200,9300
72,16/05/2022,9300,9300,9300,9300,600,9300
73,17/05/2022,9300,9300,9300,9300,600,9300
74,18/05/2022,9300,9300,9300,9300,1100,9300
75,19/05/2022,9900,9300,9400,9300,1810,9300
76,20/05/2022,9400,9300,9300,9400,700,9400
77,23/05/2022,9500,9500,9500,9500,201,9500
78,24/05/2022,10200,10200,10200,10200,110,10200
79,25/05/2022,11000,9500,11000,10200,3610,10200
80,26/05/2022,10900,10400,10900,10400,1126,10400
81,27/05/2022,10500,9400,9400,10500,218,10500
82,30/05/2022,10500,10400,10500,10400,1100,10400
83,31/05/2022,10200,9400,9600,9500,6200,9500
84,01/06/2022,9800,9800,9800,9800,100,9800
85,02/06/2022,9800,9800,9800,9800,200,9800
86,03/06/2022,9700,9400,9400,9700,2335,9700
87,06/06/2022,9800,8800,8900,9700,2600,9700
88,07/06/2022,10000,9800,10000,9800,310,9800
89,08/06/2022,9900,9100,9100,9900,303,9900
90,09/06/2022,9800,9000,9200,9800,4206,9800
91,10/06/2022,9500,8900,9300,9000,3100,9000
92,13/06/2022,9700,8800,8800,9400,300,9400
93,14/06/2022,9800,9400,9400,9800,2925,9800
94,15/06/2022,9300,8900,9000,9000,11531,9000
95,16/06/2022,9000,9000,9000,9000,1000,9000
96,17/06/2022,8600,8100,8200,8400,2000,8400
97,20/06/2022,7800,7700,7700,7800,200,7800
98,21/06/2022,7800,7800,7800,7800,600,7800
99,22/06/2022,7800,7800,7800,7800,800,7800
100,23/06/2022,7900,7200,7200,7900,500,7900
101,24/06/2022,7900,7900,7900,7900,5300,7900
102,27/06/2022,7900,7900,7900,7900,1,7900
103,28/06/2022,8400,8400,8400,8400,1008,8400
104,29/06/2022,8500,8500,8500,8500,100,8500
105,30/06/2022,8500,8500,8500,8500,-,8500
106,01/07/2022,8100,7700,7700,8100,600,8100
107,04/07/2022,7400,7300,7400,7400,4200,7400
108,05/07/2022,7900,6800,7400,7900,1707,7900
109,06/07/2022,7900,7200,7900,7200,24000,7200
110,07/07/2022,7200,7200,7200,7200,-,7200
111,08/07/2022,7700,7700,7700,7700,100,7700
112,11/07/2022,7700,7700,7700,7700,317,7700
113,12/07/2022,7000,7000,7000,7000,1800,7000
114,13/07/2022,7200,6800,6900,7100,3011,7100
115,14/07/2022,7100,7100,7100,7100,700,7100
116,15/07/2022,7200,7200,7200,7200,100,7200
117,18/07/2022,7200,6900,7200,7100,3641,7100
118,19/07/2022,7100,6800,7100,7000,2000,7000
119,20/07/2022,7100,6600,6600,7100,1810,7100
120,21/07/2022,7400,7300,7400,7300,300,7300
121,22/07/2022,7300,7300,7300,7300,-,7300
122,25/07/2022,7300,7200,7300,7200,1441,7200
123,26/07/2022,7100,6700,6800,7000,6200,7000
124,27/07/2022,6900,6700,6700,6700,2600,6700
125,28/07/2022,6900,6700,6700,6900,8901,6900
126,29/07/2022,6900,6800,6900,6800,8200,6800
127,01/08/2022,6900,6800,6800,6900,4200,6900
128,02/08/2022,6800,6500,6800,6800,5500,6800
129,03/08/2022,6900,6800,6900,6900,4525,6900
130,04/08/2022,7200,6800,6800,7200,3309,7200
131,05/08/2022,7200,6600,6600,7200,200,7200
132,08/08/2022,7200,6800,7100,6900,7300,6900
133,09/08/2022,6900,6900,6900,6900,1009,6900
134,10/08/2022,7000,6900,6900,7000,1500,7000
135,11/08/2022,7300,6800,7000,6800,11600,6800
136,12/08/2022,7300,6800,6800,6900,400,6900
137,15/08/2022,7100,6800,6900,6900,7600,6900
138,16/08/2022,7000,6900,6900,6900,4830,6900
139,17/08/2022,7000,6900,6900,6900,7100,6900
140,18/08/2022,6900,6900,6900,6900,12000,6900
141,19/08/2022,6900,6900,6900,6900,13100,6900
142,22/08/2022,7000,6900,6900,6900,2530,6900
143,23/08/2022,6900,6900,6900,6900,3433,6900
144,24/08/2022,7000,6900,6900,7000,4600,7000
145,25/08/2022,7200,7100,7200,7100,1308,7100
146,26/08/2022,7700,7300,7300,7600,20500,7600
147,29/08/2022,7700,7600,7700,7600,1305,7600
148,30/08/2022,7500,6900,6900,7300,5212,7300
149,31/08/2022,7300,7000,7300,7000,206,7000
150,05/09/2022,7100,7000,7100,7000,600,7000
151,06/09/2022,7100,7100,7100,7100,218,7100
152,07/09/2022,7100,7100,7100,7100,3000,7100
153,08/09/2022,7000,7000,7000,7000,2200,7000
154,09/09/2022,7000,7000,7000,7000,106,7000
155,12/09/2022,7100,7000,7000,7100,1350,7100
156,13/09/2022,7100,7000,7100,7000,458,7000
157,14/09/2022,7100,7100,7100,7100,2500,7100
158,15/09/2022,7100,7100,7100,7100,93,7100
159,16/09/2022,7100,7100,7100,7100,-,7100
160,19/09/2022,7500,6600,6600,7500,2700,7500
161,20/09/2022,7500,7500,7500,7500,20,7500
