,Date,High,Low,Open,Close,Volume,Adj Close
0,01/11/2021,6400,5900,5900,6400,329282,6400
1,02/11/2021,7000,6400,6400,7000,159210,7000
2,03/11/2021,7700,7400,7400,7700,143179,7700
3,04/11/2021,8400,7700,7700,8400,378539,8400
4,05/11/2021,9200,7700,8600,9100,570699,9100
5,08/11/2021,9300,8500,9100,9200,75304,9200
6,09/11/2021,10100,9200,9400,10100,359127,10100
7,10/11/2021,11100,10400,10400,11100,156370,11100
8,11/11/2021,12200,12200,12200,12200,102244,12200
9,12/11/2021,13400,13000,13000,13400,325500,13400
10,15/11/2021,14700,14700,14700,14700,158981,14700
11,16/11/2021,16100,16100,16100,16100,1150278,16100
12,17/11/2021,17700,16200,17700,17700,1850321,17700
13,18/11/2021,19400,16000,18500,17900,305110,17900
14,19/11/2021,19600,17500,17900,19600,1297114,19600
15,22/11/2021,21300,17700,20500,17700,932809,17700
16,23/11/2021,19400,17700,17700,19400,936945,19400
17,24/11/2021,21300,21300,21300,21300,399218,21300
18,25/11/2021,23400,22300,22300,23400,31734,23400
19,26/11/2021,25700,24500,24500,25700,1037595,25700
20,29/11/2021,28200,25800,26000,28200,1739691,28200
21,30/11/2021,31000,27000,29100,30000,1245500,30000
22,01/12/2021,30000,27000,29900,29200,1408863,29200
23,02/12/2021,29100,26300,29100,27400,1652680,27400
24,03/12/2021,29500,27300,27400,28200,758600,28200
25,06/12/2021,31000,28300,28300,31000,432726,31000
26,07/12/2021,34100,34000,34000,34100,93177,34100
27,08/12/2021,37500,37500,37500,37500,288451,37500
28,09/12/2021,41200,33800,41200,33800,1235750,33800
29,10/12/2021,33800,30500,30500,30500,2911542,30500
30,13/12/2021,33500,27500,27500,33500,1507756,33500
31,14/12/2021,36800,33500,36800,36800,1539572,36800
32,15/12/2021,40300,35000,39800,35300,952970,35300
33,16/12/2021,37000,33600,35000,36000,519412,36000
34,17/12/2021,36500,34500,36000,34800,225600,34800
35,20/12/2021,36500,33300,34800,34900,304883,34900
36,21/12/2021,35400,34000,35000,34000,351993,34000
37,22/12/2021,36000,33100,35500,34000,288155,34000
38,23/12/2021,34000,30600,33100,30600,377623,30600
39,24/12/2021,31500,27600,30600,28500,440741,28500
40,27/12/2021,31300,29000,29000,31300,189780,31300
41,28/12/2021,34400,31000,32000,34400,411537,34400
42,29/12/2021,35000,32000,34400,33000,140921,33000
43,30/12/2021,33000,30900,33000,31000,57606,31000
44,31/12/2021,32600,31000,31000,31500,48279,31500
45,04/01/2022,31500,30200,31500,31500,98722,31500
46,05/01/2022,34500,30200,31500,34300,501083,34300
47,06/01/2022,34100,31400,32600,31400,133332,31400
48,07/01/2022,33200,31400,31400,31500,78000,31500
49,10/01/2022,31700,30500,31300,30500,204943,30500
50,11/01/2022,32300,29400,30500,29400,88700,29400
51,12/01/2022,31500,27000,29400,31100,212902,31100
52,13/01/2022,32600,29100,31100,32000,181700,32000
53,14/01/2022,32100,30000,32000,30100,104334,30100
54,17/01/2022,30400,28400,30100,28500,99458,28500
55,18/01/2022,29400,25800,27500,25800,102200,25800
56,19/01/2022,28300,25800,26000,28300,96830,28300
57,20/01/2022,31100,29000,30000,31100,140720,31100
58,21/01/2022,33000,30600,31400,31000,38750,31000
59,24/01/2022,31000,28000,31000,28000,32217,28000
60,25/01/2022,30800,28300,28300,30800,469100,30800
61,26/01/2022,32800,30100,32700,30800,118400,30800
62,27/01/2022,33000,30800,30800,32000,170473,32000
63,28/01/2022,32200,31000,32200,31500,73700,31500
64,07/02/2022,32800,31500,31500,32800,74900,32800
65,08/02/2022,32700,31600,32400,31800,56800,31800
66,09/02/2022,31800,30500,31800,31100,38090,31100
67,10/02/2022,31800,30800,31000,30900,51000,30900
68,11/02/2022,31500,30400,30500,31500,19650,31500
69,14/02/2022,31500,30400,31500,30800,31800,30800
70,15/02/2022,31300,30400,30800,30600,145102,30600
71,16/02/2022,31500,30100,30600,30700,28500,30700
72,17/02/2022,31000,29000,30700,30000,69600,30000
73,18/02/2022,31200,30100,30300,30700,24826,30700
74,21/02/2022,30600,29600,29800,30000,115835,30000
75,22/02/2022,30200,29800,30200,29800,37104,29800
76,23/02/2022,31000,29600,29600,29700,37100,29700
77,24/02/2022,30000,28500,29700,29600,61800,29600
78,25/02/2022,30500,29600,30000,29800,41600,29800
79,28/02/2022,30000,29500,30000,29800,22522,29800
80,01/03/2022,30300,28600,29700,29900,16400,29900
81,02/03/2022,29600,28800,29600,28800,24650,28800
82,03/03/2022,29500,28600,28900,28800,37400,28800
83,04/03/2022,29300,28500,28800,28900,38832,28900
84,07/03/2022,29100,28300,28500,28900,72780,28900
85,08/03/2022,28800,28300,28800,28300,21903,28300
86,09/03/2022,28300,25500,25500,28000,46300,28000
87,10/03/2022,29900,27000,27000,29000,109420,29000
88,11/03/2022,29000,28200,28200,28800,21300,28800
89,14/03/2022,28800,27500,28700,28800,23302,28800
90,15/03/2022,28700,27900,28700,28400,23700,28400
91,16/03/2022,29500,28000,28400,28500,54250,28500
92,17/03/2022,28700,27900,28500,28400,51000,28400
93,18/03/2022,28700,28200,28400,28500,45300,28500
94,21/03/2022,28500,27900,28500,28100,34800,28100
95,22/03/2022,28500,28000,28000,28200,78650,28200
96,23/03/2022,28500,27600,28500,27700,37150,27700
97,24/03/2022,30400,27100,27500,30400,212500,30400
98,25/03/2022,33400,32000,32000,33400,452999,33400
99,28/03/2022,35000,30100,34000,32000,506000,32000
100,29/03/2022,33500,30000,32000,31000,488400,31000
101,30/03/2022,31000,27900,31000,29000,354116,29000
102,31/03/2022,29400,28000,29000,29200,90852,29200
103,01/04/2022,29200,28000,28300,28700,67142,28700
104,04/04/2022,30500,28000,28700,29500,157900,29500
105,05/04/2022,29900,28200,28200,29000,67830,29000
106,06/04/2022,29500,28000,29000,29000,100800,29000
107,07/04/2022,29000,28100,28300,28700,62713,28700
108,08/04/2022,28600,26000,28100,26000,100010,26000
109,12/04/2022,28500,27000,27000,27000,61400,27000
110,13/04/2022,28400,26700,27000,28000,15500,28000
111,14/04/2022,28600,27600,28000,28000,19400,28000
112,15/04/2022,28500,26800,27000,27700,37900,27700
113,18/04/2022,28000,26000,27600,26000,80300,26000
114,19/04/2022,27300,26000,27200,26000,68000,26000
115,20/04/2022,26400,24100,26000,24500,39300,24500
116,21/04/2022,24500,22100,24500,22100,103000,22100
117,22/04/2022,23000,19900,21000,20100,91033,20100
118,25/04/2022,21000,18100,21000,19800,87600,19800
119,26/04/2022,21700,18100,18200,21700,71000,21700
120,27/04/2022,23500,21800,22800,23400,35900,23400
121,28/04/2022,25700,23600,24500,23700,56202,23700
122,29/04/2022,25500,21400,24500,23700,32500,23700
123,04/05/2022,23700,22600,23700,23600,64100,23600
124,05/05/2022,25800,23500,24500,24300,2100,24300
125,06/05/2022,25500,21900,24100,22900,52133,22900
126,09/05/2022,22000,20700,21000,20700,16900,20700
127,10/05/2022,22000,20000,20600,20000,11400,20000
128,11/05/2022,21900,20000,21900,21400,13700,21400
129,12/05/2022,23400,19300,22500,19300,31400,19300
130,13/05/2022,20200,17400,20200,17400,50400,17400
131,16/05/2022,19100,17400,18300,17600,30400,17600
132,17/05/2022,18400,17600,18400,18300,9100,18300
133,18/05/2022,19400,17000,19000,19200,26601,19200
134,19/05/2022,18800,17300,17500,17400,37100,17400
135,20/05/2022,18000,15700,17400,17000,70110,17000
136,23/05/2022,16000,15300,16000,15300,231600,15300
137,24/05/2022,15800,13800,15800,13800,132108,13800
138,25/05/2022,15000,12500,12700,14700,131610,14700
139,26/05/2022,15900,13400,14700,14500,224252,14500
140,27/05/2022,15200,13800,14500,14900,24900,14900
141,30/05/2022,15000,14000,14900,14600,42806,14600
142,31/05/2022,14400,13900,14300,13900,21500,13900
143,01/06/2022,14200,13400,13900,13500,18600,13500
144,02/06/2022,13700,13100,13500,13500,11600,13500
145,03/06/2022,13500,12500,13000,12800,68500,12800
146,06/06/2022,12800,11600,12800,11600,90600,11600
147,07/06/2022,11800,10500,11800,10700,108210,10700
148,08/06/2022,11600,10100,10700,10800,53700,10800
149,09/06/2022,11100,10500,11100,10700,35000,10700
150,10/06/2022,11600,11000,11000,11200,45710,11200
151,13/06/2022,11100,10300,10900,10800,67112,10800
152,14/06/2022,10900,10100,10900,10700,15800,10700
153,15/06/2022,10900,9700,10900,10500,51900,10500
154,16/06/2022,10900,10400,10500,10800,22200,10800
155,17/06/2022,10800,10100,10800,10500,68400,10500
156,20/06/2022,10400,9500,10400,10400,72200,10400
157,21/06/2022,10500,9500,9500,9600,13900,9600
158,22/06/2022,10500,10200,10500,10500,16700,10500
159,23/06/2022,11000,10000,10800,10700,59900,10700
160,24/06/2022,11600,10800,11200,10800,6300,10800
161,27/06/2022,11000,9800,11000,10800,36550,10800
162,28/06/2022,10900,10500,10800,10600,25100,10600
163,29/06/2022,10900,10200,10900,10700,400,10700
164,30/06/2022,10500,9800,10100,9800,43510,9800
165,01/07/2022,10000,9900,10000,10000,5100,10000
166,04/07/2022,10500,9000,10000,9400,18552,9400
167,05/07/2022,10000,9200,10000,9700,7600,9700
168,06/07/2022,9700,8800,9700,9100,200600,9100
169,07/07/2022,9200,8700,9200,9200,19710,9200
170,08/07/2022,9300,9000,9000,9300,5600,9300
171,11/07/2022,9900,8700,9900,8800,50800,8800
172,12/07/2022,9100,9000,9000,9000,15800,9000
173,13/07/2022,9700,9000,9000,9600,31000,9600
174,14/07/2022,10500,9600,9700,10500,99427,10500
175,15/07/2022,11500,11400,11500,11500,75400,11500
176,18/07/2022,12600,12600,12600,12600,37700,12600
177,19/07/2022,13800,12700,13800,13800,122627,13800
178,20/07/2022,14200,13800,14200,14200,79508,14200
179,21/07/2022,15600,14200,14200,15600,132900,15600
180,22/07/2022,17100,15700,16400,17100,109300,17100
181,25/07/2022,18800,17100,17100,18800,166150,18800
182,26/07/2022,20500,17000,18800,18900,203900,18900
183,27/07/2022,18000,17100,18000,17100,72500,17100
184,28/07/2022,17000,15400,17000,15400,188800,15400
185,29/07/2022,15000,13900,15000,14100,241400,14100
186,01/08/2022,15500,14300,14300,15500,4700,15500
187,02/08/2022,17000,16400,17000,17000,139600,17000
188,03/08/2022,17200,15600,16500,16400,53200,16400
189,04/08/2022,16700,15300,16700,16000,64200,16000
190,05/08/2022,17600,15500,16000,17500,51000,17500
191,08/08/2022,17900,16500,17900,17200,74700,17200
192,09/08/2022,17800,16300,17800,16300,60200,16300
193,10/08/2022,17100,16100,16900,16400,14300,16400
194,11/08/2022,16800,15500,16800,16400,56200,16400
195,12/08/2022,16900,15600,16400,16400,13513,16400
196,15/08/2022,16400,15700,15700,15900,3700,15900
197,16/08/2022,15900,14400,15600,14400,42000,14400
198,17/08/2022,15600,14400,14900,14400,63400,14400
199,18/08/2022,15800,14800,14800,15800,31900,15800
200,19/08/2022,17300,15500,15900,17300,67400,17300
201,22/08/2022,17300,15600,17300,16400,38100,16400
202,23/08/2022,16400,15700,16400,15700,5100,15700
203,24/08/2022,16700,15400,15700,16500,13400,16500
204,25/08/2022,16500,15000,16500,16200,60300,16200
205,26/08/2022,16400,15400,16400,16000,25000,16000
206,29/08/2022,16000,14800,15300,15900,32200,15900
207,30/08/2022,15900,15100,15900,15900,14500,15900
208,31/08/2022,15800,14600,15300,15600,5300,15600
209,05/09/2022,15600,14800,14800,15000,3000,15000
210,06/09/2022,15400,14800,14900,15400,16400,15400
