,Date,High,Low,Open,Close,Volume,Adj Close
0,15/02/2022,22200,22200,22200,22200,100,20300
1,16/02/2022,23900,22300,22300,23900,4600,21900
2,17/02/2022,23600,22700,22700,23600,200,21600
3,18/02/2022,24400,24400,24400,24400,100,22400
4,21/02/2022,24200,24000,24200,24000,8600,22000
5,22/02/2022,24000,24000,24000,24000,-,22000
6,23/02/2022,23100,22700,22700,23100,1100,21200
7,24/02/2022,23800,23800,23800,23800,100,21800
8,25/02/2022,23600,22300,22300,23600,500,21600
9,28/02/2022,23600,23600,23600,23600,1,21600
10,01/03/2022,23600,23600,23600,23600,-,21600
11,02/03/2022,23600,23600,23600,23600,-,21600
12,03/03/2022,23500,23500,23500,23500,204,21500
13,04/03/2022,23100,23100,23100,23100,1000,21200
14,07/03/2022,23100,23100,23100,23100,1500,21200
15,08/03/2022,23300,23300,23300,23300,1000,21300
16,09/03/2022,23200,23000,23200,23000,1100,21100
17,10/03/2022,23100,23100,23100,23100,900,21200
18,11/03/2022,23100,23100,23100,23100,-,21200
19,14/03/2022,23100,23100,23100,23100,-,21200
20,15/03/2022,23100,23100,23100,23100,-,21200
21,16/03/2022,23600,23000,23000,23600,504,21600
22,17/03/2022,23500,23000,23500,23000,1000,21100
23,18/03/2022,23000,23000,23000,23000,-,21100
24,21/03/2022,22500,22400,22500,22400,2000,20500
25,22/03/2022,22400,22400,22400,22400,600,20500
26,23/03/2022,22500,22400,22500,22400,300,20500
27,24/03/2022,22300,22300,22300,22300,9200,20400
28,25/03/2022,22300,22300,22300,22300,1000,20400
29,28/03/2022,22800,22000,22300,22800,4200,20900
30,29/03/2022,23200,23200,23200,23200,100,21300
31,30/03/2022,22600,22600,22600,22600,300,20700
32,31/03/2022,22600,22600,22600,22600,-,20700
33,01/04/2022,22600,22600,22600,22600,-,20700
34,04/04/2022,22700,22700,22700,22700,200,20800
35,05/04/2022,22700,22700,22700,22700,-,20800
36,06/04/2022,22700,22700,22700,22700,-,20800
37,07/04/2022,22700,22700,22700,22700,-,20800
38,08/04/2022,23900,22100,23900,22100,10200,20200
39,12/04/2022,22100,22100,22100,22100,-,20200
40,13/04/2022,21500,21500,21500,21500,400,19700
41,14/04/2022,21500,21500,21500,21500,500,19700
42,15/04/2022,21600,21600,21600,21600,1500,19800
43,18/04/2022,21600,21600,21600,21600,-,19800
44,19/04/2022,21600,21600,21600,21600,2400,19800
45,20/04/2022,21600,21600,21600,21600,-,19800
46,21/04/2022,21600,21600,21600,21600,-,19800
47,22/04/2022,21600,21600,21600,21600,-,19800
48,25/04/2022,22000,22000,22000,22000,100,20200
49,26/04/2022,22000,22000,22000,22000,-,20200
50,27/04/2022,22000,22000,22000,22000,-,20200
51,28/04/2022,22000,22000,22000,22000,-,20200
52,29/04/2022,22000,22000,22000,22000,-,20200
53,04/05/2022,22000,22000,22000,22000,-,20200
54,05/05/2022,22100,22000,22000,22100,1000,20200
55,06/05/2022,22100,20500,20500,22100,400,20200
56,09/05/2022,22000,22000,22000,22000,100,20200
57,10/05/2022,22000,22000,22000,22000,-,20200
58,11/05/2022,22000,22000,22000,22000,-,20200
59,12/05/2022,22000,22000,22000,22000,-,20200
60,13/05/2022,22000,22000,22000,22000,-,20200
61,16/05/2022,22000,22000,22000,22000,-,20200
62,17/05/2022,22000,20000,20000,22000,500,20200
63,18/05/2022,23000,23000,23000,23000,200,21100
64,19/05/2022,23000,23000,23000,23000,-,21100
65,20/05/2022,22800,22800,22800,22800,100,20900
66,23/05/2022,22800,22800,22800,22800,-,20900
67,24/05/2022,22800,22500,22800,22500,200,20600
68,25/05/2022,22000,22000,22000,22000,500,20200
69,26/05/2022,22100,22000,22000,22100,206,20200
70,27/05/2022,22100,22100,22100,22100,-,20200
71,30/05/2022,22100,22100,22100,22100,85,20200
72,31/05/2022,22300,22100,22100,22300,1763,20400
73,01/06/2022,22300,22300,22300,22300,-,20400
74,02/06/2022,22300,22300,22300,22300,-,20400
75,03/06/2022,22300,22300,22300,22300,50,20400
76,06/06/2022,22300,22300,22300,22300,300,20400
77,07/06/2022,22300,21000,21000,22300,3470,20400
78,08/06/2022,22300,21000,22300,22300,412,20400
79,09/06/2022,22100,20800,20900,22100,3300,20200
80,10/06/2022,24000,21300,21500,24000,1100,22000
81,13/06/2022,21600,21600,21600,21600,7600,19800
82,14/06/2022,21600,20700,20700,21500,2600,19700
83,15/06/2022,19000,19000,19000,19000,400,19000
84,16/06/2022,18900,18900,18900,18900,100,18900
85,17/06/2022,18100,18100,18100,18100,500,18100
86,20/06/2022,16900,16500,16700,16500,1800,16500
87,21/06/2022,16500,16500,16500,16500,500,16500
88,22/06/2022,16600,16600,16600,16600,200,16600
89,23/06/2022,16600,16600,16600,16600,-,16600
90,24/06/2022,17000,17000,17000,17000,100,17000
91,27/06/2022,18500,17200,18500,17200,601,17200
92,28/06/2022,17900,17900,17900,17900,100,17900
93,29/06/2022,17900,17900,17900,17900,-,17900
94,30/06/2022,17900,17900,17900,17900,-,17900
95,01/07/2022,17900,17900,17900,17900,-,17900
96,04/07/2022,17900,17900,17900,17900,-,17900
97,05/07/2022,16900,16800,16900,16800,200,16800
98,06/07/2022,16800,16800,16800,16800,-,16800
99,07/07/2022,16800,16800,16800,16800,100,16800
100,08/07/2022,17100,16800,16800,17100,703,17100
101,11/07/2022,17100,17100,17100,17100,-,17100
102,12/07/2022,17200,17200,17200,17200,1500,17200
103,13/07/2022,17300,17300,17300,17300,2000,17300
104,14/07/2022,17000,17000,17000,17000,1200,17000
105,15/07/2022,17000,17000,17000,17000,85,17000
106,18/07/2022,16800,16800,16800,16800,400,16800
107,19/07/2022,16800,16800,16800,16800,-,16800
