,Date,High,Low,Open,Close,Volume,Adj Close
0,12/09/2022,19500,19200,19500,19200,7400,17800
1,13/09/2022,19200,19200,19200,19200,95000,17800
2,14/09/2022,20900,20900,20900,20900,135,19400
3,15/09/2022,20900,20900,20900,20900,100300,19400
4,16/09/2022,20900,20900,20900,20900,143,19400
5,19/09/2022,20900,20900,20900,20900,-,19400
6,20/09/2022,19500,19500,19500,19500,1300,18100
7,21/09/2022,19500,19500,19500,19500,-,18100
8,22/09/2022,20500,20500,20500,20500,100,19000
9,23/09/2022,19500,19500,19500,19500,3000,18100
10,26/09/2022,20400,20400,20400,20400,100,18900
11,27/09/2022,19500,19500,19500,19500,5000,18100
12,28/09/2022,19500,19500,19500,19500,-,18100
13,29/09/2022,19500,19500,19500,19500,-,18100
14,30/09/2022,19500,19500,19500,19500,143,18100
15,03/10/2022,19500,19500,19500,19500,4910,18100
16,04/10/2022,19300,19300,19300,19300,700,17900
17,05/10/2022,19500,19500,19500,19500,1000,18100
18,06/10/2022,19500,19500,19500,19500,-,18100
19,07/10/2022,19500,19500,19500,19500,-,18100
20,10/10/2022,19500,19500,19500,19500,59,18100
21,11/10/2022,19500,19500,19500,19500,-,18100
22,12/10/2022,19500,19500,19500,19500,80,18100
23,13/10/2022,19500,19500,19500,19500,201,18100
24,14/10/2022,19500,19500,19500,19500,-,18100
25,17/10/2022,19600,19600,19600,19600,6910,18200
26,18/10/2022,19600,19600,19600,19600,-,18200
27,19/10/2022,19600,19600,19600,19600,-,18200
28,20/10/2022,19600,19600,19600,19600,-,18200
29,21/10/2022,19600,19600,19600,19600,-,18200
30,24/10/2022,21300,19500,19500,21300,1800,19800
31,25/10/2022,20000,20000,20000,20000,200,18600
32,26/10/2022,19500,19500,19500,19500,300,18100
33,27/10/2022,19500,19500,19500,19500,5,18100
34,28/10/2022,19500,19000,19500,19000,200,17600
35,31/10/2022,20500,19500,20500,20500,1400,19000
36,01/11/2022,20500,20500,20500,20500,500,19000
37,02/11/2022,20500,20500,20500,20500,-,19000
38,03/11/2022,20500,20500,20500,20500,-,19000
39,04/11/2022,19800,19800,19800,19800,100,18400
40,07/11/2022,19800,19800,19800,19800,-,18400
41,08/11/2022,19600,19500,19500,19500,1200,18100
42,09/11/2022,19500,19500,19500,19500,-,18100
43,10/11/2022,19500,19500,19500,19500,5000,18100
44,11/11/2022,19500,19500,19500,19500,5000,18100
45,14/11/2022,19500,19500,19500,19500,-,18100
46,15/11/2022,19500,19500,19500,19500,75,18100
47,16/11/2022,19200,19200,19200,19200,3000,17800
48,17/11/2022,17300,17300,17300,17300,1200,16100
49,18/11/2022,18100,18100,18100,18100,1000,16800
50,21/11/2022,18100,18100,18100,18100,25,16800
51,22/11/2022,16500,16500,16500,16500,3000,15300
52,23/11/2022,18100,16500,16500,18100,1900,16800
53,24/11/2022,18000,18000,18000,18000,3000,16700
54,25/11/2022,18000,18000,18000,18000,-,16700
55,28/11/2022,19600,17000,17000,19600,600,18200
56,29/11/2022,20900,20900,20900,20900,100,19400
57,30/11/2022,20900,20900,20900,20900,-,19400
58,01/12/2022,21800,21800,21800,21800,100,20300
59,02/12/2022,20900,19700,19700,20900,200,19400
60,05/12/2022,18900,18900,18900,18900,1800,17600
61,06/12/2022,18900,18900,18900,18900,37200,17600
62,07/12/2022,17600,17600,17600,17600,300,16300
63,08/12/2022,17600,17600,17600,17600,-,16300
64,09/12/2022,15900,15900,15900,15900,100,14800
65,12/12/2022,15900,15900,15900,15900,-,14800
66,13/12/2022,15900,15900,15900,15900,-,14800
67,14/12/2022,15900,15900,15900,15900,-,14800
68,15/12/2022,14400,14400,14400,14400,100,13400
69,16/12/2022,14400,14400,14400,14400,-,13400
70,19/12/2022,15800,15800,15800,15800,100,14700
71,20/12/2022,15800,15800,15800,15800,-,14700
72,21/12/2022,15100,15100,15100,15100,100,14000
73,22/12/2022,16600,14100,16600,14100,200,13100
74,23/12/2022,14100,14100,14100,14100,-,13100
75,26/12/2022,14100,14100,14100,14100,-,13100
76,27/12/2022,14100,14100,14100,14100,-,13100
77,28/12/2022,14100,14100,14100,14100,-,13100
78,29/12/2022,14100,14100,14100,14100,-,13100
79,30/12/2022,14100,14100,14100,14100,-,13100
80,03/01/2023,14100,14100,14100,14100,-,13100
81,04/01/2023,14100,14100,14100,14100,-,13100
82,05/01/2023,14100,14100,14100,14100,-,13100
83,06/01/2023,15500,15500,15500,15500,100,14400
84,09/01/2023,17000,17000,17000,17000,600,15800
85,10/01/2023,17000,17000,17000,17000,-,15800
86,11/01/2023,18700,17000,17000,18700,700,17400
87,12/01/2023,19400,17000,19400,19000,500,17600
88,13/01/2023,18500,18000,18500,18000,1300,16700
89,16/01/2023,18000,18000,18000,18000,400,16700
90,17/01/2023,16200,16200,16200,16200,100,15000
91,18/01/2023,16200,16200,16200,16200,-,15000
92,19/01/2023,16200,16200,16200,16200,-,15000
93,27/01/2023,16200,16200,16200,16200,-,15000
94,30/01/2023,16200,16200,16200,16200,-,15000
95,31/01/2023,16200,16200,16200,16200,-,15000
96,01/02/2023,16200,16200,16200,16200,-,15000
97,02/02/2023,16200,16200,16200,16200,-,15000
98,03/02/2023,17800,17800,17800,17800,200,16500
99,06/02/2023,19400,19400,19400,19400,100,18000
100,07/02/2023,21000,21000,21000,21000,100,19500
101,08/02/2023,19000,19000,19000,19000,100,17600
102,09/02/2023,20900,19500,19500,20900,1200,19400
103,10/02/2023,20900,20900,20900,20900,-,19400
104,13/02/2023,20900,20900,20900,20900,-,19400
105,14/02/2023,21900,21000,21900,21000,1000,19500
106,15/02/2023,21800,21800,21800,21800,500,20300
107,16/02/2023,21800,21800,21800,21800,-,20300
108,17/02/2023,21700,21700,21700,21700,3200,20200
109,20/02/2023,21800,21800,21800,21800,1000,20300
110,21/02/2023,21800,21800,21800,21800,500,20300
111,22/02/2023,21800,21800,21800,21800,-,20300
112,23/02/2023,23900,23000,23000,23900,1100,22200
113,24/02/2023,23900,23900,23900,23900,-,22200
114,27/02/2023,23900,23900,23900,23900,-,22200
115,28/02/2023,23900,23900,23900,23900,-,22200
116,01/03/2023,23900,23900,23900,23900,-,22200
117,02/03/2023,23900,23900,23900,23900,-,22200
118,03/03/2023,23900,23900,23900,23900,-,22200
119,06/03/2023,23900,23900,23900,23900,-,22200
120,07/03/2023,22000,22000,22000,22000,1000,20400
