,Date,High,Low,Open,Close,Volume,Adj Close
0,17/10/2023,1700,1700,1700,1700,-,1700
1,18/10/2023,1700,1700,1700,1700,-,1700
2,19/10/2023,1700,1700,1700,1700,-,1700
3,20/10/2023,1600,1600,1600,1600,170303,1600
4,23/10/2023,1600,1600,1600,1600,-,1600
5,24/10/2023,1600,1600,1600,1600,-,1600
6,25/10/2023,1600,1600,1600,1600,-,1600
7,26/10/2023,1600,1600,1600,1600,-,1600
8,27/10/2023,1500,1500,1500,1500,54104,1500
9,30/10/2023,1500,1500,1500,1500,-,1500
10,31/10/2023,1500,1500,1500,1500,-,1500
11,01/11/2023,1500,1500,1500,1500,-,1500
12,02/11/2023,1500,1500,1500,1500,-,1500
13,03/11/2023,1400,1400,1400,1400,121388,1400
14,06/11/2023,1400,1400,1400,1400,-,1400
15,07/11/2023,1400,1400,1400,1400,-,1400
16,08/11/2023,1400,1400,1400,1400,-,1400
17,09/11/2023,1400,1400,1400,1400,-,1400
18,10/11/2023,1400,1300,1300,1400,1467000,1400
19,13/11/2023,1400,1400,1400,1400,-,1400
20,14/11/2023,1400,1400,1400,1400,-,1400
21,15/11/2023,1400,1400,1400,1400,-,1400
22,16/11/2023,1400,1400,1400,1400,-,1400
23,17/11/2023,1500,1300,1400,1500,613782,1500
24,20/11/2023,1500,1500,1500,1500,-,1500
25,21/11/2023,1500,1500,1500,1500,-,1500
26,22/11/2023,1500,1500,1500,1500,-,1500
27,23/11/2023,1500,1500,1500,1500,-,1500
28,24/11/2023,1400,1400,1400,1400,184700,1400
29,27/11/2023,1400,1400,1400,1400,-,1400
30,28/11/2023,1400,1400,1400,1400,-,1400
31,29/11/2023,1400,1400,1400,1400,-,1400
32,30/11/2023,1400,1400,1400,1400,-,1400
33,01/12/2023,1400,1300,1300,1300,556673,1300
34,04/12/2023,1300,1300,1300,1300,-,1300
35,05/12/2023,1300,1300,1300,1300,-,1300
36,06/12/2023,1300,1300,1300,1300,-,1300
37,07/12/2023,1300,1300,1300,1300,-,1300
38,08/12/2023,1300,1300,1300,1300,-,1300
39,11/12/2023,1300,1300,1300,1300,-,1300
40,12/12/2023,1300,1300,1300,1300,-,1300
41,13/12/2023,1300,1300,1300,1300,-,1300
42,14/12/2023,1300,1300,1300,1300,-,1300
43,15/12/2023,1300,1300,1300,1300,-,1300
44,18/12/2023,1300,1300,1300,1300,-,1300
45,19/12/2023,1300,1300,1300,1300,-,1300
46,20/12/2023,1300,1300,1300,1300,-,1300
47,21/12/2023,1300,1300,1300,1300,-,1300
48,22/12/2023,1300,1300,1300,1300,-,1300
49,25/12/2023,1300,1300,1300,1300,-,1300
50,26/12/2023,1300,1300,1300,1300,-,1300
51,27/12/2023,1300,1300,1300,1300,-,1300
52,28/12/2023,1300,1300,1300,1300,-,1300
53,29/12/2023,1300,1300,1300,1300,-,1300
