,Date,High,Low,Open,Close,Volume,Adj Close
0,20/03/2023,3400,3300,3400,3300,12100,3300
1,21/03/2023,3400,3400,3400,3400,4000,3400
2,22/03/2023,3500,3300,3400,3500,7100,3500
3,23/03/2023,3500,3400,3500,3400,1145,3400
4,24/03/2023,3500,3400,3400,3500,500,3500
5,27/03/2023,3600,3300,3500,3300,6001,3300
6,28/03/2023,3400,3300,3400,3300,1800,3300
7,29/03/2023,3400,3400,3400,3400,100,3400
8,30/03/2023,3400,3300,3400,3300,800,3300
9,31/03/2023,3300,3200,3300,3200,5600,3200
10,03/04/2023,3300,3100,3300,3100,6900,3100
11,04/04/2023,3200,3200,3200,3200,4000,3200
12,05/04/2023,3300,3200,3200,3200,20800,3200
13,06/04/2023,3300,3200,3200,3200,5800,3200
14,07/04/2023,3200,3100,3200,3100,20700,3100
15,10/04/2023,3300,3100,3100,3300,66738,3300
16,11/04/2023,3300,3300,3300,3300,148,3300
17,12/04/2023,3200,3100,3200,3200,17100,3200
18,13/04/2023,3200,3100,3100,3200,11800,3200
19,14/04/2023,3200,3100,3200,3200,1936,3200
20,17/04/2023,3100,3100,3100,3100,6400,3100
21,18/04/2023,3100,3100,3100,3100,1210,3100
22,19/04/2023,3200,3200,3200,3200,100,3200
23,20/04/2023,3200,3100,3100,3200,3201,3200
24,21/04/2023,3200,3100,3100,3200,1600,3200
25,24/04/2023,3200,3200,3200,3200,-,3200
26,25/04/2023,3200,3200,3200,3200,100,3200
27,26/04/2023,3100,3100,3100,3100,2800,3100
28,27/04/2023,3100,3100,3100,3100,2100,3100
29,28/04/2023,3100,3100,3100,3100,100,3100
30,04/05/2023,3100,2800,3100,2800,2600,2800
31,05/05/2023,3000,2900,2900,3000,18900,3000
32,08/05/2023,3200,3000,3100,3200,4472,3200
33,09/05/2023,3300,3200,3200,3300,17110,3300
34,10/05/2023,3600,3200,3200,3500,14919,3500
35,11/05/2023,3500,3200,3300,3200,23348,3200
36,12/05/2023,3500,3300,3300,3300,28300,3300
37,15/05/2023,3500,3100,3300,3300,24710,3300
38,16/05/2023,3500,3300,3400,3400,16300,3400
39,17/05/2023,3400,3300,3300,3300,12029,3300
40,18/05/2023,3300,3200,3300,3300,8800,3300
41,19/05/2023,3400,3300,3400,3300,2100,3300
42,22/05/2023,3400,3300,3400,3400,17710,3400
43,23/05/2023,3400,3300,3400,3300,21200,3300
44,24/05/2023,3300,3200,3200,3300,8100,3300
45,25/05/2023,3400,3300,3300,3400,19800,3400
46,26/05/2023,3400,3400,3400,3400,43210,3400
47,29/05/2023,3600,3400,3500,3600,30201,3600
48,30/05/2023,3800,3500,3600,3600,34754,3600
49,31/05/2023,3800,3600,3600,3700,44229,3700
50,01/06/2023,3900,3700,3700,3900,40020,3900
51,02/06/2023,4200,3900,4100,4100,11600,4100
52,05/06/2023,4000,3900,4000,4000,10304,4000
53,06/06/2023,4000,3700,3800,4000,17401,4000
54,07/06/2023,4300,3900,4000,4300,5700,4300
55,08/06/2023,4600,4000,4300,4400,14600,4400
56,09/06/2023,4700,4000,4000,4700,17600,4700
57,12/06/2023,5000,4400,5000,4800,12600,4800
58,13/06/2023,5100,4800,5100,4800,5630,4800
59,14/06/2023,5000,4700,5000,4800,11348,4800
60,15/06/2023,5000,4500,4900,4800,11400,4800
61,16/06/2023,4800,4500,4700,4600,20009,4600
62,19/06/2023,4600,4200,4600,4200,26550,4200
63,20/06/2023,4200,3900,4000,3900,8133,3900
64,21/06/2023,4200,3900,3900,4200,84300,4200
65,22/06/2023,4600,4500,4500,4600,8400,4600
66,23/06/2023,5000,4500,4600,5000,78933,5000
67,26/06/2023,5500,4800,5100,5200,52860,5200
68,27/06/2023,5300,5000,5300,5000,2400,5000
69,28/06/2023,5000,4500,4900,4600,23900,4600
70,29/06/2023,4800,4300,4400,4600,9700,4600
71,30/06/2023,4500,4300,4400,4400,19000,4400
72,03/07/2023,4500,4400,4500,4400,4406,4400
73,04/07/2023,4500,4300,4500,4500,4603,4500
74,05/07/2023,4700,4400,4700,4600,13267,4600
75,06/07/2023,4700,4400,4700,4400,13600,4400
76,07/07/2023,4400,4200,4400,4400,6500,4400
77,10/07/2023,4500,4400,4400,4400,8200,4400
78,11/07/2023,4400,4000,4200,4300,39800,4300
79,12/07/2023,4300,3900,4300,3900,90800,3900
80,13/07/2023,4100,4000,4000,4100,4293,4100
81,14/07/2023,4300,4100,4200,4200,18900,4200
82,17/07/2023,4500,4000,4200,4400,19708,4400
83,18/07/2023,4800,4400,4400,4800,265700,4800
84,19/07/2023,5100,4800,4900,4900,188419,4900
85,20/07/2023,4800,4600,4700,4800,106000,4800
86,21/07/2023,4900,4700,4700,4900,154981,4900
87,24/07/2023,5100,4800,4900,4900,108400,4900
88,25/07/2023,5000,4800,5000,4900,104400,4900
89,26/07/2023,5000,4800,5000,4900,113701,4900
