,Date,High,Low,Open,Close,Volume,Adj Close
0,21/04/2022,16900,14200,14200,16900,903,15700
1,22/04/2022,16900,16900,16900,16900,-,15700
2,25/04/2022,16900,16900,16900,16900,200,15700
3,26/04/2022,16900,16900,16900,16900,-,15700
4,27/04/2022,16900,16900,16900,16900,-,15700
5,28/04/2022,16900,16900,16900,16900,-,15700
6,29/04/2022,17000,16900,17000,16900,1100,15700
7,04/05/2022,18500,17500,18500,17900,510,16600
8,05/05/2022,17800,17800,17800,17800,500,16500
9,06/05/2022,19500,19400,19500,19400,1300,18000
10,09/05/2022,19400,19400,19400,19400,1,18000
11,10/05/2022,19200,19200,19200,19200,602,17800
12,11/05/2022,19100,19000,19100,19000,600,17600
13,12/05/2022,20800,17300,20800,18900,231400,17500
14,13/05/2022,20500,20500,20500,20500,4500,19000
15,16/05/2022,22400,22300,22400,22400,2600,20800
16,17/05/2022,22400,22400,22400,22400,-,20800
17,18/05/2022,24000,24000,24000,24000,200,22200
18,19/05/2022,24000,24000,24000,24000,-,22200
19,20/05/2022,21600,21600,21600,21600,125100,20000
20,23/05/2022,23700,20500,23700,20500,626,19000
21,24/05/2022,20500,20500,20500,20500,-,19000
22,25/05/2022,22400,22400,22400,22400,100,20800
23,26/05/2022,22400,22400,22400,22400,-,20800
24,27/05/2022,22400,22400,22400,22400,-,20800
25,30/05/2022,22400,22400,22400,22400,-,20800
26,31/05/2022,22400,22400,22400,22400,-,20800
27,01/06/2022,22400,22400,22400,22400,-,20800
28,02/06/2022,22400,22400,22400,22400,-,20800
29,03/06/2022,20200,20200,20200,20200,200,18700
30,06/06/2022,20200,20200,20200,20200,-,18700
31,07/06/2022,18500,18500,18500,18500,100,17100
32,08/06/2022,20300,17000,20300,17000,800,15800
33,09/06/2022,15300,15300,15300,15300,300,14200
34,10/06/2022,15300,13800,13800,14000,11900,13000
35,13/06/2022,13000,13000,13000,13000,1500,12000
36,14/06/2022,13000,13000,13000,13000,-,12000
37,15/06/2022,14000,14000,14000,14000,100,13000
38,16/06/2022,14000,14000,14000,14000,100,13000
39,17/06/2022,14000,14000,14000,14000,100,13000
40,20/06/2022,14000,14000,14000,14000,-,13000
41,21/06/2022,15400,15400,15400,15400,100,14300
42,22/06/2022,16900,13900,16900,13900,200,12900
43,23/06/2022,15200,15200,15200,15200,2300,14100
44,24/06/2022,16700,16700,16700,16700,100,15500
45,27/06/2022,15400,15400,15400,15400,100,14300
46,28/06/2022,14000,14000,14000,14000,2400,13000
47,29/06/2022,14500,14500,14500,14500,1400,13400
48,30/06/2022,15900,15900,15900,15900,100,14700
49,01/07/2022,15900,15900,15900,15900,-,14700
50,04/07/2022,15900,15900,15900,15900,-,14700
51,05/07/2022,15900,15900,15900,15900,-,14700
52,06/07/2022,15900,15900,15900,15900,-,14700
53,07/07/2022,15900,15900,15900,15900,-,14700
54,08/07/2022,15900,15900,15900,15900,1100,14700
55,11/07/2022,15900,15900,15900,15900,-,14700
56,12/07/2022,15900,15900,15900,15900,-,14700
57,13/07/2022,15900,15900,15900,15900,-,14700
58,14/07/2022,15900,15900,15900,15900,-,14700
59,15/07/2022,15900,15900,15900,15900,-,14700
60,18/07/2022,15900,15900,15900,15900,-,14700
61,19/07/2022,14900,14500,14500,14900,1500,13800
62,20/07/2022,16300,14900,16300,14900,3800,13800
63,21/07/2022,15300,15100,15300,15200,13600,14100
64,22/07/2022,15200,15200,15200,15200,-,14100
65,25/07/2022,15200,15200,15200,15200,3000,14100
66,26/07/2022,14500,14500,14500,14500,100,13400
67,27/07/2022,14500,14500,14500,14500,1000,13400
68,28/07/2022,13200,13200,13200,13200,1000,12200
69,29/07/2022,14500,14500,14500,14500,300,13400
70,01/08/2022,14500,14500,14500,14500,-,13400
71,02/08/2022,14500,14500,14500,14500,-,13400
72,03/08/2022,14000,14000,14000,14000,600,13000
73,04/08/2022,14000,14000,14000,14000,-,13000
74,05/08/2022,15000,15000,15000,15000,15600,13900
75,08/08/2022,15000,15000,15000,15000,-,13900
76,09/08/2022,15000,15000,15000,15000,-,13900
77,10/08/2022,15000,15000,15000,15000,-,13900
78,11/08/2022,15000,15000,15000,15000,-,13900
79,12/08/2022,15000,15000,15000,15000,-,13900
80,15/08/2022,15000,15000,15000,15000,-,13900
81,16/08/2022,14000,14000,14000,14000,1000,13000
82,17/08/2022,14000,14000,14000,14000,-,13000
83,18/08/2022,14000,14000,14000,14000,-,13000
84,19/08/2022,14000,14000,14000,14000,-,13000
85,22/08/2022,14000,14000,14000,14000,-,13000
86,23/08/2022,14000,14000,14000,14000,-,13000
87,24/08/2022,14000,14000,14000,14000,-,13000
88,25/08/2022,14000,14000,14000,14000,-,13000
89,26/08/2022,15400,15400,15400,15400,300,14300
90,29/08/2022,15400,15400,15400,15400,-,14300
91,30/08/2022,15400,15400,15400,15400,-,14300
92,31/08/2022,15400,15400,15400,15400,-,14300
93,05/09/2022,15400,15400,15400,15400,3,14300
94,06/09/2022,15400,15400,15400,15400,-,14300
95,07/09/2022,15400,15400,15400,15400,7,14300
96,08/09/2022,15400,15400,15400,15400,-,14300
97,09/09/2022,15400,15400,15400,15400,-,14300
98,12/09/2022,15400,15400,15400,15400,-,14300
99,13/09/2022,15400,15400,15400,15400,-,14300
100,14/09/2022,15400,15400,15400,15400,-,14300
101,15/09/2022,15400,15400,15400,15400,-,14300
102,16/09/2022,15400,15400,15400,15400,-,14300
103,19/09/2022,13900,13900,13900,13900,2500,12900
104,20/09/2022,13900,13900,13900,13900,-,12900
105,21/09/2022,13900,13900,13900,13900,-,12900
106,22/09/2022,13900,13900,13900,13900,-,12900
107,23/09/2022,13900,13900,13900,13900,-,12900
108,26/09/2022,13900,13900,13900,13900,-,12900
