,Date,High,Low,Open,Close,Volume,Adj Close
0,17/11/2022,2900,2800,2800,2900,168400,2900
1,18/11/2022,3000,2800,2900,3000,91400,3000
2,21/11/2022,3100,2900,3100,3100,78300,3100
3,22/11/2022,3300,3000,3100,3100,214100,3100
4,23/11/2022,3100,3000,3100,3100,60400,3100
5,24/11/2022,3100,2900,3000,2900,30046,2900
6,25/11/2022,3100,2900,2900,3100,86700,3100
7,28/11/2022,3300,3100,3100,3300,136646,3300
8,29/11/2022,3400,3100,3300,3200,147100,3200
9,30/11/2022,3300,3100,3300,3200,130100,3200
10,01/12/2022,3500,3200,3300,3300,427598,3300
11,02/12/2022,3500,3400,3400,3500,171100,3500
12,05/12/2022,3600,3400,3400,3500,162600,3500
13,06/12/2022,3600,3300,3600,3300,299000,3300
14,07/12/2022,3300,3100,3300,3100,116124,3100
15,08/12/2022,3300,3100,3100,3200,133644,3200
16,09/12/2022,3200,3100,3200,3200,31700,3200
17,12/12/2022,3300,3100,3200,3100,111807,3100
18,13/12/2022,3200,3000,3200,3200,46300,3200
19,14/12/2022,3300,3200,3300,3200,51400,3200
20,15/12/2022,3200,3100,3200,3200,27930,3200
21,16/12/2022,3200,3100,3200,3100,61301,3100
22,19/12/2022,3300,3100,3100,3200,153739,3200
23,20/12/2022,3200,3000,3200,3100,117600,3100
24,21/12/2022,3100,3000,3100,3000,53001,3000
25,22/12/2022,3100,2900,3000,3000,43339,3000
26,23/12/2022,3000,2900,3000,3000,6300,3000
27,26/12/2022,3000,2800,3000,2800,102300,2800
28,27/12/2022,3000,2800,2800,3000,31320,3000
29,28/12/2022,3100,2900,2900,3100,19300,3100
30,29/12/2022,3100,2900,3000,3100,12700,3100
31,30/12/2022,3000,2800,3000,3000,62400,3000
32,03/01/2023,3100,2900,2900,3000,69519,3000
33,04/01/2023,3100,3000,3000,3100,68500,3100
34,05/01/2023,3100,3000,3100,3000,8000,3000
35,06/01/2023,3100,3000,3000,3000,46919,3000
36,09/01/2023,3100,3000,3000,3000,65600,3000
37,10/01/2023,3100,3000,3100,3100,49600,3100
38,11/01/2023,3100,3100,3100,3100,39500,3100
39,12/01/2023,3100,3000,3100,3100,29100,3100
40,13/01/2023,3100,3100,3100,3100,34300,3100
41,16/01/2023,3100,3000,3000,3100,21100,3100
42,17/01/2023,3100,3100,3100,3100,12300,3100
43,18/01/2023,3100,3000,3100,3100,57440,3100
44,19/01/2023,3300,3200,3200,3200,89900,3200
45,27/01/2023,3300,3200,3300,3200,41985,3200
46,30/01/2023,3400,3200,3300,3300,71251,3300
47,31/01/2023,3500,3300,3400,3500,125209,3500
48,01/02/2023,3600,3300,3500,3300,94850,3300
49,02/02/2023,3400,3200,3400,3300,60320,3300
50,03/02/2023,3300,3200,3300,3300,42100,3300
51,06/02/2023,3400,3200,3300,3400,71605,3400
52,07/02/2023,3300,3200,3300,3300,140940,3300
53,08/02/2023,3300,3200,3200,3300,35405,3300
54,09/02/2023,3300,3200,3300,3300,16900,3300
55,10/02/2023,3300,3200,3200,3200,31300,3200
56,13/02/2023,3200,3000,3100,3000,57101,3000
57,14/02/2023,3100,3000,3000,3100,18500,3100
58,15/02/2023,3100,3000,3100,3000,48310,3000
59,16/02/2023,3200,3000,3000,3100,63500,3100
60,17/02/2023,3200,3000,3000,3100,25510,3100
61,20/02/2023,3300,3100,3200,3200,73400,3200
62,21/02/2023,3300,3200,3300,3300,49200,3300
63,22/02/2023,3300,3200,3300,3300,82800,3300
64,23/02/2023,3300,3200,3200,3300,71539,3300
65,24/02/2023,3600,3300,3300,3600,758487,3600
66,27/02/2023,3900,3500,3600,3700,582280,3700
67,28/02/2023,3800,3400,3800,3400,324147,3400
68,01/03/2023,3500,3200,3400,3400,226100,3400
69,02/03/2023,3500,3300,3400,3400,142870,3400
70,03/03/2023,3400,3300,3400,3300,102500,3300
71,06/03/2023,3400,3300,3400,3300,57570,3300
72,07/03/2023,3300,3200,3300,3300,36000,3300
73,08/03/2023,3300,3200,3300,3300,44200,3300
74,09/03/2023,3400,3300,3300,3400,68900,3400
75,10/03/2023,3400,3300,3300,3300,90100,3300
76,13/03/2023,3300,3100,3300,3200,128700,3200
77,14/03/2023,3300,3100,3200,3200,118000,3200
78,15/03/2023,3400,3200,3200,3300,113200,3300
79,16/03/2023,3300,3200,3200,3300,30700,3300
80,17/03/2023,3300,3200,3300,3300,14573,3300
81,20/03/2023,3300,3100,3300,3200,55417,3200
82,21/03/2023,3200,3100,3200,3200,124663,3200
83,22/03/2023,3300,3100,3200,3100,111200,3100
84,23/03/2023,3200,3100,3100,3200,85600,3200
85,24/03/2023,3300,3100,3100,3200,87940,3200
86,27/03/2023,3200,3100,3200,3200,169600,3200
87,28/03/2023,3200,3100,3100,3100,21100,3100
88,29/03/2023,3300,3100,3200,3100,45032,3100
89,30/03/2023,3200,3200,3200,3200,29054,3200
90,31/03/2023,3200,3100,3100,3200,4500,3200
91,03/04/2023,3200,3100,3100,3200,186349,3200
92,04/04/2023,3300,3200,3200,3200,13427,3200
93,05/04/2023,3300,3200,3200,3300,102106,3300
94,06/04/2023,3400,3300,3300,3400,109210,3400
95,07/04/2023,3400,3200,3400,3300,74380,3300
96,10/04/2023,3400,3300,3300,3300,85333,3300
97,11/04/2023,3500,3300,3400,3500,355904,3500
98,12/04/2023,3700,3500,3500,3500,336527,3500
99,13/04/2023,3500,3300,3500,3500,144512,3500
100,14/04/2023,3600,3300,3600,3300,174600,3300
101,17/04/2023,3300,3300,3300,3300,77800,3300
102,18/04/2023,3400,3200,3400,3400,48360,3400
103,19/04/2023,3400,3200,3400,3200,50601,3200
104,20/04/2023,3300,3200,3200,3300,28801,3300
105,21/04/2023,3300,3200,3300,3200,129705,3200
106,24/04/2023,3300,3200,3300,3300,82300,3300
107,25/04/2023,3300,3200,3300,3300,97400,3300
108,26/04/2023,3300,3200,3300,3200,64500,3200
109,27/04/2023,3300,3200,3200,3200,73400,3200
110,28/04/2023,3300,3200,3200,3200,204353,3200
111,04/05/2023,3200,3100,3200,3200,74262,3200
112,05/05/2023,3200,3100,3200,3200,145368,3200
113,08/05/2023,3300,3200,3300,3200,275172,3200
114,09/05/2023,3200,3100,3200,3200,269600,3200
115,10/05/2023,3400,3200,3200,3300,899513,3300
116,11/05/2023,3500,3300,3300,3500,1244351,3500
117,12/05/2023,3600,3300,3600,3400,1457233,3400
118,15/05/2023,3600,3400,3500,3500,572619,3500
119,16/05/2023,3500,3400,3500,3400,510037,3400
120,17/05/2023,3700,3400,3400,3700,3118403,3700
121,18/05/2023,4000,3600,4000,3900,2183195,3900
122,19/05/2023,4100,3600,4100,3600,2939234,3600
123,22/05/2023,3800,3600,3600,3700,413511,3700
124,23/05/2023,3700,3500,3700,3600,867544,3600
125,24/05/2023,3700,3500,3600,3600,591551,3600
126,25/05/2023,3600,3500,3600,3500,528900,3500
127,26/05/2023,3700,3500,3500,3700,302100,3700
128,29/05/2023,3900,3600,3700,3900,1328159,3900
129,30/05/2023,4000,3800,3900,3900,1185780,3900
130,31/05/2023,4200,3900,3900,4200,1745644,4200
131,01/06/2023,4400,4100,4200,4200,1427553,4200
132,02/06/2023,4400,4000,4200,4200,1327934,4200
133,05/06/2023,4300,4100,4200,4200,525564,4200
134,06/06/2023,4500,4100,4200,4500,1379788,4500
135,07/06/2023,4600,4400,4500,4500,677565,4500
136,08/06/2023,4500,4200,4500,4200,1409402,4200
137,09/06/2023,4300,4100,4200,4300,528221,4300
138,12/06/2023,4400,4200,4300,4300,553413,4300
139,13/06/2023,4600,4300,4300,4600,776620,4600
140,14/06/2023,4700,4300,4700,4500,760577,4500
141,15/06/2023,4500,4200,4400,4300,748839,4300
142,16/06/2023,4400,4200,4300,4200,706400,4200
143,19/06/2023,4300,3800,4300,3900,1247128,3900
144,20/06/2023,4000,3700,3700,3900,219070,3900
145,21/06/2023,4100,3900,3900,4000,281265,4000
146,22/06/2023,4200,4000,4000,4100,536207,4100
147,23/06/2023,4200,4000,4100,4100,523259,4100
148,26/06/2023,4100,3800,4100,4000,581387,4000
149,27/06/2023,4000,3900,4000,4000,147502,4000
150,28/06/2023,4000,3900,3900,3900,503505,3900
151,29/06/2023,4000,3800,3900,3800,479789,3800
152,30/06/2023,3800,3600,3800,3700,283041,3700
153,03/07/2023,3800,3600,3700,3800,57565,3800
154,04/07/2023,3900,3700,3800,3900,199010,3900
155,05/07/2023,3900,3800,3900,3900,114601,3900
156,06/07/2023,3900,3700,3800,3800,199400,3800
157,07/07/2023,3800,3700,3800,3800,103900,3800
158,10/07/2023,3900,3700,3800,3800,419404,3800
159,11/07/2023,3900,3800,3800,3800,144717,3800
160,12/07/2023,3900,3800,3800,3800,193678,3800
161,13/07/2023,3900,3700,3800,3800,403470,3800
162,14/07/2023,3900,3800,3800,3800,270637,3800
163,17/07/2023,4100,3800,3800,4100,1228403,4100
164,18/07/2023,4300,4000,4200,4100,437726,4100
165,19/07/2023,4100,3900,4000,3900,217252,3900
166,20/07/2023,4000,3900,3900,4000,326235,4000
167,21/07/2023,4100,3900,4000,3900,315452,3900
168,24/07/2023,4100,3900,3900,4100,243700,4100
169,25/07/2023,4100,4000,4100,4000,338327,4000
170,26/07/2023,4100,3900,4000,4000,129400,4000
171,27/07/2023,4000,3800,3900,3900,549911,3900
172,28/07/2023,4100,3900,3900,4000,672960,4000
173,31/07/2023,4200,4000,4000,4100,416946,4100
174,01/08/2023,4200,3900,4000,4000,529430,4000
175,02/08/2023,4000,3900,4000,3900,233402,3900
176,03/08/2023,4000,3800,3900,3800,584710,3800
177,04/08/2023,4000,3800,3800,4000,184149,4000
178,07/08/2023,4100,3900,4000,4000,530025,4000
179,08/08/2023,4200,4000,4000,4000,591948,4000
180,09/08/2023,4400,4100,4100,4300,1532970,4300
181,10/08/2023,4400,4100,4300,4100,1128973,4100
182,11/08/2023,4200,4000,4100,4100,813739,4100
183,14/08/2023,4200,4000,4100,4200,412428,4200
184,15/08/2023,4200,4000,4200,4100,730780,4100
185,16/08/2023,4100,3900,4100,3900,549711,3900
186,17/08/2023,4100,3900,4000,4000,1390039,4000
187,18/08/2023,4000,3600,4000,3700,1095277,3700
188,21/08/2023,3800,3600,3700,3700,430202,3700
189,22/08/2023,3700,3500,3700,3700,426615,3700
190,23/08/2023,3700,3500,3700,3600,381799,3600
191,24/08/2023,3700,3600,3600,3600,256248,3600
192,25/08/2023,3700,3600,3600,3700,183729,3700
193,28/08/2023,3700,3600,3700,3600,251735,3600
194,29/08/2023,3700,3600,3600,3700,321481,3700
195,30/08/2023,3700,3600,3700,3700,135725,3700
196,31/08/2023,3800,3600,3700,3700,367562,3700
197,05/09/2023,3800,3600,3700,3800,193515,3800
198,06/09/2023,3800,3700,3800,3800,109101,3800
199,07/09/2023,3900,3700,3800,3700,310485,3700
200,08/09/2023,3800,3700,3700,3700,333037,3700
201,11/09/2023,3800,3600,3700,3700,254990,3700
202,12/09/2023,3800,3600,3700,3700,127510,3700
