,Date,High,Low,Open,Close,Volume,Adj Close
0,14/02/2023,6400,6400,6400,6400,-,5200
1,15/02/2023,6400,6400,6400,6400,-,5200
2,16/02/2023,6400,6400,6400,6400,-,5200
3,17/02/2023,6400,6400,6400,6400,-,5200
4,20/02/2023,6400,6400,6400,6400,-,5200
5,21/02/2023,5800,5800,5800,5800,1800,4800
6,22/02/2023,5800,5800,5800,5800,-,4800
7,23/02/2023,6300,6300,6300,6300,100,5200
8,24/02/2023,6300,6300,6300,6300,-,5200
9,27/02/2023,6700,5700,6700,5700,200,4700
10,28/02/2023,5700,5700,5700,5700,-,4700
11,01/03/2023,5700,5700,5700,5700,-,4700
12,02/03/2023,5700,5700,5700,5700,-,4700
13,03/03/2023,5200,5200,5200,5200,1000,4300
14,06/03/2023,5200,5200,5200,5200,-,4300
15,07/03/2023,5200,5200,5200,5200,-,4300
16,08/03/2023,5700,5700,5700,5700,100,4700
17,09/03/2023,5700,5700,5700,5700,-,4700
18,10/03/2023,5700,5700,5700,5700,500,4700
19,13/03/2023,6100,5200,5200,6100,200,5000
20,14/03/2023,6100,5500,6100,5500,1500,4500
21,15/03/2023,5500,5500,5500,5500,-,4500
22,16/03/2023,5500,5500,5500,5500,-,4500
23,17/03/2023,5900,5900,5900,5900,100,4800
24,20/03/2023,5900,5900,5900,5900,-,4800
25,21/03/2023,5900,5900,5900,5900,-,4800
26,22/03/2023,5900,5900,5900,5900,-,4800
27,23/03/2023,5900,5900,5900,5900,-,4800
28,24/03/2023,5900,5900,5900,5900,-,4800
29,27/03/2023,5900,5900,5900,5900,-,4800
30,28/03/2023,5900,5900,5900,5900,-,4800
31,29/03/2023,5900,5900,5900,5900,-,4800
32,30/03/2023,5900,5900,5900,5900,-,4800
33,31/03/2023,5900,5900,5900,5900,-,4800
34,03/04/2023,5900,5900,5900,5900,-,4800
35,04/04/2023,5900,5900,5900,5900,-,4800
36,05/04/2023,5900,5900,5900,5900,-,4800
