,Date,High,Low,Open,Close,Volume,Adj Close
0,12/12/2022,12000,11500,12000,11500,324,11500
1,13/12/2022,11500,11500,11500,11500,596,11500
2,14/12/2022,11500,11500,11500,11500,600,11500
3,15/12/2022,12100,11600,11600,11700,6400,11700
4,16/12/2022,12000,11900,11900,12000,800,12000
5,19/12/2022,12200,12200,12200,12200,5000,12200
6,20/12/2022,12900,11400,12900,11600,500,11600
7,21/12/2022,11800,10500,10500,11200,2700,11200
8,22/12/2022,11400,11200,11400,11200,200,11200
9,23/12/2022,10600,10500,10600,10600,900,10600
10,26/12/2022,11600,11100,11600,11100,3700,11100
11,27/12/2022,11200,11200,11200,11200,200,11200
12,28/12/2022,11800,10700,10700,11000,1400,11000
13,29/12/2022,11000,11000,11000,11000,105,11000
14,30/12/2022,11400,10000,11300,11000,4603,11000
15,03/01/2023,11200,11000,11000,11200,1200,11200
16,04/01/2023,11600,11100,11600,11200,802,11200
17,05/01/2023,11500,11500,11500,11500,100,11500
18,06/01/2023,11400,11400,11400,11400,1200,11400
19,09/01/2023,10600,10600,10600,10600,348,10600
20,10/01/2023,11300,10800,10800,11300,1301,11300
21,11/01/2023,11400,11300,11300,11300,1401,11300
22,12/01/2023,11300,11000,11000,11300,2010,11300
23,13/01/2023,11600,10900,11600,11300,1400,11300
24,16/01/2023,11300,11300,11300,11300,-,11300
25,17/01/2023,11300,10900,10900,11300,2900,11300
26,18/01/2023,12400,11700,11700,12400,11876,12400
27,19/01/2023,12600,12000,12500,12500,2800,12500
28,27/01/2023,12700,12600,12700,12600,400,12600
29,30/01/2023,13300,12400,13300,12400,300,12400
30,31/01/2023,13000,12500,13000,12600,4600,12600
31,01/02/2023,13700,12600,13000,12600,5800,12600
32,02/02/2023,13000,12600,12700,12600,8105,12600
33,03/02/2023,12600,12600,12600,12600,300,12600
34,06/02/2023,13800,12400,12800,12400,2901,12400
35,07/02/2023,12700,12600,12600,12700,700,12700
36,08/02/2023,13000,12800,13000,12900,1600,12900
37,09/02/2023,12900,12900,12900,12900,-,12900
38,10/02/2023,12400,12400,12400,12400,400,12400
39,13/02/2023,12000,11600,12000,12000,5900,12000
40,14/02/2023,12000,11700,11700,12000,300,12000
41,15/02/2023,11900,11700,11700,11900,1104,11900
42,16/02/2023,12000,11700,11700,12000,600,12000
43,17/02/2023,12000,10900,10900,12000,1800,12000
44,20/02/2023,13200,10800,10800,11900,5300,11900
45,21/02/2023,12300,12000,12000,12300,2000,12300
46,22/02/2023,12000,11700,11800,12000,1700,12000
47,23/02/2023,11700,11500,11600,11700,1100,11700
48,24/02/2023,11700,11700,11700,11700,-,11700
49,27/02/2023,11800,11700,11700,11700,2500,11700
50,28/02/2023,11700,11700,11700,11700,1000,11700
51,01/03/2023,11900,11700,11700,11900,4600,11900
52,02/03/2023,11900,11900,11900,11900,400,11900
53,03/03/2023,11900,11900,11900,11900,-,11900
54,06/03/2023,12000,11700,12000,11900,800,11900
55,07/03/2023,11900,11900,11900,11900,-,11900
56,08/03/2023,11900,11300,11900,11700,2600,11700
57,09/03/2023,11800,11800,11800,11800,5202,11800
58,10/03/2023,11800,11800,11800,11800,-,11800
59,13/03/2023,11600,11600,11600,11600,371,11600
60,14/03/2023,11700,11600,11600,11600,5603,11600
61,15/03/2023,11600,11500,11600,11600,8900,11600
62,16/03/2023,11600,11500,11500,11600,3400,11600
63,17/03/2023,11500,11500,11500,11500,2015,11500
64,20/03/2023,11600,11600,11600,11600,276,11600
65,21/03/2023,11900,11500,11900,11600,6800,11600
66,22/03/2023,11900,11100,11600,11600,5600,11600
67,23/03/2023,11600,11600,11600,11600,100,11600
68,24/03/2023,11600,11500,11600,11500,6115,11500
69,27/03/2023,12200,11800,11800,12200,4780,12200
70,28/03/2023,12000,12000,12000,12000,300,12000
71,29/03/2023,12000,12000,12000,12000,-,12000
72,30/03/2023,12000,12000,12000,12000,100,12000
73,31/03/2023,12000,11900,11900,12000,3000,12000
74,03/04/2023,12200,12000,12000,12200,1810,12200
75,04/04/2023,12400,12200,12200,12400,1613,12400
76,05/04/2023,12400,12200,12400,12400,4600,12400
