,Date,High,Low,Open,Close,Volume,Adj Close
3501,27/11/2007,54000,30000,30000.0,46000,21000,24500
3500,28/11/2007,45000,39000,39000.0,45000,21900,24000
3499,29/11/2007,46200,44000,45000.0,46200,23500,24600
3498,30/11/2007,49200,49200,49200.0,49200,16500,26200
3497,03/12/2007,54100,54000,54100.0,54100,54100,28900
3496,04/12/2007,59500,58000,59000.0,59500,54500,31700
3495,05/12/2007,65400,54500,65400.0,57500,30400,30700
3494,06/12/2007,55200,53900,54000.0,53900,31100,28800
3493,07/12/2007,59600,53500,55000.0,59600,79600,31800
3492,10/12/2007,64600,64600,64600.0,64600,36500,34500
3491,11/12/2007,71000,64400,71000.0,71000,115000,37900
3490,12/12/2007,76400,71000,76300.0,76400,58700,40800
3489,13/12/2007,80000,74500,74600.0,76500,49000,40800
3488,14/12/2007,75300,71000,71411.0,73000,50600,38900
3487,17/12/2007,72000,68300,69481.0,68500,28000,36500
3486,18/12/2007,71900,63300,64560.0,71500,29000,38100
3485,19/12/2007,74000,70200,70446.0,72500,14800,38700
3484,20/12/2007,73000,66500,68516.0,69000,13400,36800
3483,21/12/2007,73000,70500,70500.0,71000,10500,37900
3482,24/12/2007,74000,70000,71411.0,72000,15300,38400
3481,25/12/2007,71000,68000,68516.0,70000,8800,37300
3480,26/12/2007,71500,69000,69000.0,69000,13900,36800
3479,27/12/2007,70200,69500,69500.0,70000,6600,37300
3478,28/12/2007,70000,69500,69500.0,70000,4000,37300
3477,02/01/2008,68500,66100,66104.0,66700,4300,35600
3476,03/01/2008,66400,64500,64500.0,64500,4000,34400
3475,04/01/2008,67000,64100,64100.0,66000,4500,35200
3474,07/01/2008,63900,60000,61664.0,61500,7300,32800
3473,08/01/2008,63300,58000,59831.0,61900,17500,33000
3472,09/01/2008,60000,56000,57901.0,59000,8200,31500
3471,10/01/2008,54500,52200,52593.0,54300,18300,29000
3470,11/01/2008,57600,50000,55006.0,54000,15600,28800
3469,14/01/2008,52000,48800,50181.0,48800,10300,26000
3468,15/01/2008,45100,44800,44800.0,44800,7900,23900
3467,16/01/2008,49300,47000,47000.0,49300,16300,26300
3466,17/01/2008,53100,45000,51049.0,51000,28100,27200
3465,18/01/2008,54000,50000,50000.0,50100,32300,26700
3464,21/01/2008,56200,52500,52500.0,56200,19200,30000
3463,22/01/2008,59600,56600,59600.0,59600,63700,31800
3462,23/01/2008,65300,54200,65000.0,60000,35900,32000
3461,24/01/2008,66100,58000,66000.0,60000,51600,32000
3460,25/01/2008,63000,58000,58000.0,59000,16300,31500
3459,28/01/2008,60500,56000,60500.0,56100,11700,29900
3458,29/01/2008,62900,56000,56000.0,60100,44100,32100
3457,30/01/2008,65800,64500,64500.0,65800,30500,35100
3456,31/01/2008,72000,60500,72000.0,67100,23400,35800
