,Date,High,Low,Open,Close,Volume,Adj Close
0,08/05/2009,26900,24000,26000.0,26500,35200,5700
1,11/05/2009,27300,26500,27300.0,26500,18600,5700
2,12/05/2009,27100,25500,27000.0,27000,7100,5800
3,13/05/2009,26000,25100,25200.0,25100,3100,5400
4,14/05/2009,23600,23600,23600.0,23600,2500,5100
5,15/05/2009,22000,22000,22000.0,22000,6700,4800
6,18/05/2009,20500,20500,20500.0,20500,500,4400
7,19/05/2009,19100,19100,19100.0,19100,7900,4100
8,20/05/2009,20400,17800,17800.0,20400,30400,4400
9,21/05/2009,20200,20200,20200.0,20200,1500,4400
10,22/05/2009,21600,21500,21600.0,21600,7100,4700
11,25/05/2009,23100,22300,23100.0,23100,41700,5000
12,26/05/2009,24700,24000,24500.0,24200,40900,5200
13,27/05/2009,25500,24500,24500.0,24900,20900,5400
14,28/05/2009,23700,23500,23700.0,23500,4500,5100
15,29/05/2009,24000,22000,22000.0,23500,2900,5100
16,01/06/2009,23700,22000,22000.0,23700,12100,5100
17,02/06/2009,25000,23700,25000.0,24000,6200,5200
18,03/06/2009,25000,22800,24500.0,22900,6900,5000
19,04/06/2009,25100,24900,25000.0,25100,35100,5400
20,05/06/2009,26700,26700,26700.0,26700,25600,5800
21,08/06/2009,28500,28200,28500.0,28500,48800,6200
22,09/06/2009,30400,28500,28500.0,28500,27500,6200
23,10/06/2009,28000,27000,28000.0,27000,19400,5800
24,11/06/2009,27500,26800,27000.0,27300,30000,5900
25,12/06/2009,25000,24100,25000.0,24500,8200,5800
26,15/06/2009,22700,22700,22700.0,22700,2300,5400
27,16/06/2009,21200,21200,21200.0,21200,5400,5100
28,17/06/2009,21200,19800,19800.0,21100,28500,5000
29,18/06/2009,21200,21200,21200.0,21200,14800,5100
30,19/06/2009,22600,21200,22600.0,21700,4400,5200
31,22/06/2009,21700,21700,21700.0,21700,2000,5200
32,23/06/2009,20200,20200,20200.0,20200,500,4800
33,24/06/2009,21600,21600,21600.0,21600,2700,5100
34,25/06/2009,23100,20100,23000.0,20100,1500,4800
35,26/06/2009,20000,19800,19800.0,20000,8000,4800
36,29/06/2009,19300,18600,19300.0,18600,2000,4400
37,30/06/2009,20000,18300,20000.0,18300,1200,4400
38,01/07/2009,18400,18400,18400.0,18400,12400,4400
39,02/07/2009,17600,17200,17200.0,17200,12000,4100
40,03/07/2009,18000,17500,17500.0,18000,3100,4300
41,06/07/2009,18900,18000,18000.0,18900,1800,4500
42,07/07/2009,19000,18800,19000.0,18800,3100,4500
43,08/07/2009,18900,17900,17900.0,18900,900,4500
44,09/07/2009,17300,17300,17300.0,17300,100,4100
45,10/07/2009,17200,17000,17000.0,17200,2000,4100
46,13/07/2009,17200,16100,16100.0,16200,1900,3900
47,14/07/2009,17800,17800,17800.0,17800,100,4200
48,15/07/2009,17800,17800,17800.0,17800,100,4200
49,16/07/2009,18500,17000,18500.0,17000,1100,4100
50,17/07/2009,17900,17900,17900.0,17900,100,4300
51,20/07/2009,18000,18000,18000.0,18000,1100,4300
52,21/07/2009,18500,18400,18400.0,18500,1100,4400
53,22/07/2009,19500,18500,19500.0,18500,7200,4400
54,23/07/2009,18500,18000,18000.0,18500,3400,4400
55,24/07/2009,19500,19000,19000.0,19500,7300,4600
56,27/07/2009,20600,20000,20600.0,20000,1400,4800
57,28/07/2009,21200,18700,21200.0,19000,4900,4500
58,29/07/2009,19900,19900,19900.0,19900,400,4700
59,30/07/2009,19800,19800,19800.0,19800,200,4700
60,31/07/2009,19700,19000,19500.0,19000,9100,4500
61,03/08/2009,18500,18000,18500.0,18500,1800,4400
62,04/08/2009,19500,18000,19500.0,18000,3400,4300
63,05/08/2009,17600,17100,17100.0,17600,3000,4200
64,06/08/2009,18500,17500,17500.0,17600,3800,4200
65,07/08/2009,18000,18000,18000.0,18000,-,4300
66,10/08/2009,19000,19000,19000.0,19000,100,4500
67,11/08/2009,18000,17700,17700.0,17700,2600,4200
68,12/08/2009,18500,16700,16700.0,18500,1900,4400
69,13/08/2009,17500,17500,17500.0,17500,3100,4200
70,14/08/2009,18600,18600,18600.0,18600,100,4400
71,17/08/2009,19900,17400,17400.0,17700,4600,4200
72,18/08/2009,17800,17000,17000.0,17600,6900,4200
73,19/08/2009,18500,18200,18500.0,18200,2400,4300
74,20/08/2009,17600,17600,17600.0,17600,100,4200
75,21/08/2009,18000,17600,18000.0,17600,3700,4200
76,24/08/2009,17000,17000,17000.0,17000,5900,4100
77,25/08/2009,17000,16600,17000.0,17000,7400,4100
78,26/08/2009,17900,17900,17900.0,17900,900,4300
79,27/08/2009,17900,17900,17900.0,17900,-,4300
80,28/08/2009,17900,17000,17000.0,17900,4100,4300
81,31/08/2009,17800,17000,17200.0,17800,19200,4200
82,01/09/2009,17900,17300,17700.0,17900,8800,4300
83,03/09/2009,17600,16500,16600.0,17600,5000,4200
84,04/09/2009,17700,16100,16100.0,17000,1500,4100
85,07/09/2009,16900,16200,16200.0,16900,5300,4000
86,08/09/2009,17900,16000,16000.0,17900,10200,4300
87,09/09/2009,18900,17800,18900.0,18000,34200,4300
88,10/09/2009,18000,17600,18000.0,17600,3100,4200
89,11/09/2009,17700,17700,17700.0,17700,1500,4200
90,14/09/2009,18900,17700,18900.0,17700,5300,4200
91,15/09/2009,17200,17000,17000.0,17100,13100,4100
92,16/09/2009,17200,17000,17200.0,17100,4100,4100
93,17/09/2009,17200,16900,17200.0,16900,3000,4000
94,18/09/2009,17500,17000,17100.0,17100,6700,4100
95,21/09/2009,17300,17000,17200.0,17100,15300,4100
96,22/09/2009,17100,16800,17000.0,16800,10100,4000
97,23/09/2009,17000,16200,16800.0,16200,5500,3900
98,24/09/2009,17000,16500,16500.0,17000,1700,4100
99,25/09/2009,17000,16000,16000.0,17000,4100,4100
100,28/09/2009,16500,16400,16500.0,16500,1800,3900
101,29/09/2009,16800,16600,16800.0,16800,11700,4000
102,30/09/2009,17000,16300,16300.0,17000,7800,4100
103,01/10/2009,16300,15800,15800.0,16300,1600,3900
104,02/10/2009,16400,15500,15700.0,16400,2600,3900
105,05/10/2009,16500,15900,15900.0,16400,2600,3900
106,06/10/2009,17000,16300,16300.0,17000,7200,4100
107,07/10/2009,17700,17000,17200.0,17700,11300,4200
108,08/10/2009,17700,17400,17700.0,17400,11100,4100
109,09/10/2009,18000,17500,18000.0,17600,4700,4200
110,12/10/2009,18800,17200,17800.0,18800,24000,4500
111,13/10/2009,19200,17500,19200.0,19200,47300,4600
112,14/10/2009,20100,18800,18800.0,20100,30900,4800
113,15/10/2009,21400,21100,21100.0,21400,30900,5100
114,16/10/2009,22600,20100,21400.0,20700,9300,4900
115,19/10/2009,21000,19300,20000.0,21000,15300,5000
116,20/10/2009,21000,20600,20600.0,21000,7500,5000
117,21/10/2009,22200,20600,20600.0,22200,65200,5300
118,22/10/2009,23500,22200,22200.0,22900,14900,5500
119,23/10/2009,23500,21300,23500.0,21300,7100,5100
120,26/10/2009,22000,20200,20200.0,20200,14900,4800
121,27/10/2009,20000,19600,19600.0,20000,8300,4800
122,28/10/2009,20000,19600,19600.0,19900,5800,4700
123,29/10/2009,20300,18700,20300.0,20200,400,4800
124,30/10/2009,21200,19900,19900.0,21000,11700,5000
125,02/11/2009,21000,21000,21000.0,21000,-,5000
126,03/11/2009,19600,19600,19600.0,19600,100,4700
127,04/11/2009,20000,18300,18300.0,18300,800,4400
128,05/11/2009,20000,20000,20000.0,20000,5000,4800
129,06/11/2009,21400,18700,20500.0,18700,13600,4500
130,09/11/2009,18800,18700,18800.0,18700,600,4500
131,10/11/2009,18500,18500,18500.0,18500,600,4400
132,11/11/2009,19400,19400,19400.0,19400,100,4600
133,12/11/2009,20400,18100,20400.0,18100,8800,4300
134,13/11/2009,18100,17500,17500.0,18100,700,4300
135,16/11/2009,18500,17900,17900.0,18500,600,4400
136,17/11/2009,17700,17700,17700.0,17700,300,4200
137,18/11/2009,18000,17700,17700.0,18000,1500,4300
138,19/11/2009,19000,19000,19000.0,19000,100,4500
139,20/11/2009,19000,19000,19000.0,19000,-,4500
140,23/11/2009,19000,19000,19000.0,19000,-,4500
141,24/11/2009,17700,17700,17700.0,17700,300,4200
142,25/11/2009,17500,16500,17500.0,16500,800,3900
143,26/11/2009,16000,16000,16000.0,16000,300,3800
144,27/11/2009,17100,15900,15900.0,17100,4600,4100
145,30/11/2009,16800,16000,16000.0,16500,2000,3900
146,01/12/2009,16100,16000,16000.0,16100,2900,3800
147,02/12/2009,16700,15100,16700.0,15500,5100,3700
148,03/12/2009,15000,15000,15000.0,15000,400,3600
149,04/12/2009,15800,15000,15800.0,15000,3200,3600
150,07/12/2009,16600,15100,16600.0,15800,4300,3800
151,08/12/2009,15800,15300,15800.0,15300,2700,3600
152,09/12/2009,15000,14700,15000.0,14800,1400,3500
153,10/12/2009,14500,14100,14100.0,14500,1000,3500
154,11/12/2009,14500,13500,14500.0,13500,3900,3200
155,14/12/2009,14600,13000,13000.0,14000,3900,3300
156,15/12/2009,14100,13800,14100.0,13800,2800,3300
157,16/12/2009,13400,13300,13300.0,13400,1300,3200
158,17/12/2009,13400,13400,13400.0,13400,-,3200
159,18/12/2009,13400,13400,13400.0,13400,400,3200
160,21/12/2009,14300,13700,14300.0,14200,13500,3400
