,Date,High,Low,Open,Close,Volume,Adj Close
2295,01/10/2012,12900,12500,12500,12900,18700,10500
2294,02/10/2012,13100,12800,12800,12900,15300,10500
2293,03/10/2012,13100,13000,13000,13100,10000,10700
2292,04/10/2012,12700,12500,12500,12700,9600,10400
2291,05/10/2012,13000,12800,12800,13000,8000,10600
2290,08/10/2012,13100,12900,12900,13100,12000,10700
2289,09/10/2012,13200,13000,13000,13200,8900,10800
2288,10/10/2012,13000,12800,12900,13000,10000,10600
2287,11/10/2012,13500,13200,13200,13500,12000,11000
2286,12/10/2012,13600,13500,13500,13600,9000,11100
2285,15/10/2012,13800,13700,13700,13800,9000,11300
2284,16/10/2012,14100,13900,13900,14100,13000,11500
2283,17/10/2012,14200,14100,14100,14200,9000,11600
2282,18/10/2012,14300,14100,14200,14300,10600,11700
2281,19/10/2012,14500,14400,14400,14500,10000,11800
2280,22/10/2012,14700,14600,14600,14700,9600,12000
2279,23/10/2012,14800,14700,14700,14800,10000,12100
2278,24/10/2012,14900,14800,14800,14900,7100,12200
2277,25/10/2012,14600,14500,14500,14600,9700,11900
2276,26/10/2012,14700,14300,14300,14700,11000,12000
2275,29/10/2012,14700,14500,14600,14500,10900,11800
2274,30/10/2012,14700,14600,14600,14700,8300,12000
2273,31/10/2012,14800,14700,14700,14800,9300,12100
2272,01/11/2012,14900,14800,14800,14900,8800,12200
2271,02/11/2012,15000,14900,14900,15000,8000,12200
2270,05/11/2012,14900,14800,14800,14900,8500,12200
2269,06/11/2012,14900,14800,14800,14900,10000,12200
2268,07/11/2012,15000,14800,14800,15000,11000,12200
2267,08/11/2012,14900,14800,14800,14900,8000,12200
2266,09/11/2012,15000,14800,14800,15000,10500,12200
2265,12/11/2012,15100,14900,14900,15100,14200,12300
2264,13/11/2012,15200,15100,15100,15200,10000,12400
2263,14/11/2012,15300,15100,15100,15300,12500,12500
2262,15/11/2012,15300,15200,15200,15300,9000,12500
2261,16/11/2012,15300,15200,15200,15300,8000,12500
2260,19/11/2012,15300,15200,15200,15300,8900,12500
2259,20/11/2012,15200,15100,15100,15200,8600,12400
2258,21/11/2012,15200,15100,15100,15200,7700,12400
2257,22/11/2012,15200,15100,15100,15200,9000,12400
2256,23/11/2012,15200,15000,15200,15200,17100,12400
2255,26/11/2012,15200,15100,15100,15200,8800,12400
2254,27/11/2012,15300,15200,15200,15300,5800,12500
2253,28/11/2012,15400,15300,15300,15400,7600,12600
2252,29/11/2012,15400,15300,15300,15400,8500,12600
2251,30/11/2012,15500,15400,15400,15500,7000,12600
2250,03/12/2012,15600,15500,15500,15600,9000,12700
2249,04/12/2012,15600,15500,15500,15600,9000,12700
2248,05/12/2012,15400,15300,15300,15400,8500,12600
2247,06/12/2012,15300,15200,15200,15200,6700,12400
2246,07/12/2012,15300,15100,15100,15300,11700,12500
2245,10/12/2012,15400,15300,15300,15400,9600,12600
2244,11/12/2012,15500,15400,15400,15500,9300,12600
2243,12/12/2012,15600,15400,15400,15600,12600,12700
2242,13/12/2012,16000,15700,15700,16000,19500,13100
2241,14/12/2012,16100,16000,16000,16100,8700,13100
2240,17/12/2012,16200,16100,16100,16200,7100,13200
2239,18/12/2012,16200,16100,16100,16200,7700,13200
2238,19/12/2012,16200,15900,16000,16200,11500,13200
2237,20/12/2012,16300,16200,16200,16300,8500,13300
2236,21/12/2012,16400,16300,16300,16400,9000,13400
2235,24/12/2012,16500,16400,16400,16500,10400,13500
2234,25/12/2012,16000,15800,15900,15800,10100,12900
2233,26/12/2012,15500,15300,15400,15300,7400,12500
2232,27/12/2012,15100,14900,15000,14900,8300,12200
2231,28/12/2012,14400,14300,14300,14400,9600,11700
2230,02/01/2013,14000,13900,13900,14000,9600,11400
2229,03/01/2013,13500,13400,13400,13500,8200,11000
2228,04/01/2013,13100,13000,13000,13100,9500,10700
2227,07/01/2013,13200,13100,13100,13200,8500,10800
2226,08/01/2013,13200,13000,13100,13000,8700,10600
2225,09/01/2013,12800,12600,12600,12800,10500,10400
2224,10/01/2013,12900,12800,12800,12900,7400,10500
2223,11/01/2013,13000,12900,12900,13000,9500,10600
2222,14/01/2013,13000,12900,12900,13000,7500,10600
2221,15/01/2013,13500,13100,13100,13500,20300,11000
2220,16/01/2013,13700,12900,12900,13700,21000,11200
2219,17/01/2013,13900,13800,13800,13900,7000,11300
2218,18/01/2013,14000,13900,13900,14000,9000,11400
2217,21/01/2013,14100,14000,14000,14100,8500,11500
2216,22/01/2013,14200,14100,14100,14200,7000,11600
2215,23/01/2013,14300,13500,14200,13600,43900,11100
2214,24/01/2013,13700,13400,13600,13500,34600,11000
2213,25/01/2013,13800,13300,13500,13600,45100,11100
2212,28/01/2013,13900,13500,13700,13900,47300,11300
2211,29/01/2013,14000,13500,13900,13600,53700,11100
2210,30/01/2013,13900,13400,13600,13700,50000,11200
2209,31/01/2013,13800,13400,13600,13500,50900,11000
2208,01/02/2013,13600,13400,13500,13500,44200,11000
2207,04/02/2013,13700,13300,13500,13600,39200,11100
2206,05/02/2013,13600,13400,13600,13500,39500,11000
2205,06/02/2013,13700,13400,13400,13700,44400,11200
2204,07/02/2013,13700,13300,13700,13500,42000,11000
2203,08/02/2013,13700,13400,13400,13700,46900,11200
2202,18/02/2013,13700,13500,13700,13500,26600,11000
