,Date,High,Low,Open,Close,Volume,Adj Close
0,31/07/2017,16200,8800,12500,11500,62100,10400
1,01/08/2017,10400,10400,10400,10400,23200,9400
2,02/08/2017,10300,9800,10000,10200,115000,9200
3,03/08/2017,10500,10000,10200,10500,169200,9500
4,04/08/2017,10400,10000,10200,10400,112800,9400
5,07/08/2017,10200,9800,10200,10000,62600,9000
6,08/08/2017,10100,9800,10100,9900,100500,8900
7,09/08/2017,10000,9800,10000,9800,113300,8800
8,10/08/2017,9800,9100,9800,9300,52600,8400
9,11/08/2017,9500,8500,9500,9300,119800,8400
10,14/08/2017,9400,8400,9300,8500,91800,7700
11,15/08/2017,9000,9000,9000,9000,400,8100
12,16/08/2017,9500,8900,8900,9500,17000,8600
13,17/08/2017,9500,8600,9500,8600,2000,7700
14,18/08/2017,8000,8000,8000,8000,200,7200
15,21/08/2017,8800,8200,8800,8200,110600,7400
16,22/08/2017,9000,8200,8200,8900,83000,8000
17,23/08/2017,9000,8900,9000,8900,30600,8000
18,24/08/2017,9400,8900,8900,9300,102300,8400
19,25/08/2017,9400,9100,9300,9300,107500,8400
20,28/08/2017,9300,8400,9000,9300,133300,8400
21,29/08/2017,9100,8700,9000,9000,91800,8100
22,30/08/2017,8900,8500,8900,8800,22600,7900
23,31/08/2017,8900,8300,8900,8800,149700,7900
24,01/09/2017,8900,8700,8900,8700,97700,7800
25,05/09/2017,8800,8600,8700,8600,156500,7700
26,06/09/2017,8900,8400,8900,8700,153200,7800
27,07/09/2017,8800,8500,8800,8800,140300,7900
28,08/09/2017,8800,8500,8500,8800,91400,7900
29,11/09/2017,9200,8200,9200,8900,173900,8000
30,12/09/2017,8800,8100,8800,8100,216200,7300
31,13/09/2017,8800,8500,8500,8600,152200,7700
32,14/09/2017,8400,7800,8400,7800,187900,7000
33,15/09/2017,8000,7800,8000,7800,9000,7000
34,18/09/2017,8100,7500,7800,7500,171100,6800
35,19/09/2017,7900,7000,7400,7700,159300,6900
36,20/09/2017,7800,7000,7800,7000,158400,6300
37,21/09/2017,7500,7100,7400,7300,217500,6600
38,22/09/2017,7800,7400,7800,7400,1400,6700
39,25/09/2017,7400,7000,7400,7100,152500,6400
40,26/09/2017,7200,7000,7000,7100,187700,6400
41,27/09/2017,7800,7300,7300,7800,45800,7000
42,28/09/2017,8000,7400,8000,7400,167300,6700
43,29/09/2017,8000,7000,7600,7100,183100,6400
44,02/10/2017,7400,7200,7200,7300,200400,6600
45,03/10/2017,7700,7300,7300,7700,219400,6900
46,04/10/2017,7700,7300,7600,7700,263300,6900
47,05/10/2017,7800,7200,7300,7300,256300,6600
48,06/10/2017,7700,7400,7500,7700,156300,6900
49,09/10/2017,7700,7200,7500,7700,207300,6900
50,10/10/2017,7700,7300,7400,7600,208500,6800
51,11/10/2017,7800,7400,7400,7400,278300,6700
52,12/10/2017,8000,7300,7700,7500,164100,6800
53,13/10/2017,8100,7500,7900,7700,270700,6900
54,16/10/2017,7800,7600,7800,7600,311200,6800
55,17/10/2017,8000,7700,7800,8000,295400,7200
56,18/10/2017,8700,7900,7900,8700,287900,7800
57,19/10/2017,8600,7900,8500,8100,372000,7300
58,20/10/2017,8200,7800,7800,8100,217300,7300
59,23/10/2017,7900,7800,7800,7800,232200,7000
60,24/10/2017,8400,7700,7800,8400,220100,7600
61,25/10/2017,8300,7700,8300,7700,119500,6900
62,26/10/2017,7800,7200,7800,7700,72440,6900
63,27/10/2017,8400,7400,7700,8400,398600,7600
64,30/10/2017,9200,8400,8400,9200,463350,8300
65,31/10/2017,9400,8500,9000,9300,346340,8400
66,01/11/2017,9400,8500,8800,8800,357000,7900
67,02/11/2017,8800,8600,8600,8800,262300,7900
68,03/11/2017,8800,8700,8700,8800,209300,7900
69,06/11/2017,9200,8700,8700,9100,347500,8200
70,07/11/2017,9100,9000,9000,9000,237600,8100
71,08/11/2017,9000,8800,8900,8900,295800,8000
72,09/11/2017,9000,8600,8700,9000,310200,8100
73,10/11/2017,9300,8800,8800,9200,437200,8300
74,13/11/2017,9400,8900,8900,9400,385600,8500
75,14/11/2017,9500,9000,9200,9400,321000,8500
76,15/11/2017,9400,8900,9000,9400,283800,8500
77,16/11/2017,9400,9000,9000,9000,291400,8100
78,17/11/2017,9500,9000,9000,9500,240900,8600
79,20/11/2017,9500,9000,9000,9400,203700,8500
80,21/11/2017,9500,9000,9000,9000,453100,8100
81,22/11/2017,9000,8700,8700,8800,353400,7900
82,23/11/2017,9000,8800,8800,9000,305360,8100
83,24/11/2017,9000,8800,9000,9000,263400,8100
84,27/11/2017,9100,8900,8900,9000,251400,8100
85,28/11/2017,9000,8900,8900,9000,219700,8100
86,29/11/2017,9900,8800,8900,9900,709000,8900
87,30/11/2017,10800,10000,10000,10500,502680,9500
88,01/12/2017,10600,10000,10600,10500,460310,9500
89,04/12/2017,10700,9900,10300,10100,368900,9100
90,05/12/2017,10100,9600,9800,10100,239020,9100
91,06/12/2017,10800,9500,9700,10800,160360,9700
92,07/12/2017,10400,10100,10300,10300,139300,9300
93,08/12/2017,10400,10100,10100,10400,89500,9400
94,11/12/2017,10400,10000,10000,10400,100450,9400
95,12/12/2017,10200,10000,10100,10100,113400,9100
96,13/12/2017,10000,9800,9900,10000,16800,9000
97,14/12/2017,10000,9900,9900,10000,33000,9000
98,15/12/2017,10000,9900,9900,10000,4100,9000
99,18/12/2017,10000,9700,9900,10000,60500,9000
100,19/12/2017,10000,9700,9900,10000,57400,9000
101,20/12/2017,10000,9800,9900,10000,25900,9000
102,21/12/2017,10000,9900,9900,10000,30100,9000
103,22/12/2017,10000,9800,9900,10000,21900,9000
104,25/12/2017,10000,9900,9900,10000,35400,9000
105,26/12/2017,10000,9800,9900,10000,143919,9000
106,27/12/2017,9900,9700,9900,9800,19200,8800
107,28/12/2017,9800,9700,9700,9800,16900,8800
108,29/12/2017,9800,9600,9800,9800,23600,8800
109,02/01/2018,9900,9800,9800,9900,212300,8900
110,03/01/2018,10000,9700,9800,9900,221210,8900
111,04/01/2018,9900,9800,9800,9900,141000,8900
112,05/01/2018,10000,9800,9800,9900,120000,8900
113,08/01/2018,9900,9800,9800,9900,179900,8900
114,09/01/2018,9900,9700,9900,9900,130929,8900
115,10/01/2018,9900,9800,9800,9900,120000,8900
116,11/01/2018,9900,9800,9800,9900,44300,8900
117,12/01/2018,9900,9800,9800,9900,50500,8900
118,15/01/2018,9900,9700,9800,9900,128210,8900
119,16/01/2018,9900,9800,9800,9900,130400,8900
120,17/01/2018,9900,9800,9800,9800,42900,8800
121,18/01/2018,9800,9700,9800,9800,124500,8800
122,19/01/2018,9900,9700,9800,9700,134200,8700
123,22/01/2018,9800,9600,9700,9700,133000,8700
124,23/01/2018,9700,9000,9700,9700,200500,8700
125,24/01/2018,9700,9600,9700,9700,112600,8700
126,25/01/2018,9700,9000,9700,9700,95600,8700
127,26/01/2018,9700,9600,9600,9700,101600,8700
128,29/01/2018,9700,9000,9700,9500,95100,8600
129,30/01/2018,9500,9000,9400,9500,26500,8600
130,31/01/2018,9500,8800,9400,9400,31700,8500
131,01/02/2018,10300,9100,9300,10300,233100,9300
132,02/02/2018,10300,9400,10300,9400,156700,8500
133,05/02/2018,10100,9000,9400,10100,155400,9100
134,06/02/2018,10200,9100,10100,10200,127100,9200
135,07/02/2018,10000,9300,10000,9400,160500,8500
136,08/02/2018,9800,8900,9400,9700,194900,8700
137,09/02/2018,9600,8800,9600,9500,126100,8600
138,12/02/2018,9900,9500,9500,9900,61800,8900
139,13/02/2018,10000,9500,9900,9500,60200,8600
140,21/02/2018,9900,8800,9500,9900,70400,8900
141,22/02/2018,9700,9300,9700,9500,72700,8600
142,23/02/2018,9600,9500,9500,9500,70200,8600
143,26/02/2018,9600,9000,9500,9300,73000,8400
144,27/02/2018,9400,9300,9300,9300,60900,8400
145,28/02/2018,9400,9200,9300,9400,60700,8500
146,01/03/2018,9300,9200,9300,9300,61500,8400
147,02/03/2018,9300,9300,9300,9300,3100,8400
148,05/03/2018,9300,9200,9200,9300,400,8400
149,06/03/2018,9200,9000,9200,9200,192200,8300
150,07/03/2018,9500,9000,9200,9400,257400,8500
151,08/03/2018,9400,9100,9200,9400,259100,8500
152,09/03/2018,9400,9100,9200,9400,117500,8500
153,12/03/2018,9400,9200,9400,9400,353900,8500
154,13/03/2018,9400,9200,9300,9400,375900,8500
155,14/03/2018,9900,9300,9400,9500,384700,8600
156,15/03/2018,10400,9400,9400,10400,350900,9400
157,16/03/2018,11400,10600,10600,11400,413300,10300
158,19/03/2018,12500,11300,12500,11300,508610,10200
159,20/03/2018,11900,11000,11000,11600,310600,10400
160,21/03/2018,11600,11000,11600,11500,251500,10400
161,22/03/2018,11500,10400,11500,10400,51200,9400
162,23/03/2018,10300,9700,10000,10200,266200,9200
163,26/03/2018,10400,9700,9800,10400,288600,9400
164,27/03/2018,10400,9700,10400,10400,282500,9400
165,28/03/2018,10600,9700,9700,10600,280100,9500
166,29/03/2018,10600,9800,10000,10500,275310,9500
167,30/03/2018,10500,9700,9800,10500,273100,9500
168,02/04/2018,10600,9900,9900,10600,335700,9500
169,03/04/2018,10700,9800,10200,10600,270300,9500
170,04/04/2018,10700,9900,10500,10600,283900,9500
171,05/04/2018,10800,10100,10600,10700,321739,9600
172,06/04/2018,11300,10300,10700,11000,279400,9900
173,09/04/2018,11200,10200,11200,11000,608900,9900
174,10/04/2018,11300,10400,10500,11300,374200,10200
175,11/04/2018,11300,10700,11300,11100,524619,10000
176,12/04/2018,11300,10800,11000,11100,621000,10000
177,13/04/2018,11300,10300,10400,11000,519300,9900
178,16/04/2018,11200,10200,10200,11200,282800,10100
179,17/04/2018,11400,10600,10900,11400,572700,10300
180,18/04/2018,12500,11300,11300,12500,562510,11300
181,19/04/2018,12700,11800,12600,12300,394100,11100
182,20/04/2018,12300,11800,12000,12300,552900,11100
183,23/04/2018,12300,11700,12000,12200,616900,11000
184,24/04/2018,12200,11600,12200,12200,571500,11000
185,26/04/2018,12400,11300,12000,12100,1012700,10900
186,27/04/2018,12800,11600,12100,12100,990400,10900
187,02/05/2018,12300,11300,11800,12300,944200,11100
188,03/05/2018,13000,11400,12200,12400,1000700,11200
189,04/05/2018,12200,11700,12200,12000,988600,10800
190,07/05/2018,12500,11900,12000,12500,1025200,11300
191,08/05/2018,13400,11900,12600,12300,1025200,11100
192,09/05/2018,12300,11800,12300,11800,1076600,10600
193,10/05/2018,11900,11000,11700,11900,1034800,10700
194,11/05/2018,12100,11500,11800,12100,961960,10900
195,14/05/2018,12400,11100,12300,12100,1076000,10900
196,15/05/2018,12100,11800,12100,12000,984400,10800
197,16/05/2018,12000,11500,11800,11900,952800,10700
198,17/05/2018,11900,11100,11900,11700,1027310,10500
199,18/05/2018,11600,11200,11600,11200,1081500,10100
200,21/05/2018,11500,10400,10400,11500,1044200,10400
201,22/05/2018,11100,10500,11100,10500,1197900,9500
202,23/05/2018,11100,9800,10500,11100,1247712,10000
203,24/05/2018,11200,10500,11000,11100,1206200,10000
204,25/05/2018,11500,10700,11100,11500,1152900,10400
205,28/05/2018,11600,10700,11600,10900,1194408,9800
206,29/05/2018,11400,10200,10200,11400,1063600,10300
207,30/05/2018,11900,10500,11400,10500,794000,9500
208,31/05/2018,11500,9700,10500,11300,1274808,10200
209,01/06/2018,11900,10700,11900,10900,982300,9800
210,04/06/2018,11000,10200,10900,10800,1086500,9700
211,05/06/2018,11000,10000,10800,10900,1159300,9800
212,06/06/2018,10700,10300,10700,10700,969040,9600
213,07/06/2018,10600,10400,10500,10500,938200,9500
214,08/06/2018,10600,9800,10500,10600,927500,9500
215,11/06/2018,10500,10400,10400,10500,832600,9500
216,12/06/2018,10500,10300,10300,10500,972539,9500
217,13/06/2018,10500,10300,10500,10500,981400,9500
218,14/06/2018,10800,9800,10500,10400,1210700,9400
219,15/06/2018,10400,9800,10300,10400,1139400,9400
220,18/06/2018,10600,10200,10400,10400,1062800,9400
221,19/06/2018,10600,9700,10300,10400,1039300,9400
222,20/06/2018,10400,10200,10300,10400,1370600,9400
223,21/06/2018,10800,9700,10400,10400,1373100,9400
224,22/06/2018,10600,10200,10400,10300,1302300,9300
225,25/06/2018,10500,9600,10100,10300,1203600,9300
226,26/06/2018,10700,10000,10300,10200,1222100,9200
227,27/06/2018,10300,10000,10200,10200,1266800,9200
228,28/06/2018,10400,10000,10100,10400,1179800,9400
229,29/06/2018,10500,9700,10400,10400,1023700,9400
230,02/07/2018,10800,10000,10400,10200,1140925,9200
231,03/07/2018,10200,9500,10200,10200,1275200,9200
232,04/07/2018,10200,9900,10100,10200,1251900,9200
233,05/07/2018,10200,9900,10200,10200,1099900,9200
234,06/07/2018,10300,9500,10000,10300,1202500,9300
235,09/07/2018,10800,9600,10300,10500,1135400,9500
236,10/07/2018,10500,10100,10500,10400,1122050,9400
237,11/07/2018,10200,10000,10200,10200,997300,9200
238,12/07/2018,10800,9600,10100,10500,1083900,9500
239,13/07/2018,11200,10200,10300,10500,1048600,9500
240,16/07/2018,10400,10000,10400,10200,965900,9200
241,17/07/2018,10500,9500,10100,10500,1100500,9500
242,18/07/2018,10600,10300,10500,10500,1040700,9500
243,19/07/2018,10500,10100,10500,10500,1101623,9500
244,20/07/2018,10500,10200,10400,10500,370110,9500
245,23/07/2018,10400,10000,10400,10200,726100,9200
246,24/07/2018,10200,10000,10200,10100,358502,9100
247,25/07/2018,10500,9900,10000,10100,366300,9100
248,26/07/2018,10200,10000,10100,10200,357900,9200
249,27/07/2018,10400,10000,10200,10400,376900,9400
250,30/07/2018,10800,10100,10400,10300,360900,9300
251,31/07/2018,10500,9900,10300,10100,421700,9100
252,01/08/2018,10500,10100,10100,10500,315500,9500
253,02/08/2018,10400,10100,10100,10400,364300,9400
254,03/08/2018,10700,10000,10400,10600,449400,9500
255,06/08/2018,10700,9800,10400,10300,430600,9300
256,07/08/2018,10500,10200,10300,10200,425600,9200
257,08/08/2018,11000,10100,10200,10600,516900,9500
258,09/08/2018,11300,10000,10600,10600,449100,9500
259,10/08/2018,10600,10100,10100,10400,410300,9400
260,13/08/2018,10900,10000,10000,10900,427700,9800
261,14/08/2018,11100,10700,10700,11100,474715,10000
262,15/08/2018,11500,10500,11100,11100,459100,10000
263,16/08/2018,11400,10300,10700,11400,441600,10300
264,17/08/2018,11700,11000,11400,11700,455500,10500
265,20/08/2018,12000,11500,11700,12000,434700,10800
266,21/08/2018,12300,11900,12300,12100,402000,10900
267,22/08/2018,12200,11500,12100,12000,471000,10800
268,23/08/2018,12400,11900,11900,12400,524500,11200
269,24/08/2018,13000,12400,13000,12700,465000,11400
270,27/08/2018,13200,11900,12700,11900,591200,10700
271,28/08/2018,11500,10900,11500,11100,290000,10000
272,29/08/2018,11200,10400,10400,11100,316700,10000
273,30/08/2018,11200,10400,11100,10400,341500,9400
274,31/08/2018,10600,10000,10400,10400,348920,9400
275,04/09/2018,10600,10000,10400,10400,358300,9400
276,05/09/2018,10400,10000,10400,10300,379400,9300
