Date,High,Low,Open,Close,Volume,Adj Close
05/08/2010,14000,10000,14000.0,11200,11500,7300
06/08/2010,10000,9800,10000.0,9800,6000,6400
09/08/2010,9900,9900,9900.0,9900,-,6500
10/08/2010,9900,9900,9900.0,9900,7600,6500
11/08/2010,9800,9000,9000.0,9500,27400,6200
12/08/2010,9000,8100,9000.0,8100,1900,5300
13/08/2010,8700,8700,8700.0,8700,26000,5700
16/08/2010,8500,7900,7900.0,8200,68800,5400
17/08/2010,8000,7900,8000.0,7900,8100,5200
18/08/2010,8800,8700,8700.0,8800,200,5700
19/08/2010,8100,8000,8100.0,8000,1800,5200
20/08/2010,7900,7900,7900.0,7900,4200,5200
23/08/2010,7500,7200,7400.0,7200,9000,4700
24/08/2010,7800,6700,7800.0,7000,8900,4600
25/08/2010,7200,6700,7200.0,6700,2400,4400
26/08/2010,7100,7000,7000.0,7100,3800,4600
27/08/2010,7000,7000,7000.0,7000,1400,4600
30/08/2010,7400,7000,7000.0,7300,4300,4800
31/08/2010,7800,7400,7400.0,7600,9600,5000
01/09/2010,7700,7000,7700.0,7000,17100,4800
06/09/2010,7800,7100,7800.0,7500,19500,4900
07/09/2010,7400,7000,7400.0,7000,5500,4600
08/09/2010,7800,6800,7800.0,6800,36100,4400
09/09/2010,7100,7000,7000.0,7000,3200,4600
10/09/2010,7600,6900,7600.0,7000,4300,4600
13/09/2010,7300,6500,7300.0,6500,5500,4200
14/09/2010,7100,7000,7000.0,7100,10100,4600
15/09/2010,7200,7000,7200.0,7000,11000,4600
16/09/2010,7000,6900,7000.0,7000,4500,4600
17/09/2010,7000,7000,7000.0,7000,1000,4600
20/09/2010,7600,7000,7600.0,7000,3000,4600
21/09/2010,7000,7000,7000.0,7000,12900,4600
22/09/2010,7300,7000,7000.0,7300,55800,4800
23/09/2010,7500,7000,7500.0,7200,33200,4700
24/09/2010,7200,7000,7100.0,7200,10700,4700
27/09/2010,7800,7100,7100.0,7600,44500,5000
28/09/2010,8100,7400,8100.0,7500,25500,5000
29/09/2010,7900,7200,7200.0,7200,2400,4700
30/09/2010,8300,7300,7300.0,7800,7500,5100
01/10/2010,7800,7300,7500.0,7700,8700,5000
04/10/2010,7400,7000,7400.0,7000,12000,4600
05/10/2010,7400,6800,7400.0,6900,47400,4400
06/10/2010,7100,7000,7000.0,7100,3600,4600
07/10/2010,7300,6700,6700.0,7300,500,4800
08/10/2010,7700,6500,7700.0,6800,41300,4400
11/10/2010,7100,6700,7100.0,6800,4700,4400
