Date,High,Low,Open,Close,Volume,Adj Close
25/01/2019,22000,16100,20000,16800,57300,8000
28/01/2019,17000,16700,16900,17000,9800,8100
29/01/2019,17200,17000,17000,17000,7400,8100
30/01/2019,16800,15900,16800,16200,6700,7700
31/01/2019,16900,16000,16000,16900,6400,8000
01/02/2019,17000,15600,15600,16400,500,7800
11/02/2019,16400,16400,16400,16400,-,7800
12/02/2019,15600,15600,15600,15600,500,7400
13/02/2019,16900,15700,15800,16800,6400,8000
14/02/2019,16700,16100,16100,16200,5000,7700
15/02/2019,17000,16600,17000,16900,4400,8000
18/02/2019,17500,17000,17300,17500,23100,8300
19/02/2019,18000,17500,18000,17900,17900,8500
20/02/2019,17900,17500,17500,17800,3000,8500
21/02/2019,17400,16600,17000,16600,8200,7900
22/02/2019,16700,16100,16600,16200,5900,7700
25/02/2019,16600,16600,16600,16600,300,8400
26/02/2019,16600,16600,16600,16600,500,8400
27/02/2019,16600,16000,16600,16600,1200,8400
28/02/2019,16500,15900,16500,15900,7800,8100
01/03/2019,16200,15900,15900,15900,27734,8100
04/03/2019,15900,15900,15900,15900,400,8100
05/03/2019,15900,15800,15900,15800,17266,8000
06/03/2019,15400,15000,15400,15400,12600,7800
07/03/2019,15500,14800,15000,15500,4200,7900
08/03/2019,15800,14500,14500,15800,200,8000
11/03/2019,15900,15900,15900,15900,2000,8100
12/03/2019,16000,15800,16000,15800,14800,8000
13/03/2019,15800,15000,15800,15600,8850,7900
14/03/2019,15700,15300,15600,15700,3900,8000
15/03/2019,15600,14400,14400,14700,7100,7500
18/03/2019,16100,14500,16100,15600,5000,7900
19/03/2019,15500,14600,14600,15000,2300,7600
20/03/2019,15200,13600,15200,14400,2700,7300
21/03/2019,14300,14000,14300,14100,4900,7200
22/03/2019,14400,13900,14000,14400,2000,7300
25/03/2019,14000,13100,14000,13300,6900,6800
26/03/2019,14000,13900,13900,14000,1800,7100
27/03/2019,14200,14000,14000,14200,1100,7200
28/03/2019,14200,13900,14100,14000,2600,7100
29/03/2019,15000,14300,14300,14900,2000,7600
01/04/2019,15000,14200,15000,14400,6000,7300
02/04/2019,14800,14000,14800,14000,900,7100
03/04/2019,14100,14000,14100,14000,2900,7100
04/04/2019,14000,13900,13900,14000,1900,7100
05/04/2019,13900,13900,13900,13900,1100,7100
08/04/2019,14000,13500,13900,14000,5100,7100
09/04/2019,14100,14000,14000,14100,4000,7200
10/04/2019,14100,14000,14000,14100,1700,7200
11/04/2019,14000,13400,13900,14000,6200,7100
12/04/2019,14000,13500,14000,13500,6500,6900
16/04/2019,13500,13400,13500,13400,10700,6800
17/04/2019,13500,13400,13500,13400,5500,6800
18/04/2019,13500,13500,13500,13500,300,6900
19/04/2019,14000,13800,13800,13900,2100,7100
22/04/2019,13800,13400,13800,13400,4100,6800
23/04/2019,13500,13400,13400,13400,3700,6800
24/04/2019,13400,12600,13400,13400,8800,6800
25/04/2019,13400,13100,13400,13100,500,6600
26/04/2019,13600,13200,13200,13600,7300,6900
02/05/2019,13700,13500,13600,13600,3300,6900
03/05/2019,13800,13600,13700,13800,19400,7000
06/05/2019,14100,13700,13800,13700,5500,7000
07/05/2019,13800,13700,13700,13800,400,7000
08/05/2019,13900,13800,13800,13900,7600,7100
09/05/2019,14100,13900,13900,14100,2400,7200
10/05/2019,14000,13900,14000,13900,500,7100
13/05/2019,13900,13500,13900,13500,7900,6900
14/05/2019,13900,13900,13900,13900,100,7100
15/05/2019,13800,13800,13800,13800,1000,7000
16/05/2019,13600,13500,13500,13600,2200,6900
17/05/2019,13600,13600,13600,13600,-,6900
20/05/2019,13600,13400,13600,13500,1100,6900
21/05/2019,13200,13200,13200,13200,2100,6700
22/05/2019,13200,13200,13200,13200,2300,6700
23/05/2019,13200,13200,13200,13200,1300,6700
24/05/2019,13300,13200,13300,13200,1300,6700
27/05/2019,13300,13200,13200,13300,200,6800
28/05/2019,13300,13000,13200,13100,13400,6600
29/05/2019,13200,13100,13100,13100,10200,6600
30/05/2019,13100,13100,13100,13100,-,6600
31/05/2019,13000,13000,13000,13000,5000,6600
03/06/2019,13000,13000,13000,13000,3500,6600
04/06/2019,13100,13000,13000,13100,2300,6600
05/06/2019,13200,13100,13200,13100,1700,6600
06/06/2019,13100,13100,13100,13100,1200,6600
07/06/2019,13200,13000,13100,13200,31451,6700
10/06/2019,13500,13400,13400,13500,1520,6900
11/06/2019,13500,13400,13500,13400,800,6800
12/06/2019,13400,13400,13400,13400,1600,6800
13/06/2019,13400,13400,13400,13400,1600,6800
14/06/2019,13500,13100,13400,13500,13020,6900
17/06/2019,13600,13000,13300,13600,13410,6900
18/06/2019,13500,13500,13500,13500,200,6900
19/06/2019,13900,13500,13500,13900,5700,7100
20/06/2019,14000,13900,14000,13900,1100,7100
21/06/2019,13900,13800,13900,13800,3600,7000
24/06/2019,14500,13800,13800,14500,9590,7400
25/06/2019,14500,14000,14000,14500,3900,7400
26/06/2019,14500,14400,14400,14400,3400,7300
27/06/2019,13600,13400,13600,13400,6200,7300
28/06/2019,13400,13400,13400,13400,5700,7300
01/07/2019,13600,13400,13400,13400,3700,7300
02/07/2019,13500,13400,13400,13500,4330,7400
03/07/2019,13900,13600,13600,13900,3100,7600
04/07/2019,14900,14000,14100,14300,2800,7800
05/07/2019,14500,14300,14300,14300,4300,7800
08/07/2019,14500,14400,14400,14500,4630,7900
09/07/2019,14600,14400,14600,14400,4000,7900
10/07/2019,15000,14400,14500,14400,3200,7900
11/07/2019,14500,14000,14400,14000,5520,7600
12/07/2019,14400,14000,14400,14000,200,7600
15/07/2019,14600,14000,14100,14000,4910,7600
16/07/2019,14400,14000,14200,14400,1900,7900
17/07/2019,14400,14200,14400,14400,3400,7900
18/07/2019,14900,14400,14400,14800,5900,8100
19/07/2019,14900,14600,14700,14800,2900,8100
22/07/2019,14800,14700,14800,14800,4600,8100
23/07/2019,14800,14700,14800,14700,3900,8000
24/07/2019,14700,14600,14700,14600,2300,8000
25/07/2019,15800,14700,14700,15000,9600,8200
26/07/2019,16500,15700,16000,16500,19500,9000
29/07/2019,16800,15900,16800,16400,10800,8900
30/07/2019,16700,16100,16700,16400,2400,8900
31/07/2019,16100,16100,16100,16100,1000,8800
01/08/2019,16400,16000,16400,16100,9600,8800
02/08/2019,16100,16000,16100,16000,8300,8700
05/08/2019,15500,15500,15500,15500,1300,8500
06/08/2019,15700,15000,15700,15200,9300,8300
07/08/2019,15400,15400,15400,15400,100,8400
08/08/2019,15300,15300,15300,15300,200,8300
09/08/2019,15300,15300,15300,15300,300,8300
12/08/2019,15200,14600,14700,14800,600,8100
13/08/2019,15200,14600,15200,14600,300,8000
14/08/2019,15000,14600,15000,14600,700,8000
15/08/2019,14800,14000,14800,14000,3940,7600
16/08/2019,14700,13000,14000,14200,3300,7700
19/08/2019,14400,14000,14200,14400,800,7900
20/08/2019,14800,14200,14500,14200,600,7700
21/08/2019,14700,14000,14400,14400,1200,7900
22/08/2019,14500,13100,14000,14500,10500,7900
23/08/2019,14100,14100,14100,14100,100,7700
26/08/2019,14400,14000,14300,14400,1700,7900
27/08/2019,15700,14000,14300,15700,4300,8600
28/08/2019,15000,14300,14400,15000,400,8200
29/08/2019,15300,14000,15300,14800,300,8100
30/08/2019,14700,13600,14000,14500,4200,7900
03/09/2019,14000,13100,14000,13100,22800,7100
04/09/2019,13100,13100,13100,13100,200,7100
05/09/2019,13500,13100,13100,13500,300,7400
06/09/2019,13700,13500,13500,13700,3000,7500
09/09/2019,13600,13100,13600,13100,630,7100
10/09/2019,13900,13000,13000,13900,3000,7600
11/09/2019,13700,13300,13700,13300,1200,7300
12/09/2019,13700,13700,13700,13700,500,7500
13/09/2019,13700,13700,13700,13700,400,7500
16/09/2019,13700,13400,13400,13500,2800,7400
17/09/2019,13800,13700,13700,13800,200,7500
18/09/2019,13800,13400,13800,13400,1700,7300
19/09/2019,13800,13700,13700,13800,1500,7500
20/09/2019,13500,13500,13500,13500,100,7400
23/09/2019,13500,13100,13500,13100,900,7100
24/09/2019,13500,13200,13300,13500,2000,7400
25/09/2019,13500,13500,13500,13500,-,7400
26/09/2019,13500,13300,13300,13500,500,7400
27/09/2019,13800,13500,13500,13800,2000,7500
30/09/2019,14200,13900,13900,14100,2900,7700
01/10/2019,14300,13700,14300,13700,2400,7500
02/10/2019,13700,13700,13700,13700,-,7500
03/10/2019,13700,13700,13700,13700,1000,7500
04/10/2019,13700,13600,13600,13700,300,7500
07/10/2019,13700,12400,13600,13700,30600,7500
08/10/2019,13700,13700,13700,13700,-,7500
09/10/2019,13700,13700,13700,13700,-,7500
10/10/2019,12400,12400,13700,13700,32000,7500
11/10/2019,13600,13100,13600,13100,2000,7100
14/10/2019,13900,13800,13900,13800,200,7500
15/10/2019,13400,12500,13400,13400,38100,7300
16/10/2019,13800,13400,13800,13400,300,7300
17/10/2019,13500,13500,13500,13500,100,7400
18/10/2019,13500,13500,13500,13500,-,7400
21/10/2019,13800,13500,13800,13500,1100,7400
22/10/2019,13500,13500,13500,13500,-,7400
23/10/2019,14100,13900,13900,14000,8000,7600
24/10/2019,14100,13900,14100,14000,300,7600
25/10/2019,14100,13900,14000,14100,2400,7700
28/10/2019,14000,14000,14000,14000,4400,7600
29/10/2019,14000,14000,14000,14000,1000,7600
30/10/2019,13900,13800,13900,13900,3500,7600
31/10/2019,13900,13900,13900,13900,2400,7600
01/11/2019,13900,13900,13900,13900,4800,7600
04/11/2019,13900,13900,13900,13900,-,7600
05/11/2019,13800,13700,13800,13800,560,7500
06/11/2019,13800,13800,13800,13800,-,7500
07/11/2019,14000,13200,13200,14000,200,7600
08/11/2019,14000,14000,14000,14000,1500,7600
11/11/2019,14100,14000,14000,14000,2600,7600
12/11/2019,15400,14100,14100,14500,5200,7900
13/11/2019,15000,14600,14700,15000,6000,8200
14/11/2019,15000,13500,14700,14900,7700,8100
15/11/2019,14900,14900,14900,14900,-,8100
18/11/2019,14900,14900,14900,14900,-,8100
19/11/2019,13900,13900,13900,13900,530,8100
20/11/2019,13800,13500,13500,13800,1250,8100
21/11/2019,13800,13700,13800,13700,320,8000
22/11/2019,13500,13500,13500,13500,200,7900
25/11/2019,13500,13100,13500,13200,2700,7700
26/11/2019,14100,14100,14100,14100,100,8200
27/11/2019,14100,13900,13900,13900,300,8100
28/11/2019,13600,13600,13600,13600,100,8000
29/11/2019,14100,13900,13900,14100,300,8200
02/12/2019,14000,13600,14000,13600,310,8000
03/12/2019,13500,13000,13500,13000,3500,7600
04/12/2019,13500,13300,13300,13500,230,7900
05/12/2019,13500,13500,13500,13500,10,7900
06/12/2019,13500,13500,13500,13500,-,7900
09/12/2019,13700,13100,13500,13600,3250,8000
10/12/2019,13800,13600,13600,13600,500,8000
11/12/2019,13900,13700,13700,13900,1900,8100
12/12/2019,13600,13100,13600,13500,5200,7900
13/12/2019,14000,13500,13500,14000,4200,8200
16/12/2019,13900,13900,13900,13900,100,8100
17/12/2019,14100,13800,13800,14100,1100,8200
18/12/2019,14300,13900,13900,14300,1020,8400
19/12/2019,14300,14300,14300,14300,-,8400
20/12/2019,15200,14200,14200,15100,600,8800
23/12/2019,15100,15100,15100,15100,40,8800
24/12/2019,15100,15100,15100,15100,-,8800
25/12/2019,14900,14900,14900,14900,2700,8700
26/12/2019,14900,14000,14900,14000,600,8200
27/12/2019,14000,14000,14000,14000,-,8200
30/12/2019,14400,14400,14400,14400,100,8400
31/12/2019,14800,14000,14100,14800,1200,8700
02/01/2020,14800,14800,14800,14800,1500,8700
03/01/2020,14800,14500,14800,14500,200,8500
06/01/2020,14500,14500,14500,14500,100,8500
07/01/2020,14500,14500,14500,14500,100,8500
08/01/2020,14500,13600,14500,14000,1100,8200
09/01/2020,14100,14000,14100,14000,2120,8200
10/01/2020,14000,14000,14000,14000,100,8200
13/01/2020,13900,13900,13900,13900,1600,8100
14/01/2020,14400,14400,14400,14400,100,8400
15/01/2020,14400,14400,14400,14400,5900,8400
16/01/2020,14400,14400,14400,14400,-,8400
