,Date,High,Low,Open,Close,Volume,Adj Close
3736,15/12/2006,34000,30000,30000.0,30700,9000,4500
3735,18/12/2006,33700,30000,33700.0,30700,6500,4300
3734,19/12/2006,30700,29000,30700.0,29000,5000,4200
3733,20/12/2006,28000,26500,26500.0,28000,3000,4100
3732,21/12/2006,28000,27000,28000.0,27000,900,3900
3731,22/12/2006,26000,26000,26000.0,26000,3300,3800
3730,25/12/2006,23500,23400,23500.0,23400,8200,3400
3729,26/12/2006,21100,21100,21100.0,21100,11900,3100
3728,27/12/2006,23200,23200,23200.0,23200,300,3400
3727,28/12/2006,25000,23000,23000.0,23500,1000,3600
3726,29/12/2006,24500,23500,24400.0,23500,4000,3400
3725,02/01/2007,25000,24800,25000.0,24800,2100,3600
3724,03/01/2007,26000,26000,26000.0,26000,1500,3800
3723,04/01/2007,28600,26500,26500.0,28600,3100,4100
3722,05/01/2007,30000,29000,30000.0,29600,2700,4200
3721,08/01/2007,31000,28000,31000.0,30200,2200,4100
3720,09/01/2007,28100,28100,28100.0,28100,1000,4100
3719,10/01/2007,28100,28100,28100.0,28100,-,4100
3718,11/01/2007,26100,26000,26100.0,26000,1000,3800
3717,12/01/2007,26100,26100,26100.0,26100,-,3800
3716,15/01/2007,28000,25000,25000.0,28000,1500,4100
3715,16/01/2007,29000,28000,29000.0,28000,4100,4100
3714,17/01/2007,31400,28000,29000.0,29100,13600,4200
3713,18/01/2007,33000,29900,29900.0,33000,27300,4800
3712,19/01/2007,34600,34600,34600.0,34600,8700,5000
3711,22/01/2007,38000,38000,38000.0,38000,23300,5500
3710,23/01/2007,41800,38500,41000.0,38500,43600,5600
3709,24/01/2007,42000,38500,42000.0,39900,7900,5800
3708,25/01/2007,40000,35900,40000.0,35900,3400,5200
3707,26/01/2007,35000,33500,35000.0,33500,5800,4900
3706,29/01/2007,35100,33000,33600.0,35100,13900,5100
3705,30/01/2007,37100,37100,37100.0,37100,11200,5400
3704,31/01/2007,40800,40000,40800.0,40800,20100,5900
3703,01/02/2007,42000,40200,42000.0,40200,4100,5800
3702,02/02/2007,41800,39900,39900.0,40000,15700,5800
3701,05/02/2007,43000,39500,40000.0,40300,8900,5800
3700,06/02/2007,42300,39000,42000.0,39000,10700,5600
3699,07/02/2007,41300,38000,40300.0,38000,8400,5500
3698,08/02/2007,40200,38000,40200.0,38500,14900,5600
3697,09/02/2007,38800,37000,38800.0,37200,7100,5400
3696,12/02/2007,41000,40000,41000.0,40000,1000,5800
3695,13/02/2007,40500,39000,39000.0,40500,19200,5900
3694,14/02/2007,41500,38500,38500.0,41000,2800,5900
3693,15/02/2007,43500,41500,42000.0,43500,11200,6300
3692,26/02/2007,47100,45000,47100.0,47000,5800,6800
3691,27/02/2007,50000,46000,47100.0,48000,9500,7000
3690,28/02/2007,51600,48000,51600.0,49000,21100,7100
3689,01/03/2007,51500,50400,50400.0,51500,18900,7500
3688,02/03/2007,55800,51500,55800.0,55800,16800,8100
3687,05/03/2007,60300,60300,60300.0,60300,7400,8700
3686,06/03/2007,66300,66300,66300.0,66300,10800,9600
3685,07/03/2007,72900,66300,72900.0,72500,14000,10500
3684,08/03/2007,78500,73500,78500.0,78500,18500,11400
3683,09/03/2007,82000,78000,82000.0,80600,11300,11700
3682,12/03/2007,88100,80000,88100.0,81100,22400,11700
3681,13/03/2007,82000,73600,81000.0,79000,9000,11400
3680,14/03/2007,78000,72300,76000.0,72300,5400,10500
3679,15/03/2007,72000,66600,72000.0,66600,5400,9600
3678,16/03/2007,74800,66800,66800.0,74800,14900,10800
3677,19/03/2007,81400,78000,78000.0,80000,14600,11600
3676,20/03/2007,86000,81000,82000.0,81000,15700,11700
3675,21/03/2007,82000,78000,82000.0,80000,3200,11600
3674,22/03/2007,83000,78000,82000.0,78000,4500,11300
3673,23/03/2007,80500,73000,80500.0,73000,5800,10600
3672,26/03/2007,76800,71000,76100.0,75500,6600,10100
3671,27/03/2007,70000,67700,69000.0,67700,1600,9800
3670,28/03/2007,68100,61700,61700.0,68100,5000,9900
3669,29/03/2007,68200,63000,63000.0,68000,8400,9800
3668,30/03/2007,68900,64000,68900.0,64000,2100,9300
3667,02/04/2007,65000,59400,65000.0,59400,1900,8600
3666,03/04/2007,58000,57000,58000.0,57000,2200,8300
3665,04/04/2007,59500,58000,58000.0,59500,6000,8600
3664,05/04/2007,60000,56200,60000.0,58500,4600,8500
3663,06/04/2007,56300,56000,56300.0,56000,2200,8100
3662,09/04/2007,57300,54300,57300.0,54300,11800,7900
3661,10/04/2007,55000,52000,55000.0,52000,2100,7500
3660,11/04/2007,50000,50000,50000.0,50000,9700,7200
3659,12/04/2007,48500,48500,48500.0,48500,100,7000
3658,13/04/2007,50000,47000,47000.0,50000,4900,7200
3657,16/04/2007,44800,44700,44700.0,44700,1600,6500
