,Date,High,Low,Open,Close,Volume,Adj Close
3298,26/09/2008,22400,18000,22400.0,20000,21400,3400
3297,29/09/2008,18600,18600,18600.0,18600,2900,3200
3296,30/09/2008,18600,18600,18600.0,18600,-,3200
3295,01/10/2008,17300,17300,17300.0,17300,5000,2900
3294,02/10/2008,16200,16100,16100.0,16100,9800,2700
3293,03/10/2008,15500,15000,15000.0,15000,15700,2600
3292,06/10/2008,14200,14100,14100.0,14100,45200,2400
3291,07/10/2008,14000,13200,13200.0,14000,16600,2400
3290,08/10/2008,14400,14000,14400.0,14400,17800,2500
3289,09/10/2008,15400,15400,15400.0,15400,16000,2600
3288,10/10/2008,16400,14400,16300.0,14400,23700,2500
3287,13/10/2008,15000,14000,14000.0,14000,11300,2400
3286,14/10/2008,15000,15000,15000.0,15000,32400,2600
3285,15/10/2008,15500,14000,15500.0,14000,7700,2400
3284,16/10/2008,13300,13300,13300.0,13300,17000,2300
3283,17/10/2008,13300,13300,13300.0,13300,1000,2300
3282,20/10/2008,13000,13000,13000.0,13000,500,2200
3281,21/10/2008,13000,12100,13000.0,12500,13600,2100
3280,22/10/2008,13000,11900,11900.0,13000,1400,2200
3279,23/10/2008,11600,11600,11600.0,11600,12500,2000
3278,24/10/2008,11500,11100,11500.0,11100,400,1900
3277,27/10/2008,10500,10500,10500.0,10500,9700,1800
3276,28/10/2008,11100,9800,9800.0,10500,6300,1800
3275,29/10/2008,11600,11000,11400.0,11500,7600,2000
3274,30/10/2008,11500,10900,10900.0,11500,1700,2000
3273,31/10/2008,12300,11900,12000.0,12300,13900,2100
3272,03/11/2008,11400,11300,11400.0,11300,3000,1900
3271,04/11/2008,12100,11900,12000.0,12100,13100,2100
3270,05/11/2008,12800,12700,12800.0,12700,800,2200
3269,06/11/2008,11900,11900,11900.0,11900,500,2000
3268,07/11/2008,11100,11100,11100.0,11100,1600,1900
3267,10/11/2008,11200,11100,11100.0,11200,1100,1900
3266,11/11/2008,10600,10400,10600.0,10500,3000,1800
3265,12/11/2008,11200,11100,11100.0,11200,11000,1900
3264,13/11/2008,11900,11500,11500.0,11900,6900,2000
3263,14/11/2008,12500,12000,12000.0,12000,18000,2000
3262,17/11/2008,12400,12400,12400.0,12400,-,2100
3261,18/11/2008,11600,11600,11600.0,11600,2800,2000
3260,19/11/2008,11900,11900,11900.0,11900,100,2000
3259,20/11/2008,11500,11200,11200.0,11400,5000,1900
3258,21/11/2008,10800,10700,10800.0,10700,7000,1800
3257,24/11/2008,10800,10800,10800.0,10800,-,1800
3256,25/11/2008,11000,11000,11000.0,11000,100,1900
3255,26/11/2008,11000,11000,11000.0,11000,-,1900
3254,27/11/2008,11700,10400,10400.0,10500,3000,1800
3253,28/11/2008,10900,10900,10900.0,10900,700,1900
3252,01/12/2008,10300,10300,10300.0,10300,2000,1800
3251,02/12/2008,10300,10300,10300.0,10300,2000,1800
3250,03/12/2008,10300,10300,10300.0,10300,1600,1800
3249,04/12/2008,10300,10300,10300.0,10300,-,1800
3248,05/12/2008,10300,10300,10300.0,10300,-,1800
3247,08/12/2008,10000,10000,10000.0,10000,200,1700
3246,09/12/2008,10200,10000,10000.0,10200,3100,1700
3245,10/12/2008,10100,10100,10100.0,10100,-,1700
3244,11/12/2008,10800,10600,10600.0,10800,4700,1800
3243,12/12/2008,10800,10500,10500.0,10500,5300,1800
3242,15/12/2008,11300,11000,11300.0,11300,4300,1900
3241,16/12/2008,11200,11200,11200.0,11200,-,1900
3240,17/12/2008,10200,10200,10200.0,10200,400,1900
3239,18/12/2008,10200,10200,10200.0,10200,-,1900
3238,19/12/2008,9500,9500,9500.0,9500,1000,1800
3237,22/12/2008,9500,9500,9500.0,9500,-,1800
3236,23/12/2008,10000,10000,10000.0,10000,200,1900
3235,24/12/2008,9600,9600,9600.0,9600,1400,1800
3234,25/12/2008,9000,9000,9000.0,9000,1300,1700
3233,26/12/2008,9600,9600,9600.0,9600,300,1800
3232,29/12/2008,9800,9800,9800.0,9800,1100,1800
3231,30/12/2008,9400,9400,9400.0,9400,800,1800
3230,31/12/2008,10000,10000,10000.0,10000,1000,1900
3229,02/01/2009,10500,10500,10500.0,10500,1000,2000
3228,05/01/2009,10500,10500,10500.0,10500,-,2000
3227,06/01/2009,10500,10500,10500.0,10500,-,2000
3226,07/01/2009,10800,10800,10800.0,10800,100,2000
3225,08/01/2009,10800,10800,10800.0,10800,-,2000
3224,09/01/2009,10800,10800,10800.0,10800,-,2000
3223,12/01/2009,10800,10800,10800.0,10800,-,2000
3222,13/01/2009,10300,10100,10100.0,10300,200,1900
3221,14/01/2009,9500,9500,9500.0,9500,1400,1800
3220,15/01/2009,9500,9500,9500.0,9500,-,1800
3219,16/01/2009,9000,9000,9000.0,9000,500,1700
3218,19/01/2009,9000,9000,9000.0,9000,1000,1700
3217,20/01/2009,8500,8500,8500.0,8500,900,1600
3216,21/01/2009,8500,8500,8500.0,8500,-,1600
3215,22/01/2009,8500,8500,8500.0,8500,-,1600
3214,23/01/2009,8500,8500,8500.0,8500,-,1600
3213,02/02/2009,8500,8500,8500.0,8500,-,1600
3212,03/02/2009,8500,8500,8500.0,8500,-,1600
3211,04/02/2009,8000,8000,8000.0,8000,2100,1500
3210,05/02/2009,8000,8000,8000.0,8000,1900,1500
3209,06/02/2009,8000,8000,8000.0,8000,-,1500
3208,09/02/2009,8000,8000,8000.0,8000,2000,1500
3207,10/02/2009,8000,8000,8000.0,8000,-,1500
3206,11/02/2009,7500,7500,7500.0,7500,7100,1400
3205,12/02/2009,8000,8000,8000.0,8000,400,1500
3204,13/02/2009,8500,8500,8500.0,8500,100,1600
3203,16/02/2009,9000,9000,9000.0,9000,100,1700
3202,17/02/2009,9000,9000,9000.0,9000,-,1700
3201,18/02/2009,9600,8400,9600.0,8400,2300,1600
3200,19/02/2009,8900,8900,8900.0,8900,-,1700
3199,20/02/2009,8900,8900,8900.0,8900,-,1700
3198,23/02/2009,8900,8900,8900.0,8900,-,1700
3197,24/02/2009,8300,8300,8300.0,8300,200,1600
3196,25/02/2009,8300,8300,8300.0,8300,200,1600
3195,26/02/2009,7800,7800,7800.0,7800,500,1500
3194,27/02/2009,8200,8200,8200.0,8200,200,1500
3193,02/03/2009,8000,8000,8000.0,8000,500,1500
3192,03/03/2009,8000,8000,8000.0,8000,-,1500
3191,04/03/2009,8300,7500,8300.0,7500,600,1400
3190,05/03/2009,7900,7900,7900.0,7900,-,1500
3189,06/03/2009,7900,7900,7900.0,7900,-,1500
3188,09/03/2009,7400,7400,7400.0,7400,500,1400
3187,10/03/2009,7800,7400,7400.0,7800,2500,1500
3186,11/03/2009,7500,7500,7500.0,7500,500,1400
3185,12/03/2009,7500,7300,7300.0,7500,6500,1400
3184,13/03/2009,7200,7100,7200.0,7100,800,1300
3183,16/03/2009,7200,7200,7200.0,7200,-,1300
3182,17/03/2009,7200,7200,7200.0,7200,-,1300
3181,18/03/2009,7700,7600,7700.0,7700,1400,1400
3180,19/03/2009,7700,7700,7700.0,7700,-,1400
3179,20/03/2009,7700,7700,7700.0,7700,-,1400
3178,23/03/2009,8000,8000,8000.0,8000,100,1500
3177,24/03/2009,8000,7600,7700.0,7600,55600,1400
