,Date,High,Low,Open,Close,Volume,Adj Close
2931,17/03/2010,45000,31000,31000.0,40000,33500,3800
2930,18/03/2010,40000,38400,38500.0,38400,5400,3600
2929,19/03/2010,41000,36500,36500.0,38000,24500,3600
2928,22/03/2010,41300,38600,39000.0,41300,66300,3900
2927,23/03/2010,43000,41000,42000.0,43000,59000,4100
2926,24/03/2010,45300,45000,45300.0,45300,40000,4300
2925,25/03/2010,46000,42200,46000.0,42200,28200,4000
2924,26/03/2010,44700,40500,44700.0,43000,8100,4100
2923,29/03/2010,41000,39500,41000.0,39500,15800,3800
2922,30/03/2010,41000,37100,41000.0,37100,19200,3500
2921,31/03/2010,40000,37400,40000.0,37400,700,3600
2920,01/04/2010,40600,38100,40300.0,40500,18300,3800
2919,02/04/2010,41800,38000,41000.0,38000,7100,3600
2918,05/04/2010,38100,37800,38100.0,37800,12200,3600
2917,06/04/2010,38000,35500,38000.0,37900,13400,3600
2916,07/04/2010,39000,36600,39000.0,38500,6100,3700
2915,08/04/2010,39500,38100,39500.0,38100,10900,3600
2914,09/04/2010,39000,38000,38000.0,38300,9800,3600
2913,12/04/2010,38100,37200,37600.0,37200,12400,3500
2912,13/04/2010,37000,36000,37000.0,36000,11100,3500
2911,14/04/2010,37800,37100,37800.0,37500,3100,3700
2910,15/04/2010,38000,35700,35700.0,38000,1400,3700
2909,16/04/2010,38000,36000,38000.0,36000,5400,3500
2908,19/04/2010,35100,34200,35000.0,34500,15400,3400
2907,20/04/2010,37000,35000,35000.0,37000,8400,3600
2906,21/04/2010,38900,37100,37100.0,37600,5000,3700
2905,22/04/2010,39500,36000,39500.0,36000,700,3500
2904,26/04/2010,38000,37900,38000.0,38000,800,3700
2903,27/04/2010,37500,37000,37000.0,37500,2400,3700
2902,28/04/2010,37000,35600,37000.0,35600,4700,3500
2901,29/04/2010,38400,36500,37000.0,38400,23100,3700
2900,04/05/2010,40200,39200,40200.0,40200,26600,3900
2899,05/05/2010,41500,39500,40000.0,41500,23300,4000
2898,06/05/2010,43100,40300,42000.0,43100,54400,4200
2897,07/05/2010,44900,41000,44900.0,41900,17500,4100
2896,10/05/2010,41500,40000,41500.0,41000,8800,4000
2895,11/05/2010,42800,40700,42800.0,40900,13500,4000
2894,12/05/2010,40100,39600,40100.0,39600,12300,3900
