,Date,High,Low,Open,Close,Volume,Adj Close
2284,16/10/2012,14000,12000,14000.0,12000,3500,4600
2283,17/10/2012,11200,11200,11200.0,11200,200,4300
2282,18/10/2012,10500,10500,10500.0,10500,100,4000
2281,19/10/2012,10500,10500,10500.0,10500,-,4000
2280,22/10/2012,10500,10500,10500.0,10500,-,4000
2279,23/10/2012,10500,10500,10500.0,10500,-,4000
2278,24/10/2012,9800,9800,9800.0,9800,100,3800
2277,25/10/2012,9800,9800,9800.0,9800,-,3800
2276,26/10/2012,9800,9800,9800.0,9800,-,3800
2275,29/10/2012,9800,9800,9800.0,9800,-,3800
2274,30/10/2012,9800,9800,9800.0,9800,-,3800
2273,31/10/2012,9800,9800,9800.0,9800,-,3800
2272,01/11/2012,9800,9800,9800.0,9800,-,3800
2271,02/11/2012,9800,9800,9800.0,9800,-,3800
2270,05/11/2012,9800,9800,9800.0,9800,-,3800
2269,06/11/2012,9800,9800,9800.0,9800,-,3800
2268,07/11/2012,9800,9800,9800.0,9800,-,3800
2267,08/11/2012,9800,9800,9800.0,9800,-,3800
2266,09/11/2012,10200,10200,10200.0,10200,100,3900
2265,12/11/2012,10200,10200,10200.0,10200,-,3900
2264,13/11/2012,10200,10200,10200.0,10200,-,3900
2263,14/11/2012,10200,10200,10200.0,10200,-,3900
2262,15/11/2012,10200,10200,10200.0,10200,-,3900
2261,16/11/2012,10200,10200,,10200,-,3900
2260,19/11/2012,10200,10200,,10200,-,3900
2259,20/11/2012,10200,10200,,10200,-,3900
2258,21/11/2012,10200,10200,,10200,-,3900
2257,22/11/2012,10200,10200,,10200,-,3900
2256,23/11/2012,10200,10200,,10200,-,3900
2255,26/11/2012,10200,10200,,10200,-,3900
2254,27/11/2012,10200,10200,,10200,-,3900
2253,28/11/2012,10200,10200,,10200,-,3900
2252,29/11/2012,10200,10200,,10200,-,3900
2251,30/11/2012,10200,10200,,10200,-,3900
2250,03/12/2012,10200,10200,,10200,-,3900
2249,04/12/2012,10200,10200,,10200,-,3900
2248,05/12/2012,10800,10800,10800.0,10800,100,4100
2247,06/12/2012,10800,10800,,10800,-,4100
2246,07/12/2012,10800,10800,,10800,-,4100
2245,10/12/2012,10800,10800,,10800,-,4100
2244,11/12/2012,10800,10800,,10800,-,4100
2243,12/12/2012,10800,10800,,10800,-,4100
2242,13/12/2012,11400,11400,11400.0,11400,100,4400
2241,14/12/2012,11400,11400,,11400,-,4400
2240,17/12/2012,11400,11400,,11400,-,4400
2239,18/12/2012,11400,11400,,11400,-,4400
2238,19/12/2012,11400,11400,,11400,-,4400
2237,20/12/2012,11400,11400,,11400,-,4400
2236,21/12/2012,11400,11400,,11400,-,4400
2235,24/12/2012,11400,11400,,11400,-,4400
2234,25/12/2012,11400,11400,,11400,-,4400
2233,26/12/2012,11400,11400,,11400,-,4400
2232,27/12/2012,11400,11400,,11400,-,4400
2231,28/12/2012,10700,10700,10700.0,10700,200,4100
2230,02/01/2013,10700,10700,,10700,-,4100
2229,03/01/2013,10700,10700,,10700,-,4100
2228,04/01/2013,10700,10700,,10700,-,4100
2227,07/01/2013,10700,10700,,10700,-,4100
2226,08/01/2013,10700,10700,,10700,-,4100
2225,09/01/2013,10700,10700,,10700,-,4100
2224,10/01/2013,11000,11000,11000.0,11000,200,4200
2223,11/01/2013,11000,11000,,11000,-,4200
2222,14/01/2013,11000,11000,,11000,-,4200
2221,15/01/2013,11000,11000,,11000,-,4200
2220,16/01/2013,11000,11000,,11000,-,4200
2219,17/01/2013,11000,11000,,11000,-,4200
2218,18/01/2013,11000,11000,,11000,-,4200
2217,21/01/2013,11000,11000,,11000,-,4200
2216,22/01/2013,11000,11000,,11000,-,4200
2215,23/01/2013,11000,11000,,11000,-,4200
2214,24/01/2013,11000,11000,,11000,-,4200
2213,25/01/2013,11000,11000,,11000,-,4200
2212,28/01/2013,11000,11000,,11000,-,4200
2211,29/01/2013,11000,11000,,11000,-,4200
2210,30/01/2013,11000,11000,,11000,-,4200
2209,31/01/2013,11000,11000,,11000,-,4200
2208,01/02/2013,11000,11000,,11000,-,4200
2207,04/02/2013,11000,11000,,11000,-,4200
2206,05/02/2013,11000,11000,,11000,-,4200
2205,06/02/2013,11000,11000,,11000,-,4200
2204,07/02/2013,11000,11000,,11000,-,4200
2203,08/02/2013,11000,11000,,11000,-,4200
2202,18/02/2013,11000,11000,,11000,-,4200
2201,19/02/2013,11000,11000,,11000,-,4200
2200,20/02/2013,11000,11000,,11000,-,4200
2199,21/02/2013,11000,11000,,11000,-,4200
2198,22/02/2013,11000,11000,,11000,-,4200
2197,25/02/2013,9900,9900,9900.0,9900,1000,3800
2196,26/02/2013,9000,9000,9000.0,9000,1000,3400
2195,27/02/2013,9000,9000,,9000,-,3400
2194,28/02/2013,9000,9000,,9000,-,3400
2193,01/03/2013,9000,9000,,9000,-,3400
2192,04/03/2013,9000,9000,,9000,-,3400
2191,05/03/2013,9000,9000,,9000,-,3400
2190,06/03/2013,9000,9000,,9000,-,3400
2189,07/03/2013,9000,9000,,9000,-,3400
2188,08/03/2013,9000,9000,,9000,-,3400
2187,11/03/2013,9900,9900,9900.0,9900,100,3800
2186,12/03/2013,9900,9900,,9900,-,3800
2185,13/03/2013,9900,9900,,9900,-,3800
2184,14/03/2013,9900,9900,,9900,-,3800
2183,15/03/2013,9900,9900,,9900,-,3800
2182,18/03/2013,9900,9900,,9900,-,3800
2181,19/03/2013,9900,9900,,9900,-,3800
2180,20/03/2013,9900,9900,,9900,-,3800
2179,21/03/2013,9900,9900,,9900,-,3800
2178,22/03/2013,9900,9900,,9900,-,3800
2177,25/03/2013,9900,9900,,9900,-,3800
2176,26/03/2013,9900,9900,,9900,-,3800
2175,27/03/2013,9900,9900,,9900,-,3800
2174,28/03/2013,9900,9900,,9900,-,3800
2173,29/03/2013,9900,9900,,9900,-,3800
2172,01/04/2013,9900,9900,,9900,-,3800
2171,02/04/2013,9900,9900,,9900,-,3800
2170,03/04/2013,9900,9900,,9900,-,3800
2169,04/04/2013,9900,9900,,9900,-,3800
2168,05/04/2013,9900,9900,,9900,-,3800
2167,08/04/2013,9900,9900,,9900,-,3800
2166,09/04/2013,9900,9900,,9900,-,3800
2165,10/04/2013,9900,9900,,9900,-,3800
2164,11/04/2013,9900,9900,,9900,-,3800
2163,12/04/2013,9900,9900,,9900,-,3800
2162,15/04/2013,9900,9900,,9900,-,3800
2161,16/04/2013,9900,9900,,9900,-,3800
2160,17/04/2013,9900,9900,,9900,-,3800
2159,18/04/2013,9900,9900,,9900,-,3800
2158,22/04/2013,10600,10600,10600.0,10600,100,4100
2157,23/04/2013,10600,10600,,10600,-,4100
2156,24/04/2013,10600,10600,,10600,-,4100
2155,25/04/2013,10600,10600,,10600,-,4100
2154,26/04/2013,10600,10600,,10600,-,4100
2153,02/05/2013,10600,10600,,10600,-,4100
2152,03/05/2013,10600,10600,,10600,-,4100
2151,06/05/2013,10600,10600,,10600,-,4100
2150,07/05/2013,10600,10600,,10600,-,4100
2149,08/05/2013,10600,10600,,10600,-,4100
2148,09/05/2013,10600,10600,,10600,-,4100
2147,10/05/2013,10600,10600,,10600,-,4100
2146,13/05/2013,10600,10600,,10600,-,4100
2145,14/05/2013,10600,10600,,10600,-,4100
2144,15/05/2013,10600,10600,,10600,-,4100
2143,16/05/2013,10600,10600,,10600,-,4100
2142,17/05/2013,10600,10600,,10600,-,4100
2141,20/05/2013,10600,10600,,10600,-,4100
2140,21/05/2013,10600,10600,,10600,-,4100
2139,22/05/2013,10600,10600,,10600,-,4100
2138,23/05/2013,10600,10600,,10600,-,4100
2137,24/05/2013,10600,10600,,10600,-,4100
2136,27/05/2013,10600,10600,,10600,-,4100
2135,28/05/2013,10600,10600,,10600,-,4100
2134,29/05/2013,10600,10600,,10600,-,4100
2133,30/05/2013,10600,10600,,10600,-,4100
