Date,High,Low,Open,Close,Volume,Adj Close
29/12/2014,13400,6000,13400.0,10200,10100,6900
30/12/2014,9200,9200,9200.0,9200,-,6900
31/12/2014,9200,9200,9200.0,9200,-,6900
05/01/2015,9200,9200,9200.0,9200,-,7700
06/01/2015,9200,9200,9200.0,9200,-,7700
07/01/2015,9200,9200,9200.0,9200,-,7700
08/01/2015,9200,9200,9200.0,9200,-,7700
09/01/2015,9200,9200,9200.0,9200,-,7700
12/01/2015,9200,9200,9200.0,9200,-,7700
13/01/2015,8300,8300,8300.0,8300,100,6200
14/01/2015,7500,7500,7500.0,7500,100,5600
15/01/2015,6800,6800,6800.0,6800,100,5100
16/01/2015,6200,6200,6200.0,6200,100,4700
19/01/2015,5600,5600,5600.0,5600,100,4200
20/01/2015,5100,5100,5100.0,5100,200,3800
21/01/2015,4600,4600,4600.0,4600,100,3500
22/01/2015,5000,4200,4200.0,4800,77000,3400
23/01/2015,4900,4900,4900.0,4900,40100,3700
26/01/2015,5300,5300,5300.0,5300,18600,4000
27/01/2015,5800,5700,5800.0,5800,32600,4400
28/01/2015,5500,5300,5500.0,5300,13200,4000
29/01/2015,5000,4800,4800.0,4800,12900,3600
30/01/2015,4600,4400,4600.0,4600,15200,3300
02/02/2015,4800,4000,4800.0,4000,9000,3100
03/02/2015,4400,3800,3800.0,4400,1700,3200
04/02/2015,4500,4500,4500.0,4500,100,3400
05/02/2015,4700,4300,4700.0,4500,1200,3300
06/02/2015,4300,4000,4000.0,4000,8200,3000
09/02/2015,3700,3600,3700.0,3600,10700,2700
10/02/2015,3900,3400,3400.0,3400,1000,2900
11/02/2015,4100,3600,3600.0,4100,700,2900
12/02/2015,4200,3900,4200.0,3900,2300,2900
13/02/2015,3800,3600,3600.0,3800,1600,2800
24/02/2015,4000,4000,4000.0,4000,100,3000
25/02/2015,4400,3800,4400.0,3800,4200,2900
26/02/2015,3900,3700,3700.0,3800,11500,2900
27/02/2015,3900,3600,3600.0,3900,1100,2900
02/03/2015,4100,4100,4100.0,4100,100,3100
03/03/2015,4000,3700,3700.0,4000,4400,2800
04/03/2015,4000,4000,4000.0,4000,1900,3000
05/03/2015,4400,4400,4400.0,4400,100,3300
06/03/2015,4000,4000,4000.0,4000,300,3000
09/03/2015,3900,3800,3800.0,3900,15000,2900
10/03/2015,3900,3600,3600.0,3900,2700,2900
11/03/2015,4000,3900,3900.0,4000,1000,3000
12/03/2015,3700,3700,3700.0,3700,3700,2800
13/03/2015,4000,3700,4000.0,3700,10100,2800
16/03/2015,4000,4000,4000.0,4000,100,3000
17/03/2015,4300,4000,4300.0,4000,1800,3000
18/03/2015,4400,4000,4400.0,4000,3100,3000
19/03/2015,3700,3600,3700.0,3700,10700,2800
20/03/2015,3700,3700,3700.0,3700,-,2800
23/03/2015,3700,3400,3400.0,3700,5100,2800
24/03/2015,3700,3700,3700.0,3700,7200,2800
25/03/2015,3700,3700,3700.0,3700,8300,2800
26/03/2015,3700,3700,3700.0,3700,1500,2800
27/03/2015,3700,3600,3700.0,3600,10000,2700
30/03/2015,3300,3300,3300.0,3300,200,2500
31/03/2015,3500,3300,3500.0,3300,4100,2500
01/04/2015,3500,3500,3500.0,3500,5200,2600
02/04/2015,3500,3500,3500.0,3500,3200,2600
03/04/2015,3800,3800,3800.0,3800,100,2900
06/04/2015,4100,4100,4100.0,4100,100,3100
07/04/2015,4100,4100,4100.0,4100,-,3100
08/04/2015,4500,3900,4500.0,3900,1100,2900
09/04/2015,4300,3900,4300.0,3900,200,2900
10/04/2015,4100,4100,4100.0,4100,-,2900
13/04/2015,4300,3700,4300.0,3700,1100,2800
14/04/2015,4100,3500,4100.0,3500,300,2600
15/04/2015,3900,3400,3900.0,3400,1100,2600
16/04/2015,3700,3200,3700.0,3200,400,2400
17/04/2015,3600,3200,3600.0,3200,900,2400
20/04/2015,3500,2900,3000.0,2900,5000,2200
21/04/2015,3100,3100,3100.0,3100,400,2300
22/04/2015,3300,2800,3300.0,2800,1300,2100
23/04/2015,3000,3000,3000.0,3000,1500,2300
24/04/2015,3100,3000,3000.0,3100,1200,2300
27/04/2015,3000,3000,3000.0,3000,-,2300
04/05/2015,3100,3000,3000.0,3100,200,2300
05/05/2015,3100,3100,3100.0,3100,1000,2300
06/05/2015,3100,3100,3100.0,3100,2100,2300
07/05/2015,3100,3100,3100.0,3100,-,2300
08/05/2015,3200,3200,3200.0,3200,3700,2400
11/05/2015,3300,3300,3300.0,3300,100,2500
12/05/2015,3500,3500,3500.0,3500,200,2600
13/05/2015,3500,3200,3200.0,3500,200,2600
14/05/2015,3600,3600,3600.0,3600,100,2700
15/05/2015,3800,3800,3800.0,3800,100,2900
18/05/2015,3600,3600,3600.0,3600,180,2700
19/05/2015,3600,3600,3600.0,3600,-,2700
20/05/2015,3900,3800,3900.0,3800,800,2900
21/05/2015,4000,3500,3500.0,4000,400,3000
22/05/2015,3900,3900,3900.0,3900,-,3000
25/05/2015,4000,4000,4000.0,4000,200,3000
26/05/2015,4000,3600,3600.0,4000,200,3000
27/05/2015,3900,3900,3900.0,3900,100,2900
28/05/2015,3900,3900,3900.0,3900,-,2900
29/05/2015,3900,3900,3900.0,3900,-,2900
01/06/2015,3900,3900,3900.0,3900,-,2900
02/06/2015,3600,3600,3600.0,3600,100,2700
03/06/2015,3600,3600,3600.0,3600,-,2700
04/06/2015,3800,3800,3800.0,3800,600,2900
05/06/2015,3800,3800,3800.0,3800,-,2900
08/06/2015,3800,3800,3800.0,3800,-,2900
09/06/2015,3600,3600,3600.0,3600,2000,2700
10/06/2015,3600,3600,3600.0,3600,-,2700
11/06/2015,3900,3500,3500.0,3900,3700,2900
12/06/2015,4000,3500,4000.0,3500,1100,2600
15/06/2015,3500,3500,3500.0,3500,2000,2600
16/06/2015,3800,3500,3800.0,3500,200,2600
17/06/2015,3700,3700,3700.0,3700,100,2800
18/06/2015,3700,3700,3700.0,3700,-,2800
19/06/2015,3800,3800,3800.0,3800,100,2900
