,Date,High,Low,Open,Close,Volume,Adj Close
0,30/11/2021,17450,16750,17100,16850,6030000,16900
1,01/12/2021,17500,16850,16850,17400,5479000,17400
2,02/12/2021,17950,17400,17400,17550,6386300,17600
3,03/12/2021,17650,16900,17550,16900,5144600,16900
4,06/12/2021,17050,15950,16900,16250,7035200,16300
5,07/12/2021,16700,16300,16400,16550,3566300,16600
6,08/12/2021,17000,16550,16750,16600,3454600,16600
7,09/12/2021,17000,16550,16550,16800,2235200,16800
8,10/12/2021,17150,16750,16800,17000,3543500,17000
9,13/12/2021,17800,17100,17300,17650,8393300,17700
10,14/12/2021,18500,17400,17750,18350,10845800,18400
11,15/12/2021,19300,18400,18400,18500,12036100,18500
12,16/12/2021,19200,18100,18400,18700,9366900,18700
13,17/12/2021,19200,18500,18750,18600,6935400,18600
14,20/12/2021,18700,17900,18500,18100,7088500,18100
15,21/12/2021,19350,17600,18000,19350,15444900,19400
16,22/12/2021,20600,19700,20000,20000,11386100,20000
17,23/12/2021,21400,19500,20000,21400,18312800,21400
18,24/12/2021,22200,20950,21500,21350,10541100,21400
19,27/12/2021,22250,21050,21350,21900,8671300,21900
20,28/12/2021,22250,21100,22000,21300,10859700,21300
21,29/12/2021,21800,21050,21300,21550,7501300,21600
22,30/12/2021,21850,21000,21700,21000,5194100,21000
23,31/12/2021,21250,20000,21000,20200,10379500,20200
24,04/01/2022,21400,20100,20100,20700,7354500,20700
25,05/01/2022,21800,20650,20800,20950,7187400,21000
26,06/01/2022,22400,20800,20900,22400,12475600,22400
27,07/01/2022,23150,22550,22950,22800,7009900,22800
28,10/01/2022,23400,21250,23000,21250,11396800,21300
29,11/01/2022,21750,20000,21300,20000,13383600,20000
30,12/01/2022,20500,18600,19800,19600,12757700,19600
31,13/01/2022,20200,18250,19600,18250,7601100,18300
32,14/01/2022,19000,17700,17850,18350,7069100,18400
33,17/01/2022,18700,17100,18450,17100,10309993,17100
34,18/01/2022,17900,16900,16900,17600,5835200,17600
35,19/01/2022,18100,17200,17800,17600,3173800,17600
36,20/01/2022,18350,17450,17650,18050,4607700,18100
37,21/01/2022,18150,17750,18000,17750,4433200,17800
38,24/01/2022,17650,16550,17550,16550,7863000,16600
39,25/01/2022,17050,16100,16400,17000,4383700,17000
40,26/01/2022,17300,16550,17100,16550,3096900,16600
41,27/01/2022,16900,16500,16550,16600,2972100,16600
42,28/01/2022,16800,16400,16800,16500,3178100,16500
43,07/02/2022,17400,16700,17000,17350,4002100,17400
44,08/02/2022,17750,17100,17450,17400,3086200,17400
45,09/02/2022,17800,17300,17500,17750,3788100,17800
46,10/02/2022,18150,17700,17900,17800,5336500,17800
47,11/02/2022,18100,17600,17900,17900,3413200,17900
48,14/02/2022,17900,17300,17500,17350,4556700,17400
49,15/02/2022,17600,17250,17400,17400,2987100,17400
50,16/02/2022,18250,17550,17750,18000,4148000,18000
51,17/02/2022,18350,17950,18000,18050,4481600,18100
52,18/02/2022,18350,17800,17900,18100,3703100,18100
53,21/02/2022,18850,18050,18150,18650,6603500,18700
54,22/02/2022,18400,17750,18300,18050,6484000,18100
55,23/02/2022,18350,18050,18050,18150,3252300,18200
56,24/02/2022,18200,17100,18100,17550,8530200,17600
57,25/02/2022,18100,17700,17850,17800,3916600,17800
58,28/02/2022,17900,17550,17900,17650,3552800,17700
59,01/03/2022,18300,17550,17600,18000,5617200,18000
60,02/03/2022,18050,17500,18050,17650,4857200,17700
61,03/03/2022,18500,17650,17800,18500,11340700,18500
62,04/03/2022,18750,18300,18600,18400,4733200,18400
63,07/03/2022,18300,17850,18100,18050,9425100,18100
64,08/03/2022,18350,17700,17850,17700,5894000,17700
65,09/03/2022,17950,17350,17800,17550,5467600,17600
